,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,Stephen Gostkowski*,NWE,30,K,16,0,,,,,,,,,,,51,51,35,37,,156,9.8
1,Cody Parkey*,PHI,22,K,16,0,,,,,,,,,,,54,54,32,36,,150,9.4
2,Adam Vinatieri*+,IND,42,K,16,0,,,,,,,,,,,50,50,30,31,,140,8.8
3,Mason Crosby,GNB,30,K,16,0,,,,,,,,,,,53,55,27,33,,134,8.4
4,Stephen Hauschka,SEA,29,K,16,0,,,,,,,,,,,41,41,31,37,,134,8.4
5,Dan Carpenter,BUF,29,K,16,0,,,,,,,,,,,31,32,34,38,,133,8.3
6,Shaun Suisham,PIT,33,K,16,0,,,,,,,,,,,45,45,29,32,,132,8.3
7,Dan Bailey,DAL,26,K,16,0,,,,,,,,,,,56,56,25,29,,131,8.2
8,Randy Bullock,HOU,25,K,16,0,,,,,,,,,,,40,40,30,35,,130,8.1
9,Justin Tucker,BAL,25,K,16,0,,,,,,,,,,,42,42,29,34,,129,8.1
10,Caleb Sturgis,MIA,25,K,16,0,,,,,,,,,,,41,41,29,37,,128,8.0
11,Matt Bryant,ATL,39,K,16,0,,,,,,,,,,,40,40,29,32,,127,7.9
12,Graham Gano,CAR,27,K,16,0,,,,,,,,,,,34,34,29,35,,121,7.6
13,Nick Folk,NYJ,30,K,16,0,,,,,,,,,,,23,23,32,39,,119,7.4
14,Mike Nugent,CIN,32,K,16,0,,,,,,,,,,,39,39,26,33,,117,7.3
15,Josh Brown,NYG,35,K,16,0,,,,,,,,,,,44,44,24,26,,116,7.3
16,Chandler Catanzaro,ARI,23,K,16,0,,,,,,,,,,,27,27,29,33,,114,7.1
17,Cairo Santos,KAN,23,K,16,0,,,,,,,,,,,38,38,25,30,,113,7.1
18,Phil Dawson,SFO,39,K,16,0,,,,,,,,,,,33,33,25,31,,108,6.8
19,Blair Walsh,MIN,24,K,16,0,,,,,,,,,,,29,29,26,35,,107,6.7
20,Nick Novak,SDG,33,K,16,0,,,,,,,,,,,40,40,22,26,,106,6.6
21,Greg Zuerlein,STL,27,K,16,0,,,,,,,,,,,34,35,24,30,,106,6.6
22,Kai Forbath,WAS,27,K,16,0,,,,,,,,,,,31,32,24,27,,103,6.4
23,Shayne Graham,NOR,37,K,16,0,,,,,,,,,,,46,47,19,22,,103,6.4
24,Marshawn Lynch*,SEA,28,RB,16,14,13,4,,,,,,17,,,,,,,,102,6.4
25,Dez Bryant*+,DAL,26,WR,16,16,,16,,,,,,16,,,,,,,,96,6.0
26,Billy Cundiff,CLE,34,K,13,0,,,,,,,,,,,28,28,22,29,,94,7.2
27,Patrick Murray,TAM,23,K/P,16,0,,,,,,,,,,,31,31,20,24,,91,5.7
28,Antonio Brown*+,PIT,26,WR,16,16,,13,1,,,,,14,1,,,,,,,86,5.4
29,,,,,,,,,,,,,,,,,,,,,,,
30,Sebastian Janikowski,OAK,36,K/P,16,0,,,,,,,,,,,28,28,19,22,,85,5.3
31,Jamaal Charles*,KAN,28,RB,15,15,9,5,,,,,,14,,,,,,,,84,5.6
32,Matt Prater,2TM,30,,11,0,,,,,,,,,,,21,21,21,26,,84,7.6
33,Ryan Succop,TEN,28,K,16,0,,,,,,,,,,,27,27,19,22,,84,5.3
34,Josh Scobee,JAX,32,K,16,0,,,,,,,,,,,23,23,20,26,,83,5.2
35,Arian Foster*,HOU,28,RB,13,13,8,5,,,,,,13,,,,,,,,78,6.0
36,Eddie Lacy,GNB,24,RB,16,16,9,4,,,,,,13,,,,,,,,78,4.9
37,DeMarco Murray*+,DAL,26,RB,16,16,13,,,,,,,13,,,,,,,,78,4.9
38,Jordy Nelson*,GNB,29,WR,16,16,,13,,,,,,13,,,,,,,,78,4.9
39,Randall Cobb*,GNB,24,WR,16,16,,12,,,,,,12,1,,,,,,,74,4.6
40,Odell Beckham*,NYG,22,WR,12,11,,12,,,,,,12,,,,,,,,72,6.0
41,Mike Evans,TAM,21,WR,15,15,,12,,,,,,12,,,,,,,,72,4.8
42,Antonio Gates,SDG,34,TE,16,14,,12,,,,,,12,,,,,,,,72,4.5
43,Rob Gronkowski*+,NWE,25,TE,15,10,,12,,,,,,12,,,,,,,,72,4.8
44,Julius Thomas*,DEN,26,TE,13,10,,12,,,,,,12,,,,,,,,72,5.5
45,Brandon McManus,DEN,23,K,15,0,,,,,,,,,,,41,41,9,13,,68,4.5
46,Demaryius Thomas*,DEN,27,WR,16,16,,11,,,,,,11,1,,,,,,,68,4.3
