,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
51,Drew Butler,PIT,23,P,16,0,,,,,,,,,,,,,,,,,77,3374,79,1,43.8
52,Kevin Huber,CIN,27,P,16,0,,,,,,,,,,,,,,,,,76,3540,69,0,46.6
53,Michael Koenen,TAM,30,P,16,0,,,,,,,,,,,,,,,,,76,3440,64,1,45.3
54,Brad Nortman,CAR,23,P,16,0,,,,,,,,,,,,,,,,,76,3267,63,1,43.0
55,Thomas Morstead*,NOR,26,P,16,0,,,,,,,,,,,,,,,,,74,3707,70,0,50.1
56,Brandon Fields,MIA,28,P,16,0,,,,,,,,,,,,,,,,,73,3666,67,0,50.2
57,Pat McAfee,IND,25,P,16,0,,,,,,,,,,,,,,,,,73,3500,64,1,47.9
58,Chris Kluwe,MIN,31,P,16,0,,,,,,,,,,,,,,,,,72,3237,59,0,45.0
59,Brian Moorman,2TM,36,,15,0,,,,,,,,,,,,,,,,,71,3179,66,0,44.8
60,Tim Masthay,GNB,25,P,16,0,,,,,,,,,,,,,,,,,70,3043,65,1,43.5
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Saverio Rocca,WAS,39,P,16,0,,,,,,,,,,,,,,,,,68,2984,61,2,43.9
63,Britton Colquitt,DEN,27,P,16,0,,,,,,,,,,,,,,,,,67,3099,67,0,46.3
64,Nick Harris,DET,34,P,13,0,,,,,,,,,,,,,,,,,67,2783,58,0,41.5
65,Andy Lee+,SFO,30,P,16,0,,,,,,,,,,,,,,,,,67,3226,66,0,48.1
66,Shawn Powell,BUF,24,P,13,0,,,,,,,,,,,,,,,,,65,2860,62,0,44.0
67,Jon Ryan,SEA,31,P,16,0,,,,,,,,,,,,,,,,,65,2963,73,0,45.6
68,Matthew Bosher,ATL,25,K/P,16,0,,,,,,,,,,,,,,,,,60,2847,63,2,47.5
69,Zoltan Mesko,NWE,26,P,16,0,,,,,,,,,,,,,,,,,60,2585,62,1,43.1
70,Steve Weatherford,NYG,30,P,16,0,,,,,,,,,,,,,,,,,58,2757,68,0,47.5
71,Mat McBriar,PHI,33,P,13,0,,,,,,,,,,,,,,,,,55,2560,66,1,46.5
72,Chas Henry,PHI,23,p,3,0,,,,,,,,,,,,,,,,,16,776,62,0,48.5
73,Chris Jones,DAL,23,p,4,0,,,,,,,,,,,,,,,,,12,542,60,1,45.2
74,Ben Graham,DET,39,p,3,0,,,,,,,,,,,,,,,,,6,248,46,0,41.3
75,Ben Roethlisberger,PIT,30,QB,13,13,,,,,,,,,,,,,,,,,1,26,26,0,26.0
