,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,Greg Zuerlein*+,LAR,30,K,14,0,,,,,,,,,,,44,46,38,40,,158,11.3
1,Stephen Gostkowski,NWE,33,K,16,0,,,,,,,,,,,45,47,37,40,,156,9.8
2,Robbie Gould,SFO,35,K,16,0,,,,,,,,,,,28,30,39,41,,145,9.1
3,Chris Boswell*,PIT,26,K,16,0,,,,,,,,,,,37,39,35,38,,142,8.9
4,Harrison Butker,KAN,22,K,13,0,,,,,,,,,,,28,28,38,42,,142,10.9
5,Justin Tucker,BAL,28,K,16,0,,,,,,,,,,,39,39,34,37,,141,8.8
6,Wil Lutz,NOR,23,K,16,0,,,,,,,,,,,47,50,31,36,,140,8.8
7,Matt Bryant,ATL,42,K,16,0,,,,,,,,,,,35,35,34,39,,137,8.6
8,Ryan Succop,TEN,31,K,16,0,,,,,,,,,,,31,33,35,42,,136,8.5
9,Kai Forbath,MIN,30,K,16,0,,,,,,,,,,,34,39,32,38,,130,8.1
10,Matt Prater,DET,33,K,16,0,,,,,,,,,,,40,41,30,35,,130,8.1
11,Graham Gano*,CAR,30,K,16,0,,,,,,,,,,,34,37,29,30,,121,7.6
12,Phil Dawson,ARI,42,K,16,0,,,,,,,,,,,23,26,32,40,,119,7.4
13,Jake Elliott,PHI,22,K,15,0,,,,,,,,,,,39,42,26,31,,117,7.8
14,Stephen Hauschka,BUF,32,K,16,0,,,,,,,,,,,29,29,29,33,,116,7.3
15,Todd Gurley*+,LAR,23,RB,15,15,13,6,,,,,,19,,,,,,,,114,7.6
16,Adam Vinatieri,IND,45,K,15,0,,,,,,,,,,,22,24,29,34,,109,7.3
17,Chandler Catanzaro,NYJ,26,K,16,0,,,,,,,,,,,29,29,25,30,,104,6.5
18,Blair Walsh,SEA,27,K,16,0,,,,,,,,,,,37,38,21,29,,100,6.3
19,Brandon McManus,DEN,26,K,16,0,,,,,,,,,,,27,27,24,32,,99,6.2
20,Ka'imi Fairbairn,HOU,23,K,16,0,,,,,,,,,,,32,35,20,25,,92,5.8
21,Cody Parkey,MIA,25,K,16,0,,,,,,,,,,,26,29,21,23,,89,5.6
22,Alvin Kamara*,NOR,22,fb/rb,16,3,8,5,,1,,,,14,1,,,,,,,86,5.4
23,Randy Bullock,CIN,28,K,15,0,,,,,,,,,,,31,33,18,20,,85,5.7
24,Giorgio Tavecchio,OAK,27,K,16,0,,,,,,,,,,,33,34,16,21,,81,5.1
25,Josh Lambo,JAX,27,K,10,0,,,,,,,,,,,22,24,19,20,,79,7.9
26,Mason Crosby,GNB,33,K,16,0,,,,,,,,,,,33,35,15,19,,78,4.9
27,DeAndre Hopkins*+,HOU,25,WR,15,15,,13,,,,,,13,,,,,,,,78,5.2
28,Patrick Murray,TAM,26,K,12,0,,,,,,,,,,,21,22,19,23,,78,6.5
29,,,,,,,,,,,,,,,,,,,,,,,
30,Aldrick Rosas,NYG,23,K,16,0,,,,,,,,,,,20,23,18,25,,74,4.6
31,Melvin Gordon,LAC,24,RB,16,16,8,4,,,,,,12,,,,,,,,72,4.5
32,Mark Ingram*,NOR,28,RB,16,13,12,,,,,,,12,,,,,,,,72,4.5
33,Dan Bailey,DAL,29,K,12,0,,,,,,,,,,,26,28,15,20,,71,5.9
34,Zane Gonzalez,CLE,22,K,16,0,,,,,,,,,,,25,26,15,20,,70,4.4
35,Le'Veon Bell*+,PIT,25,RB,15,15,9,2,,,,,,11,,,,,,,,66,4.4
36,Kareem Hunt*,KAN,22,RB,16,16,8,3,,,,,,11,,,,,,,,66,4.1
37,Jimmy Graham*,SEA,31,TE,16,13,,10,,,,,,10,1,,,,,,,62,3.9
38,Davante Adams*,GNB,25,WR,14,14,,10,,,,,,10,,,,,,,,60,4.3
39,Leonard Fournette,JAX,22,RB,13,13,9,1,,,,,,10,,,,,,,,60,4.6
40,Dustin Hopkins,WAS,27,K,8,0,,,,,,,,,,,18,19,14,17,,60,7.5
41,Alshon Jeffery,PHI,27,WR,16,16,,9,,,,,,9,3,,,,,,,60,3.8
42,Dion Lewis,NWE,27,RB,16,8,6,3,,1,,,,10,,,,,,,,60,3.8
43,Antonio Brown*+,PIT,29,WR,14,14,,9,,,,,,9,1,,,,,,,56,4.0
44,Nick Rose,2TM,23,,10,0,,,,,,,,,,,23,26,11,14,,56,5.6
45,Nelson Agholor,PHI,24,WR,16,10,,8,,,1,,,9,,,,,,,,54,3.4
46,Ezekiel Elliott,DAL,22,RB,10,10,7,2,,,,,,9,,,,,,,,54,5.4
47,Jordan Howard,CHI,23,RB,16,16,9,,,,,,,9,,,,,,,,54,3.4
