,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
0,,,,,,,,,,,,,,,,,
1,Brandon Tate,CIN,24,,16,0,51,543,1,56,10.6,42,998,0,45,23.8,1541
2,Brandon Banks,WAS,24,,16,0,36,328,0,55,9.1,51,1174,0,47,23.0,1513
3,Leon Washington,SEA,29,rb,16,1,41,464,0,37,11.3,43,1084,0,54,25.2,1844
4,Marc Mariani,TEN,24,,16,0,46,490,1,79,10.7,32,748,0,49,23.4,1266
5,Josh Cribbs,CLE,28,fb/wr,16,7,34,388,1,84,11.4,39,974,0,63,25.0,1905
6,Stefan Logan,DET,30,rb,16,1,37,301,0,28,8.1,33,832,0,42,25.2,1184
7,Darren Sproles,NOR,28,rb,16,4,29,294,1,72,10.1,40,1089,0,92,27.2,2696
8,Ted Ginn,SFO,26,wr,14,3,38,466,1,55,12.3,29,800,1,102,27.6,1554
9,Devin Hester,CHI,29,WR,16,8,28,454,2,82,16.2,33,723,1,98,21.9,1540
10,Randall Cobb,GNB,21,,15,0,26,295,1,80,11.3,34,941,1,108,27.7,1616
11,Antonio Brown*,PIT,23,wr,16,3,30,325,1,60,10.8,27,737,0,52,27.3,2211
12,Eric Weems,ATL,26,wr,16,2,32,315,0,42,9.8,24,563,0,37,23.5,968
13,Javier Arenas,KAN,24,db,15,1,32,410,0,37,12.8,17,362,0,35,21.3,789
14,Jacoby Jones,HOU,27,WR,16,10,49,518,1,79,10.6,,,,,,1047
15,Marcus Sherels,MIN,24,cb/lcb,16,3,33,277,0,53,8.4,16,445,0,78,27.8,722
16,Quan Cosby,DEN,29,,10,0,27,269,0,30,10.0,17,457,0,63,26.9,726
17,Patrick Peterson*+,ARI,21,RCB,16,16,44,699,4,99,15.9,,,,,,698
18,Preston Parker,TAM,24,,16,0,23,210,0,34,9.1,20,439,0,45,22.0,1192
19,Julian Edelman,NWE,25,,13,0,28,296,1,72,10.6,12,284,0,37,23.7,622
20,Joe Lefeged,IND,23,ss,16,1,9,42,0,21,4.7,31,578,0,51,18.6,645
21,Joe McKnight,NYJ,23,,15,0,5,26,0,12,5.2,34,1073,1,107,31.6,1372
22,Davone Bess,MIA,26,fb/wr,16,4,37,442,0,25,11.9,1,0,0,0,0.0,988
23,Clyde Gates,MIA,25,,15,0,3,32,0,17,10.7,34,843,0,77,24.8,898
24,LaRod Stephens-Howling,ARI,24,rb,14,1,,,,,,36,857,0,37,23.8,1258
25,Armanti Edwards,CAR,23,,16,0,32,176,0,17,5.5,3,35,0,17,11.7,216
26,Richard Goodman,SDG,24,,16,0,,,,,,34,936,1,105,27.5,936
27,Lardarius Webb,BAL,26,db/LCB,16,15,30,301,1,68,10.0,2,59,0,37,29.5,441
28,Dion Lewis,PHI,21,,15,0,,,,,,31,669,0,33,21.6,768
29,Dexter McCluster,KAN,22,rb/wr,16,4,6,65,0,22,10.8,25,557,0,35,22.3,1466
30,,,,,,,,,,,,,,,,,
31,Jeremy Kerley,NYJ,23,wr,14,1,29,317,0,53,10.9,1,15,0,15,15.0,674
32,Deji Karim,JAX,25,,12,0,,,,,,27,652,0,37,24.1,902
33,Denarius Moore,OAK,23,WR,13,10,25,216,0,34,8.6,2,37,0,20,18.5,932
34,Quinn Porter,STL,25,,12,0,1,1,0,1,1.0,25,554,0,32,22.2,545
35,Devin Thomas,NYG,25,,16,0,,,,,,25,607,0,40,24.3,644
36,Jerious Norwood,STL,28,,9,0,,,,,,24,611,0,47,25.5,672
37,Dwayne Harris,DAL,24,,7,0,15,80,0,14,5.3,8,231,0,51,28.9,311
38,Kealoha Pilares,CAR,23,,12,0,,,,,,23,590,1,101,25.7,590
39,Patrick Crayton,SDG,32,wr,14,1,22,202,0,31,9.2,,,,,,450
40,Bryan McCann,3TM,24,,12,0,5,42,0,17,8.4,16,440,0,91,27.5,482
41,Sammie Stroughter,TAM,25,,6,0,,,,,,20,540,0,78,27.0,592
42,Danny Woodhead,NWE,26,rb,15,4,,,,,,20,437,0,37,21.9,945
43,Lorenzo Booker,MIN,27,,15,0,,,,,,19,450,0,68,23.7,584
44,C.J. Spiller,BUF,24,RB/wr,16,11,13,127,0,45,9.8,6,143,0,35,23.8,1100
45,Mike Thomas,JAX,24,WR,15,13,19,88,0,28,4.6,,,,,,514
46,Dez Bryant,DAL,23,WR,15,13,15,103,0,20,6.9,3,55,0,26,18.3,1091
47,Antonio Cromartie,NYJ,27,CB,16,16,1,0,0,0,0.0,17,417,0,46,24.5,523
48,DeSean Jackson,PHI,25,WR,15,15,17,114,0,51,6.7,1,7,0,7,7.0,1123
49,Austin Pettis,STL,23,wr,12,3,15,139,0,39,9.3,3,62,0,24,20.7,451
50,David Reed,BAL,24,,11,0,,,,,,18,534,0,77,29.7,550
51,Pierre Garcon,IND,25,WR,16,16,16,44,0,20,2.8,,,,,,1019
52,Percy Harvin,MIN,23,WR,16,14,,,,,,16,520,1,104,32.5,1832
53,Johnny Knox,CHI,25,WR,14,11,1,9,0,9,9.0,15,397,0,56,26.5,1133
54,Nick Miller,2TM,24,,8,0,10,147,1,88,14.7,6,104,0,23,17.3,259
55,Cecil Shorts,JAX,24,,10,0,12,50,0,27,4.2,4,82,0,23,20.5,162
56,Eddie Royal,DEN,25,WR,12,8,12,194,1,85,16.2,3,47,0,20,15.7,444
57,Brad Smith,BUF,28,wr,15,5,,,,,,15,282,0,28,18.8,609
58,DuJuan Harris,JAX,23,,5,0,,,,,,14,308,0,35,22.0,354
59,A.J. Jefferson,ARI,23,lcb,16,7,,,,,,14,356,0,51,25.4,373
60,Aaron Ross,NYG,29,RCB/s,16,15,14,99,0,18,7.1,,,,,,118
61,,,,,,,,,,,,,,,,,
62,Da'Rel Scott,NYG,23,,11,0,,,,,,14,341,0,38,24.4,370
63,Danieal Manning,HOU,29,FS,13,13,,,,,,13,356,0,46,27.4,378
64,Justin Rogers,BUF,23,cb,13,1,,,,,,13,373,0,54,28.7,388
65,Jacoby Ford,OAK,24,wr,8,3,,,,,,11,341,1,101,31.0,651
66,Mike Goodson,CAR,24,,4,0,,,,,,11,250,0,31,22.7,254
67,Leodis McKelvin,BUF,26,lcb/rcb,16,6,8,156,1,80,19.5,2,43,0,22,21.5,220
68,Sherrick McManis,HOU,24,,9,0,,,,,,10,205,0,45,20.5,205
69,Chad Hall,PHI,25,,7,0,7,76,0,30,10.9,2,43,0,24,21.5,152
70,Jim Leonhard,NYJ,29,S,13,13,9,83,0,15,9.2,,,,,,86
71,Akwasi Owusu-Ansah,2TM,23,,7,2,6,47,0,21,7.8,3,56,0,23,18.7,103
72,Matt Willis,DEN,27,,16,0,1,0,0,0,0.0,8,163,0,29,20.4,430
73,Tom Zbikowski,BAL,26,ss,14,4,,,,,,9,209,0,30,23.2,209
74,Will Blackmon,NYG,27,,6,0,6,25,0,16,4.2,2,43,0,32,21.5,68
75,Eric Decker,DEN,24,WR,16,13,6,133,1,90,22.2,2,50,0,34,25.0,796
76,Jerrel Jernigan,NYG,22,,8,0,,,,,,8,186,0,31,23.3,186
