,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DeMarco Murray*+,DAL,26,RB,16,16,64,57,416,7.3,0,34,3.6,26.0,89.1%,6.5,392,1845,13,51,4.7,115.3,24.5,449,5.0,2261,13,6
2,Le'Veon Bell*+,PIT,22,RB,16,16,105,83,854,10.3,3,48,5.2,53.4,79.0%,8.1,290,1361,8,81,4.7,85.1,18.1,373,5.9,2215,11,0
3,Matt Forte,CHI,29,RB,16,16,130,102,808,7.9,4,56,6.4,50.5,78.5%,6.2,266,1038,6,32,3.9,64.9,16.6,368,5.0,1846,10,2
4,Antonio Brown*+,PIT,26,WR,16,16,181,129,1698,13.2,13,63,8.1,106.1,71.3%,9.4,4,13,0,9,3.3,0.8,0.3,133,12.9,1711,13,2
5,Marshawn Lynch*,SEA,28,RB,16,14,48,37,367,9.9,4,39,2.3,22.9,77.1%,7.6,280,1306,13,79,4.7,81.6,17.5,317,5.3,1673,17,4
6,Demaryius Thomas*,DEN,27,WR,16,16,184,111,1619,14.6,11,86,6.9,101.2,60.3%,8.8,,,,,,,,111,14.6,1619,11,0
7,Julio Jones*,ATL,25,WR,15,15,163,104,1593,15.3,6,79,6.9,106.2,63.8%,9.8,1,1,0,1,1.0,0.1,0.1,105,15.2,1594,6,2
8,Arian Foster*,HOU,28,RB,13,13,59,38,327,8.6,5,56,2.9,25.2,64.4%,5.5,260,1246,8,51,4.8,95.8,20.0,298,5.3,1573,13,2
9,Eddie Lacy,GNB,24,RB,16,16,55,42,427,10.2,4,67,2.6,26.7,76.4%,7.8,246,1139,9,44,4.6,71.2,15.4,288,5.4,1566,13,3
10,Justin Forsett*,BAL,29,RB,16,14,59,44,263,6.0,0,26,2.8,16.4,74.6%,4.5,235,1266,8,52,5.4,79.1,14.7,279,5.5,1529,8,2
11,Jordy Nelson*,GNB,29,WR,16,16,151,98,1519,15.5,13,80,6.1,94.9,64.9%,10.1,,,,,,,,98,15.5,1519,13,0
12,LeSean McCoy*,PHI,26,RB,16,16,37,28,155,5.5,0,18,1.8,9.7,75.7%,4.2,312,1319,5,53,4.2,82.4,19.5,340,4.3,1474,5,4
13,Emmanuel Sanders*,DEN,27,WR,16,16,141,101,1404,13.9,9,48,6.3,87.8,71.6%,10.0,8,44,0,13,5.5,2.8,0.5,109,13.3,1448,9,1
14,Lamar Miller,MIA,23,RB,16,16,52,38,275,7.2,1,20,2.4,17.2,73.1%,5.3,216,1099,8,97,5.1,68.7,13.5,254,5.4,1374,9,3
15,T.Y. Hilton*,IND,25,WR,15,15,131,82,1345,16.4,7,73,5.5,89.7,62.6%,10.3,2,20,0,15,10.0,1.3,0.1,84,16.3,1365,7,3
16,Golden Tate*,DET,26,WR,16,16,144,99,1331,13.4,4,73,6.2,83.2,68.8%,9.2,5,30,0,13,6.0,1.9,0.3,104,13.1,1361,4,1
17,Odell Beckham*,NYG,22,WR,12,11,130,91,1305,14.3,12,80,7.6,108.8,70.0%,10.0,7,35,0,13,5.0,2.9,0.6,98,13.7,1340,12,1
18,Jeremy Hill,CIN,22,RB,16,8,32,27,215,8.0,0,38,1.7,13.4,84.4%,6.7,222,1124,9,85,5.1,70.3,13.9,249,5.4,1339,9,5
19,Jamaal Charles*,KAN,28,RB,15,15,59,40,291,7.3,5,30,2.7,19.4,67.8%,4.9,206,1033,9,63,5.0,68.9,13.7,246,5.4,1324,14,5
20,Randall Cobb*,GNB,24,WR,16,16,127,91,1287,14.1,12,70,5.7,80.4,71.7%,10.1,11,37,0,12,3.4,2.3,0.7,102,13.0,1324,12,4
21,Dez Bryant*+,DAL,26,WR,16,16,136,88,1320,15.0,16,68,5.5,82.5,64.7%,9.7,,,,,,,,88,15.0,1320,16,1
22,Jeremy Maclin,PHI,26,WR,16,16,143,85,1318,15.5,10,72,5.3,82.4,59.4%,9.2,,,,,,,,85,15.5,1318,10,0
23,Alfred Morris*,WAS,26,RB,16,16,26,17,155,9.1,0,26,1.1,9.7,65.4%,6.0,265,1074,8,30,4.1,67.1,16.6,282,4.4,1229,8,2
24,Frank Gore,SFO,31,RB,16,16,19,11,111,10.1,1,55,0.7,6.9,57.9%,5.8,255,1106,4,52,4.3,69.1,15.9,266,4.6,1217,5,2
25,DeAndre Hopkins,HOU,22,WR,16,16,127,76,1210,15.9,6,76,4.8,75.6,59.8%,9.5,,,,,,,,76,15.9,1210,6,2
