,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
0,Wes Welker*+,NWE,28,WR,14,13,162,123,75.9%,1348,11.0,4,58,8.3,8.8,96.3,2
1,Steve Smith*,NYG,24,WR,16,15,157,107,68.2%,1220,11.4,7,51,7.8,6.7,76.3,0
2,Andre Johnson*+,HOU,28,WR,16,16,171,101,59.1%,1569,15.5,9,72,9.2,6.3,98.1,1
3,Brandon Marshall*,DEN,25,WR,15,13,154,101,65.6%,1120,11.1,10,75,7.3,6.7,74.7,0
4,Dallas Clark*+,IND,30,TE,16,16,133,100,75.2%,1106,11.1,10,80,8.3,6.3,69.1,1
5,Reggie Wayne*,IND,31,WR,16,16,149,100,67.1%,1264,12.6,10,65,8.5,6.3,79.0,0
6,Larry Fitzgerald*,ARI,26,WR,16,16,153,97,63.4%,1092,11.3,13,34,7.1,6.1,68.3,0
7,Hines Ward,PIT,33,fl/se/WR,16,16,137,95,69.3%,1167,12.3,6,54,8.5,5.9,72.9,2
8,Jason Witten*,DAL,27,TE,16,16,124,94,75.8%,1030,11.0,2,69,8.3,5.9,64.4,0
9,Roddy White*,ATL,28,WR,16,16,165,85,51.5%,1153,13.6,11,90,7.0,5.3,72.1,1
10,Anquan Boldin,ARI,29,WR,15,15,127,84,66.1%,1024,12.2,4,44,8.1,5.6,68.3,3
11,Tony Gonzalez,ATL,33,TE,16,16,134,83,61.9%,867,10.4,6,27,6.5,5.2,54.2,0
12,Randy Moss,NWE,32,WR,16,16,137,83,60.6%,1264,15.2,13,71,9.2,5.2,79.0,2
13,Sidney Rice*,MIN,23,WR,16,14,121,83,68.6%,1312,15.8,8,63,10.8,5.2,82.0,1
14,Miles Austin*,DAL,25,WR,16,9,124,81,65.3%,1320,16.3,11,60,10.6,5.1,82.5,1
15,Antonio Gates*,SDG,29,TE,16,16,114,79,69.3%,1157,14.6,8,56,10.1,4.9,72.3,1
16,Santonio Holmes,PIT,25,fl/se/WR,16,16,138,79,57.2%,1248,15.8,5,57,9.0,4.9,78.0,0
17,T.J. Houshmandzadeh,SEA,32,WR,16,16,135,79,58.5%,911,11.5,3,53,6.7,4.9,56.9,2
18,Vernon Davis*,SFO,25,TE,16,16,128,78,60.9%,965,12.4,13,73,7.5,4.9,60.3,0
19,Ray Rice*,BAL,22,RB,16,15,101,78,77.2%,702,9.0,1,63,7.0,4.9,43.9,3
20,Kellen Winslow,TAM,26,TE,16,14,127,77,60.6%,884,11.5,5,42,7.0,4.8,55.3,0
21,Davone Bess,MIA,24,wr,16,2,113,76,67.3%,758,10.0,2,34,6.7,4.8,47.4,6
22,Brent Celek,PHI,24,TE,16,15,112,76,67.9%,971,12.8,8,47,8.7,4.8,60.7,0
23,Heath Miller*,PIT,27,TE,16,16,98,76,77.6%,789,10.4,6,41,8.1,4.8,49.3,2
24,Derrick Mason,BAL,35,WR,16,16,134,73,54.5%,1028,14.1,7,72,7.7,4.6,64.3,0
25,Chad Johnson*,CIN,31,,16,15,128,72,56.3%,1047,14.5,9,50,8.2,4.5,65.4,2
26,Marques Colston,NOR,26,WR,16,14,107,70,65.4%,1074,15.3,9,68,10.0,4.4,67.1,2
27,Donald Driver,GNB,34,WR,16,16,113,70,61.9%,1061,15.2,6,71,9.4,4.4,66.3,2
28,Santana Moss,WAS,30,WR,16,16,120,70,58.3%,902,12.9,3,59,7.5,4.4,56.4,2
29,,,,,,,,,,,,,,,,,
30,Vincent Jackson*,SDG,26,WR,15,15,108,68,63.0%,1167,17.2,9,55,10.8,4.5,77.8,0
31,Greg Jennings,GNB,26,WR,16,13,119,68,57.1%,1113,16.4,4,83,9.4,4.3,69.6,0
32,Calvin Johnson,DET,24,WR,14,14,137,67,48.9%,984,14.7,5,75,7.2,4.8,70.3,3
33,Zach Miller,OAK,24,TE,15,15,99,66,66.7%,805,12.2,3,86,8.1,4.4,53.7,0
34,Steve Smith,CAR,30,WR,15,15,129,65,50.4%,982,15.1,7,66,7.6,4.3,65.5,1
35,Nate Burleson,SEA,28,WR,13,12,103,63,61.2%,812,12.9,3,44,7.9,4.8,62.5,3
36,Tim Hightower,ARI,23,RB,16,16,80,63,78.8%,428,6.8,0,23,5.4,3.9,26.8,5
37,Mike Sims-Walker,JAX,25,WR,15,14,111,63,56.8%,869,13.8,7,61,7.8,4.2,57.9,2
38,DeSean Jackson*,PHI,23,WR,15,15,117,62,53.0%,1156,18.6,9,71,9.9,4.1,77.1,3
39,Austin Collie,IND,24,wr,16,5,89,60,67.4%,676,11.3,7,39,7.6,3.8,42.3,0
40,Percy Harvin*,MIN,21,WR,15,8,91,60,65.9%,790,13.2,6,51,8.7,4.0,52.7,1
41,Greg Olsen,CHI,24,TE,16,15,108,60,55.6%,612,10.2,8,41,5.7,3.8,38.3,0
42,Jerricho Cotchery,NYJ,27,WR,14,12,96,57,59.4%,821,14.4,3,53,8.6,4.1,58.6,1
43,Matt Forte,CHI,24,RB,16,16,72,57,79.2%,471,8.3,0,37,6.5,3.6,29.4,6
44,Devin Hester,CHI,27,WR,13,12,91,57,62.6%,757,13.3,3,48,8.3,4.4,58.2,3
45,Mario Manningham,NYG,23,WR,14,10,99,57,57.6%,822,14.4,5,49,8.3,4.1,58.7,1
46,Jeremy Maclin,PHI,21,WR,15,13,91,56,61.5%,773,13.8,4,56,8.5,3.7,51.5,0
47,Visanthe Shiancoe,MIN,29,TE,16,13,79,56,70.9%,566,10.1,11,27,7.2,3.5,35.4,0
