,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
48,Bernard Berrian,MIN,29,WR,16,15,92,55,59.8%,618,11.2,4,40,6.7,3.4,38.6,0
49,Steve Breaston,ARI,26,wr,15,6,82,55,67.1%,712,12.9,3,45,8.7,3.7,47.5,2
50,Jermichael Finley,GNB,22,TE,13,10,72,55,76.4%,676,12.3,5,62,9.4,4.2,52.0,1
51,Terrell Owens,BUF,36,WR,16,16,109,55,50.5%,829,15.1,5,98,7.6,3.4,51.8,1
52,Earl Bennett,CHI,22,WR,16,15,88,54,61.4%,717,13.3,2,71,8.1,3.4,44.8,2
53,Jabar Gaffney,DEN,29,wr,16,7,87,54,62.1%,732,13.6,2,49,8.4,3.4,45.8,0
54,Todd Heap,BAL,29,TE,16,16,75,53,70.7%,593,11.2,6,31,7.9,3.3,37.1,1
55,Maurice Jones-Drew*,JAX,24,RB,16,16,71,53,74.6%,374,7.1,1,19,5.3,3.3,23.4,2
56,Muhsin Muhammad,CAR,36,WR,14,13,89,53,59.6%,581,11.0,1,27,6.5,3.8,41.5,0
57,Kevin Walter,HOU,28,WR,14,14,70,53,75.7%,611,11.5,2,41,8.7,3.8,43.6,0
58,Frank Gore*,SFO,26,RB,14,14,75,52,69.3%,406,7.8,3,48,5.4,3.7,29.0,4
59,Josh Morgan,SFO,24,WR,16,15,80,52,65.0%,527,10.1,3,61,6.6,3.3,32.9,0
60,,,,,,,,,,,,,,,,,
61,Joseph Addai,IND,26,RB,15,15,63,51,81.0%,336,6.6,3,25,5.3,3.4,22.4,1
62,Andre Caldwell,CIN,24,wr,16,3,80,51,63.8%,432,8.5,3,24,5.4,3.2,27.0,4
63,John Carlson,SEA,25,TE,16,16,83,51,61.4%,574,11.3,7,42,6.9,3.2,35.9,0
64,Devery Henderson,NOR,27,WR,16,11,83,51,61.4%,804,15.8,2,75,9.7,3.2,50.3,0
65,Torry Holt,JAX,33,WR,15,12,103,51,49.5%,722,14.2,0,63,7.0,3.4,48.1,1
66,Steven Jackson*,STL,26,RB,15,15,75,51,68.0%,322,6.3,0,38,4.3,3.4,21.5,2
67,Greg Camarillo,MIA,27,WR,16,16,72,50,69.4%,552,11.0,0,29,7.7,3.1,34.5,0
68,Michael Jenkins,ATL,27,WR,15,9,90,50,55.6%,635,12.7,1,50,7.1,3.3,42.3,0
69,Chris Johnson*+,TEN,24,RB,16,16,71,50,70.4%,503,10.1,2,69,7.1,3.1,31.4,3
70,Antwaan Randle El,WAS,30,wr,16,3,77,50,64.9%,530,10.6,0,44,6.9,3.1,33.1,4
71,Michael Crabtree,SFO,22,WR,11,11,86,48,55.8%,625,13.0,2,50,7.3,4.4,56.8,1
72,Fred Davis,WAS,23,fb/TE,16,10,76,48,63.2%,509,10.6,6,29,6.7,3.0,31.8,0
73,Jeremy Shockey,NOR,29,TE,13,12,67,48,71.6%,569,11.9,3,66,8.5,3.7,43.8,0
74,Mike Thomas,JAX,22,wr,14,4,62,48,77.4%,453,9.4,1,28,7.3,3.4,32.4,1
75,Donnie Avery,STL,25,WR,16,16,97,47,48.5%,589,12.5,5,50,6.1,2.9,36.8,2
76,Dwayne Bowe,KAN,25,WR,11,9,87,47,54.0%,589,12.5,4,41,6.8,4.3,53.5,1
77,Reggie Bush,NOR,24,rb/wr,14,8,68,47,69.1%,335,7.1,3,29,4.9,3.4,23.9,4
78,Pierre Garcon,IND,23,WR,14,13,92,47,51.1%,765,16.3,4,66,8.3,3.4,54.6,1
79,Hakeem Nicks,NYG,21,wr,14,6,74,47,63.5%,790,16.8,6,68,10.7,3.4,56.4,2
80,Nate Washington,TEN,26,WR,16,15,95,47,49.5%,569,12.1,6,35,6.0,2.9,35.6,1
81,Fred Jackson,BUF,28,RB/wr,16,11,61,46,75.4%,371,8.1,2,21,6.1,2.9,23.2,4
82,Deion Branch,SEA,30,wr,14,5,79,45,57.0%,437,9.7,2,35,5.5,3.2,31.2,0
83,Chris Chambers,2TM,31,,16,14,92,45,48.9%,730,16.2,5,61,7.9,2.8,45.6,0
84,Braylon Edwards,2TM,26,,16,15,95,45,47.4%,680,15.1,4,65,7.2,2.8,42.5,1
85,Malcom Floyd,SDG,28,WR,16,9,76,45,59.2%,776,17.2,1,53,10.2,2.8,48.5,0
86,Dustin Keller,NYJ,25,TE,16,12,82,45,54.9%,522,11.6,2,40,6.4,2.8,32.6,1
87,Johnny Knox*,CHI,23,,15,0,80,45,56.3%,527,11.7,5,68,6.6,3.0,35.1,3
88,Robert Meachem,NOR,25,wr,16,7,64,45,70.3%,722,16.0,9,54,11.3,2.8,45.1,2
89,Bo Scaife,TEN,28,TE,14,10,70,45,64.3%,440,9.8,1,27,6.3,3.2,31.4,1
90,Darren Sproles,SDG,26,rb,16,2,57,45,78.9%,497,11.0,4,81,8.7,2.8,31.1,3
91,,,,,,,,,,,,,,,,,
92,Lee Evans,BUF,28,WR,16,16,96,44,45.8%,612,13.9,7,50,6.4,2.8,38.3,0
93,Steve Slaton,HOU,23,RB,11,10,55,44,80.0%,417,9.5,4,38,7.6,4.0,37.9,7
94,Chester Taylor,MIN,30,,16,0,59,44,74.6%,389,8.8,1,33,6.6,2.8,24.3,2
95,Danny Amendola,STL,24,wr,14,2,63,43,68.3%,326,7.6,1,25,5.2,3.1,23.3,4
96,Laveranues Coles,CIN,32,WR,16,13,77,43,55.8%,514,12.0,5,40,6.7,2.7,32.1,0
97,Adrian Peterson*+,MIN,24,RB,16,15,57,43,75.4%,436,10.1,0,63,7.6,2.7,27.3,7
98,Kevin Boss,NYG,25,TE,15,15,69,42,60.9%,567,13.5,5,35,8.2,2.8,37.8,0
99,Kenny Britt,TEN,21,wr,16,6,75,42,56.0%,701,16.7,3,57,9.3,2.6,43.8,1
100,Jason Avant,PHI,26,WR,16,9,58,41,70.7%,587,14.3,3,58,10.1,2.6,36.7,1
101,Justin Forsett,SEA,24,rb,16,2,57,41,71.9%,350,8.5,1,47,6.1,2.6,21.9,4
102,Kevin Smith,DET,23,RB,13,13,57,41,71.9%,415,10.1,1,63,7.3,3.2,31.9,3
103,Jamaal Charles,KAN,23,RB,15,10,55,40,72.7%,297,7.4,1,49,5.4,2.7,19.8,4
104,Owen Daniels,HOU,27,TE,8,8,58,40,69.0%,519,13.0,5,44,8.9,5.0,64.9,1
105,LeSean McCoy,PHI,21,rb,16,4,55,40,72.7%,308,7.7,0,45,5.6,2.5,19.3,2
106,Antonio Bryant,TAM,28,WR,13,11,86,39,45.3%,600,15.4,4,42,7.0,3.0,46.2,0
107,Pierre Thomas,NOR,25,rb,14,6,45,39,86.7%,302,7.7,2,36,6.7,2.8,21.6,2
108,Mike Wallace,PIT,23,wr,16,4,72,39,54.2%,756,19.4,6,60,10.5,2.4,47.3,1
109,David Anderson,HOU,26,WR,16,8,53,38,71.7%,370,9.7,0,27,7.0,2.4,23.1,0
110,Ted Ginn,MIA,24,WR,16,12,78,38,48.7%,454,11.9,1,53,5.8,2.4,28.4,2
111,Roy Williams,DAL,28,WR,15,13,86,38,44.2%,596,15.7,7,66,6.9,2.5,39.7,1
112,Patrick Crayton,DAL,30,wr,16,6,67,37,55.2%,622,16.8,5,80,9.3,2.3,38.9,4
113,Julian Edelman,NWE,23,wr,11,7,54,37,68.5%,359,9.7,1,29,6.6,3.4,32.6,1
114,Kevin Faulk,NWE,33,rb,15,7,53,37,69.8%,301,8.1,1,38,5.7,2.5,20.1,1
115,Donald Lee,GNB,29,TE,16,10,54,37,68.5%,260,7.0,1,19,4.8,2.3,16.3,0
116,Eddie Royal,DEN,23,WR,14,12,79,37,46.8%,345,9.3,0,20,4.4,2.6,24.6,1
117,Bobby Wade,KAN,28,wr,12,6,74,36,48.6%,367,10.2,2,25,5.0,3.0,30.6,3
118,Bryant Johnson,DET,28,WR,16,16,87,35,40.2%,417,11.9,3,36,4.8,2.2,26.1,0
119,Julius Jones,SEA,28,RB,14,14,43,35,81.4%,232,6.6,2,49,5.4,2.5,16.6,0
120,Dennis Northcutt,DET,32,wr,16,2,63,35,55.6%,357,10.2,1,47,5.7,2.2,22.3,2
121,David Thomas,NOR,26,fb/te,15,8,48,35,72.9%,356,10.2,1,37,7.4,2.3,23.7,0
122,,,,,,,,,,,,,,,,,
123,Ricky Williams,MIA,32,rb,16,7,53,35,66.0%,264,7.5,2,59,5.0,2.2,16.5,5
124,Mark Clayton,BAL,27,wr,14,12,74,34,45.9%,480,14.1,2,54,6.5,2.4,34.3,1
125,Brandon Gibson,2TM,22,,10,4,69,34,49.3%,348,10.2,1,23,5.0,3.4,34.8,2
126,Jerome Harrison,CLE,26,rb,14,7,50,34,68.0%,220,6.5,2,18,4.4,2.4,15.7,2
127,Mohamed Massaquoi,CLE,23,WR,16,11,95,34,35.8%,624,18.4,3,59,6.6,2.1,39.0,1
128,Randy McMichael,STL,30,TE,16,16,62,34,54.8%,332,9.8,1,35,5.4,2.1,20.8,0
129,Louis Murphy,OAK,22,WR,16,9,96,34,35.4%,521,15.3,4,75,5.4,2.1,32.6,0
130,Kelley Washington,BAL,30,wr,15,2,48,34,70.8%,431,12.7,2,28,9.0,2.3,28.7,0
131,James Jones,GNB,25,wr,16,3,62,32,51.6%,440,13.8,5,74,7.1,2.0,27.5,0
132,Marcedes Lewis,JAX,25,TE,15,15,59,32,54.2%,518,16.2,2,47,8.8,2.1,34.5,1
133,Correll Buckhalter,DEN,31,rb,14,7,38,31,81.6%,240,7.7,0,30,6.3,2.2,17.1,3
134,Anthony Fasano,MIA,25,TE,14,14,53,31,58.5%,339,10.9,2,27,6.4,2.2,24.2,2
135,Brian Hartline,MIA,23,wr,16,2,56,31,55.4%,506,16.3,3,67,9.0,1.9,31.6,0
136,Tony Scheffler,DEN,26,TE,15,9,50,31,62.0%,416,13.4,2,52,8.3,2.1,27.7,0
137,Sammie Stroughter,TAM,23,,13,0,60,31,51.7%,334,10.8,1,35,5.6,2.4,25.7,0
138,Brian Leonard,CIN,25,rb,14,1,35,30,85.7%,217,7.2,0,18,6.2,2.1,15.5,1
139,Brandon Pettigrew,DET,24,fb/TE,11,11,54,30,55.6%,346,11.5,2,30,6.4,2.7,31.5,1
140,Jason Snelling,ATL,26,rb,14,2,39,30,76.9%,259,8.6,1,38,6.6,2.1,18.5,2
141,Chansi Stuckey,2TM,26,,15,3,66,30,45.5%,318,10.6,2,40,4.8,2.0,21.2,0
142,Chris Cooley,WAS,27,te,7,7,45,29,64.4%,332,11.4,2,25,7.4,4.1,47.4,1
143,Will Heller,DET,28,fb/TE,16,9,50,29,58.0%,296,10.2,3,24,5.9,1.8,18.5,0
144,Chaz Schilens,OAK,24,WR,8,8,52,29,55.8%,365,12.6,2,25,7.0,3.6,45.6,0
145,Ben Watson,NWE,29,te,16,7,41,29,70.7%,404,13.9,5,36,9.9,1.8,25.3,0
146,DeAngelo Williams*,CAR,26,RB,13,13,41,29,70.7%,252,8.7,0,30,6.1,2.2,19.4,3
147,Justin Gage,TEN,28,WR,12,10,67,28,41.8%,383,13.7,3,49,5.7,2.3,31.9,0
148,Daniel Graham,DEN,31,TE,16,14,43,28,65.1%,289,10.3,1,24,6.7,1.8,18.1,0
149,Marshawn Lynch,BUF,23,rb,13,6,37,28,75.7%,179,6.4,0,35,4.8,2.2,13.8,3
150,Knowshon Moreno,DEN,22,RB,16,9,41,28,68.3%,213,7.6,2,27,5.2,1.8,13.3,4
151,Cadillac Williams,TAM,27,RB,16,15,39,28,71.8%,217,7.8,3,22,5.6,1.8,13.6,1
152,Rock Cartwright,WAS,30,rb,16,2,32,27,84.4%,242,9.0,1,51,7.6,1.7,15.1,0
153,,,,,,,,,,,,,,,,,
154,Alge Crumpler,TEN,32,TE,16,14,37,27,73.0%,222,8.2,1,27,6.0,1.7,13.9,1
155,J.P. Foschi,CIN,27,TE,15,10,37,27,73.0%,260,9.6,2,27,7.0,1.8,17.3,1
156,Jacoby Jones,HOU,25,wr,14,1,40,27,67.5%,437,16.2,6,45,10.9,1.9,31.2,2
157,Josh Reed,BUF,29,wr,14,4,45,27,60.0%,291,10.8,1,29,6.5,1.9,20.8,3
158,Marion Barber,DAL,26,RB,15,15,36,26,72.2%,221,8.5,0,42,6.1,1.7,14.7,2
159,Joel Dreessen,HOU,27,TE,16,11,39,26,66.7%,320,12.3,1,25,8.2,1.6,20.0,0
160,Maurice Morris,DET,30,rb,14,3,38,26,68.4%,210,8.1,0,19,5.5,1.9,15.0,1
161,Dante Rosario,CAR,25,TE,14,8,48,26,54.2%,313,12.0,2,26,6.5,1.9,22.4,0
162,Keenan Burton,STL,25,wr,9,6,45,25,55.6%,253,10.1,0,25,5.6,2.8,28.1,0
163,Ryan Grant,GNB,27,RB,16,16,30,25,83.3%,197,7.9,0,27,6.6,1.6,12.3,1
164,Malcolm Kelly,WAS,23,WR,16,10,41,25,61.0%,347,13.9,0,84,8.5,1.6,21.7,0
165,Jeff King,CAR,26,TE,16,15,33,25,75.8%,200,8.0,3,32,6.1,1.6,12.5,1
166,Rashard Mendenhall,PIT,22,RB,16,12,32,25,78.1%,261,10.4,1,26,8.2,1.6,16.3,3
167,Devin Thomas,WAS,23,WR,14,10,47,25,53.2%,325,13.0,3,40,6.9,1.8,23.2,0
168,Brian Westbrook,PHI,30,rb,8,7,34,25,73.5%,181,7.2,1,34,5.3,3.1,22.6,0
169,Devin Aromashodu,CHI,25,wr,10,2,43,24,55.8%,298,12.4,4,39,6.9,2.4,29.8,0
170,Mark Bradley,KAN,27,wr,13,6,57,24,42.1%,320,13.3,2,50,5.6,1.8,24.6,0
171,Legedu Naanee,SDG,26,wr,15,1,29,24,82.8%,242,10.1,2,23,8.3,1.6,16.1,0
172,Maurice Stovall,TAM,24,wr,15,7,47,24,51.1%,366,15.3,1,38,7.8,1.6,24.4,0
173,Mike Furrey,CLE,32,s/wr,16,4,39,23,59.0%,170,7.4,0,22,4.4,1.4,10.6,0
174,Jordy Nelson,GNB,24,,13,0,31,22,71.0%,320,14.5,2,51,10.3,1.7,24.6,3
175,Ahmad Bradshaw,NYG,23,rb,15,1,30,21,70.0%,207,9.9,0,55,6.9,1.4,13.8,3
176,Isaac Bruce,SFO,37,wr,10,7,49,21,42.9%,264,12.6,0,50,5.4,2.1,26.4,0
177,Daniel Fells,STL,26,fb/te,14,4,35,21,60.0%,273,13.0,3,36,7.8,1.5,19.5,1
178,Brandon Jackson,GNB,24,,12,0,26,21,80.8%,187,8.9,1,17,7.2,1.8,15.6,1
179,Le'Ron McClain*,BAL,25,FB,16,14,27,21,77.8%,141,6.7,0,19,5.2,1.3,8.8,0
180,Darren McFadden,OAK,22,rb,12,7,36,21,58.3%,245,11.7,0,48,6.8,1.8,20.4,5
181,Zach Miller,JAX,25,,14,0,27,21,77.8%,212,10.1,2,62,7.9,1.5,15.1,0
182,Mewelde Moore,PIT,27,,16,0,31,21,67.7%,153,7.3,2,19,4.9,1.3,9.6,0
183,Delanie Walker,SFO,25,TE,16,8,33,21,63.6%,233,11.1,0,39,7.1,1.3,14.6,2
184,,,,,,,,,,,,,,,,,
185,Sam Aiken,NWE,29,wr,14,7,41,20,48.8%,326,16.3,2,81,8.0,1.4,23.3,0
186,Josh Cribbs*+,CLE,26,WR,16,12,37,20,54.1%,135,6.8,1,35,3.6,1.3,8.4,6
187,Lex Hilliard,MIA,25,,16,0,20,20,100.0%,158,7.9,2,18,7.9,1.3,9.9,0
188,Vonta Leach,HOU,28,fb/rb,16,4,26,20,76.9%,155,7.8,1,26,6.0,1.3,9.7,0
189,Lance Long,2TM,24,,8,1,38,20,52.6%,178,8.9,0,30,4.7,2.5,22.3,1
190,Leonard Pope,KAN,26,TE,13,8,30,20,66.7%,174,8.7,1,29,5.8,1.5,13.4,0
191,LaDainian Tomlinson,SDG,30,RB,14,14,30,20,66.7%,154,7.7,0,36,5.1,1.4,11.0,2
192,Derrick Ward,TAM,29,rb,14,1,24,20,83.3%,150,7.5,2,38,6.3,1.4,10.7,0
193,Desmond Clark,CHI,32,te,11,7,34,19,55.9%,145,7.6,2,26,4.3,1.7,13.2,0
194,Justin Griffith,SEA,29,FB,13,11,26,19,73.1%,118,6.2,1,25,4.5,1.5,9.1,1
195,Joey Haynos,MIA,25,TE,16,8,37,19,51.4%,162,8.5,2,21,4.4,1.2,10.1,1
196,Johnnie Lee Higgins,OAK,26,wr,15,5,45,19,42.2%,263,13.8,0,33,5.8,1.3,17.5,4
197,Felix Jones,DAL,22,rb,14,1,22,19,86.4%,119,6.3,0,30,5.4,1.4,8.5,3
198,Sammy Morris,NWE,32,rb,12,5,27,19,70.4%,180,9.5,0,35,6.7,1.6,15.0,2
199,Jerious Norwood,ATL,26,rb,10,4,22,19,86.4%,186,9.8,1,38,8.5,1.9,18.6,1
200,Brandon Stokley,DEN,33,wr,16,2,33,19,57.6%,327,17.2,4,87,9.9,1.2,20.4,0
201,Kenneth Darby,STL,27,rb,16,1,24,18,75.0%,96,5.3,0,13,4.0,1.1,6.0,0
202,Casey Fitzsimmons,DET,29,wr,12,1,27,18,66.7%,128,7.1,0,12,4.7,1.5,10.7,1
203,Brandon Jacobs,NYG,27,RB,15,15,31,18,58.1%,184,10.2,1,74,5.9,1.2,12.3,2
204,Jonathan Stewart,CAR,22,rb,16,3,26,18,69.2%,139,7.7,1,19,5.3,1.1,8.7,3
205,Jerheme Urban,ARI,29,,10,0,29,18,62.1%,186,10.3,0,40,6.4,1.8,18.6,0
206,Cedric Benson,CIN,27,RB,13,13,24,17,70.8%,111,6.5,0,19,4.6,1.3,8.5,1
207,Ladell Betts,WAS,30,rb,10,2,21,17,81.0%,179,10.5,0,25,8.5,1.7,17.9,0
208,Michael Bush,OAK,25,rb,16,7,19,17,89.5%,105,6.2,0,17,5.5,1.1,6.6,2
209,Early Doucet,ARI,24,,9,0,24,17,70.8%,214,12.6,1,29,8.9,1.9,23.8,0
210,Justin Fargas,OAK,29,rb,12,4,21,17,81.0%,113,6.6,0,14,5.4,1.4,9.4,1
211,Dwayne Jarrett,CAR,23,wr,13,2,31,17,54.8%,196,11.5,1,30,6.3,1.3,15.1,0
212,Shawn Nelson,BUF,24,TE,12,12,29,17,58.6%,156,9.2,1,25,5.4,1.4,13.0,2
213,Mike Sellers,WAS,34,fb,15,7,26,17,65.4%,176,10.4,2,47,6.8,1.1,11.7,1
214,Mike Tolbert,SDG,24,fb,16,3,22,17,77.3%,192,11.3,3,66,8.7,1.1,12.0,1
215,,,,,,,,,,,,,,,,,
216,Marty Booker,ATL,33,wr,16,1,31,16,51.6%,181,11.3,1,27,5.8,1.0,11.3,0
217,Chris Brown,HOU,28,rb,14,4,21,16,76.2%,74,4.6,0,12,3.5,1.1,5.3,1
218,Michael Clayton,TAM,27,WR,13,11,48,16,33.3%,230,14.4,1,47,4.8,1.2,17.7,0
219,Daniel Coats,CIN,25,TE,16,11,31,16,51.6%,150,9.4,0,23,4.8,1.0,9.4,2
220,Rashad Jennings,JAX,24,,15,0,18,16,88.9%,101,6.3,0,14,5.6,1.1,6.7,0
221,Martellus Bennett,DAL,22,te,14,6,30,15,50.0%,159,10.6,0,21,5.3,1.1,11.4,0
222,Deon Butler,SEA,23,,16,0,42,15,35.7%,175,11.7,0,32,4.2,0.9,10.9,0
223,Tashard Choice,DAL,25,,16,0,22,15,68.2%,132,8.8,0,28,6.0,0.9,8.3,0
224,Domenik Hixon,NYG,25,wr,14,2,28,15,53.6%,187,12.5,1,61,6.7,1.1,13.4,3
225,Larry Johnson,2TM,30,,14,7,21,15,71.4%,80,5.3,0,22,3.8,1.1,5.7,2
226,Willis McGahee,BAL,28,rb,16,1,22,15,68.2%,85,5.7,2,14,3.9,0.9,5.3,1
227,Jerramy Stevens,TAM,30,TE,16,8,32,15,46.9%,130,8.7,1,17,4.1,0.9,8.1,0
228,Leon Washington,NYJ,27,,7,0,26,15,57.7%,131,8.7,0,33,5.0,2.1,18.7,1
229,Leonard Weaver*+,PHI,27,fb,16,8,26,15,57.7%,140,9.3,2,59,5.4,0.9,8.8,0
230,Chris Baker,NWE,30,te,16,7,19,14,73.7%,142,10.1,2,36,7.5,0.9,8.9,0
231,Ronnie Brown,MIA,28,RB,9,9,20,14,70.0%,98,7.0,0,27,4.9,1.6,10.9,1
232,David Clowney,NYJ,24,wr,13,3,22,14,63.6%,191,13.6,1,53,8.7,1.1,14.7,1
233,Earnest Graham,TAM,29,fb,13,6,22,14,63.6%,109,7.8,0,16,5.0,1.1,8.4,0
234,Laurence Maroney,NWE,24,rb,15,5,18,14,77.8%,99,7.1,0,17,5.5,0.9,6.6,4
235,Lance Moore,NOR,26,,7,0,19,14,73.7%,153,10.9,2,22,8.1,2.0,21.9,0
236,Sean Ryan,KAN,29,TE,10,8,27,14,51.9%,135,9.6,2,43,5.0,1.4,13.5,0
237,Jerome Felton,DET,23,FB,13,8,17,13,76.5%,133,10.2,0,27,7.8,1.0,10.2,0
238,Ryan Moats,HOU,27,rb,14,2,15,13,86.7%,106,8.2,1,20,7.1,0.9,7.6,3
239,Laurent Robinson,STL,24,wr,3,3,23,13,56.5%,167,12.8,1,45,7.3,4.3,55.7,0
240,Gary Barnidge,CAR,24,te,16,3,21,12,57.1%,242,20.2,0,55,11.5,0.8,15.1,1
241,Ahmard Hall,TEN,30,fb,16,7,16,12,75.0%,79,6.6,0,15,4.9,0.8,4.9,2
242,Chris Henry,CIN,26,,8,0,23,12,52.2%,236,19.7,2,73,10.3,1.5,29.5,0
243,Evan Moore,CLE,24,,5,0,23,12,52.2%,158,13.2,0,24,6.9,2.4,31.6,0
244,Ben Patrick,ARI,25,te,9,7,16,12,75.0%,146,12.2,2,28,9.1,1.3,16.2,0
245,Justin Peelle,ATL,30,fb/te,15,8,15,12,80.0%,115,9.6,2,32,7.7,0.8,7.7,0
246,,,,,,,,,,,,,,,,,
247,Gary Russell,OAK,23,fb,12,4,15,12,80.0%,96,8.0,0,20,6.4,1.0,8.0,1
248,Beanie Wells,ARI,21,,16,0,16,12,75.0%,143,11.9,0,25,8.9,0.8,8.9,4
249,Donald Brown,IND,22,rb,11,1,14,11,78.6%,169,15.4,0,72,12.1,1.0,15.4,1
