,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
21,LaDainian Tomlinson,NYJ,31,RB,15,13,79,52,368,7.1,0,21,3.5,24.5,65.8%,4.7,219,914,6,31,4.2,60.9,14.6,271,4.7,1282,6,3
22,Greg Jennings*,GNB,27,WR,16,16,125,76,1265,16.6,12,86,4.8,79.1,60.8%,10.1,1,-1,0,-1,-1.0,-0.1,0.1,77,16.4,1264,12,2
23,Felix Jones,DAL,23,rb,16,7,52,48,450,9.4,1,71,3.0,28.1,92.3%,8.7,185,800,1,34,4.3,50.0,11.6,233,5.4,1250,2,2
24,Andre Johnson*,HOU,29,WR,13,13,138,86,1216,14.1,8,60,6.6,93.5,62.3%,8.8,2,10,0,7,5.0,0.8,0.2,88,13.9,1226,8,1
25,Dwayne Bowe*,KAN,26,WR,16,16,133,72,1162,16.1,15,75,4.5,72.6,54.1%,8.7,1,4,0,4,4.0,0.3,0.1,73,16.0,1166,15,1
26,DeSean Jackson*,PHI,24,WR,14,14,95,47,1056,22.5,6,91,3.4,75.4,49.5%,11.1,16,104,1,31,6.5,7.4,1.1,63,18.4,1160,7,4
27,Calvin Johnson*,DET,25,WR,15,15,137,77,1120,14.5,12,87,5.1,74.7,56.2%,8.2,4,32,0,15,8.0,2.1,0.3,81,14.2,1152,12,1
28,Knowshon Moreno,DEN,23,RB,13,13,48,37,372,10.1,3,45,2.8,28.6,77.1%,7.8,182,779,5,35,4.3,59.9,14.0,219,5.3,1151,8,3
29,Fred Jackson,BUF,29,RB,16,13,54,31,215,6.9,2,65,1.9,13.4,57.4%,4.0,222,927,5,39,4.2,57.9,13.9,253,4.5,1142,7,5
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Larry Fitzgerald*,ARI,27,WR,16,15,173,90,1137,12.6,6,41,5.6,71.1,52.0%,6.6,,,,,,,,90,12.6,1137,6,0
32,Miles Austin*,DAL,26,WR,16,16,119,69,1041,15.1,7,69,4.3,65.1,58.0%,8.7,7,93,1,60,13.3,5.8,0.4,76,14.9,1134,8,1
33,Santana Moss,WAS,31,WR,16,16,145,93,1115,12.0,6,56,5.8,69.7,64.1%,7.7,5,-6,0,7,-1.2,-0.4,0.3,98,11.3,1109,6,3
34,BenJarvus Green-Ellis,NWE,25,RB,16,11,16,12,85,7.1,0,16,0.8,5.3,75.0%,5.3,229,1008,13,33,4.4,63.0,14.3,241,4.5,1093,13,0
35,Steve Johnson,BUF,24,WR,16,13,141,82,1073,13.1,10,45,5.1,67.1,58.2%,7.6,,,,,,,,82,13.1,1073,10,1
36,Hakeem Nicks,NYG,22,WR,13,12,128,79,1052,13.3,11,46,6.1,80.9,61.7%,8.2,,,,,,,,79,13.3,1052,11,1
37,Brandon Jackson,GNB,25,RB,16,13,50,43,342,8.0,1,37,2.7,21.4,86.0%,6.8,190,703,3,71,3.7,43.9,11.9,233,4.5,1045,4,1
38,Jahvid Best,DET,21,RB,16,9,80,58,487,8.4,2,75,3.6,30.4,72.5%,6.1,171,555,4,45,3.2,34.7,10.7,229,4.6,1042,6,1
39,Marques Colston,NOR,27,WR,15,11,131,84,1023,12.2,7,43,5.6,68.2,64.1%,7.8,1,1,0,1,1.0,0.1,0.1,85,12.0,1024,7,0
40,LeGarrette Blount,TAM,24,rb,13,7,7,5,14,2.8,0,7,0.4,1.1,71.4%,2.0,201,1007,6,53,5.0,77.5,15.5,206,5.0,1021,6,4
41,Thomas Jones,KAN,32,RB,16,10,20,14,122,8.7,0,20,0.9,7.6,70.0%,6.1,245,896,6,70,3.7,56.0,15.3,259,3.9,1018,6,3
42,Brandon Marshall,MIA,26,WR,14,14,146,86,1014,11.8,3,46,6.1,72.4,58.9%,6.9,2,3,0,4,1.5,0.2,0.1,88,11.6,1017,3,2
43,Jason Witten*+,DAL,28,TE,16,16,128,94,1002,10.7,9,33,5.9,62.6,73.4%,7.8,,,,,,,,94,10.7,1002,9,1
44,Jeremy Maclin,PHI,22,WR,16,16,115,70,964,13.8,10,83,4.4,60.3,60.9%,8.4,3,36,0,14,12.0,2.3,0.2,73,13.7,1000,10,1
45,Terrell Owens,CIN,37,WR,14,11,139,72,983,13.7,9,78,5.1,70.2,51.8%,7.1,,,,,,,,72,13.7,983,9,0
46,Ronnie Brown,MIA,29,RB,16,16,43,33,242,7.3,0,24,2.1,15.1,76.7%,5.6,200,734,5,51,3.7,45.9,12.5,233,4.2,976,5,3
47,Percy Harvin,MIN,22,WR,14,13,109,71,868,12.2,5,53,5.1,62.0,65.1%,8.0,18,107,1,17,5.9,7.6,1.3,89,11.0,975,6,1
48,Mike Williams,TAM,23,WR,16,16,129,65,964,14.8,11,58,4.1,60.3,50.4%,7.5,,,,,,,,65,14.8,964,11,3
49,Johnny Knox,CHI,24,WR,16,16,100,51,960,18.8,5,67,3.2,60.0,51.0%,9.6,1,2,0,2,2.0,0.1,0.1,52,18.5,962,5,1
50,Mike Tolbert,SDG,25,rb,15,4,29,25,216,8.6,0,28,1.7,14.4,86.2%,7.4,182,735,11,36,4.0,49.0,12.1,207,4.6,951,11,5
51,Mario Manningham,NYG,24,WR,16,8,93,60,944,15.7,9,92,3.8,59.0,64.5%,10.2,1,2,0,2,2.0,0.1,0.1,61,15.5,946,9,1
52,Mike Thomas,JAX,23,WR,16,11,102,66,820,12.4,4,50,4.1,51.3,64.7%,8.0,12,114,0,33,9.5,7.1,0.8,78,12.0,934,4,3
53,Danny Woodhead,2TM,25,,15,3,44,34,379,11.1,1,50,2.3,25.3,77.3%,8.6,97,547,5,36,5.6,36.5,6.5,131,7.1,926,6,1
54,Vernon Davis,SFO,26,TE,16,16,93,56,914,16.3,7,66,3.5,57.1,60.2%,9.8,,,,,,,,56,16.3,914,7,0
55,Braylon Edwards,NYJ,27,WR,16,15,101,53,904,17.1,7,74,3.3,56.5,52.5%,9.0,1,4,0,4,4.0,0.3,0.1,54,16.8,908,7,1
56,Shonn Greene,NYJ,25,rb,15,2,24,16,120,7.5,0,15,1.1,8.0,66.7%,5.0,185,766,2,23,4.1,51.1,12.3,201,4.4,886,2,3
57,Brandon Jacobs,NYG,28,rb,16,5,13,7,59,8.4,0,22,0.4,3.7,53.8%,4.5,147,823,9,73,5.6,51.4,9.2,154,5.7,882,9,2
58,Marshawn Lynch,2TM,24,,16,14,26,22,145,6.6,0,22,1.4,9.1,84.6%,5.6,202,737,6,39,3.6,46.1,12.6,224,3.9,882,6,4
59,Jabar Gaffney,DEN,30,WR,16,11,112,65,875,13.5,2,50,4.1,54.7,58.0%,7.8,,,,,,,,65,13.5,875,2,1
60,Jonathan Stewart,CAR,23,rb,14,7,14,8,103,12.9,1,55,0.6,7.4,57.1%,7.4,178,770,2,48,4.3,55.0,12.7,186,4.7,873,3,4
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Tim Hightower,ARI,24,RB,16,13,42,21,136,6.5,0,20,1.3,8.5,50.0%,3.2,153,736,5,80,4.8,46.0,9.6,174,5.0,872,5,5
63,Anthony Armstrong,WAS,27,WR,15,11,86,44,871,19.8,3,76,2.9,58.1,51.2%,10.1,,,,,,,,44,19.8,871,3,1
64,Ryan Torain,WAS,24,RB,10,8,27,18,125,6.9,2,20,1.8,12.5,66.7%,4.6,164,742,4,54,4.5,74.2,16.4,182,4.8,867,6,2
65,Michael Bush,OAK,26,rb,14,3,24,18,194,10.8,0,55,1.3,13.9,75.0%,8.1,158,655,8,30,4.1,46.8,11.3,176,4.8,849,8,0
66,Chris Cooley,WAS,28,TE,16,16,126,77,849,11.0,3,35,4.8,53.1,61.1%,6.7,,,,,,,,77,11.0,849,3,3
67,Wes Welker*,NWE,29,k/WR,15,11,123,86,848,9.9,7,35,5.7,56.5,69.9%,6.9,,,,,,,,86,9.9,848,7,1
68,Anquan Boldin,BAL,30,WR,16,16,109,64,837,13.1,7,61,4.0,52.3,58.7%,7.7,2,2,0,3,1.0,0.1,0.1,66,12.7,839,7,1
69,Chad Johnson,CIN,32,,14,12,126,67,831,12.4,4,42,4.8,59.4,53.2%,6.6,,,,,,,,67,12.4,831,4,0
70,Ryan Mathews,SDG,23,RB,12,9,26,22,145,6.6,0,17,1.8,12.1,84.6%,5.6,158,678,7,31,4.3,56.5,13.2,180,4.6,823,7,5
71,Deion Branch,2TM,31,,15,12,92,61,818,13.4,6,79,4.1,54.5,66.3%,8.9,,,,,,,,61,13.4,818,6,1
72,Davone Bess,MIA,25,WR,16,8,125,79,820,10.4,5,29,4.9,51.3,63.2%,6.6,2,-3,0,0,-1.5,-0.2,0.1,81,10.1,817,5,3
73,Ricky Williams,MIA,33,,16,0,30,19,141,7.4,1,28,1.2,8.8,63.3%,4.7,159,673,2,45,4.2,42.1,9.9,178,4.6,814,3,4
74,Derrick Mason,BAL,36,WR,16,15,100,61,802,13.1,7,42,3.8,50.1,61.0%,8.0,,,,,,,,61,13.1,802,7,0
75,Cadillac Williams,TAM,28,RB,16,9,64,46,355,7.7,1,20,2.9,22.2,71.9%,5.5,125,437,2,45,3.5,27.3,7.8,171,4.6,792,3,1
76,Pierre Garcon,IND,24,WR,14,14,119,67,784,11.7,6,57,4.8,56.0,56.3%,6.6,2,6,0,11,3.0,0.4,0.1,69,11.4,790,6,0
77,Darren Sproles,SDG,27,rb,16,3,75,59,520,8.8,2,57,3.7,32.5,78.7%,6.9,50,267,0,34,5.3,16.7,3.1,109,7.2,787,2,3
78,Antonio Gates*,SDG,30,TE,10,10,65,50,782,15.6,10,48,5.0,78.2,76.9%,12.0,,,,,,,,50,15.6,782,10,0
79,Kenny Britt,TEN,22,wr,12,7,73,42,775,18.5,9,80,3.5,64.6,57.5%,10.6,,,,,,,,42,18.5,775,9,1
80,Justin Forsett,SEA,25,rb,16,5,51,33,252,7.6,0,21,2.1,15.8,64.7%,4.9,118,523,2,32,4.4,32.7,7.4,151,5.1,775,2,0
81,Danny Amendola,STL,25,wr,16,6,123,85,689,8.1,3,36,5.3,43.1,69.1%,5.6,7,81,0,30,11.6,5.1,0.4,92,8.4,770,3,2
82,Santonio Holmes,NYJ,26,WR,12,10,96,52,746,14.3,6,52,4.3,62.2,54.2%,7.8,2,17,0,14,8.5,1.4,0.2,54,14.1,763,6,2
83,Lance Moore,NOR,27,wr,16,1,94,66,763,11.6,8,80,4.1,47.7,70.2%,8.1,,,,,,,,66,11.6,763,8,2
84,Mike Goodson,CAR,23,rb,16,3,57,40,310,7.8,0,32,2.5,19.4,70.2%,5.4,103,452,3,45,4.4,28.3,6.4,143,5.3,762,3,5
85,Ben Watson,CLE,30,TE,16,16,102,68,763,11.2,3,44,4.3,47.7,66.7%,7.5,1,-1,0,-1,-1.0,-0.1,0.1,69,11.0,762,3,0
86,Steve Breaston,ARI,27,WR,13,11,87,47,718,15.3,1,37,3.6,55.2,54.0%,8.3,3,35,0,17,11.7,2.7,0.2,50,15.1,753,1,0
87,Hines Ward,PIT,34,WR,16,15,95,59,755,12.8,5,43,3.7,47.2,62.1%,7.9,1,-2,0,-2,-2.0,-0.1,0.1,60,12.6,753,5,1
88,Mike Williams,SEA,26,WR,14,13,110,65,751,11.6,2,68,4.6,53.6,59.1%,6.8,1,0,0,0,0.0,0.0,0.1,66,11.4,751,2,0
89,Michael Crabtree,SFO,23,WR,16,15,101,55,741,13.5,6,60,3.4,46.3,54.5%,7.3,,,,,,,,55,13.5,741,6,0
90,Chris Ivory,NOR,22,rb,12,4,1,1,17,17.0,0,17,0.1,1.4,100.0%,17.0,137,716,5,55,5.2,59.7,11.4,138,5.3,733,5,4
91,Kellen Winslow,TAM,27,TE,16,11,98,66,730,11.1,5,41,4.1,45.6,67.3%,7.4,,,,,,,,66,11.1,730,5,1
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Brandon Pettigrew,DET,25,TE,16,16,111,71,722,10.2,4,35,4.4,45.1,64.0%,6.5,,,,,,,,71,10.2,722,4,0
94,Malcom Floyd,SDG,29,WR,11,9,77,37,717,19.4,6,55,3.4,65.2,48.1%,9.3,,,,,,,,37,19.4,717,6,1
95,Josh Morgan,SFO,25,WR,16,11,80,44,698,15.9,2,65,2.8,43.6,55.0%,8.7,2,17,0,13,8.5,1.1,0.1,46,15.5,715,2,2
96,Nate Burleson,DET,29,WR,14,14,86,55,625,11.4,6,58,3.9,44.6,64.0%,7.3,7,81,0,25,11.6,5.8,0.5,62,11.4,706,6,2
97,Donald Brown,IND,23,RB,13,8,28,20,205,10.3,0,25,1.5,15.8,71.4%,7.3,129,497,2,49,3.9,38.2,9.9,149,4.7,702,2,0
98,Marcedes Lewis*,JAX,26,TE,16,16,89,58,700,12.1,10,42,3.6,43.8,65.2%,7.9,,,,,,,,58,12.1,700,10,2
99,Eddie Royal,DEN,24,WR,16,10,105,59,627,10.6,3,41,3.7,39.2,56.2%,6.0,6,61,0,20,10.2,3.8,0.4,65,10.6,688,3,4
100,Dustin Keller,NYJ,26,TE,16,13,100,55,687,12.5,5,41,3.4,42.9,55.0%,6.9,,,,,,,,55,12.5,687,5,0
101,Zach Miller*,OAK,25,TE,15,15,92,60,685,11.4,5,43,4.0,45.7,65.2%,7.4,,,,,,,,60,11.4,685,5,1
102,Rashad Jennings,JAX,25,fb/rb,13,3,35,26,223,8.6,0,25,2.0,17.2,74.3%,6.4,84,459,4,74,5.5,35.3,6.5,110,6.2,682,4,0
103,James Jones,GNB,26,wr,16,3,87,50,679,13.6,5,66,3.1,42.4,57.5%,7.8,,,,,,,,50,13.6,679,5,3
104,Nate Washington,TEN,27,WR,16,16,94,42,687,16.4,6,71,2.6,42.9,44.7%,7.3,1,-8,0,-8,-8.0,-0.5,0.1,43,15.8,679,6,0
105,Michael Vick*,PHI,30,QB,12,12,0,0,0,,0,0,0.0,0.0,0.0%,,100,676,9,35,6.8,56.3,8.3,100,6.8,676,9,11
106,Tony Gonzalez*,ATL,34,TE,16,16,108,70,656,9.4,6,34,4.4,41.0,64.8%,6.1,,,,,,,,70,9.4,656,6,0
107,Robert Meachem,NOR,26,wr,16,7,66,44,638,14.5,5,55,2.8,39.9,66.7%,9.7,4,14,0,8,3.5,0.9,0.3,48,13.6,652,5,0
108,Louis Murphy,OAK,23,WR,14,9,78,41,609,14.9,2,70,2.9,43.5,52.6%,7.8,1,43,0,43,43.0,3.1,0.1,42,15.5,652,2,2
109,Austin Collie,IND,25,wr,9,6,71,58,649,11.2,8,73,6.4,72.1,81.7%,9.1,,,,,,,,58,11.2,649,8,1
110,Brandon Gibson,STL,23,WR,14,12,91,53,620,11.7,2,41,3.8,44.3,58.2%,6.8,3,28,0,14,9.3,2.0,0.2,56,11.6,648,2,0
111,Brian Hartline,MIA,24,WR,12,11,73,43,615,14.3,1,54,3.6,51.3,58.9%,8.4,2,27,0,30,13.5,2.3,0.2,45,14.3,642,1,1
112,Jacob Tamme,IND,25,rb/te,16,8,93,67,631,9.4,4,30,4.2,39.4,72.0%,6.8,,,,,,,,67,9.4,631,4,0
113,Jason Snelling,ATL,27,,14,0,51,44,303,6.9,3,28,3.1,21.6,86.3%,5.9,87,324,2,30,3.7,23.1,6.2,131,4.8,627,5,2
114,Jacoby Ford,OAK,23,fb/WR,16,9,54,25,470,18.8,2,52,1.6,29.4,46.3%,8.7,10,155,2,71,15.5,9.7,0.6,35,17.9,625,4,3
115,Kevin Walter,HOU,29,WR,16,16,80,51,621,12.2,5,35,3.2,38.8,63.8%,7.8,,,,,,,,51,12.2,621,5,0
116,Joseph Addai,IND,27,rb,8,7,26,19,124,6.5,0,15,2.4,15.5,73.1%,4.8,116,495,4,46,4.3,61.9,14.5,135,4.6,619,4,2
117,Aaron Hernandez,NWE,21,te,14,7,64,45,563,12.5,6,46,3.2,40.2,70.3%,8.8,3,47,0,18,15.7,3.4,0.2,48,12.7,610,6,0
118,Jordan Shipley,CIN,25,wr,15,4,74,52,600,11.5,3,64,3.5,40.0,70.3%,8.1,,,,,,,,52,11.5,600,3,0
119,Todd Heap,BAL,30,TE,13,13,64,40,599,15.0,5,65,3.1,46.1,62.5%,9.4,,,,,,,,40,15.0,599,5,1
120,Jordy Nelson,GNB,25,wr,16,4,64,45,582,12.9,2,80,2.8,36.4,70.3%,9.1,,,,,,,,45,12.9,582,2,3
121,Lee Evans,BUF,29,WR,13,13,84,37,578,15.6,4,54,2.8,44.5,44.0%,6.9,,,,,,,,37,15.6,578,4,2
122,Jason Avant,PHI,27,wr,16,3,76,51,573,11.2,1,34,3.2,35.8,67.1%,7.5,,,,,,,,51,11.2,573,1,0
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Earl Bennett,CHI,23,wr,14,3,71,46,561,12.2,3,48,3.3,40.1,64.8%,7.9,2,9,0,5,4.5,0.6,0.1,48,11.9,570,3,1
125,Keiland Williams,WAS,24,rb,15,3,58,39,309,7.9,2,36,2.6,20.6,67.2%,5.3,65,261,3,32,4.0,17.4,4.3,104,5.5,570,5,1
126,Jacoby Jones,HOU,26,wr,15,7,78,51,562,11.0,3,47,3.4,37.5,65.4%,7.2,2,7,0,10,3.5,0.5,0.1,53,10.7,569,3,1
127,Donald Driver,GNB,35,WR,15,15,85,51,565,11.1,4,61,3.4,37.7,60.0%,6.6,,,,,,,,51,11.1,565,4,1
128,Steve Smith,CAR,31,WR,14,14,100,46,554,12.0,2,39,3.3,39.6,46.0%,5.5,1,9,0,9,9.0,0.6,0.1,47,12.0,563,2,3
129,Mike Sims-Walker,JAX,26,WR,14,13,80,43,562,13.1,7,39,3.1,40.1,53.8%,7.0,,,,,,,,43,13.1,562,7,1
130,Dez Bryant,DAL,22,wr,12,2,73,45,561,12.5,6,46,3.8,46.8,61.6%,7.7,1,0,0,0,0.0,0.0,0.1,46,12.2,561,6,2
131,Tony Moeaki,KAN,23,TE,15,15,73,47,556,11.8,3,34,3.1,37.1,64.4%,7.6,,,,,,,,47,11.8,556,3,0
132,Rob Gronkowski,NWE,21,TE,16,11,59,42,546,13.0,10,28,2.6,34.1,71.2%,9.3,,,,,,,,42,13.0,546,10,1
133,Kevin Boss,NYG,26,TE,15,13,70,35,531,15.2,5,54,2.3,35.4,50.0%,7.6,,,,,,,,35,15.2,531,5,1
134,Visanthe Shiancoe,MIN,30,TE,16,9,79,47,530,11.3,2,33,2.9,33.1,59.5%,6.7,,,,,,,,47,11.3,530,2,0
135,Roy Williams,DAL,29,WR,15,9,64,37,530,14.3,5,63,2.5,35.3,57.8%,8.3,,,,,,,,37,14.3,530,5,3
136,Steve Smith,NYG,25,wr,9,7,75,48,529,11.0,3,45,5.3,58.8,64.0%,7.1,,,,,,,,48,11.0,529,3,0
137,Anthony Fasano,MIA,26,TE,15,15,60,39,528,13.5,4,31,2.6,35.2,65.0%,8.8,,,,,,,,39,13.5,528,4,0
138,Brandon LaFell,CAR,24,wr,14,2,77,38,468,12.3,1,44,2.7,33.4,49.4%,6.1,1,60,0,60,60.0,4.3,0.1,39,13.5,528,1,0
139,Joel Dreessen,HOU,28,TE,16,10,55,36,518,14.4,4,43,2.3,32.4,65.5%,9.4,,,,,,,,36,14.4,518,4,1
140,Patrick Crayton,SDG,31,wr,9,2,42,28,514,18.4,1,49,3.1,57.1,66.7%,12.2,,,,,,,,28,18.4,514,1,0
141,Heath Miller,PIT,28,TE,14,14,67,42,512,12.2,2,36,3.0,36.6,62.7%,7.6,,,,,,,,42,12.2,512,2,1
142,Brent Celek,PHI,25,TE,16,15,79,42,511,12.2,4,65,2.6,31.9,53.2%,6.5,,,,,,,,42,12.2,511,4,0
143,Ben Obomanu,SEA,27,wr,15,6,49,30,494,16.5,4,87,2.0,32.9,61.2%,10.1,2,17,0,13,8.5,1.1,0.1,32,16.0,511,4,0
144,David Gettis,CAR,23,WR,15,13,67,37,508,13.7,3,88,2.5,33.9,55.2%,7.6,3,2,0,19,0.7,0.1,0.2,40,12.8,510,3,1
145,Maurice Morris,DET,31,rb,14,7,31,25,170,6.8,0,16,1.8,12.1,80.6%,5.5,90,336,5,26,3.7,24.0,6.4,115,4.4,506,5,1
146,Devin Hester*+,CHI,28,WR,16,13,73,40,475,11.9,4,39,2.5,29.7,54.8%,6.5,7,30,0,11,4.3,1.9,0.4,47,10.7,505,4,0
147,Michael Jenkins,ATL,28,WR,11,9,73,41,505,12.3,2,43,3.7,45.9,56.2%,6.9,,,,,,,,41,12.3,505,2,0
148,Brandon Tate,NWE,23,WR,16,10,46,24,432,18.0,3,65,1.5,27.0,52.2%,9.4,5,62,0,22,12.4,3.9,0.3,29,17.0,494,3,1
149,Brian Westbrook,SFO,31,rb,14,5,24,16,150,9.4,1,62,1.1,10.7,66.7%,6.3,77,340,4,30,4.4,24.3,5.5,93,5.3,490,5,0
150,Toby Gerhart,MIN,23,rb,15,1,29,21,167,8.0,0,23,1.4,11.1,72.4%,5.8,81,322,1,21,4.0,21.5,5.4,102,4.8,489,1,3
151,Mohamed Massaquoi,CLE,24,WR,15,14,73,36,483,13.4,2,41,2.4,32.2,49.3%,6.6,1,-3,0,-3,-3.0,-0.2,0.1,37,13.0,480,2,1
152,Devery Henderson,NOR,28,WR,16,11,59,34,464,13.6,1,57,2.1,29.0,57.6%,7.9,3,8,0,9,2.7,0.5,0.2,37,12.8,472,1,0
153,Owen Daniels,HOU,28,TE,11,10,68,38,471,12.4,2,31,3.5,42.8,55.9%,6.9,,,,,,,,38,12.4,471,2,0
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Jermaine Gresham,CIN,22,TE,15,10,83,52,471,9.1,4,27,3.5,31.4,62.7%,5.7,,,,,,,,52,9.1,471,4,2
156,Beanie Wells,ARI,22,rb,13,2,8,5,74,14.8,0,43,0.4,5.7,62.5%,9.3,116,397,2,24,3.4,30.5,8.9,121,3.9,471,2,1
157,Pierre Thomas,NOR,26,rb,6,3,29,29,201,6.9,0,23,4.8,33.5,100.0%,6.9,83,269,2,16,3.2,44.8,13.8,112,4.2,470,2,0
158,Marcel Reece,OAK,25,FB,16,10,43,25,333,13.3,3,73,1.6,20.8,58.1%,7.7,30,122,1,31,4.1,7.6,1.9,55,8.3,455,4,1
159,C.J. Spiller,BUF,23,rb,14,1,30,24,157,6.5,1,41,1.7,11.2,80.0%,5.2,74,283,0,20,3.8,20.2,5.3,98,4.5,440,1,5
160,Willis McGahee,BAL,29,rb,15,2,17,14,55,3.9,1,32,0.9,3.7,82.4%,3.2,100,380,5,30,3.8,25.3,6.7,114,3.8,435,6,2
161,Arrelious Benn,TAM,22,WR,15,9,38,25,395,15.8,2,64,1.7,26.3,65.8%,10.4,6,35,0,17,5.8,2.3,0.4,31,13.9,430,2,1
162,Jerricho Cotchery,NYJ,28,wr,14,5,86,41,433,10.6,2,49,2.9,30.9,47.7%,5.0,4,-3,0,4,-0.8,-0.2,0.3,45,9.6,430,2,1
163,Marion Barber,DAL,27,RB,13,10,16,11,49,4.5,0,15,0.8,3.8,68.8%,3.1,113,374,4,25,3.3,28.8,8.7,124,3.4,423,4,0
164,Roscoe Parrish,BUF,28,wr,8,6,53,33,400,12.1,2,37,4.1,50.0,62.3%,7.5,3,23,0,13,7.7,2.9,0.4,36,11.8,423,2,1
165,DeAngelo Williams,CAR,27,rb,6,6,13,11,61,5.5,0,14,1.8,10.2,84.6%,4.7,87,361,1,39,4.1,60.2,14.5,98,4.3,422,1,1
166,Jerome Harrison,2TM,27,,12,2,13,12,85,7.1,0,23,1.0,7.1,92.3%,6.5,71,330,1,50,4.6,27.5,5.9,83,5.0,415,1,2
167,Darrius Heyward-Bey,OAK,23,WR,15,14,65,26,366,14.1,1,69,1.7,24.4,40.0%,5.6,4,48,0,30,12.0,3.2,0.3,30,13.8,414,1,1
168,Jeremy Shockey,NOR,30,TE,13,11,59,41,408,10.0,3,31,3.2,31.4,69.5%,6.9,,,,,,,,41,10.0,408,3,0
