,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arian Foster*+,HOU,24,RB,16,13,84,66,604,9.2,2,50,4.1,37.8,78.6%,7.2,327,1616,16,74,4.9,101.0,20.4,393,5.6,2220,18,3
2,Jamaal Charles*+,KAN,24,rb/wr,16,6,64,45,468,10.4,3,31,2.8,29.3,70.3%,7.3,230,1467,5,80,6.4,91.7,14.4,275,7.0,1935,8,3
3,Ray Rice,BAL,23,RB,16,14,83,63,556,8.8,1,34,3.9,34.8,75.9%,6.7,307,1220,5,50,4.0,76.3,19.2,370,4.8,1776,6,0
4,LeSean McCoy,PHI,22,RB,15,13,91,78,592,7.6,2,40,5.2,39.5,85.7%,6.5,207,1080,7,62,5.2,72.0,13.8,285,5.9,1672,9,2
5,Darren McFadden,OAK,23,RB,13,13,61,47,507,10.8,3,67,3.6,39.0,77.0%,8.3,223,1157,7,57,5.2,89.0,17.2,270,6.2,1664,10,4
6,Peyton Hillis,CLE,24,RB,16,14,77,61,477,7.8,2,47,3.8,29.8,79.2%,6.2,270,1177,11,48,4.4,73.6,16.9,331,5.0,1654,13,8
7,Maurice Jones-Drew*,JAX,25,RB,14,14,44,34,317,9.3,2,75,2.4,22.6,77.3%,7.2,299,1324,5,37,4.4,94.6,21.4,333,4.9,1641,7,2
8,Adrian Peterson*,MIN,25,RB,15,15,50,36,341,9.5,1,34,2.4,22.7,72.0%,6.8,283,1298,12,80,4.6,86.5,18.9,319,5.1,1639,13,1
9,Steven Jackson*,STL,27,RB,16,16,62,46,383,8.3,0,49,2.9,23.9,74.2%,6.2,330,1241,6,42,3.8,77.6,20.6,376,4.3,1624,6,1
10,Matt Forte,CHI,25,RB,16,16,70,51,547,10.7,3,89,3.2,34.2,72.9%,7.8,237,1069,6,68,4.5,66.8,14.8,288,5.6,1616,9,3
11,Chris Johnson*,TEN,25,RB,16,16,57,44,245,5.6,1,25,2.8,15.3,77.2%,4.3,316,1364,11,76,4.3,85.3,19.8,360,4.5,1609,12,3
12,Ahmad Bradshaw,NYG,24,RB,16,11,58,47,314,6.7,0,18,2.9,19.6,81.0%,5.4,276,1235,8,48,4.5,77.2,17.3,323,4.8,1549,8,7
13,Michael Turner*,ATL,28,RB,16,15,20,12,85,7.1,0,19,0.8,5.3,60.0%,4.3,334,1371,12,55,4.1,85.7,20.9,346,4.2,1456,12,2
14,Rashard Mendenhall,PIT,23,RB,16,16,34,23,167,7.3,0,24,1.4,10.4,67.6%,4.9,324,1273,13,50,3.9,79.6,20.3,347,4.1,1440,13,2
15,Brandon Lloyd*,DEN,29,WR,16,11,153,77,1448,18.8,11,71,4.8,90.5,50.3%,9.5,1,-18,0,-18,-18.0,-1.1,0.1,78,18.3,1430,11,0
16,Roddy White*+,ATL,29,WR,16,16,179,115,1389,12.1,10,46,7.2,86.8,64.2%,7.8,1,3,0,3,3.0,0.2,0.1,116,12.0,1392,10,1
17,Reggie Wayne*+,IND,32,WR,16,16,175,111,1355,12.2,6,50,6.9,84.7,63.4%,7.7,,,,,,,,111,12.2,1355,6,1
18,Frank Gore,SFO,27,RB,11,11,72,46,452,9.8,2,41,4.2,41.1,63.9%,6.3,203,853,3,64,4.2,77.5,18.5,249,5.2,1305,5,4
19,Mike Wallace,PIT,24,WR,16,16,98,60,1257,21.0,10,56,3.8,78.6,61.2%,12.8,5,39,0,19,7.8,2.4,0.3,65,19.9,1296,10,1
20,Cedric Benson,CIN,28,RB,16,16,37,28,178,6.4,1,24,1.8,11.1,75.7%,4.8,321,1111,7,26,3.5,69.4,20.1,349,3.7,1289,8,7
