,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
107,Denarius Moore,OAK,23,WR,13,10,1,5,,,,,,6,,,,,,,,36,2.8
108,Mark Sanchez,NYJ,25,QB,16,16,6,,,,,,,6,,,,,,,,36,2.3
109,C.J. Spiller,BUF,24,RB/wr,16,11,4,2,,,,,,6,,,,,,,,36,2.3
110,Pierre Thomas,NOR,27,rb,16,7,5,1,,,,,,6,,,,,,,,36,2.3
111,Willis McGahee*,DEN,30,RB,15,14,4,1,,,,,,5,1,,,,,,,32,2.1
112,Greg Olsen,CAR,26,fb/TE,16,13,,5,,,,,,5,1,,,,,,,32,2.0
113,LeGarrette Blount,TAM,25,RB,14,14,5,,,,,,,5,,,,,,,,30,2.1
114,Dwayne Bowe,KAN,27,WR,16,14,,5,,,,,,5,,,,,,,,30,1.9
115,Deion Branch,NWE,32,WR,15,15,,5,,,,,,5,,,,,,,,30,2.0
116,Donald Brown,IND,24,rb,16,2,5,,,,,,,5,,,,,,,,30,1.9
117,Brent Celek,PHI,26,TE,16,16,,5,,,,,,5,,,,,,,,30,1.9
118,Josh Cribbs,CLE,28,fb/wr,16,7,,4,1,,,,,5,,,,,,,,30,1.9
119,Kellen Davis,CHI,26,TE,16,15,,5,,,,,,5,,,,,,,,30,1.9
120,Ed Dickson,BAL,24,TE,16,16,,5,,,,,,5,,,,,,,,30,1.9
121,Early Doucet,ARI,26,wr,16,6,,5,,,,,,5,,,,,,,,30,1.9
122,,,,,,,,,,,,,,,,,,,,,,,
123,Anthony Fasano,MIA,27,TE,15,15,,5,,,,,,5,,,,,,,,30,2.0
124,Malcom Floyd,SDG,30,WR,12,9,,5,,,,,,5,,,,,,,,30,2.5
125,Jabar Gaffney,WAS,31,WR,16,15,,5,,,,,,5,,,,,,,,30,1.9
126,Mark Ingram,NOR,22,rb,10,4,5,,,,,,,5,,,,,,,,30,3.0
127,Dustin Keller,NYJ,27,TE,16,12,,5,,,,,,5,,,,,,,,30,1.9
128,Brandon Lloyd,2TM,30,,15,14,,5,,,,,,5,,,,,,,,30,2.0
129,Jeremy Maclin,PHI,23,WR,13,13,,5,,,,,,5,,,,,,,,30,2.3
130,Darren McFadden,OAK,24,rb,7,7,4,1,,,,,,5,,,,,,,,30,4.3
131,David Nelson,BUF,25,WR,16,13,,5,,,,,,5,,,,,,,,30,1.9
132,Brandon Pettigrew,DET,26,TE,16,16,,5,,,,,,5,,,,,,,,30,1.9
133,Jonathan Stewart,CAR,24,rb,16,3,4,1,,,,,,5,,,,,,,,30,1.9
134,Damian Williams,TEN,23,WR,15,13,,5,,,,,,5,,,,,,,,30,2.0
135,Jason Witten,DAL,29,TE,16,16,,5,,,,,,5,,,,,,,,30,1.9
136,Michael Crabtree,SFO,24,WR,15,14,,4,,,,,,4,1,,,,,,,26,1.7
137,Shayne Graham,2TM,34,,3,0,,,,,,,,,,,8,8,6,7,,26,8.7
138,Doug Baldwin,SEA,23,wr,16,1,,4,,,,,,4,,,,,,,,24,1.5
139,Jake Ballard,NYG,24,TE,14,13,,4,,,,,,4,,,,,,,,24,1.7
140,Jed Collins,NOR,25,FB,16,11,2,2,,,,,,4,,,,,,,,24,1.5
141,Matt Forte*,CHI,26,RB,12,12,3,1,,,,,,4,,,,,,,,24,2.0
142,Josh Freeman,TAM,23,QB,15,15,4,,,,,,,4,,,,,,,,24,1.6
143,Toby Gerhart,MIN,24,rb,16,5,1,3,,,,,,4,,,,,,,,24,1.5
144,Devin Hester,CHI,29,WR,16,8,,1,2,1,,,,4,,,,,,,,24,1.5
145,Darrius Heyward-Bey,OAK,24,WR,15,14,,4,,,,,,4,,,,,,,,24,1.6
146,DeSean Jackson,PHI,25,WR,15,15,,4,,,,,,4,,,,,,,,24,1.6
147,Chris Johnson,TEN,26,RB,16,16,4,,,,,,,4,,,,,,,,24,1.5
148,Mario Manningham,NYG,25,WR,12,10,,4,,,,,,4,,,,,,,,24,2.0
149,Evan Moore,CLE,26,te,16,4,,4,,,,,,4,,,,,,,,24,1.5
150,Santana Moss,WAS,32,WR,12,12,,4,,,,,,4,,,,,,,,24,2.0
151,Patrick Peterson*+,ARI,21,RCB,16,16,,,4,,,,,4,,,,,,,,24,1.5
152,Jeremy Shockey,CAR,31,TE,15,13,,4,,,,,,4,,,,,,,,24,1.6
153,,,,,,,,,,,,,,,,,,,,,,,
154,Jerome Simpson,CIN,25,WR,16,14,,4,,,,,,4,,,,,,,,24,1.5
155,Ben Tate,HOU,23,rb,15,2,4,,,,,,,4,,,,,,,,24,1.6
156,Demaryius Thomas,DEN,24,wr,11,5,,4,,,,,,4,,,,,,,,24,2.2
157,Reggie Wayne,IND,33,WR,16,16,,4,,,,,,4,,,,,,,,24,1.5
158,Arrelious Benn,TAM,23,WR,14,14,,3,,,,,,3,,,,,,,,18,1.3
159,Davone Bess,MIA,26,fb/wr,16,4,,3,,,,,,3,,,,,,,,18,1.1
160,Jahvid Best,DET,22,rb,6,6,2,1,,,,,,3,,,,,,,,18,3.0
161,Anquan Boldin,BAL,31,WR,14,14,,3,,,,,,3,,,,,,,,18,1.3
162,Kevin Boss,OAK,27,TE,14,11,,3,,,,,,3,,,,,,,,18,1.3
163,Tom Brady*,NWE,34,QB,16,16,3,,,,,,,3,,,,,,,,18,1.1
164,Kenny Britt,TEN,23,wr,3,3,,3,,,,,,3,,,,,,,,18,6.0
165,Antonio Brown*,PIT,23,wr,16,3,,2,1,,,,,3,,,,,,,,18,1.1
166,Nate Burleson,DET,30,WR,16,11,,3,,,,,,3,,,,,,,,18,1.1
167,Andre Caldwell,CIN,26,wr,13,2,,3,,,,,,3,,,,,,,,18,1.4
168,Charles Clay,MIA,22,FB/te,14,9,,3,,,,,,3,,,,,,,,18,1.3
169,Randall Cobb,GNB,21,,15,0,,1,1,1,,,,3,,,,,,,,18,1.2
170,Jared Cook,TEN,24,te,16,5,,3,,,,,,3,,,,,,,,18,1.1
171,Owen Daniels,HOU,29,TE,15,15,,3,,,,,,3,,,,,,,,18,1.2
172,Fred Davis,WAS,25,fb/TE,12,12,,3,,,,,,3,,,,,,,,18,1.5
173,Daniel Fells,DEN,28,TE,16,15,,3,,,,,,3,,,,,,,,18,1.1
174,Ryan Grant,GNB,29,RB,15,14,2,1,,,,,,3,,,,,,,,18,1.2
175,Roy Helu,WAS,23,rb,15,5,2,1,,,,,,3,,,,,,,,18,1.2
176,Jason Hill,JAX,26,WR,10,10,,3,,,,,,3,,,,,,,,18,1.8
177,Peyton Hillis,CLE,25,RB,10,9,3,,,,,,,3,,,,,,,,18,1.8
