,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
0,,,,,,,,,,,,,,,,,
1,Alex Erickson,CIN,24,,16,0,28,195,0,24,7.0,29,810,0,84,27.9,1076
2,Marc Mariani,TEN,29,,16,0,29,235,0,18,8.1,26,560,0,37,21.5,810
3,Brandon Tate,BUF,29,wr,15,1,26,301,0,43,11.6,29,662,0,45,22.8,1128
4,Tyreek Hill*+,KAN,22,wr,16,1,39,592,2,95,15.2,14,384,1,86,27.4,1836
5,Andre Roberts,DET,28,wr,16,1,20,246,2,85,12.3,33,747,0,42,22.6,1181
6,Tyler Lockett,SEA,24,WR,15,9,29,243,0,62,8.4,23,606,0,46,26.3,1560
7,Dwayne Harris*,NYG,29,wr,16,1,29,170,0,17,5.9,22,533,0,46,24.2,716
8,Jalen Richard,OAK,23,,16,0,34,306,0,47,9.0,17,402,0,50,23.6,1391
9,Ted Ginn,CAR,31,WR,16,8,29,202,0,19,7.0,18,391,0,59,21.7,1443
10,Tavon Austin,LAR,26,WR,15,15,44,336,0,47,7.6,1,5,0,5,5.0,1009
11,Devin Hester,2TM,34,,12,0,25,180,0,28,7.2,19,466,0,60,24.5,646
12,Lucky Whitehead,DAL,24,wr,15,1,25,195,0,39,7.8,17,394,0,33,23.2,719
13,Tyler Ervin,HOU,23,,12,0,27,261,0,57,9.7,14,263,0,33,18.8,545
14,Eric Weems,ATL,31,,16,0,24,273,0,73,11.4,17,391,0,42,23.0,664
15,Jakeem Grant,MIA,24,,16,0,20,165,1,74,8.3,19,439,0,45,23.1,605
16,Deonte Thompson,CHI,27,wr,16,6,,,,,,35,804,0,64,23.0,1053
17,Jalin Marshall,NYJ,21,wr,10,1,18,100,0,19,5.6,13,324,0,65,24.9,586
18,Adam Humphries,TAM,23,wr,15,4,24,237,0,25,9.9,4,47,0,17,11.8,924
