,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
0,,,,,,,,,,,,,,,,,
1,Devin Hester*,ATL,32,wr,16,1,18,240,1,68,13.3,45,1128,0,66,25.1,1908
2,Jacoby Jones,BAL,30,,16,0,30,275,0,45,9.2,32,978,1,108,30.6,1400
3,Dwayne Harris,DAL,27,,16,0,30,275,0,38,9.2,30,742,0,42,24.7,1140
4,Jarvis Landry,MIA,22,WR,16,11,25,204,0,32,8.2,34,954,0,74,28.1,1912
5,Andre Roberts,WAS,26,wr,16,4,28,208,0,37,7.4,30,710,0,45,23.7,1392
6,Jeremy Ross,DET,26,fb/WR,16,13,32,284,0,28,8.9,23,584,0,41,25.4,1181
7,Adam Jones+,CIN,31,db/lcb/rcb,16,3,22,262,0,47,11.9,27,844,0,97,31.3,1129
8,Ted Ginn,ARI,29,,16,0,26,277,1,71,10.7,22,417,0,43,19.0,890
9,De'Anthony Thomas,KAN,21,wr,12,3,34,405,1,81,11.9,14,428,0,78,30.6,1102
10,Bruce Ellington,SFO,23,,13,0,23,188,0,23,8.2,24,614,0,38,25.6,892
11,T.J. Carrie,OAK,24,cb/lcb/rcb,13,4,26,195,0,27,7.5,15,362,0,42,24.1,585
12,Griff Whalen,IND,24,,10,0,26,187,0,22,7.2,15,379,0,32,25.3,589
13,Darren Sproles*,PHI,31,,15,0,39,506,2,82,13.0,1,15,0,15,15.0,1230
14,Josh Cribbs,IND,31,,6,0,19,125,0,18,6.6,19,608,0,76,32.0,741
15,Jordan Todman,JAX,24,rb,16,1,,,,,,38,972,0,40,25.6,1356
16,Leon Washington,TEN,32,,16,0,7,47,0,10,6.7,31,738,0,52,23.8,1001
17,Tavon Austin,STL,24,WR,15,8,35,391,1,78,11.2,2,19,0,11,9.5,876
18,Danny Amendola,NWE,29,wr,16,4,16,132,0,39,8.3,20,482,0,81,24.1,814
19,Brandon Tate,CIN,27,wr,16,4,18,174,0,49,9.7,18,397,0,31,22.1,785
20,Benny Cunningham,STL,24,rb,16,2,,,,,,35,963,0,75,27.5,1561
21,Cordarrelle Patterson,MIN,23,wr,16,7,,,,,,34,871,0,51,25.6,1372
22,Ace Sanders,JAX,23,,12,0,32,227,0,23,7.1,1,16,0,16,16.0,298
23,Percy Harvin,2TM,26,,13,12,,,,,,32,778,0,65,24.3,1463
24,Antonio Brown*+,PIT,26,WR,16,16,30,319,1,71,10.6,1,0,0,0,0.0,2030
25,Marcus Sherels,MIN,27,,16,0,27,297,0,35,11.0,4,110,0,46,27.5,407
26,Isaiah Burse,DEN,23,,12,0,29,211,0,22,7.3,1,7,0,7,7.0,218
27,Knile Davis,KAN,23,rb,16,1,,,,,,29,829,1,99,28.6,1439
28,Preston Parker,NYG,27,wr,16,7,8,53,0,18,6.6,21,509,0,45,24.2,980
29,Bryan Walters,SEA,27,,13,0,27,207,0,21,7.7,2,43,0,27,21.5,305
30,,,,,,,,,,,,,,,,,
31,Corey Brown,CAR,23,wr,13,3,16,153,1,79,9.6,12,273,0,35,22.8,817
32,Solomon Patton,2TM,24,,13,0,10,112,0,33,11.2,18,416,0,28,23.1,547
33,Marcus Thigpen,3TM,28,,9,0,16,220,1,75,13.8,12,285,0,49,23.8,505
34,Chris Williams,CHI,27,,6,6,4,30,0,13,7.5,24,579,1,101,24.1,601
35,Travis Benjamin,CLE,25,,16,0,15,127,0,37,8.5,12,246,0,28,20.5,698
36,Marc Mariani,CHI,27,,6,0,7,29,0,16,4.1,20,510,0,67,25.5,539
37,Jeremy Kerley,NYJ,26,wr,16,7,25,199,0,41,8.0,1,12,0,12,12.0,706
38,Keshawn Martin,HOU,24,,16,0,25,154,0,21,6.2,1,19,0,19,19.0,251
39,Julian Edelman,NWE,28,WR,14,13,25,299,1,84,12.0,,,,,,1365
40,Leodis McKelvin,BUF,29,LCB,10,9,21,183,0,24,8.7,4,64,0,30,16.0,257
41,DuJuan Harris,GNB,26,,15,0,,,,,,22,456,0,41,20.7,531
42,Dexter McCluster,TEN,25,rb,14,2,22,155,0,48,7.0,,,,,,483
43,Odell Beckham*,NYG,22,WR,12,11,21,171,0,25,8.1,,,,,,1511
44,Brenton Bersin,CAR,24,wr,15,1,14,86,0,18,6.1,7,167,0,49,23.9,404
45,Chris Davis,SDG,24,cb,12,1,1,4,0,4,4.0,19,476,0,35,25.1,480
46,Walt Powell,NYJ,23,,4,0,12,48,0,15,4.0,8,233,0,62,29.1,281
47,Markus Wheaton,PIT,23,WR,16,11,,,,,,20,494,0,41,24.7,1157
48,Latavius Murray,OAK,24,rb,15,3,,,,,,19,429,0,38,22.6,996
49,Micah Hyde,GNB,24,cb/fs,16,12,14,221,2,75,15.8,4,96,0,28,24.0,326
50,Jalen Saunders,4TM,22,,15,0,15,125,0,32,8.3,3,139,0,99,46.3,271
51,Frankie Hammond,KAN,24,wr,16,3,15,200,0,47,13.3,2,74,0,37,37.0,319
52,Paul Richardson,SEA,22,wr,15,6,,,,,,16,376,0,47,23.5,647
53,Travaris Cadet,NOR,25,rb,15,1,,,,,,15,364,0,34,24.3,692
54,Randall Cobb*,GNB,24,WR,16,16,14,112,0,24,8.0,1,0,0,0,0.0,1436
55,Damaris Johnson,HOU,25,WR,16,8,9,54,0,12,6.0,6,136,0,31,22.7,540
56,Josh Huff,PHI,23,,12,0,,,,,,14,415,1,107,29.6,520
57,Omar Bolden,DEN,26,,15,0,,,,,,13,429,0,77,33.0,429
58,Saalim Hakim,NYJ,24,,16,0,,,,,,13,279,0,44,21.5,279
59,Danieal Manning,HOU,32,db/ss,16,5,,,,,,13,267,0,41,20.5,267
60,Marlon Moore,CLE,27,,13,0,,,,,,13,322,0,32,24.8,322
61,,,,,,,,,,,,,,,,,
62,Bobby Rainey,TAM,27,rb,15,5,7,55,0,14,7.9,6,158,0,33,26.3,934
63,Andre Caldwell,DEN,29,wr,16,2,,,,,,12,278,0,54,23.2,325
64,Perrish Cox,SFO,27,LCB/rcb,15,14,10,35,0,9,3.5,2,60,0,57,30.0,107
65,Quintin Demps,NYG,29,FS,16,9,,,,,,12,255,0,29,21.3,274
66,Keenan Allen,SDG,22,WR,14,14,11,99,0,29,9.0,,,,,,882
67,Doug Baldwin,SEA,26,WR,16,16,6,42,0,38,7.0,5,81,0,24,16.2,956
68,Brandin Cooks,NOR,21,wr,10,7,10,35,0,15,3.5,1,12,0,12,12.0,670
69,Michael Cox,NYG,26,,4,0,,,,,,11,261,0,40,23.7,303
70,Carlos Hyde,SFO,24,,14,0,,,,,,11,268,0,30,24.4,669
71,Chris Polk,PHI,25,,14,0,,,,,,11,340,1,102,30.9,528
72,Eddie Royal,SDG,28,WR,16,11,11,100,0,58,9.1,,,,,,892
73,Wes Welker,DEN,33,WR,14,8,11,74,0,19,6.7,,,,,,538
74,Fozzy Whittaker,CAR,25,rb,10,1,,,,,,11,262,0,46,23.8,467
75,Dri Archer,PIT,23,,12,0,1,2,0,2,2.0,9,161,0,23,17.9,226
