,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
76,C.J. Spiller,BUF,27,rb,9,5,,,,,,10,306,1,102,30.6,731
77,Santonio Holmes,CHI,30,wr,9,2,9,50,0,22,5.6,,,,,,117
78,Shaun Draughn,3TM,27,,10,0,,,,,,8,173,0,39,21.6,192
79,Denarius Moore,OAK,26,wr,10,2,8,38,0,23,4.8,,,,,,154
80,Jordan Poyer,CLE,23,,16,0,7,28,0,8,4.0,1,14,0,14,14.0,42
81,George Atkinson,OAK,22,,5,0,,,,,,7,134,0,28,19.1,134
82,Patrick Chung,NWE,27,S,16,15,,,,,,7,140,0,30,20.0,150
83,Trindon Holliday,3TM,28,,2,0,2,17,0,17,8.5,5,128,0,32,25.6,145
84,Bishop Sankey,TEN,22,RB,16,9,,,,,,7,198,0,42,28.3,900
85,Mike Brown,JAX,25,wr,5,1,5,37,0,13,7.4,1,11,0,11,11.0,136
86,T.J. Graham,NYJ,25,,12,0,,,,,,6,113,0,23,18.8,200
87,Antonio Andrews,TEN,22,,4,0,,,,,,5,110,0,27,22.0,121
88,LeGarrette Blount,2TM,28,,16,1,,,,,,5,103,0,29,20.6,704
89,Chris Givens,STL,25,,14,0,,,,,,5,101,0,29,20.2,264
90,Jim Leonhard,CLE,32,fs,16,5,4,26,0,12,6.5,1,5,0,5,5.0,65
91,Rashad Ross,2TM,24,,4,0,,,,,,5,106,0,24,21.2,106
92,,,,,,,,,,,,,,,,,
93,Damien Williams,MIA,22,,16,0,,,,,,5,102,0,26,20.4,411
94,Matt Asiata,MIN,27,fb/RB,15,9,,,,,,4,47,0,16,11.8,929
95,Anthony Dixon,BUF,27,,16,0,,,,,,4,52,0,15,13.0,533
96,Taylor Gabriel,CLE,23,wr,16,2,,,,,,4,96,0,30,24.0,727
97,Marquise Goodwin,BUF,24,,10,0,,,,,,4,84,0,24,21.0,134
98,Senorise Perry,CHI,23,,16,0,,,,,,4,88,0,21,22.0,87
99,Emmanuel Sanders*,DEN,27,WR,16,16,1,11,0,11,11.0,3,54,0,22,18.0,1513
100,Bryce Brown,BUF,23,rb,7,2,,,,,,3,75,0,32,25.0,377
101,James Casey,PHI,30,te,16,2,,,,,,3,38,0,16,12.7,97
102,Jerome Felton,MIN,28,fb,16,3,,,,,,3,36,0,14,12.0,63
103,Dan Herron,IND,25,rb,16,3,,,,,,3,78,0,32,26.0,602
104,Fred Jackson,BUF,33,RB,14,9,3,5,0,5,1.7,,,,,,1031
105,Darren McFadden,OAK,27,RB,16,12,,,,,,3,59,0,23,19.7,805
106,Joe McKnight,KAN,26,,2,0,,,,,,3,65,0,25,21.7,132
107,Chris Owusu,2TM,24,,8,0,,,,,,3,147,0,87,49.0,248
108,Kenbrell Thompkins,2TM,26,,14,7,,,,,,3,43,0,21,14.3,310
109,Brandon Williams,CAR,27,,14,0,,,,,,3,36,0,19,12.0,80
110,Luke Willson,SEA,24,TE,15,10,,,,,,3,37,0,20,12.3,399
111,Charles Woodson,OAK,38,FS,16,16,3,28,0,23,9.3,,,,,,63
112,Stedman Bailey,STL,24,wr,14,3,1,90,1,90,90.0,1,9,0,9,9.0,547
113,Jackie Battle,TEN,31,fb,16,1,,,,,,2,43,0,22,21.5,80
114,Michael Campanaro,BAL,23,,4,0,2,17,0,9,8.5,,,,,,119
115,Nolan Carroll,PHI,27,cb,16,1,,,,,,2,45,0,24,22.5,45
116,John Conner,NYJ,27,fb,12,3,,,,,,2,12,0,7,6.0,67
117,Ryan Davis,JAX,25,,16,0,,,,,,2,22,0,15,11.0,22
118,Lance Dunbar,DAL,24,,16,0,,,,,,2,46,0,28,23.0,362
119,Rhett Ellison,MIN,26,TE,16,13,,,,,,2,23,0,14,11.5,231
120,Kyle Juszczyk,BAL,23,FB,16,14,,,,,,2,28,0,16,14.0,210
121,Karl Klug,TEN,26,,16,0,,,,,,2,32,0,20,16.0,41
122,Cody Latimer,DEN,22,,8,0,,,,,,2,22,0,14,11.0,45
123,,,,,,,,,,,,,,,,,
124,Jeremy Maclin,PHI,26,WR,16,16,2,25,0,18,12.5,,,,,,1343
125,Niles Paul,WAS,25,te/wr,16,7,,,,,,2,36,0,20,18.0,543
126,Bilal Powell,NYJ,26,rb,15,1,,,,,,2,34,0,25,17.0,267
127,Dante Rosario,CHI,30,fb/te,16,3,,,,,,2,7,0,10,3.5,123
128,Matthew Slater*,NWE,29,,16,0,,,,,,2,44,0,26,22.0,44
129,Adam Thielen,MIN,24,wr,16,2,,,,,,2,33,0,21,16.5,170
130,Earl Thomas*+,SEA,25,FS/s,16,16,2,3,0,3,1.5,,,,,,50
131,Fitzgerald Toussaint,BAL,24,,4,0,,,,,,2,41,0,23,20.5,80
132,Justin Trattou,MIN,26,,4,0,,,,,,2,19,0,13,9.5,19
133,Joe Webb,CAR,28,,7,0,,,,,,2,53,0,27,26.5,69
134,Eric Weems,ATL,29,,16,0,,,,,,2,34,0,17,17.0,136
135,George Winn,DET,24,,12,0,,,,,,2,28,0,16,14.0,101
136,Tyson Alualu,JAX,27,,16,0,,,,,,1,12,0,12,12.0,12
137,Jace Amaro,NYJ,22,te/wr,14,4,,,,,,1,21,0,21,21.0,366
138,Marvin Austin,DEN,25,,15,0,,,,,,1,12,0,12,12.0,12
139,Joe Banyard,MIN,26,,15,0,,,,,,1,8,0,8,8.0,158
140,Tim Barnes,STL,26,,14,0,,,,,,1,7,0,7,7.0,7
141,Jarrett Boykin,GNB,25,wr,13,3,,,,,,1,3,0,3,3.0,26
142,Donald Brown,SDG,27,rb,13,3,,,,,,1,8,0,8,8.0,442
143,Ha Ha Clinton-Dix,GNB,22,FS/ss,16,10,1,0,0,0,0.0,,,,,,9
144,Chris Cook,SFO,27,,6,0,1,2,0,2,2.0,,,,,,2
145,Marcus Cooper,KAN,24,lcb,13,4,1,0,0,0,0.0,,,,,,0
146,Marcus Easley,BUF,27,,10,0,,,,,,1,13,0,13,13.0,13
147,Terrence Fede,MIA,23,,11,0,,,,,,1,13,0,13,13.0,13
148,Brian Folkerts,CAR,24,,16,0,,,,,,1,12,0,12,12.0,12
149,Chase Ford,MIN,24,te,11,5,,,,,,1,12,0,12,12.0,270
150,Nate Garner,MIA,29,,10,0,,,,,,1,13,0,13,13.0,13
151,Crockett Gillmore,BAL,23,te,15,1,,,,,,1,15,0,15,15.0,136
152,Cyrus Gray,KAN,25,,9,0,,,,,,1,0,0,0,0.0,31
153,MarQueis Gray,2TM,25,,13,5,,,,,,1,14,0,14,14.0,148
154,,,,,,,,,,,,,,,,,
155,Michael Griffin,TEN,29,FS,16,16,1,5,0,5,5.0,,,,,,17
156,Cooper Helfet,SEA,25,te,10,2,,,,,,1,0,0,0,0.0,185
157,T.Y. Hilton*,IND,25,WR,15,15,,,,,,1,0,0,0,0.0,1365
158,DeSean Jackson,WAS,28,WR,15,13,1,0,0,0,0.0,,,,,,1176
159,Tony Jerod-Eddie,SFO,24,ldt,16,2,,,,,,1,18,0,18,18.0,18
160,David Johnson,SDG,27,,14,2,,,,,,1,0,0,0,0.0,4
161,Leonard Johnson,TAM,24,cb/db,16,3,,,,,,1,18,0,18,18.0,12
162,Akeem Jordan,WAS,29,,2,0,,,,,,1,5,0,5,5.0,5
163,Brandon LaFell,NWE,28,WR,16,13,,,,,,1,0,0,0,0.0,966
164,Jorvorskie Lane,TAM,27,fb,9,4,,,,,,1,9,0,9,9.0,70
165,Tim Lelito,NOR,25,c,16,2,,,,,,1,0,0,0,0.0,0
166,Orie Lemon,2TM,27,,10,3,,,,,,1,8,0,8,8.0,8
167,Spencer Long,WAS,24,,5,0,,,,,,1,12,0,12,12.0,12
168,Aaron Lynch,SFO,21,lb,16,3,,,,,,1,10,0,10,10.0,10
169,Mike Martin,TEN,24,de,12,3,,,,,,1,0,0,0,0.0,0
170,Cliff Matthews,ATL,25,,7,0,,,,,,1,2,0,2,2.0,2
171,Devin McCourty,NWE,27,S,16,16,,,,,,1,27,0,27,27.0,97
172,Sherrick McManis,CHI,27,,12,0,1,0,0,0,0.0,,,,,,0
173,Bruce Miller,SFO,27,FB,16,8,,,,,,1,19,0,19,19.0,217
174,Jordy Nelson*,GNB,29,WR,16,16,,,,,,1,0,0,0,0.0,1519
175,Branden Oliver,SDG,23,rb,14,7,,,,,,1,22,0,22,22.0,875
176,Kassim Osgood,SFO,34,,13,0,1,2,0,2,2.0,,,,,,2
177,Chris Pantale,NYJ,24,,5,0,,,,,,1,24,0,24,24.0,24
178,Quinton Patton,SFO,24,,4,0,,,,,,1,24,0,24,24.0,88
179,Logan Paulsen,WAS,27,TE/wr,16,12,,,,,,1,10,0,10,10.0,88
180,Austin Pettis,2TM,26,,9,0,1,1,0,1,1.0,,,,,,119
181,Chase Reynolds,STL,27,,15,0,,,,,,1,0,0,0,0.0,0
182,Craig Robertson,CLE,26,lb/mlb,16,11,,,,,,1,3,0,3,3.0,33
183,Khiry Robinson,NOR,25,rb,10,3,,,,,,1,28,0,28,28.0,453
184,Jacquizz Rodgers,ATL,24,rb,16,1,,,,,,1,10,0,10,10.0,400
185,,,,,,,,,,,,,,,,,
186,Greg Salas,NYJ,26,wr,10,2,,,,,,1,8,0,8,8.0,195
187,Anthony Sherman,KAN,26,fb,16,6,,,,,,1,13,0,13,13.0,92
188,Richard Sherman*+,SEA,26,cb/LCB,16,16,1,0,0,0,0.0,,,,,,81
189,Brad Smith,PHI,31,,13,0,,,,,,1,21,0,21,21.0,38
190,Zach Sudfeld,NYJ,25,fb/te,16,3,,,,,,1,9,0,9,9.0,94
191,Frank Summers,BUF,29,fb,10,6,,,,,,1,11,0,11,11.0,37
192,Lorenzo Taliaferro,BAL,23,,13,0,,,,,,1,15,0,15,15.0,421
193,Chase Thomas,SFO,25,,5,0,,,,,,1,8,0,8,8.0,8
194,Levine Toilolo,ATL,23,TE,16,16,,,,,,1,0,0,0,0.0,238
195,Mike Tolbert,CAR,29,fb,8,6,,,,,,1,2,0,2,2.0,173
196,Kyle Wilber,DAL,25,lb,16,3,,,,,,1,2,0,2,2.0,2
197,K'Waun Williams,CLE,23,db,13,4,1,0,0,0,0.0,,,,,,0
198,Tourek Williams,SDG,23,,15,0,,,,,,1,13,0,13,13.0,13
199,Vince Williams,PIT,25,lilb,16,2,1,0,0,0,0.0,,,,,,0
200,Albert Wilson,KAN,22,wr,12,2,,,,,,1,21,0,21,21.0,281
201,Robert Woods,BUF,22,WR,16,15,1,11,0,11,11.0,,,,,,710
202,Darrel Young,WAS,27,FB,16,10,,,,,,1,10,0,10,10.0,113
