,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
0,Jarvis Landry*,MIA,25,WR,16,16,161,112,69.6%,987,8.8,9,49,6.1,7.0,61.7,4
1,Larry Fitzgerald*,ARI,34,WR,16,16,161,109,67.7%,1156,10.6,6,37,7.2,6.8,72.3,1
2,Michael Thomas*,NOR,24,WR,16,14,149,104,69.8%,1245,12.0,5,43,8.4,6.5,77.8,0
3,Keenan Allen*,LAC,25,WR,16,15,159,102,64.2%,1393,13.7,6,51,8.8,6.4,87.1,1
4,Antonio Brown*+,PIT,29,WR,14,14,163,101,62.0%,1533,15.2,9,57,9.4,7.2,109.5,4
5,DeAndre Hopkins*+,HOU,25,WR,15,15,174,96,55.2%,1378,14.4,13,72,7.9,6.4,91.9,1
6,Golden Tate,DET,29,WR,16,12,120,92,76.7%,1003,10.9,5,71,8.4,5.8,62.7,1
7,Adam Thielen*,MIN,27,WR,16,16,142,91,64.1%,1276,14.0,4,65,9.0,5.7,79.8,3
8,Julio Jones*,ATL,28,WR,16,16,148,88,59.5%,1444,16.4,3,53,9.8,5.5,90.3,0
9,Le'Veon Bell*+,PIT,25,RB,15,15,106,85,80.2%,655,7.7,2,42,6.2,5.7,43.7,3
10,Travis Kelce*,KAN,28,TE,15,15,122,83,68.0%,1038,12.5,8,44,8.5,5.5,69.2,0
11,Demaryius Thomas,DEN,30,WR,16,16,140,83,59.3%,949,11.4,5,40,6.8,5.2,59.3,1
12,Alvin Kamara*,NOR,22,fb/rb,16,3,100,81,81.0%,826,10.2,5,40,8.3,5.1,51.6,1
13,Jack Doyle*,IND,27,TE,15,15,108,80,74.1%,690,8.6,4,26,6.4,5.3,46.0,2
14,Christian McCaffrey,CAR,21,RB,16,10,113,80,70.8%,651,8.1,5,37,5.8,5.0,40.7,2
