,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nick Folk,NYJ,30,K,16,0,,,13,13,7,7,13,9,6,3,39,32,82.1%,23,23,100.0%,,,,,
2,Dan Carpenter,BUF,29,K,16,0,,,10,10,12,11,8,7,8,6,38,34,89.5%,32,31,96.9%,,,,,
3,Stephen Gostkowski*,NWE,30,K,16,0,1,1,11,11,11,10,13,12,1,1,37,35,94.6%,51,51,100.0%,,,,,
4,Stephen Hauschka,SEA,29,K,16,0,,,10,10,10,10,13,9,4,2,37,31,83.8%,41,41,100.0%,,,,,
5,Caleb Sturgis,MIA,25,K,16,0,1,1,12,12,8,7,10,6,6,3,37,29,78.4%,41,41,100.0%,,,,,
6,Cody Parkey*,PHI,22,K,16,0,,,10,10,16,14,6,4,4,4,36,32,88.9%,54,54,100.0%,,,,,
7,Randy Bullock,HOU,25,K,16,0,,,7,6,15,13,8,7,5,4,35,30,85.7%,40,40,100.0%,,,,,
8,Graham Gano,CAR,27,K,16,0,,,7,7,14,13,11,8,3,1,35,29,82.9%,34,34,100.0%,,,,,
9,Blair Walsh,MIN,24,K,16,0,2,2,5,4,10,8,9,7,9,5,35,26,74.3%,29,29,100.0%,,,,,
10,Justin Tucker,BAL,25,K,16,0,,,10,10,11,11,4,4,9,4,34,29,85.3%,42,42,100.0%,,,,,
11,Chandler Catanzaro,ARI,23,K,16,0,,,5,5,14,12,11,10,3,2,33,29,87.9%,27,27,100.0%,,,,,
12,Mason Crosby,GNB,30,K,16,0,,,7,7,11,10,8,6,7,4,33,27,81.8%,55,53,96.4%,,,,,
13,Mike Nugent,CIN,32,K,16,0,,,6,6,12,10,12,10,3,,33,26,78.8%,39,39,100.0%,,,,,
14,Matt Bryant,ATL,39,K,16,0,,,10,10,4,4,8,8,10,7,32,29,90.6%,40,40,100.0%,,,,,
15,Shaun Suisham,PIT,33,K,16,0,,,13,12,6,6,10,10,3,1,32,29,90.6%,45,45,100.0%,,,,,
16,Phil Dawson,SFO,39,K,16,0,,,6,6,9,8,7,5,9,6,31,25,80.6%,33,33,100.0%,,,,,
17,Adam Vinatieri*+,IND,42,K,16,0,,,10,10,10,10,8,7,3,3,31,30,96.8%,50,50,100.0%,,,,,
18,Cairo Santos,KAN,23,K,16,0,1,1,10,10,6,5,11,8,2,1,30,25,83.3%,38,38,100.0%,,,,,
19,Greg Zuerlein,STL,27,K,16,0,1,1,7,6,12,10,3,2,7,5,30,24,80.0%,35,34,97.1%,,,,,
20,Dan Bailey,DAL,26,K,16,0,,,6,6,7,6,9,8,7,5,29,25,86.2%,56,56,100.0%,,,,,
21,Billy Cundiff,CLE,34,K,13,0,,,6,6,13,10,7,5,3,1,29,22,75.9%,28,28,100.0%,,,,,
22,Kai Forbath,WAS,27,K,16,0,,,11,11,7,6,8,7,1,,27,24,88.9%,32,31,96.9%,,,,,
23,Nick Novak,SDG,33,K,16,0,1,1,6,6,9,8,6,4,4,3,26,22,84.6%,40,40,100.0%,6,240,51,0,40.0
24,Josh Brown,NYG,35,K,16,0,1,1,7,6,9,9,5,4,4,4,26,24,92.3%,44,44,100.0%,,,,,
