,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
25,Matt Prater,2TM,30,,11,0,,,8,8,5,4,8,6,5,3,26,21,80.8%,21,21,100.0%,,,,,
26,Josh Scobee,JAX,32,K,16,0,,,3,3,8,7,9,7,6,3,26,20,76.9%,23,23,100.0%,,,,,
27,Patrick Murray,TAM,23,K/P,16,0,,,3,2,8,7,7,6,6,5,24,20,83.3%,31,31,100.0%,,,,,
28,Shayne Graham,NOR,37,K,16,0,,,6,6,9,9,5,3,2,1,22,19,86.4%,47,46,97.9%,,,,,
29,Sebastian Janikowski,OAK,36,K/P,16,0,,,2,2,6,5,9,9,5,3,22,19,86.4%,28,28,100.0%,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ryan Succop,TEN,28,K,16,0,,,5,5,7,7,8,5,2,2,22,19,86.4%,27,27,100.0%,,,,,
32,Connor Barth,DEN,28,k,5,0,2,2,4,4,5,5,4,3,1,1,16,15,93.8%,15,15,100.0%,,,,,
33,Brandon McManus,DEN,23,K,15,0,,,5,5,3,2,3,2,2,,13,9,69.2%,41,41,100.0%,,,,,
34,Robbie Gould,CHI,32,K,12,0,,,4,4,3,2,4,3,1,,12,9,75.0%,29,28,96.6%,,,,,
35,Nate Freese,DET,24,k,3,0,,,2,2,1,1,4,,,,7,3,42.9%,6,6,100.0%,,,,,
36,Alex Henery,DET,27,k,2,0,,,,,,,2,,3,1,5,1,20.0%,5,5,100.0%,,,,,
37,Jay Feely,CHI,38,k,4,0,,,1,1,1,1,2,1,,,4,3,75.0%,6,5,83.3%,,,,,
38,Garrett Hartley,CLE,28,k,2,0,,,,,2,2,1,1,,,3,3,100.0%,2,2,100.0%,,,,,
39,Marquette King,OAK,26,P,16,0,,,,,,,,,,,,,,,,,109,4930,62,0,45.2
40,Bryan Anger,JAX,26,P,16,0,,,,,,,,,,,,,,,,,94,4464,69,2,47.5
41,Spencer Lanning,CLE,26,P,16,0,,,,,,,,,,,,,,,,,93,4119,59,0,44.3
42,Brett Kern,TEN,28,P,14,0,,,,,,,,,,,,,,,,,88,4118,79,1,46.8
43,Colton Schmidt,BUF,24,P,16,0,,,,,,,,,,,,,,,,,86,3692,67,0,42.9
44,Shane Lechler,HOU,38,P,16,0,,,,,,,,,,,,,,,,,83,3845,71,1,46.3
45,Johnny Hekker,STL,24,P,16,0,,,,,,,,,,,,,,,,,80,3721,61,1,46.5
46,Steve Weatherford,NYG,32,P,16,0,,,,,,,,,,,,,,,,,80,3640,71,1,45.5
47,Drew Butler,ARI,25,P,15,0,,,,,,,,,,,,,,,,,79,3328,67,2,42.1
48,Michael Koenen,TAM,32,P,16,0,,,,,,,,,,,,,,,,,78,3154,56,1,40.4
49,Ryan Quigley,NYJ,24,P,16,0,,,,,,,,,,,,,,,,,78,3580,69,1,45.9
50,Tress Way,WAS,24,P,16,0,,,,,,,,,,,,,,,,,77,3659,77,0,47.5
51,Donnie Jones,PHI,34,P,16,0,,,,,,,,,,,,,,,,,76,3331,68,0,43.8
52,Jeff Locke,MIN,25,P,16,0,,,,,,,,,,,,,,,,,75,3318,62,1,44.2
53,Kevin Huber*,CIN,29,K/P/WR,16,0,,,,,,,,,,,,,,,,,73,3419,69,0,46.8
54,Andy Lee,SFO,32,P,16,0,,,,,,,,,,,,,,,,,72,3369,71,1,46.8
55,Brad Nortman,CAR,25,P,16,0,,,,,,,,,,,,,,,,,72,3236,72,2,44.9
56,Dustin Colquitt,KAN,32,P,16,0,,,,,,,,,,,,,,,,,71,3164,69,0,44.6
57,Pat O'Donnell,CHI,23,P/WR,16,0,,,,,,,,,,,,,,,,,71,3107,61,1,43.8
58,Britton Colquitt,DEN,29,P,16,0,,,,,,,,,,,,,,,,,69,3048,65,0,44.2
59,Pat McAfee*+,IND,27,P,16,0,,,,,,,,,,,,,,,,,69,3221,61,0,46.7
60,Sam Martin,DET,24,P,16,0,,,,,,,,,,,,,,,,,68,3138,71,0,46.1
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Matthew Bosher,ATL,27,P,16,0,,,,,,,,,,,,,,,,,67,3063,66,0,45.7
63,Ryan Allen,NWE,24,P,16,0,,,,,,,,,,,,,,,,,66,3060,67,1,46.4
64,Jon Ryan,SEA,33,P,16,0,,,,,,,,,,,,,,,,,61,2688,66,1,44.1
65,Brad Wing,PIT,23,P,16,0,,,,,,,,,,,,,,,,,61,2667,74,0,43.7
66,Sam Koch,BAL,32,P,16,0,,,,,,,,,,,,,,,,,60,2841,73,1,47.4
67,Brandon Fields,MIA,30,P,16,0,,,,,,,,,,,,,,,,,58,2688,60,1,46.3
68,Thomas Morstead,NOR,28,P,16,0,,,,,,,,,,,,,,,,,58,2690,63,0,46.4
69,Chris Jones,DAL,25,C/P,16,0,,,,,,,,,,,,,,,,,57,2586,64,1,45.4
70,Mike Scifres,SDG,34,P,13,0,,,,,,,,,,,,,,,,,55,2516,72,1,45.7
71,Tim Masthay,GNB,27,P,16,0,,,,,,,,,,,,,,,,,49,2159,63,2,44.1
72,Mat McBriar,SDG,35,p,3,0,,,,,,,,,,,,,,,,,13,610,58,0,46.9
73,Dave Zastudil,ARI,36,p,2,0,,,,,,,,,,,,,,,,,11,487,53,0,44.3
