,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
38,Mike Nugent,2TM,27,,6,0,1,1,1,1,2,1,4,1,,,8,4,50.0%,14,14,100.0%,,,,,
39,Graham Gano,WAS,22,k,4,0,,,2,2,,,2,2,,,4,4,100.0%,7,6,85.7%,,,,,
40,Ricky Schmitt,SFO,24,k,1,0,,,1,,2,2,,,,,3,2,66.7%,2,2,100.0%,,,,,
41,Shane Andrus,3TM,29,,5,0,,,,,,,1,,,,1,,0.0%,10,10,100.0%,,,,,
42,Andy Lee*,SFO,27,P,16,0,,,,,,,,,,,,,,,,,99,4711,64,0,47.6
43,Dustin Colquitt,KAN,27,P,16,0,,,,,,,,,,,,,,,,,96,4361,70,1,45.4
44,Shane Lechler*+,OAK,33,P,16,0,,,,,,,,,,,,,,,,,96,4909,70,0,51.1
45,Donnie Jones,STL,29,P,16,0,,,,,,,,,,,,,,,,,90,4212,63,0,46.8
46,Brian Moorman,BUF,33,P,16,0,,,,,,,,,,,,,,,,,90,4192,73,0,46.6
47,Jon Ryan,SEA,28,P,16,0,,,,,,,,,,,,,,,,,88,4068,70,0,46.2
48,Ben Graham,ARI,36,P,16,0,,,,,,,,,,,,,,,,,86,4045,64,0,47.0
49,Kevin Huber,CIN,24,P,16,0,,,,,,,,,,,,,,,,,86,3713,61,0,43.2
50,Steve Weatherford,NYJ,27,P,16,0,,,,,,,,,,,,,,,,,80,3357,66,0,42.0
51,Brad Maynard,CHI,35,P,16,0,,,,,,,,,,,,,,,,,77,3191,66,0,41.4
52,Jason Baker,CAR,31,P,16,0,,,,,,,,,,,,,,,,,76,3352,61,1,44.1
53,Saverio Rocca,PHI,36,P,16,0,,,,,,,,,,,,,,,,,76,3222,61,0,42.4
54,Brandon Fields,MIA,25,P,16,0,,,,,,,,,,,,,,,,,75,3472,66,0,46.3
55,Nick Harris,DET,31,P,16,0,,,,,,,,,,,,,,,,,74,3175,56,0,42.9
56,Chris Kluwe,MIN,28,P,16,0,,,,,,,,,,,,,,,,,73,3202,60,0,43.9
57,Sam Koch,BAL,27,P,16,0,,,,,,,,,,,,,,,,,73,3188,60,1,43.7
58,Mat McBriar,DAL,30,P,16,0,,,,,,,,,,,,,,,,,72,3249,63,0,45.1
59,Adam Podlesh,JAX,26,P,16,0,,,,,,,,,,,,,,,,,72,3017,64,0,41.9
60,Daniel Sepulveda,PIT,25,P,16,0,,,,,,,,,,,,,,,,,72,3074,60,0,42.7
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Reggie Hodges,2TM,27,,12,0,,,,,,,,,,,,,,,,,67,2657,54,0,39.7
63,Matt Turk,HOU,41,P,16,0,,,,,,,,,,,,,,,,,67,2866,62,0,42.8
64,Jeremy Kapinos,GNB,25,P,16,0,,,,,,,,,,,,,,,,,66,2891,58,1,43.8
65,Jeff Feagles,NYG,43,P,16,0,,,,,,,,,,,,,,,,,64,2604,59,0,40.7
66,Brett Kern,2TM,23,,16,0,,,,,,,,,,,,,,,,,64,2910,67,0,45.5
67,Pat McAfee,IND,22,P,16,0,,,,,,,,,,,,,,,,,64,2837,60,0,44.3
68,Dirk Johnson,TAM,34,P,11,0,,,,,,,,,,,,,,,,,62,2558,63,0,41.3
69,Michael Koenen,ATL,27,P,16,0,,,,,,,,,,,,,,,,,61,2598,70,1,42.6
70,Thomas Morstead,NOR,23,P,16,0,,,,,,,,,,,,,,,,,58,2528,60,0,43.6
71,Hunter Smith,WAS,32,P,13,0,,,,,,,,,,,,,,,,,57,2356,59,0,41.3
72,Chris Hanson,NWE,33,P,16,0,,,,,,,,,,,,,,,,,56,2221,56,1,39.7
73,Mike Scifres,SDG,29,P,16,0,,,,,,,,,,,,,,,,,52,2342,65,0,45.0
74,Mitch Berger,DEN,37,P,10,0,,,,,,,,,,,,,,,,,51,2142,65,0,42.0
75,Dave Zastudil,CLE,31,P,8,0,,,,,,,,,,,,,,,,,49,2188,60,0,44.7
76,Sam Paulescu,2TM,25,,6,0,,,,,,,,,,,,,,,,,27,1172,61,0,43.4
77,Glenn Pakulak,WAS,29,p,2,0,,,,,,,,,,,,,,,,,13,498,57,0,38.3
78,Craig Hentrich,TEN,38,p,2,0,,,,,,,,,,,,,,,,,9,422,60,0,46.9
