,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,David Akers*,PHI,35,K,16,0,1,1,11,11,9,8,13,11,3,1,37,32,86.5%,45,43,95.6%,,,,,
2,Mason Crosby,GNB,25,K,16,0,1,1,13,13,9,7,7,4,6,2,36,27,75.0%,49,48,98.0%,,,,,
3,Jay Feely,NYJ,33,K,16,0,,,6,6,15,12,14,11,1,1,36,30,83.3%,32,32,100.0%,,,,,
4,Nate Kaeding*+,SDG,27,K,16,0,2,2,17,17,4,4,8,6,4,3,35,32,91.4%,51,50,98.0%,,,,,
5,Matt Prater,DEN,25,K,16,0,,,14,14,8,6,10,8,3,2,35,30,85.7%,32,32,100.0%,,,,,
6,Rian Lindell,BUF,32,K,16,0,,,12,12,9,9,9,6,3,1,33,28,84.8%,24,24,100.0%,,,,,
7,Rob Bironas,TEN,31,K,16,0,,,8,8,6,4,12,10,6,5,32,27,84.4%,37,37,100.0%,1,40,40,0,40.0
8,Kris Brown,HOU,33,K,16,0,,,13,11,9,6,6,2,4,2,32,21,65.6%,44,43,97.7%,,,,,
9,Lawrence Tynes,NYG,31,,16,0,,,12,10,13,11,6,5,1,1,32,27,84.4%,45,45,100.0%,,,,,
10,Stephen Gostkowski,NWE,25,K,16,0,,,7,7,13,12,8,5,3,2,31,26,83.9%,47,47,100.0%,,,,,
11,Jeff Reed,PIT,30,K,16,0,1,1,7,7,16,15,5,4,2,,31,27,87.1%,41,41,100.0%,,,,,
12,Sebastian Janikowski,OAK,31,K,16,0,,,3,3,8,8,10,9,8,6,29,26,89.7%,17,17,100.0%,,,,,
13,Ryan Succop,KAN,23,K,16,0,,,10,10,7,7,7,6,5,2,29,25,86.2%,29,29,100.0%,,,,,
14,Dan Carpenter*,MIA,24,K,16,0,,,9,9,8,7,9,8,2,1,28,25,89.3%,38,37,97.4%,,,,,
15,Nick Folk,DAL,25,k,14,0,1,1,6,5,7,6,12,5,2,1,28,18,64.3%,36,36,100.0%,,,,,
16,Robbie Gould,CHI,27,K,16,0,,,9,9,6,6,10,7,3,2,28,24,85.7%,33,33,100.0%,,,,,
17,Shayne Graham,CIN,32,K,16,0,,,11,10,10,8,3,3,4,2,28,23,82.1%,29,28,96.6%,,,,,
18,Jason Hanson,DET,39,K,16,0,,,5,5,9,8,10,7,4,1,28,21,75.0%,25,25,100.0%,,,,,
19,Ryan Longwell,MIN,35,K,16,0,1,1,10,10,6,5,9,8,2,2,28,26,92.9%,55,54,98.2%,,,,,
20,Josh Scobee,JAX,27,K,16,0,,,7,6,5,5,7,3,9,4,28,18,64.3%,31,30,96.8%,,,,,
21,John Kasay,CAR,40,K,16,0,,,7,7,10,9,6,5,4,1,27,22,81.5%,32,31,96.9%,,,,,
22,Olindo Mare,SEA,36,K,16,0,,,9,9,11,10,6,5,,,26,24,92.3%,28,28,100.0%,1,32,32,0,32.0
23,Shaun Suisham,2TM,28,,14,0,,,10,9,7,5,6,6,1,,24,20,83.3%,26,25,96.2%,3,80,32,0,26.7
24,Josh Brown,STL,30,K,16,0,,,5,5,5,4,7,4,7,6,24,19,79.2%,16,16,100.0%,,,,,
25,Billy Cundiff,2TM,29,,12,0,1,1,9,9,8,5,3,3,2,,23,18,78.3%,23,23,100.0%,,,,,
26,Joe Nedney,SFO,36,K,14,0,,,4,4,8,7,6,4,3,2,21,17,81.0%,33,33,100.0%,,,,,
27,Connor Barth,TAM,23,K,9,0,,,2,2,6,4,7,5,4,3,19,14,73.7%,12,12,100.0%,1,46,46,0,46.0
28,Phil Dawson,CLE,34,K,11,0,,,7,7,5,5,6,5,1,,19,17,89.5%,19,18,94.7%,,,,,
29,Jason Elam,ATL,39,K,11,0,,,4,4,8,4,5,3,2,1,19,12,63.2%,33,32,97.0%,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,John Carney,NOR,45,K,11,0,,,6,6,8,5,3,2,,,17,13,76.5%,52,50,96.2%,,,,,
32,Neil Rackers,ARI,33,K,14,0,,,4,4,6,6,7,6,,,17,16,94.1%,38,37,97.4%,,,,,
33,Stephen Hauschka,BAL,24,K,9,0,,,1,1,7,5,5,3,,,13,9,69.2%,28,27,96.4%,,,,,
34,Garrett Hartley,NOR,23,k,5,0,1,1,3,3,6,5,,,1,,11,9,81.8%,11,10,90.9%,,,,,
35,Matt Stover,IND,41,K,10,0,,,2,2,6,5,2,2,1,,11,9,81.8%,33,33,100.0%,,,,,
36,Matt Bryant,ATL,34,k,5,0,,,2,2,4,4,2,,2,1,10,7,70.0%,10,10,100.0%,1,36,36,0,36.0
37,Adam Vinatieri,IND,37,k,6,0,1,1,3,3,2,1,2,2,1,,9,7,77.8%,18,17,94.4%,,,,,
