,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
0,,,,,,,,,,,,,,,,,,,,,,,
1,James Laurinaitis,STL,26,MLB,16,16,2,18,0,18,5,0,0,1,4,0,0.5,142,117,25,4,2,
2,Lavonte David,TAM,22,LB,16,16,1,27,0,27,4,,,,,,2.0,139,112,27,20,5,
3,Derrick Johnson*,KAN,30,RILB,16,16,0,0,0,0,4,4,0,0,0,0,2.0,125,110,15,12,5,
4,Daryl Washington*,ARI,26,LB,16,16,1,7,0,7,4,2,0,1,3,0,9.0,134,108,26,15,12,
5,Russell Allen,JAX,26,LB,16,16,0,0,0,0,6,0,0,1,0,0,0.5,131,107,24,9,4,
6,Paul Posluszny,JAX,28,lb/MLB,16,16,3,20,0,13,7,2,0,0,0,0,2.0,139,106,33,5,5,
7,Luke Kuechly,CAR,21,lb/MLB,16,16,2,22,0,25,7,0,0,3,9,0,1.0,165,103,62,12,1,
8,Karlos Dansby,MIA,31,LB/mlb,16,16,0,0,0,0,9,1,0,0,0,0,1.0,134,101,33,9,2,
9,Chad Greenway*,MIN,29,LB,16,16,1,3,0,3,4,0,0,2,0,0,3.0,148,98,50,7,5,
10,NaVorro Bowman*+,SFO,24,LB,16,16,1,11,0,11,7,1,0,0,0,0,2.0,148,96,52,6,4,
11,Jerrell Freeman,IND,26,LB,16,16,1,4,1,4,3,1,0,0,0,0,2.0,145,90,55,7,2,
12,Jo-Lonn Dunbar,STL,27,LB,16,16,2,63,0,42,5,2,0,0,0,0,4.5,112,88,24,16,12,
13,Roman Harper,NOR,30,SS,16,16,2,41,0,41,11,,,,,,,115,88,27,4,1,
14,Patrick Willis*+,SFO,27,LB,16,16,2,2,0,2,9,2,0,1,3,0,0.5,120,88,32,5,3,
15,Morgan Burnett,GNB,23,fs/SS,16,16,2,1,0,1,5,2,0,1,0,0,2.0,122,87,35,5,4,
16,Jerod Mayo*,NWE,26,LB,16,16,1,0,0,0,3,4,0,1,0,0,3.0,147,87,60,5,5,
17,DeMeco Ryans,PHI,28,MLB,16,16,1,0,0,0,4,,,,,,1.0,113,86,27,15,2,
18,Bobby Wagner,SEA,22,MLB,16,15,3,55,0,45,4,,,,,,2.0,139,85,54,9,5,
19,Cortland Finnegan,STL,28,cb/LCB,16,15,3,68,1,32,9,1,0,0,0,0,1.0,101,83,18,3,1,
20,Quintin Mikell,STL,32,fs/SS,16,16,0,0,0,0,2,4,0,0,0,0,3.0,101,83,18,3,3,
21,Eric Weddle,SDG,27,FS,16,16,3,52,1,23,8,2,3,2,0,0,1.0,97,83,14,4,2,
22,Justin Durant,DET,27,LB,16,14,0,0,0,0,2,,,,,,0.5,103,82,21,9,2,
23,Mason Foster,TAM,23,lb/MLB,16,16,1,0,0,0,1,0,0,1,4,0,2.0,105,82,23,13,3,
24,Curtis Lofton,NOR,26,MLB,16,16,0,0,0,0,6,2,0,2,0,0,1.0,123,82,41,7,2,
25,A.J. Hawk,GNB,28,LB,16,16,,,,,,,,,,,3.0,120,81,39,9,5,
26,Dawan Landry,JAX,30,SS,16,16,1,47,0,21,2,,,,,,,100,81,19,0,0,
27,Kevin Burnett,MIA,30,LB/lolb,16,16,0,0,0,0,5,,,,,,2.5,110,80,30,5,5,
28,David Harris,NYJ,28,MLB,16,16,0,0,0,0,3,1,0,1,0,0,3.0,123,79,44,4,7,
29,George Wilson,BUF,31,SS,16,16,0,0,0,0,5,,,,,,,104,79,25,0,0,
30,,,,,,,,,,,,,,,,,,,,,,,
31,London Fletcher*,WAS,37,MLB,16,16,5,29,0,10,11,1,0,0,0,0,3.0,139,78,61,5,4,
32,Philip Wheeler,OAK,28,LB,16,16,0,0,0,0,6,2,0,1,0,0,3.0,109,78,31,5,12,
33,LaRon Landry*,NYJ,28,S,16,15,2,42,1,24,8,4,0,0,9,0,,100,76,24,4,3,
34,Antoine Bethea,IND,28,FS,16,16,0,0,0,0,7,,,,,,2.0,100,75,25,3,3,
35,Larry Foote,PIT,32,LILB,16,16,0,0,0,0,3,2,0,2,0,0,4.0,113,75,38,8,7,
36,Lawrence Timmons,PIT,26,RILB,16,16,3,80,1,53,5,2,0,1,1,0,6.0,106,75,31,10,17,
37,Tyvon Branch,OAK,26,SS,14,14,1,11,0,11,3,,,,,,,94,74,20,3,1,
38,Lance Briggs,CHI,32,LB,16,16,2,110,2,74,11,2,0,0,0,0,1.5,103,74,29,7,2,
39,Ryan Clark,PIT,33,FS,15,15,2,26,0,26,7,2,0,1,2,0,,102,74,28,4,0,
40,Reshad Jones,MIA,24,S,16,16,4,28,0,15,9,2,1,2,24,0,1.0,95,74,21,4,4,
41,Paris Lenon,ARI,35,LB,16,16,1,0,0,0,3,1,0,1,0,0,2.0,103,74,29,3,6,
42,Charles Tillman*+,CHI,31,RCB,16,16,3,71,3,36,16,10,0,2,0,0,,86,74,12,1,0,
43,Stephen Tulloch,DET,27,MLB,16,16,0,0,0,0,6,1,0,2,0,0,0.5,112,74,38,6,5,
44,Eric Berry*,KAN,24,SS,16,16,1,0,0,0,10,,,,,,,86,73,13,10,0,
45,Vontaze Burfict,CIN,22,LB,16,14,0,0,0,0,2,0,0,2,0,0,1.0,127,73,54,7,3,
46,Jason McCourty,TEN,25,CB,16,16,4,29,0,28,15,1,0,1,0,0,,92,73,19,4,0,
47,Antrel Rolle,NYG,30,FS,16,16,2,42,0,22,5,1,0,1,0,0,,96,73,23,4,0,
48,Nick Barnett,BUF,31,LB,16,16,0,0,0,0,1,3,0,0,0,0,2.0,112,72,40,6,1,
49,Mark Barron,TAM,23,SS,16,16,1,12,0,12,10,1,0,0,0,0,,89,72,17,4,0,
50,Yeremiah Bell,NYJ,34,S,16,16,0,0,0,0,2,0,0,3,18,0,1.0,89,72,17,3,1,
51,Chris Clemons,MIA,27,db/S,16,16,2,29,0,29,4,0,0,1,-3,0,,98,72,26,3,0,
52,Stephen Nicholas,ATL,29,LB,16,15,1,3,0,3,4,1,0,1,0,0,2.0,97,72,25,5,5,
53,Buster Skrine,CLE,23,db/lcb/rcb,16,6,0,0,0,0,10,0,0,1,0,0,,85,72,13,3,1,
54,Antoine Winfield,MIN,35,LCB,16,15,3,37,0,31,13,0,0,1,0,0,0.5,101,72,29,8,1,
55,Ronde Barber,TAM,37,cb/FS,16,16,4,160,1,78,13,1,0,0,0,0,1.0,92,71,21,8,0,
56,Bernard Pollard,BAL,28,SS,13,13,1,0,0,0,5,,,,,,2.0,98,71,27,6,3,
57,Thomas Davis,CAR,29,LB,15,12,1,0,0,0,3,2,0,1,-2,0,,105,70,35,9,1,
58,Perry Riley,WAS,24,LB,16,16,0,0,0,0,7,1,0,1,0,0,3.5,125,70,55,6,5,
59,Sean Weatherspoon,ATL,25,LB,13,13,1,6,0,6,4,1,0,1,0,0,3.0,95,70,25,6,7,
60,Wesley Woodyard,DEN,26,LB,15,14,3,40,0,25,6,1,0,1,12,0,5.5,114,70,44,9,9,
61,,,,,,,,,,,,,,,,,,,,,,,
62,Kam Chancellor,SEA,24,SS,16,16,0,0,0,0,4,1,0,2,0,0,,91,69,22,3,0,
63,Harrison Smith,MIN,23,FS,16,16,3,87,2,56,10,1,0,1,0,0,1.0,97,69,28,1,2,
64,J.J. Watt*+,HOU,23,DE,16,16,0,0,0,0,16,4,0,2,7,0,20.5,81,69,12,39,43,
65,Zach Brown,TEN,23,LB,16,14,3,156,2,79,5,1,1,2,6,0,5.5,92,68,24,11,8,
66,DeAngelo Hall,WAS,29,LCB,16,16,4,62,0,27,13,0,1,2,0,0,1.0,95,68,27,7,1,
67,K.J. Wright,SEA,23,LB,15,15,1,24,0,24,5,1,0,0,0,0,1.0,98,68,30,8,3,
68,Kurt Coleman,PHI,24,FS,14,14,2,13,0,7,4,1,0,0,0,0,,89,67,22,3,0,
69,Dunta Robinson,ATL,30,CB/rcb,16,16,1,4,0,4,8,1,0,0,0,0,1.5,80,67,13,7,2,
70,Cary Williams,BAL,28,RCB,16,16,4,90,1,63,17,,,,,,1.0,75,67,8,2,1,
71,Akeem Ayers,TEN,23,LB/mlb,16,13,1,2,0,2,8,1,0,0,0,0,6.0,104,66,38,8,10,
72,Jordan Babineaux,TEN,30,fs/ss,16,12,1,10,0,10,7,,,,,,,96,66,30,0,2,
73,Dannell Ellerbe,BAL,27,lb,13,7,0,0,0,0,2,1,0,0,0,0,4.5,89,66,23,8,8,
74,Madieu Williams,WAS,31,FS,16,16,1,24,1,24,6,,,,,,1.0,99,66,33,3,2,
75,Michael Boley,NYG,30,LB,16,11,3,74,0,51,4,0,0,2,70,1,0.5,92,65,27,4,3,
76,Malcolm Jenkins,NOR,25,FS,13,13,1,55,1,55,6,0,0,1,0,0,,94,65,29,2,2,
77,Glover Quin,HOU,26,FS,16,16,2,22,0,22,13,2,0,0,0,0,1.0,85,65,20,6,1,
78,Chase Blackburn,NYG,29,MLB,15,15,1,0,0,0,5,4,0,0,0,0,3.0,98,64,34,6,7,
79,Janoris Jenkins,STL,24,RCB,15,14,4,150,3,41,14,0,3,1,2,1,,73,64,9,3,0,
80,D'Qwell Jackson,CLE,29,lb/MLB,16,16,2,31,1,27,8,2,0,2,0,0,3.5,118,63,55,4,5,
81,Kyle Arrington,NWE,26,RCB,16,12,0,0,0,0,11,1,0,1,0,0,,74,62,12,2,1,
82,Jasper Brinkley,MIN,27,MLB,16,15,0,0,0,0,3,3,0,0,0,0,,97,62,35,2,2,
83,Miles Burris,OAK,24,LB,16,15,1,7,0,7,3,,,,,,1.5,96,62,34,5,8,
84,Antoine Cason,SDG,26,RCB,16,16,2,34,0,31,10,2,0,0,0,0,,73,62,11,1,0,
85,Craig Dahl,STL,27,FS/ss,16,16,1,38,0,38,2,,,,,,,78,62,16,1,0,
86,Thomas DeCoud*,ATL,27,fs/S,16,16,6,42,0,24,9,0,0,1,0,0,1.0,76,62,14,4,1,
87,Rey Maualuga,CIN,25,lb/MLB,16,16,0,0,0,0,5,0,0,1,0,0,1.0,122,62,60,1,4,
88,Donte Whitner*,SFO,27,SS,16,16,1,42,1,42,4,2,0,1,0,0,,83,62,21,1,0,
89,Champ Bailey*,DEN,34,LCB,16,15,2,18,0,18,8,,,,,,,66,61,5,3,0,
90,Mike Adams,DEN,31,SS,16,16,0,0,0,0,11,2,0,2,0,0,1.0,80,60,20,1,8,1
91,Nate Allen,PHI,25,SS,15,13,0,0,0,0,4,,,,,,,73,60,13,1,0,
92,,,,,,,,,,,,,,,,,,,,,,,
93,Michael Griffin,TEN,27,FS/ss,16,16,4,59,0,33,4,2,0,0,0,0,1.0,79,60,19,3,3,
94,Devin McCourty,NWE,25,LCB/S,16,16,5,53,0,34,13,2,1,0,0,0,,79,60,19,3,0,
95,Rahim Moore,DEN,22,FS,16,15,1,23,0,23,6,0,0,1,0,0,1.0,72,60,12,4,1,
96,William Moore*,ATL,27,S/ss,12,12,4,51,0,33,9,2,0,1,0,0,1.0,76,60,16,5,3,
97,Danieal Manning,HOU,30,SS,16,16,2,59,1,55,8,3,0,1,1,0,1.0,77,59,18,2,1,
98,Alterraun Verner,TEN,24,CB,16,16,2,11,0,11,9,1,0,1,72,1,,77,59,18,8,0,
99,Mychal Kendricks,PHI,22,LB,15,14,0,0,0,0,8,,,,,,1.0,75,58,17,6,1,
100,Kerry Rhodes,ARI,30,FS,15,15,4,39,0,30,11,2,0,0,0,0,1.0,67,58,9,0,1,
101,Cassius Vaughn,IND,25,LCB,16,11,1,3,1,3,9,,,,,,,66,58,8,0,0,
102,Stevie Brown,NYG,25,SS,16,11,8,307,0,70,11,2,0,2,9,0,,66,56,10,3,1,
103,Brad Jones,GNB,26,MLB,16,10,0,0,0,0,5,1,0,0,0,0,2.0,77,56,21,7,3,
104,Jameel McClain,BAL,27,lb/mlb,13,13,0,0,0,0,3,0,0,1,0,0,,78,56,22,4,1,
105,Reggie Nelson,CIN,29,FS,14,14,3,10,0,10,9,1,0,0,0,0,1.0,85,56,29,6,4,
106,Craig Robertson,CLE,24,lb,16,3,2,1,0,1,3,0,0,2,2,0,1.0,83,56,27,4,3,
107,Kelvin Sheppard,BUF,24,MLB,16,15,0,0,0,0,1,,,,,,2.0,80,56,24,3,4,
108,Brandon Spikes,NWE,25,LB,15,14,0,0,0,0,6,4,0,0,0,0,1.0,91,56,35,5,5,
109,Derek Cox,JAX,26,lcb/RCB,12,12,4,18,0,16,11,1,0,0,0,0,,60,55,5,1,0,
110,Dashon Goldson*+,SFO,28,FS,16,16,3,21,0,20,12,1,0,2,71,0,,69,55,14,1,0,
111,Quentin Jammer,SDG,33,LCB,16,16,3,89,1,80,9,1,0,3,0,1,,64,55,9,3,0,
112,Tim Jennings*,CHI,29,LCB,14,14,9,105,1,31,21,,,,,,,60,55,5,1,0,
113,DeAndre Levy,DET,25,LB,14,13,1,-1,0,0,3,0,0,1,0,0,,80,55,25,9,0,
114,Von Miller*+,DEN,23,LB,16,16,1,26,1,26,2,6,0,0,0,0,18.5,68,55,13,28,25,
115,Anthony Spencer*,DAL,28,LB,14,14,0,0,0,0,4,2,0,1,0,0,11.0,95,55,40,14,14,
116,Keenan Lewis,PIT,26,LCB,16,16,0,0,0,0,23,1,0,0,0,0,,69,54,15,2,0,
117,Josh Wilson,WAS,27,RCB,16,16,2,8,0,7,13,3,0,2,30,1,1.0,74,54,20,0,2,
118,Sheldon Brown,CLE,33,RCB,15,14,3,20,1,19,12,1,0,2,0,0,1.0,60,53,7,3,1,
119,Jairus Byrd*,BUF,26,FS,16,16,5,81,0,45,6,4,0,2,0,0,,76,53,23,5,1,
120,Justin Houston*,KAN,23,LOLB,16,16,1,32,0,32,6,1,0,1,4,0,10.0,66,53,13,13,18,1
121,Terence Newman,CIN,34,db/LCB/rcb,15,15,2,0,0,0,11,1,0,2,8,0,,75,53,22,4,0,
122,Patrick Robinson,NOR,25,RCB,16,16,3,99,1,99,18,1,0,0,0,0,1.0,64,53,11,1,1,
123,,,,,,,,,,,,,,,,,,,,,,,
124,Richard Sherman+,SEA,24,LCB,16,16,8,57,1,29,24,3,0,1,0,0,1.0,64,53,11,0,1,
125,Sean Smith,MIA,25,CB/lcb,16,16,2,31,0,31,11,3,0,0,0,0,,59,53,6,0,0,
126,Takeo Spikes,SDG,36,LB,16,16,0,0,0,0,1,2,0,0,0,0,0.5,78,53,25,1,4,
127,Brian Urlacher,CHI,34,MLB,12,12,1,46,1,46,7,2,0,2,4,0,,68,53,15,8,0,
128,Javier Arenas,KAN,25,cb/RCB,16,9,0,0,0,0,9,1,2,1,0,0,,59,52,7,1,0,
129,Tarell Brown,SFO,27,RCB,16,16,2,17,0,12,13,,,,,,,57,52,5,0,0,
130,Chris Conte,CHI,23,FS,15,15,2,70,0,35,9,0,0,1,0,0,,68,52,16,2,0,
131,Johnathan Joseph*,HOU,28,RCB,14,14,2,88,1,52,10,,,,,,,57,52,5,0,0,
132,Patrick Peterson*,ARI,22,LCB,16,16,7,64,0,31,16,0,7,5,60,0,,55,52,3,2,0,
133,Corey Webster,NYG,30,LCB,16,16,4,45,0,38,11,,,,,,,58,52,6,0,0,
134,Tramon Williams,GNB,29,LCB,16,16,2,38,0,38,16,,,,,,,61,52,9,1,0,
135,Major Wright,CHI,24,SS,16,16,4,45,1,45,8,1,0,2,0,0,,71,52,19,5,0,
136,Bruce Carter,DAL,24,MLB,11,11,0,0,0,0,2,,,,,,,70,51,19,9,2,
137,Stephon Gilmore,BUF,22,RCB,16,16,1,23,0,23,16,2,0,0,0,0,,60,51,9,1,0,
138,Chris Harris,DEN,23,cb/RCB,15,12,3,144,2,98,9,0,0,1,0,0,2.5,61,51,10,4,4,
139,Nick Roach,CHI,27,LB/mlb,16,14,0,0,0,0,4,1,0,1,0,0,1.5,66,51,15,5,2,
140,Donald Butler,SDG,24,LB,12,12,1,21,1,21,4,1,0,0,0,0,3.0,77,50,27,5,5,
141,Calais Campbell,ARI,26,DE,13,12,0,0,0,0,6,,,,,,6.5,63,50,13,13,12,
142,Erin Henderson,MIN,26,LB,14,10,0,0,0,0,3,1,0,0,0,0,3.0,79,50,29,7,4,
143,Danny McCray,DAL,24,SS,15,10,1,0,0,0,2,,,,,,,71,50,21,1,0,
144,Josh Norman,CAR,25,RCB,16,12,1,2,0,2,7,,,,,,,71,50,21,0,0,
145,Carlos Rogers,SFO,31,LCB,16,16,1,63,0,63,6,0,0,3,63,1,1.0,56,50,6,2,2,
146,Aldon Smith*+,SFO,23,LB,16,16,1,6,0,6,1,3,0,0,0,0,19.5,66,50,16,18,29,
147,T.J. Ward,CLE,26,SS,14,14,1,37,0,37,4,3,0,0,0,0,1.0,68,50,18,2,3,
148,Atari Bigby,SDG,31,SS,11,11,0,0,0,0,3,0,0,1,0,0,,68,49,19,2,1,
149,Joselio Hanson,OAK,31,cb/db/fs,16,5,2,24,0,21,5,1,0,2,1,0,,61,49,12,3,2,
150,James Harrison,PIT,34,ROLB,13,13,,,,,,2,0,0,0,0,6.0,70,49,21,10,13,
151,Ed Reed*,BAL,34,FS,16,16,4,78,1,34,15,0,0,3,30,0,,58,49,9,1,0,
152,Josh Robinson,MIN,21,cb/lb/lcb,16,6,2,68,0,44,3,,,,,,,52,49,3,0,0,
153,Brandon Carr,DAL,26,fs/LCB,16,16,3,120,1,47,10,,,,,,,53,48,5,0,0,
154,,,,,,,,,,,,,,,,,,,,,,,
155,Marcus Gilchrist,SDG,24,cb/dt,16,4,0,0,0,0,3,,,,,,1.0,59,48,11,5,3,
156,Lamarr Houston,OAK,25,DE,16,16,0,0,0,0,2,1,0,1,0,0,4.5,67,48,19,13,12,
157,Robert McClain,ATL,24,cb,15,3,1,32,0,32,10,0,0,2,28,0,,55,48,7,1,1,
158,Nnamdi Asomugha,PHI,31,RCB,16,16,1,0,0,0,12,,,,,,,55,47,8,2,0,
159,Koa Misi,MIA,25,LB/rolb,14,14,0,0,0,0,2,2,0,0,0,0,3.5,60,47,13,7,5,
160,Jamarca Sanford,MIN,27,SS,16,13,0,0,0,0,5,4,0,1,0,0,,61,47,14,1,1,
161,Bryan Scott,BUF,31,lb,16,1,4,66,1,32,8,1,0,2,8,0,,66,47,19,0,1,
162,Justin Smith*,SFO,33,RDT,14,14,0,0,0,0,2,0,0,1,0,0,3.0,66,47,19,9,10,
163,Vontae Davis,IND,24,lcb/rcb,10,10,3,26,0,26,7,,,,,,1.0,51,46,5,4,1,
164,Bradie James,HOU,31,lb/MLB,15,15,0,0,0,0,2,0,0,2,0,0,0.5,77,46,31,3,3,
165,Captain Munnerlyn,CAR,24,LCB,16,11,2,107,2,74,9,0,1,0,0,0,,59,46,13,0,0,
166,Prince Amukamara,NYG,23,RCB,13,11,1,0,0,0,6,,,,,,,53,45,8,1,0,
167,William Gay,ARI,27,RCB,16,15,2,7,0,6,6,3,0,1,0,0,1.0,57,45,12,4,1,
168,Kareem Jackson,HOU,24,LCB,16,15,4,71,1,63,17,,,,,,,51,45,6,1,0,
169,Reed Doughty,WAS,30,SS,16,10,1,1,0,1,1,,,,,,,69,44,25,1,1,
170,Charles Godfrey,CAR,27,fs/SS,15,15,2,9,1,9,6,0,0,1,0,0,,69,44,25,2,0,
171,Chris Houston,DET,28,LCB,14,14,2,2,0,2,10,2,0,0,0,0,,56,44,12,3,0,
172,Ray Lewis,BAL,37,mlb,6,6,0,0,0,0,1,1,0,1,0,0,1.0,57,44,13,1,2,
173,Cortez Allen,PIT,24,rcb,15,3,2,6,0,6,10,3,0,1,21,0,,55,43,12,0,2,
174,Morris Claiborne,DAL,22,RCB,15,15,1,0,0,0,8,1,0,2,50,1,,55,43,12,1,0,
175,Tamba Hali*,KAN,29,ROLB,15,15,0,0,0,0,2,1,0,0,0,0,9.0,51,43,8,13,16,
176,Mike Harris,JAX,23,cb/lcb/rcb,15,6,1,0,0,0,5,,,,,,1.0,47,43,4,2,1,
177,Dont'a Hightower,NWE,22,LB,14,13,0,0,0,0,3,0,0,2,6,1,4.0,60,43,17,10,9,
178,Jason Pierre-Paul*,NYG,23,DE,16,15,1,28,1,28,5,1,0,1,10,0,6.5,66,43,23,13,10,
179,Dominique Rodgers-Cromartie,PHI,26,LCB,16,16,3,14,0,14,16,,,,,,,51,43,8,0,0,
180,Akeem Dent,ATL,25,MLB,16,13,0,0,0,0,2,,,,,,,65,42,23,5,2,
181,Corey Graham,BAL,27,LCB,16,8,2,20,0,20,8,1,0,0,0,0,,60,42,18,1,0,
182,Ryan Kerrigan*,WAS,24,lb/LOLB,16,16,1,28,1,28,8,2,0,1,0,0,8.5,54,42,12,10,14,
183,Chris Prosinski,JAX,25,fs,16,7,1,6,0,4,4,,,,,,,53,42,11,0,0,
184,Gerald Sensabaugh,DAL,29,FS,15,15,0,0,0,0,4,1,0,0,0,0,,58,42,16,1,0,
185,,,,,,,,,,,,,,,,,,,,,,,
186,Earl Thomas*+,SEA,23,FS,16,16,3,80,1,57,8,1,0,1,0,0,,66,42,24,2,2,
187,Nolan Carroll,MIA,25,CB/rcb,14,10,0,0,0,0,6,1,0,0,0,0,1.0,47,41,6,2,0,
188,Greg Hardy,CAR,24,DE,15,10,0,0,0,0,1,2,0,1,0,0,11.0,61,41,20,13,19,
189,Cameron Jordan,NOR,23,DE/dt,16,16,0,0,0,0,3,3,0,2,0,0,8.0,67,41,26,8,13,
190,Kyle Wilson,NYJ,25,CB,16,15,1,5,0,5,4,1,1,1,0,0,,48,41,7,1,0,
191,Chris Culliver,SFO,24,cb,16,6,2,4,0,4,12,1,0,1,0,0,,47,40,7,0,0,
192,Brandon Flowers,KAN,26,LCB,15,15,3,28,0,29,12,0,0,1,64,0,1.0,48,40,8,2,1,
193,Joe Haden,CLE,23,LCB,11,11,3,64,0,50,11,1,0,0,0,0,,51,40,11,0,0,
194,Demorrio Williams,SDG,32,lb,14,3,2,90,2,59,3,1,0,0,0,0,,51,40,11,1,3,
195,James Anderson,CAR,29,LB,12,12,0,0,0,0,2,,,,,,,73,39,34,3,0,
196,Geno Atkins*+,CIN,24,DT,16,16,0,0,0,0,2,4,0,0,0,0,12.5,54,39,15,17,21,
197,E.J. Biggers,TAM,25,LCB,13,12,1,0,0,0,7,2,0,0,0,0,1.0,48,39,9,2,1,
198,Matt Giordano,OAK,30,FS,16,13,2,45,0,24,5,,,,,,,51,39,12,0,1,
199,Adrian Wilson,ARI,33,SS,15,14,1,-2,0,-2,5,1,0,0,0,0,3.0,54,39,15,5,4,
200,Jabaal Sheard,CLE,23,DE,16,16,0,0,0,0,3,1,0,0,0,0,7.0,55,38,17,9,10,
201,Cameron Wake*+,MIA,30,DE,16,16,0,0,0,0,1,3,0,0,0,0,15.0,53,38,15,13,33,
202,Michael Huff,OAK,29,fs/LCB,16,16,2,0,0,0,12,,,,,,,56,37,19,2,0,
