,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Stephen Gostkowski*,NWE,29,K,16,0,1,1,8,8,13,13,13,11,6,5,41,38,92.7%,44,44,100.0%,,,,,
2,Justin Tucker*+,BAL,24,K,16,0,,,9,9,14,13,11,10,7,6,41,38,92.7%,26,26,100.0%,,,,,
3,Adam Vinatieri,IND,41,K,15,0,,,6,6,11,10,17,15,6,4,40,35,87.5%,34,34,100.0%,,,,,
4,Mason Crosby,GNB,29,K,16,0,1,1,13,13,8,8,8,6,7,5,37,33,89.2%,42,42,100.0%,,,,,
5,Nick Novak,SDG,32,K,16,0,1,1,9,9,16,13,9,9,2,2,37,34,91.9%,42,42,100.0%,,,,,
6,Dan Carpenter,BUF,28,K,16,0,,,13,13,6,6,11,10,6,4,36,33,91.7%,32,32,100.0%,,,,,
7,Phil Dawson,SFO,38,K,16,0,,,13,12,6,6,11,10,6,4,36,32,88.9%,44,44,100.0%,,,,,
8,Jay Feely,ARI,37,K,16,0,,,11,9,8,7,12,11,5,3,36,30,83.3%,37,37,100.0%,,,,,
9,Nick Folk,NYJ,29,K,16,0,,,8,8,11,10,14,12,3,3,36,33,91.7%,27,27,100.0%,,,,,
10,Randy Bullock,HOU,24,K,16,0,1,1,7,7,5,5,17,12,5,1,35,26,74.3%,26,26,100.0%,,,,,
11,Stephen Hauschka,SEA,28,K,16,0,,,11,10,9,9,12,11,3,3,35,33,94.3%,44,44,100.0%,,,,,
12,Caleb Sturgis,MIA,24,K,16,0,1,1,4,4,12,10,10,8,7,3,34,26,76.5%,33,33,100.0%,,,,,
13,Shaun Suisham,PIT,32,K,16,0,,,9,9,15,13,8,8,,,32,30,93.8%,39,39,100.0%,,,,,
14,Dan Bailey,DAL,25,K,16,0,2,2,2,2,9,8,10,10,7,6,30,28,93.3%,47,47,100.0%,,,,,
15,Garrett Hartley,NOR,27,K,14,0,2,2,6,5,8,5,13,9,1,1,30,22,73.3%,41,41,100.0%,,,,,
16,Sebastian Janikowski,OAK,35,K,16,0,,,6,6,6,4,11,8,7,3,30,21,70.0%,37,37,100.0%,,,,,
17,Blair Walsh,MIN,23,K,16,0,,,7,7,12,12,6,5,5,2,30,26,86.7%,44,43,97.7%,,,,,
18,Rob Bironas,TEN,35,K,16,0,,,10,10,9,8,7,5,3,2,29,25,86.2%,41,41,100.0%,,,,,
19,Robbie Gould,CHI,31,K,16,0,,,11,11,7,6,7,6,4,3,29,26,89.7%,46,45,97.8%,,,,,
20,Rian Lindell,TAM,36,K,16,0,,,3,3,14,12,6,4,6,4,29,23,79.3%,31,31,100.0%,,,,,
21,Ryan Succop,KAN,27,K,16,0,,,6,6,10,9,8,6,4,1,28,22,78.6%,52,52,100.0%,1,29,29,0,29.0
22,Alex Henery,PHI,26,K,16,0,,,8,8,8,7,10,7,2,1,28,23,82.1%,45,45,100.0%,,,,,
23,Greg Zuerlein,STL,26,K,16,0,,,7,7,10,10,9,8,2,1,28,26,92.9%,34,34,100.0%,,,,,
24,Matt Bryant,ATL,38,K,16,0,,,9,9,8,7,5,5,5,3,27,24,88.9%,39,39,100.0%,,,,,
25,Graham Gano,CAR,26,K,16,0,,,9,9,5,4,7,5,6,6,27,24,88.9%,42,42,100.0%,,,,,
26,Billy Cundiff,CLE,33,K,16,0,,,7,7,6,5,9,7,4,2,26,21,80.8%,32,32,100.0%,1,34,34,0,34.0
27,Josh Brown,NYG,34,K,16,0,,,8,8,8,7,8,7,2,1,26,23,88.5%,31,31,100.0%,,,,,
28,Matt Prater*,DEN,29,K,16,0,2,2,4,4,5,5,8,8,7,6,26,25,96.2%,75,75,100.0%,,,,,
29,Josh Scobee,JAX,31,K,16,0,,,3,3,12,12,5,4,5,4,25,23,92.0%,23,22,95.7%,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,David Akers,DET,39,K,16,0,1,1,5,5,8,6,7,4,3,3,24,19,79.2%,43,42,97.7%,,,,,
32,Mike Nugent,CIN,31,K,16,0,,,2,2,7,6,9,7,4,3,22,18,81.8%,53,52,98.1%,2,80,43,0,40.0
33,Kai Forbath,WAS,26,K,13,0,,,4,3,10,10,6,4,2,1,22,18,81.8%,26,26,100.0%,,,,,
34,John Potter,WAS,23,k,3,0,,,2,2,,,1,1,1,,4,3,75.0%,7,7,100.0%,,,,,
35,Shayne Graham,NOR,36,k,2,0,,,1,1,,,1,1,,,2,2,100.0%,7,7,100.0%,,,,,
36,Bryan Anger,JAX,25,P,16,0,,,,,,,,,,,,,,,,,95,4338,61,0,45.7
37,Steve Weatherford,NYG,31,P,16,0,,,,,,,,,,,,,,,,,91,4271,68,0,46.9
38,Sam Koch,BAL,31,P,16,0,,,,,,,,,,,,,,,,,90,4138,69,1,46.0
39,Shane Lechler,HOU,37,P,16,0,,,,,,,,,,,,,,,,,88,4189,65,0,47.6
40,Dustin Colquitt,KAN,31,P,16,0,,,,,,,,,,,,,,,,,87,4005,65,1,46.0
41,Michael Koenen,TAM,31,P,16,0,,,,,,,,,,,,,,,,,87,3846,62,0,44.2
42,Brandon Fields*,MIA,29,P,16,0,,,,,,,,,,,,,,,,,85,4150,74,0,48.8
43,Marquette King,OAK,25,P,16,0,,,,,,,,,,,,,,,,,84,4107,66,2,48.9
44,Spencer Lanning,CLE,25,P,16,0,,,,,,,,,,,,,,1,1,100.0%,84,3679,59,1,43.8
45,Saverio Rocca,WAS,40,P,16,0,,,,,,,,,,,,,,,,,84,3526,63,1,42.0
46,Donnie Jones,PHI,33,P,16,0,,,,,,,,,,,,,,,,,82,3681,70,1,44.9
47,Andy Lee,SFO,31,P,16,0,,,,,,,,,,,,,,,,,79,3804,62,0,48.2
48,Johnny Hekker*+,STL,23,P,16,0,,,,,,,,,,,,,,,,,78,3609,64,1,46.3
49,Brett Kern,TEN,27,P,16,0,,,,,,,,,,,,,,,,,78,3386,63,1,43.4
50,Dave Zastudil,ARI,35,P,16,0,,,,,,,,,,,,,,,,,78,3566,60,0,45.7
51,Chris Jones,DAL,24,P,16,0,,,,,,,,,,,,,,,,,77,3467,62,0,45.0
52,Ryan Allen,NWE,23,P,16,0,,,,,,,,,,,,,,,,,76,3491,65,0,45.9
53,Pat McAfee,IND,26,P,16,0,,,,,,,,,,,,,,,,,76,3499,65,1,46.0
54,Jeff Locke,MIN,24,P,16,0,,,,,,,,,,,,,,,,,75,3316,65,0,44.2
55,Jon Ryan,SEA,32,P,16,0,,,,,,,,,,,,,,,,,74,3159,69,2,42.7
56,Sam Martin,DET,23,P,16,0,,,,,,,,,,,,,,,,,72,3399,72,1,47.2
57,Ryan Quigley,NYJ,23,P/QB,14,0,,,,,,,,,,,,,,,,,72,3278,67,0,45.5
58,Brad Nortman,CAR,24,P,16,0,,,,,,,,,,,,,,,,,70,3344,72,0,47.8
59,Matthew Bosher,ATL,26,P,16,0,,,,,,,,,,,,,,,,,68,3166,63,2,46.6
60,Adam Podlesh,CHI,30,P,16,0,,,,,,,,,,,,,,,,,68,2763,65,1,40.6
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Kevin Huber,CIN,28,P,14,0,,,,,,,,,,,,,,,,,66,2982,75,0,45.2
63,Britton Colquitt,DEN,28,P,16,0,,,,,,,,,,,,,,,,,65,2893,60,0,44.5
64,Tim Masthay,GNB,26,P,16,0,,,,,,,,,,,,,,,,,64,2854,62,0,44.6
65,Brian Moorman,BUF,37,P,11,0,,,,,,,,,,,,,,,,,61,2511,62,0,41.2
66,Thomas Morstead,NOR,27,P,16,0,,,,,,,,,,,,,,,,,61,2859,61,0,46.9
67,Mike Scifres,SDG,33,P,16,0,,,,,,,,,,,,,,,,,56,2417,61,0,43.2
68,Shawn Powell,2TM,25,,7,0,,,,,,,,,,,,,,,,,42,1881,66,0,44.8
69,Mat McBriar,PIT,34,P,9,0,,,,,,,,,,,,,,,,,40,1652,70,1,41.3
70,Zoltan Mesko,2TM,27,,8,0,,,,,,,,,,,,,,,,,34,1445,65,1,42.5
71,Robert Malone,NYJ,25,p,2,0,,,,,,,,,,,,,,,,,16,740,84,0,46.3
72,Tom Brady*,NWE,36,QB,16,16,,,,,,,,,,,,,,,,,1,32,32,0,32.0
73,Ben Roethlisberger,PIT,31,QB,16,16,,,,,,,,,,,,,,,,,1,28,28,0,28.0
