,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
0,,,,,,,,,,,,,
1,Arian Foster*,HOU,26,RB,16,16,351,1424,15,46,4.1,89.0,3
2,Adrian Peterson*+,MIN,27,RB,16,16,348,2097,12,82,6.0,131.1,4
3,Alfred Morris,WAS,24,RB,16,16,335,1613,13,39,4.8,100.8,4
4,Doug Martin*,TAM,23,RB,16,16,319,1454,11,70,4.6,90.9,1
5,Marshawn Lynch*+,SEA,26,RB,16,15,315,1590,11,77,5.0,99.4,5
6,Stevan Ridley,NWE,23,RB,16,12,290,1263,12,41,4.4,78.9,4
7,Jamaal Charles*,KAN,26,RB,16,15,285,1509,5,91,5.3,94.3,5
8,BenJarvus Green-Ellis,CIN,27,RB,15,15,278,1094,6,48,3.9,72.9,3
9,Shonn Greene,NYJ,27,RB,16,14,276,1063,8,36,3.9,66.4,4
10,Chris Johnson,TEN,27,RB,16,15,276,1243,6,94,4.5,77.7,5
11,Trent Richardson,CLE,22,RB,15,15,267,950,11,32,3.6,63.3,3
12,Frank Gore*,SFO,29,RB,16,16,258,1214,8,37,4.7,75.9,3
13,Steven Jackson,STL,29,RB,16,16,258,1045,4,46,4.1,65.3,0
14,Ray Rice*,BAL,25,RB,16,16,257,1143,9,46,4.4,71.4,1
15,Matt Forte,CHI,27,RB,15,15,248,1094,5,46,4.4,72.9,2
16,Reggie Bush,MIA,27,RB,16,16,227,986,6,65,4.3,61.6,4
17,Michael Turner,ATL,30,RB,16,16,222,800,10,43,3.6,50.0,3
18,Ahmad Bradshaw,NYG,26,RB,14,12,221,1015,6,37,4.6,72.5,3
19,Darren McFadden,OAK,25,RB,12,12,216,707,2,64,3.3,58.9,2
20,Mikel Leshoure,DET,22,RB,14,14,215,798,9,16,3.7,57.0,3
21,Vick Ballard,IND,22,RB,16,12,211,814,2,26,3.9,50.9,3
22,C.J. Spiller*,BUF,25,RB,16,9,207,1244,6,62,6.0,77.8,3
23,LeSean McCoy,PHI,24,RB,12,12,200,840,2,34,4.2,70.0,4
24,Ryan Mathews,SDG,25,RB,12,9,184,707,1,31,3.8,58.9,2
25,DeAngelo Williams,CAR,29,RB,16,10,173,737,5,65,4.3,46.1,2
26,Willis McGahee,DEN,31,RB,10,9,167,731,4,31,4.4,73.1,5
27,DeMarco Murray,DAL,24,RB,10,10,161,663,4,48,4.1,66.3,3
28,Jonathan Dwyer,PIT,23,rb,13,6,156,623,2,34,4.0,47.9,2
29,Mark Ingram,NOR,23,rb,16,5,156,602,5,31,3.9,37.6,0
30,,,,,,,,,,,,,
31,Knowshon Moreno,DEN,25,rb,8,6,138,525,4,20,3.8,65.6,1
32,Alex Green,GNB,24,rb,12,4,135,464,0,41,3.4,38.7,1
33,Cam Newton,CAR,23,QB,16,16,127,741,8,72,5.8,46.3,10
34,Robert Griffin*,WAS,22,QB,15,15,120,815,7,76,6.8,54.3,12
