,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,David Akers*+,SFO,37,K,16,0,2,2,16,16,14,13,11,6,9,7,52,44,84.6%,34,34,100.0%,,,,,
2,Graham Gano,WAS,24,K,16,0,,,15,14,9,5,11,8,6,4,41,31,75.6%,26,25,96.2%,,,,,
3,Mike Nugent,CIN,29,K,16,0,,,14,14,8,5,16,14,,,38,33,86.8%,34,33,97.1%,,,,,
4,Neil Rackers,HOU,35,K,16,0,,,14,14,11,10,8,4,5,4,38,32,84.2%,40,39,97.5%,,,,,
5,Dan Bailey,DAL,23,K,16,0,1,1,9,8,11,11,12,10,4,2,37,32,86.5%,39,39,100.0%,2,79,41,0,39.5
6,Billy Cundiff,BAL,31,K,15,0,1,1,9,9,12,10,9,7,6,1,37,28,75.7%,38,38,100.0%,,,,,
7,Sebastian Janikowski*,OAK,33,K,15,0,1,1,8,8,5,5,11,10,10,7,35,31,88.6%,36,36,100.0%,,,,,
8,Dan Carpenter,MIA,26,K,14,0,,,11,10,7,6,12,11,4,2,34,29,85.3%,26,26,100.0%,,,,,
9,John Kasay,NOR,42,K,16,0,,,11,11,10,10,8,5,5,2,34,28,82.4%,63,63,100.0%,,,,,
10,Nick Novak,SDG,30,K,15,0,,,11,11,5,4,11,8,7,4,34,27,79.4%,42,41,97.6%,,,,,
11,Stephen Gostkowski,NWE,27,K,16,0,1,1,13,12,6,5,11,9,2,1,33,28,84.8%,59,59,100.0%,,,,,
12,Rob Bironas,TEN,33,K,16,0,,,5,5,10,9,10,9,7,6,32,29,90.6%,34,34,100.0%,,,,,
13,Robbie Gould,CHI,29,K,16,0,,,10,10,6,6,10,6,6,6,32,28,87.5%,37,37,100.0%,,,,,
14,Shaun Suisham,PIT,30,K,16,0,2,2,8,8,8,6,11,6,2,1,31,23,74.2%,36,36,100.0%,,,,,
15,Stephen Hauschka,SEA,26,K,16,0,2,2,6,5,10,9,8,7,4,2,30,25,83.3%,34,34,100.0%,,,,,
16,Ryan Succop,KAN,25,K,16,0,1,1,7,7,7,6,12,7,3,3,30,24,80.0%,20,20,100.0%,,,,,
17,Matt Bryant,ATL,36,k,16,0,2,2,9,9,9,9,7,5,2,2,29,27,93.1%,45,45,100.0%,,,,,
18,Phil Dawson,CLE,36,K,16,0,,,9,7,4,3,8,7,8,7,29,24,82.8%,20,20,100.0%,,,,,
19,Jason Hanson,DET,41,K,16,0,,,9,9,9,8,4,2,7,5,29,24,82.8%,54,54,100.0%,,,,,
20,Connor Barth,TAM,25,K,16,0,,,5,5,6,6,14,13,3,2,28,26,92.9%,23,23,100.0%,,,,,
21,Josh Brown,STL,32,K,16,0,,,7,7,7,6,12,8,2,,28,21,75.0%,18,18,100.0%,,,,,
22,Mason Crosby,GNB,27,K,16,0,1,1,5,4,14,14,5,3,3,2,28,24,85.7%,69,68,98.6%,,,,,
23,Ryan Longwell,MIN,37,K,16,0,,,7,7,8,7,10,6,3,2,28,22,78.6%,39,38,97.4%,,,,,
24,Olindo Mare,CAR,38,K,16,0,1,1,7,7,9,6,9,8,2,,28,22,78.6%,45,44,97.8%,,,,,
25,Alex Henery,PHI,24,K,16,0,,,10,10,11,9,4,4,2,1,27,24,88.9%,46,46,100.0%,,,,,
26,Adam Vinatieri,IND,39,K,16,0,,,7,7,7,6,10,8,3,2,27,23,85.2%,24,24,100.0%,,,,,
27,Nick Folk,NYJ,27,K,16,0,,,6,5,6,6,7,5,6,3,25,19,76.0%,44,44,100.0%,,,,,
28,Matt Prater,DEN,27,K,16,0,,,6,5,8,8,7,3,4,3,25,19,76.0%,30,30,100.0%,,,,,
29,Josh Scobee,JAX,29,K,16,0,1,1,5,5,5,5,8,7,6,5,25,23,92.0%,24,24,100.0%,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Jay Feely,ARI,35,K,16,0,,,9,9,6,4,7,5,2,1,24,19,79.2%,33,33,100.0%,,,,,
32,Lawrence Tynes,NYG,33,,16,0,,,12,12,4,3,5,3,3,1,24,19,79.2%,43,43,100.0%,,,,,
33,Rian Lindell,BUF,34,K,8,0,,,6,6,3,2,6,5,,,15,13,86.7%,25,25,100.0%,,,,,
34,Dave Rayner,2TM,29,,8,0,,,6,5,4,3,1,,4,2,15,10,66.7%,13,13,100.0%,,,,,
35,Shayne Graham,2TM,34,,3,0,,,4,4,,,3,2,,,7,6,85.7%,8,8,100.0%,,,,,
36,Mike Scifres,SDG,31,P,16,0,,,,,,,1,1,,,1,1,100.0%,3,3,100.0%,47,2234,71,0,47.5
37,Brandon Coutu,BUF,27,k,1,0,,,,,,,1,,,,1,,0.0%,3,3,100.0%,,,,,
38,Donnie Jones,STL,31,P,16,0,,,,,,,,,,,,,,,,,105,4652,65,1,44.3
39,Britton Colquitt,DEN,26,P,16,0,,,,,,,,,,,,,,,,,101,4783,66,0,47.4
40,Jon Ryan,SEA,30,P,16,0,,,,,,,,,,,,,,,,,95,4431,77,0,46.6
41,T.J. Conley,NYJ,26,P,16,0,,,,,,,,,,,,,,,,,92,3926,63,0,42.7
42,Kevin Huber,CIN,26,P,16,0,,,,,,,,,,,,,,,,,91,4023,71,1,44.2
43,Dustin Colquitt,KAN,29,P,16,0,,,,,,,,,,,,,,,,,89,4084,68,0,45.9
44,Adam Podlesh,CHI,28,P,16,0,,,,,,,,,,,,,,,,,89,3903,70,0,43.9
45,Pat McAfee,IND,24,P,16,0,,,,,,,,,,,,,,,,,88,4102,64,1,46.6
46,Dave Zastudil,ARI,33,P,15,0,,,,,,,,,,,,,,,,,87,3929,66,0,45.2
47,Brett Kern,TEN,25,P,16,0,,,,,,,,,,,,,,,,,86,3747,64,0,43.6
48,Steve Weatherford,NYG,29,P,16,0,,,,,,,,,,,,,,,,,82,3745,62,0,45.7
49,Brad Maynard,CLE,37,P,15,0,,,,,,,,,,,,,,,,,81,3282,63,0,40.5
50,Brandon Fields,MIA,27,P,16,0,,,,,,,,,,,,,,,,,78,3810,70,0,48.8
51,Shane Lechler*,OAK,35,P,16,0,,,,,,,,,,,,,,,,,78,3960,80,0,50.8
52,Andy Lee*+,SFO,29,P,16,0,,,,,,,,,,,,,,,,,78,3970,68,1,50.9
53,Chris Kluwe,MIN,30,P,16,0,,,,,,,,,,,,,,,,,77,3517,60,0,45.7
54,Sam Koch,BAL,29,P,16,0,,,,,,,,,,,,,,,,,73,3393,63,0,46.5
55,Nick Harris,JAX,33,P,11,0,,,,,,,,,,,,,,,,,72,3075,55,0,42.7
56,Brian Moorman,BUF,35,P,16,0,,,,,,,,,,,,,,,,,72,3472,66,1,48.2
57,Matthew Bosher,ATL,24,K,16,0,,,,,,,,,,,,,,,,,70,2990,59,1,42.7
58,Michael Koenen,TAM,29,P,16,0,,,,,,,,,,,,,,,,,67,3023,65,0,45.1
59,Jason Baker,CAR,33,P,16,0,,,,,,,,,,,,,,,,,66,2819,56,0,42.7
60,Chas Henry,PHI,22,P,16,0,,,,,,,,,,,,,,,,,66,2830,60,1,42.9
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Saverio Rocca,WAS,38,P,16,0,,,,,,,,,,,,,,,,,66,2842,63,0,43.1
63,Brett Hartmann,HOU,24,P,12,0,,,,,,,,,,,,,,,,,58,2573,69,0,44.4
64,Mat McBriar,DAL,32,P,14,0,,,,,,,,,,,,,,,,,58,2542,68,1,43.8
65,Zoltan Mesko,NWE,25,P,16,0,,,,,,,,,,,,,,,,,57,2648,65,0,46.5
66,Tim Masthay,GNB,24,P,16,0,,,,,,,,,,,,,,,,,55,2506,71,0,45.6
67,Ryan Donahue,DET,23,P,8,0,,,,,,,,,,,,,,,,,49,2093,60,0,42.7
68,Thomas Morstead,NOR,25,P,16,0,,,,,,,,,,,,,,,,,46,2224,64,1,48.3
69,Matt Turk,2TM,43,,9,0,,,,,,,,,,,,,,,,,43,1755,65,0,40.8
70,Jeremy Kapinos,PIT,27,P,8,0,,,,,,,,,,,,,,,,,34,1530,59,0,45.0
71,Ben Graham,2TM,38,,8,0,,,,,,,,,,,,,,,,,33,1447,58,0,43.8
72,Daniel Sepulveda,PIT,27,p,8,0,,,,,,,,,,,,,,,,,25,1153,66,1,46.1
73,Chris Jones,DAL,22,p,2,0,,,,,,,,,,,,,,,,,10,426,54,0,42.6
74,Richmond McGee,CLE,28,p,1,0,,,,,,,,,,,,,,,,,8,288,48,0,36.0
75,Robert Malone,DET,23,p,1,0,,,,,,,,,,,,,,,,,5,245,62,0,49.0
