,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
0,Antonio Brown*+,PIT,27,WR,16,16,193,136,70.5%,1834,13.5,10,59,9.5,8.5,114.6,3
1,Julio Jones*+,ATL,26,WR,16,16,203,136,67.0%,1871,13.8,8,70,9.2,8.5,116.9,3
2,DeAndre Hopkins*,HOU,23,WR,16,16,192,111,57.8%,1521,13.7,11,61,7.9,6.9,95.1,1
3,Jarvis Landry*,MIA,23,WR,16,14,166,110,66.3%,1157,10.5,4,50,7.0,6.9,72.3,1
4,Larry Fitzgerald*,ARI,32,WR,16,16,145,109,75.2%,1215,11.1,9,44,8.4,6.8,75.9,2
5,Brandon Marshall*,NYJ,31,WR,16,16,173,109,63.0%,1502,13.8,14,69,8.7,6.8,93.9,3
6,Demaryius Thomas,DEN,28,WR,16,16,177,105,59.3%,1304,12.4,6,72,7.4,6.6,81.5,2
7,Odell Beckham*,NYG,23,WR,15,15,158,96,60.8%,1450,15.1,13,87,9.2,6.4,96.7,2
8,Delanie Walker*,TEN,31,TE,15,10,133,94,70.7%,1088,11.6,6,61,8.2,6.3,72.5,0
9,Golden Tate,DET,27,WR,16,16,128,90,70.3%,813,9.0,6,43,6.4,5.6,50.8,1
10,Calvin Johnson*,DET,30,WR,16,16,149,88,59.1%,1214,13.8,9,57,8.1,5.5,75.9,1
11,Jeremy Maclin,KAN,27,WR,15,15,124,87,70.2%,1088,12.5,8,61,8.8,5.8,72.5,2
12,Jordan Reed,WAS,25,te/wr,14,9,114,87,76.3%,952,10.9,11,32,8.4,6.2,68.0,3
13,A.J. Green*,CIN,27,WR,16,16,132,86,65.2%,1297,15.1,10,80,9.8,5.4,81.1,1
14,Michael Crabtree,OAK,28,WR,16,15,146,85,58.2%,922,10.8,9,38,6.3,5.3,57.6,1
15,Jordan Matthews,PHI,23,WR,16,13,126,85,67.5%,997,11.7,8,78,7.9,5.3,62.3,2
16,Brandin Cooks,NOR,22,WR,16,13,129,84,65.1%,1138,13.5,9,71,8.8,5.3,71.1,1
17,Eric Decker,NYJ,28,WR,15,13,132,80,60.6%,1027,12.8,12,35,7.8,5.3,68.5,1
18,Theo Riddick,DET,24,rb,16,1,99,80,80.8%,697,8.7,3,34,7.0,5.0,43.6,1
19,Allen Robinson*,JAX,22,WR,16,16,151,80,53.0%,1400,17.5,14,90,9.3,5.0,87.5,0
20,Danny Woodhead,SDG,30,rb,16,2,106,80,75.5%,755,9.4,6,61,7.1,5.0,47.2,0
21,Gary Barnidge*,CLE,30,TE,16,13,125,79,63.2%,1043,13.2,9,40,8.3,4.9,65.2,0
22,Randall Cobb,GNB,25,WR,16,15,129,79,61.2%,829,10.5,6,53,6.4,4.9,51.8,1
23,Doug Baldwin,SEA,27,WR,16,16,103,78,75.7%,1069,13.7,14,80,10.4,4.9,66.8,1
24,Greg Olsen*,CAR,30,TE,16,16,124,77,62.1%,1104,14.3,7,52,8.9,4.8,69.0,1
25,Jason Witten,DAL,33,TE,16,16,104,77,74.0%,713,9.3,3,35,6.9,4.8,44.6,1
26,Emmanuel Sanders,DEN,28,WR,15,15,136,76,55.9%,1135,14.9,6,75,8.3,5.1,75.7,2
27,Kamar Aiken,BAL,26,WR,16,14,127,75,59.1%,944,12.6,5,48,7.4,4.7,59.0,1
28,Zach Ertz,PHI,25,te,15,7,112,75,67.0%,853,11.4,2,60,7.6,5.0,56.9,1
29,,,,,,,,,,,,,,,,,
30,Mike Evans,TAM,22,WR,15,14,148,74,50.0%,1206,16.3,3,68,8.1,4.9,80.4,1
31,Ben Watson,NOR,35,TE,16,16,110,74,67.3%,825,11.1,6,46,7.5,4.6,51.6,1
32,Devonta Freeman*,ATL,23,RB,15,13,97,73,75.3%,578,7.9,3,44,6.0,4.9,38.5,3
33,Amari Cooper*,OAK,21,WR,16,15,130,72,55.4%,1070,14.9,6,68,8.2,4.5,66.9,1
34,Pierre Garcon,WAS,29,WR,16,16,111,72,64.9%,777,10.8,6,39,7.0,4.5,48.6,0
35,Rob Gronkowski*+,NWE,26,TE,15,15,120,72,60.0%,1176,16.3,11,76,9.8,4.8,78.4,0
36,Travis Kelce*,KAN,26,TE,16,16,103,72,69.9%,875,12.2,5,42,8.5,4.5,54.7,2
37,Anquan Boldin,SFO,35,WR,14,13,111,69,62.2%,789,11.4,4,51,7.1,4.9,56.4,1
38,T.Y. Hilton*,IND,26,WR,16,15,134,69,51.5%,1124,16.3,5,87,8.4,4.3,70.3,1
39,Willie Snead,NOR,23,fb/WR,15,9,101,69,68.3%,984,14.3,3,63,9.7,4.6,65.6,2
40,Travis Benjamin,CLE,26,WR,16,15,125,68,54.4%,966,14.2,5,61,7.7,4.3,60.4,3
41,Keenan Allen,SDG,23,WR,8,8,89,67,75.3%,725,10.8,4,38,8.1,8.4,90.6,1
42,Danny Amendola,NWE,30,wr,14,7,87,65,74.7%,648,10.0,3,41,7.4,4.6,46.3,1
43,John Brown,ARI,25,WR,15,11,101,65,64.4%,1003,15.4,7,68,9.9,4.3,66.9,1
44,Marvin Jones,CIN,25,rb/WR,16,13,103,65,63.1%,816,12.6,4,47,7.9,4.1,51.0,0
45,Allen Hurns,JAX,24,WR,15,15,105,64,61.0%,1031,16.1,10,80,9.8,4.3,68.7,2
46,Donte Moncrief,IND,22,WR,16,10,105,64,61.0%,733,11.5,6,33,7.0,4.0,45.8,0
47,Julian Edelman,NWE,29,WR,9,9,88,61,69.3%,692,11.3,7,59,7.9,6.8,76.9,1
48,Duke Johnson,CLE,22,rb,16,7,74,61,82.4%,534,8.8,2,52,7.2,3.8,33.4,1
49,Heath Miller,PIT,33,TE,15,15,81,60,74.1%,535,8.9,2,27,6.6,4.0,35.7,0
50,Sammy Watkins,BUF,22,WR,13,13,96,60,62.5%,1047,17.5,9,63,10.9,4.6,80.5,0
51,Jamison Crowder,WAS,22,fb/wr,16,6,78,59,75.6%,604,10.2,2,44,7.7,3.7,37.8,4
52,Jacob Tamme,ATL,30,TE,15,8,81,59,72.8%,657,11.1,1,41,8.1,3.9,43.8,0
53,Shane Vereen,NYG,26,,16,0,81,59,72.8%,495,8.4,4,37,6.1,3.7,30.9,1
54,Richard Rodgers,GNB,23,TE,16,12,85,58,68.2%,510,8.8,8,61,6.0,3.6,31.9,0
55,Rueben Randle,NYG,24,WR,16,16,90,57,63.3%,797,14.0,8,72,8.9,3.6,49.8,0
56,Antonio Gates,SDG,35,te,11,4,85,56,65.9%,630,11.3,5,40,7.4,5.1,57.3,0
57,Darren Sproles*,PHI,32,rb/wr,16,4,83,55,66.3%,388,7.1,1,35,4.7,3.4,24.3,1
58,Coby Fleener,IND,27,TE/wr,16,11,84,54,64.3%,491,9.1,3,57,5.8,3.4,30.7,0
59,Alshon Jeffery,CHI,25,WR,9,8,94,54,57.4%,807,14.9,4,50,8.6,6.0,89.7,1
60,,,,,,,,,,,,,,,,,
61,Martellus Bennett,CHI,28,TE,11,11,80,53,66.3%,439,8.3,3,24,5.5,4.8,39.9,2
62,Tavon Austin,STL,25,WR,16,15,87,52,59.8%,473,9.1,5,66,5.4,3.3,29.6,2
63,Cole Beasley,DAL,26,wr,16,3,75,52,69.3%,536,10.3,5,30,7.1,3.3,33.5,2
64,Stefon Diggs,MIN,22,WR,13,9,84,52,61.9%,720,13.8,4,40,8.6,4.0,55.4,2
65,Tyler Eifert*,CIN,25,TE,13,12,74,52,70.3%,615,11.8,13,31,8.3,4.0,47.3,0
66,Michael Floyd,ARI,26,wr,15,6,89,52,58.4%,849,16.3,6,60,9.5,3.5,56.6,0
67,Terrance Williams,DAL,26,WR,16,13,93,52,55.9%,840,16.2,3,42,9.0,3.3,52.5,0
68,Charles Clay,BUF,26,TE,13,13,77,51,66.2%,528,10.4,3,40,6.9,3.9,40.6,1
69,Tyler Lockett*+,SEA,23,fb/wr,16,8,69,51,73.9%,664,13.0,6,49,9.6,3.2,41.5,1
70,Charles Sims,TAM,25,,16,0,70,51,72.9%,561,11.0,4,56,8.0,3.2,35.1,2
71,Davante Adams,GNB,23,WR,13,12,94,50,53.2%,483,9.7,1,40,5.1,3.8,37.2,0
72,Martavis Bryant,PIT,24,wr,11,5,92,50,54.3%,765,15.3,6,88,8.3,4.5,69.5,1
73,Mark Ingram,NOR,26,RB,12,10,60,50,83.3%,405,8.1,0,59,6.8,4.2,33.8,2
74,James Jones,GNB,31,WR,16,15,99,50,50.5%,890,17.8,8,65,9.0,3.1,55.6,1
75,Giovani Bernard,CIN,24,rb,16,1,66,49,74.2%,472,9.6,0,45,7.2,3.1,29.5,1
76,Jermaine Kearse,SEA,25,WR,16,16,68,49,72.1%,685,14.0,5,50,10.1,3.1,42.8,1
77,Kyle Rudolph,MIN,26,TE,16,16,73,49,67.1%,495,10.1,5,47,6.8,3.1,30.9,0
78,Jimmy Graham,SEA,29,TE,11,11,74,48,64.9%,605,12.6,2,45,8.2,4.4,55.0,0
79,Eric Ebron,DET,22,TE,14,8,70,47,67.1%,537,11.4,5,55,7.7,3.4,38.4,0
80,Lamar Miller,MIA,24,RB,16,16,57,47,82.5%,397,8.4,2,54,7.0,2.9,24.8,1
81,Bilal Powell,NYJ,27,fb/rb,11,2,63,47,74.6%,388,8.3,2,25,6.2,4.3,35.3,2
82,Nate Washington,HOU,32,WR,14,14,94,47,50.0%,658,14.0,4,49,7.0,3.4,47.0,0
83,Robert Woods,BUF,23,WR,14,9,80,47,58.8%,552,11.7,3,37,6.9,3.4,39.4,2
84,Owen Daniels,DEN,33,TE,16,16,77,46,59.7%,517,11.2,3,37,6.7,2.9,32.3,0
85,Brian Hartline,CLE,29,wr,12,4,77,46,59.7%,523,11.4,2,41,6.8,3.8,43.6,1
86,Steve Smith,BAL,36,wr,7,7,73,46,63.0%,670,14.6,3,50,9.2,6.6,95.7,0
87,Julius Thomas,JAX,27,TE,12,11,80,46,57.5%,455,9.9,5,34,5.7,3.8,37.9,0
88,Javorius Allen,BAL,24,rb,16,6,62,45,72.6%,353,7.8,2,41,5.7,2.8,22.1,2
89,Marques Colston,NOR,32,wr,13,5,67,45,67.2%,520,11.6,4,53,7.8,3.5,40.0,0
90,Steve Johnson,SDG,29,WR,10,8,65,45,69.2%,497,11.0,3,34,7.6,4.5,49.7,1
91,,,,,,,,,,,,,,,,,
92,Matt Forte,CHI,30,RB,13,13,58,44,75.9%,389,8.8,3,38,6.7,3.4,29.9,2
93,Ted Ginn,CAR,30,WR,15,13,97,44,45.4%,739,16.8,10,74,7.6,2.9,49.3,0
94,DeMarco Murray,PHI,27,RB,15,8,55,44,80.0%,322,7.3,1,44,5.9,2.9,21.5,2
95,Markus Wheaton,PIT,24,WR,16,8,79,44,55.7%,749,17.0,5,72,9.5,2.8,46.8,0
96,Rishard Matthews,MIA,26,WR,11,11,61,43,70.5%,662,15.4,4,53,10.9,3.9,60.2,0
97,James Starks,GNB,29,rb,16,4,53,43,81.1%,392,9.1,3,30,7.4,2.7,24.5,5
98,Roddy White,ATL,34,WR,16,16,70,43,61.4%,506,11.8,1,25,7.2,2.7,31.6,0
99,Cecil Shorts,HOU,28,wr,11,4,75,42,56.0%,484,11.5,2,42,6.5,3.8,44.0,2
100,Will Tye,NYG,24,te/wr,13,7,62,42,67.7%,464,11.0,3,45,7.5,3.2,35.7,1
101,Andre Johnson,IND,34,WR,16,14,77,41,53.2%,503,12.3,4,35,6.5,2.6,31.4,0
102,Kyle Juszczyk,BAL,24,FB,16,11,56,41,73.2%,321,7.8,4,39,5.7,2.6,20.1,0
103,Latavius Murray*,OAK,25,RB,16,16,53,41,77.4%,232,5.7,0,23,4.4,2.6,14.5,4
104,Darren McFadden,DAL,28,RB,16,10,53,40,75.5%,328,8.2,0,21,6.2,2.5,20.5,3
105,James White,NWE,23,rb,14,1,54,40,74.1%,410,10.3,4,68,7.6,2.9,29.3,0
106,DeAngelo Williams,PIT,32,RB,16,10,47,40,85.1%,367,9.2,0,34,7.8,2.5,22.9,4
107,Jared Cook,STL,28,TE,16,12,75,39,52.0%,481,12.3,0,49,6.4,2.4,30.1,2
108,Jerricho Cotchery,CAR,33,wr,14,3,54,39,72.2%,485,12.4,3,59,9.0,2.8,34.6,0
109,Mike Wallace,MIN,29,WR,16,12,72,39,54.2%,473,12.1,2,34,6.6,2.4,29.6,0
110,Vernon Davis,2TM,31,,15,9,58,38,65.5%,395,10.4,0,43,6.8,2.5,26.3,0
111,Ladarius Green,SDG,25,TE,13,11,63,37,58.7%,429,11.6,4,31,6.8,2.8,33.0,0
