,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
37,Kaelin Clay,2TM,25,,13,2,19,149,1,60,7.8,3,52,0,19,17.3,313
38,De'Anthony Thomas,KAN,24,wr,16,2,8,16,0,8,2.0,13,305,0,39,23.5,468
39,Corey Grant,JAX,26,,16,0,0,6,0,6,,19,473,0,68,24.9,768
40,Cordarrelle Patterson,OAK,26,wr,16,2,,,,,,19,538,0,49,28.3,968
41,Eli Rogers,PIT,25,wr,14,4,19,146,0,27,7.7,,,,,,295
42,Matthew Dayes,CLE,23,,16,0,,,,,,18,437,0,71,24.3,479
43,Desmond King,LAC,23,cb/db,16,4,1,2,0,2,2.0,17,353,0,44,20.8,445
44,Dwayne Harris,NYG,30,ldt,5,1,7,48,0,17,6.9,9,188,0,30,20.9,236
45,Jeremy Kerley,NYJ,29,wr,8,2,16,85,0,15,5.3,,,,,,302
46,Devontae Booker,DEN,25,,13,0,,,,,,14,276,0,28,19.7,850
47,Tavon Austin,LAR,27,WR,16,9,12,53,0,12,4.4,1,13,0,13,13.0,383
48,Tyler Ervin,HOU,24,,4,0,8,60,0,21,7.5,5,93,0,24,18.6,203
49,Chris Moore,BAL,24,wr,13,4,,,,,,13,346,0,87,26.6,585
50,Patrick Peterson*,ARI,27,LCB,16,16,13,88,0,19,6.8,,,,,,157
51,Bobby Rainey,BAL,30,,4,0,2,22,0,13,11.0,11,338,1,96,30.7,380
52,Jarvis Landry*,MIA,25,WR,16,16,12,81,0,16,6.8,0,-5,0,-5,,1056
53,Jerick McKinnon,MIN,25,rb,16,1,,,,,,12,312,0,39,26.0,1303
54,Antonio Brown*+,PIT,29,WR,14,14,11,61,0,16,5.5,,,,,,1594
55,Brittan Golden,ARI,29,,13,0,7,63,0,15,9.0,4,81,0,26,20.3,214
56,T.J. Jones,DET,25,wr,14,6,6,47,0,17,7.8,5,105,0,35,21.0,551
57,Alvin Kamara*,NOR,22,fb/rb,16,3,,,,,,11,347,1,106,31.5,1901
58,Jacquizz Rodgers,TAM,27,rb,16,4,,,,,,11,255,0,45,23.2,573
59,Chester Rogers,IND,23,wr,11,4,10,80,0,30,8.0,1,5,0,5,5.0,377
60,Jordan Taylor,DEN,25,wr,10,2,11,103,0,24,9.4,,,,,,245
61,,,,,,,,,,,,,,,,,
62,Deonte Thompson,2TM,28,,16,10,,,,,,11,229,0,29,20.8,779
63,Bashaud Breeland,WAS,25,CB,15,15,,,,,,10,208,0,35,20.8,304
64,Senorise Perry,MIA,26,,16,0,,,,,,10,202,0,37,20.2,237
65,Curtis Samuel,CAR,21,rb/wr,9,4,,,,,,10,221,0,33,22.1,400
66,Martavis Bryant,PIT,26,WR,15,8,,,,,,9,151,0,38,16.8,776
67,Will Fuller,HOU,23,WR,10,10,9,135,0,49,15.0,,,,,,567
68,Hunter Sharp,2TM,23,,3,1,8,74,0,16,9.3,1,19,0,19,19.0,147
69,JuJu Smith-Schuster,PIT,21,wr,14,7,,,,,,9,240,1,96,26.7,1157
70,ArDarius Stewart,NYJ,24,wr,15,2,,,,,,9,173,0,32,19.2,282
71,Shane Vereen,NYG,28,,16,0,,,,,,9,196,0,30,21.8,613
72,Ameer Abdullah,DET,24,RB,14,11,,,,,,8,179,0,29,22.4,893
73,Damiere Byrd,CAR,24,wr,8,3,1,9,0,9,9.0,7,229,1,103,32.7,355
74,D.J. Foster,ARI,24,,7,0,,,,,,8,184,0,55,23.0,336
75,Cody Latimer,DEN,25,wr,11,1,,,,,,8,190,0,36,23.8,477
76,Chris Thompson,WAS,27,rb,10,1,,,,,,8,165,0,29,20.6,967
77,Benny Cunningham,CHI,27,,14,0,,,,,,7,147,0,28,21.0,416
78,Kenyan Drake,MIA,23,rb,16,6,,,,,,7,147,0,34,21.0,1030
79,Brendan Langley,DEN,23,,11,0,1,6,0,6,6.0,6,183,0,61,30.5,189
80,Terrell Watson,PIT,24,,10,0,,,,,,7,140,0,25,20.0,148
81,Adam Humphries,TAM,24,wr,16,3,6,49,0,19,8.2,,,,,,686
82,Adam Jones,CIN,34,RCB,9,9,6,131,0,40,21.8,,,,,,131
83,Fitzgerald Toussaint,PIT,27,,6,0,,,,,,6,94,0,23,15.7,128
84,Fozzy Whittaker,CAR,28,,12,0,,,,,,6,110,0,31,18.3,175
85,Matt Breida,SFO,22,,16,0,,,,,,5,83,0,28,16.6,728
86,Austin Ekeler,LAC,22,,16,0,,,,,,5,85,0,22,17.0,624
87,Bruce Ellington,HOU,26,wr,11,6,5,47,0,21,9.4,,,,,,398
88,Josh Ferguson,IND,24,,10,0,,,,,,5,86,0,20,17.2,107
89,Marqise Lee,JAX,26,WR,14,14,5,13,0,7,2.6,,,,,,732
90,Elijah McGuire,NYJ,23,rb,16,2,1,10,0,10,10.0,4,83,0,24,20.8,585
91,Raheem Mostert,SFO,25,,11,0,,,,,,5,83,0,21,16.6,113
92,,,,,,,,,,,,,,,,,
93,Bryce Treggs,CLE,23,wr,6,1,5,24,0,11,4.8,,,,,,109
94,DeAndre Washington,OAK,24,,15,0,,,,,,5,86,0,26,17.2,436
95,Ed Eagan,NYG,24,,4,0,4,20,0,20,5.0,,,,,,20
96,Byron Marshall,WAS,23,,4,0,,,,,,4,89,0,29,22.3,157
97,Wendell Smallwood,PHI,23,rb,8,3,,,,,,4,93,0,28,23.3,370
98,Golden Tate,DET,29,WR,16,12,2,23,0,13,11.5,2,0,0,1,0.0,1048
99,Jordan Todman,HOU,27,,14,0,,,,,,4,84,0,25,21.0,84
100,Eric Weems,TEN,32,,16,0,2,15,0,13,7.5,2,18,0,18,9.0,38
101,DeAndrew White,HOU,26,wr,2,1,4,3,0,3,0.8,,,,,,27
102,Derek Carrier,LAR,27,te/wr,14,3,,,,,,3,41,0,14,13.7,112
103,Jehu Chesson,KAN,24,wr,12,1,,,,,,3,65,0,26,21.7,83
104,Trey Edmunds,NOR,23,,16,0,,,,,,3,65,0,27,21.7,113
105,Maurice Harris,WAS,25,,6,0,,,,,,3,71,0,34,23.7,133
106,Jeff Janis,GNB,26,,16,0,,,,,,3,43,0,17,14.3,55
107,Duke Johnson,CLE,24,,16,0,3,17,0,12,5.7,,,,,,1058
108,Marlon Mack,IND,21,,14,0,,,,,,3,69,0,34,23.0,652
109,Braxton Miller,HOU,25,wr,11,3,3,12,0,8,4.0,,,,,,175
110,Niles Paul,WAS,28,te/wr,14,8,,,,,,3,47,0,24,15.7,145
111,Russell Shepard,CAR,27,wr,15,3,,,,,,3,65,0,33,21.7,286
112,Luke Willson,SEA,27,te,16,7,,,,,,3,42,0,17,14.0,195
113,Zach Zenner,DET,26,,8,0,,,,,,3,62,0,23,20.7,88
114,Cole Beasley,DAL,28,wr,15,4,2,19,0,15,9.5,,,,,,333
115,Kapri Bibbs,WAS,24,,3,0,,,,,,2,17,0,17,8.5,224
116,Brent Celek,PHI,32,TE,16,10,,,,,,2,18,0,10,9.0,148
117,Patrick Chung,NWE,30,S,16,11,1,0,0,0,0.0,1,4,0,4,4.0,34
118,Corey Clement,PHI,23,,16,0,,,,,,2,49,0,35,24.5,493
119,Keelan Cole,JAX,24,wr,16,6,,,,,,2,26,0,14,13.0,774
120,Alex Collins,BAL,23,RB,15,12,,,,,,2,50,0,27,25.0,1210
121,Michael Davis,LAC,22,,15,0,,,,,,2,36,0,19,18.0,36
122,Garrett Griffin,NOR,23,,3,0,,,,,,2,23,0,12,11.5,27
123,,,,,,,,,,,,,,,,,
124,DeAngelo Hall,WAS,34,cb/ss,5,2,2,7,0,7,3.5,,,,,,7
125,De'Angelo Henderson,DEN,25,,5,0,,,,,,2,59,0,32,29.5,108
126,Micah Hyde*,BUF,27,SS,16,16,2,18,0,12,9.0,,,,,,82
127,Eddie Jackson,CHI,25,S,16,16,2,6,0,7,3.0,,,,,,163
128,Taiwan Jones,BUF,29,,8,0,,,,,,2,50,0,27,25.0,61
129,Vince Mayle,BAL,26,,16,0,,,,,,2,43,0,29,21.5,45
130,Devin McCourty,NWE,30,S/ss,16,16,,,,,,2,15,0,12,7.5,15
131,Nate Orchard,CLE,24,de,16,1,,,,,,2,17,0,9,8.5,17
132,Samaje Perine,WAS,22,RB,16,8,,,,,,2,48,0,28,24.0,833
133,Emmanuel Sanders,DEN,30,WR,12,11,2,-2,0,3,-1.0,,,,,,553
134,Charles Sims,TAM,27,,16,0,,,,,,2,32,0,19,16.0,376
135,Willie Snead,NOR,25,wr,11,7,1,0,0,0,0.0,1,18,0,18,18.0,110
136,Dwayne Washington,DET,23,,5,0,,,,,,2,31,0,18,15.5,89
137,Lardarius Webb,BAL,32,db,16,3,2,7,0,7,3.5,,,,,,17
138,Charcandrick West,KAN,26,,13,0,,,,,,2,37,0,19,18.5,259
139,Sam Acho,CHI,29,LB,16,12,,,,,,1,3,0,3,3.0,3
140,Geronimo Allison,GNB,23,wr,15,2,1,0,0,0,0.0,,,,,,253
141,Tarell Basham,IND,23,,15,0,,,,,,1,0,0,0,0.0,0
142,David Bass,2TM,27,,15,2,,,,,,1,10,0,10,10.0,10
143,Odell Beckham,NYG,25,wr,4,2,,,,,,1,20,0,20,20.0,330
144,Giovani Bernard,CIN,26,rb,16,2,,,,,,1,7,0,7,7.0,854
145,Ronald Blair,SFO,24,de,6,2,,,,,,1,0,0,0,0.0,0
146,Tommy Bohanon,JAX,27,FB,16,10,,,,,,1,14,0,14,14.0,62
147,Donatello Brown,GNB,26,,4,0,1,0,0,0,0.0,,,,,,0
148,Mack Brown,2TM,26,,4,0,,,,,,1,17,0,17,17.0,57
149,Rex Burkhead,NWE,27,rb,10,3,,,,,,1,17,0,17,17.0,535
150,Bryce Callahan,CHI,26,cb/db/de,12,6,1,59,1,59,59.0,,,,,,132
151,Cethan Carter,CIN,22,,16,0,,,,,,1,0,0,0,0.0,0
152,Stacy Coley,MIN,23,,4,0,,,,,,1,19,0,19,19.0,19
153,Chris Conley,KAN,25,wr,5,5,,,,,,1,8,0,8,8.0,183
154,,,,,,,,,,,,,,,,,
155,Bryan Cox,CAR,23,,7,0,,,,,,1,13,0,13,13.0,28
156,Eric Decker,TEN,30,WR,16,8,,,,,,1,22,0,22,22.0,585
157,Darqueze Dennard,CIN,26,db/lcb/rcb,16,6,1,0,0,0,0.0,,,,,,109
158,A.J. Derby,2TM,26,,11,1,,,,,,1,11,0,11,11.0,255
159,Patrick DiMarco,BUF,28,FB/rb,16,9,,,,,,1,24,0,24,24.0,50
160,Kyler Fackrell,GNB,26,rolb,16,2,,,,,,1,11,0,11,11.0,11
161,Jon Feliciano,OAK,25,rg,13,1,,,,,,1,15,0,15,15.0,15
162,Darren Fells,DET,31,TE,16,13,,,,,,1,10,0,10,10.0,187
163,D'Onta Foreman,HOU,21,rb,10,1,,,,,,1,12,0,12,12.0,422
164,Bennie Fowler,DEN,26,wr,16,4,1,6,0,6,6.0,,,,,,356
165,Kendall Fuller,WAS,22,cb,16,6,,,,,,1,12,0,12,12.0,16
166,Ben Garland,ATL,29,lg,16,3,,,,,,1,11,0,11,11.0,11
167,Mark Glowinski,SEA,25,rg,10,2,,,,,,1,0,0,0,0.0,0
168,Robert Golden,PIT,27,fs,16,2,,,,,,1,5,0,5,5.0,4
169,Xavier Grimble,PIT,25,te/wr,15,2,,,,,,1,0,0,0,0.0,32
170,Johnny Holton,OAK,26,wr,16,1,1,0,0,0,0.0,,,,,,218
171,William Jackson,CIN,25,rcb,15,5,1,0,0,0,0.0,,,,,,75
172,Andy Janovich,DEN,24,fb,16,4,,,,,,1,10,0,10,10.0,57
173,Jordan Jenkins,NYJ,23,LB,16,15,,,,,,1,7,0,7,7.0,7
174,Trumaine Johnson,LAR,27,LCB,16,15,1,6,0,6,6.0,,,,,,45
175,Robert Kelley,WAS,25,rb,7,7,,,,,,1,16,0,16,16.0,228
176,John Kuhn,NOR,35,fb,2,1,,,,,,1,9,0,9,9.0,11
177,Matt Longacre,LAR,26,lb,14,1,,,,,,1,0,0,0,0.0,8
178,David Mayo,CAR,24,mlb,16,1,,,,,,1,12,0,12,12.0,12
179,Max McCaffrey,JAX,23,,5,0,1,0,0,0,0.0,,,,,,4
180,Leon McQuay,KAN,23,s,1,1,,,,,,1,0,0,0,0.0,0
181,Marcus Murphy,BUF,26,,1,0,,,,,,1,18,0,18,18.0,66
182,Jalen Myrick,JAX,22,,5,0,,,,,,1,18,0,18,18.0,18
183,Troy Niklas,ARI,25,TE/wr,15,11,,,,,,1,1,0,1,1.0,133
184,Jamize Olawale,OAK,28,,12,0,,,,,,1,9,0,9,9.0,85
185,,,,,,,,,,,,,,,,,
186,Tenny Palepoi,LAC,27,,15,0,,,,,,1,0,0,0,0.0,0
187,Ethan Pocic,SEA,22,lg/rg,16,11,,,,,,1,13,0,13,13.0,13
188,Roy Robertson-Harris,CHI,24,,13,0,,,,,,1,7,0,7,7.0,7
189,Demarcus Robinson,KAN,23,WR,16,8,1,-4,0,-4,-4.0,,,,,,208
190,Anthony Sherman,KAN,29,fb,16,3,,,,,,1,7,0,7,7.0,94
191,Rod Smith,DAL,25,rb,15,1,,,,,,1,20,0,20,20.0,454
192,Torrey Smith,PHI,28,WR,16,14,1,9,0,9,9.0,,,,,,436
193,Daniel Sorensen,KAN,27,lb/S,15,14,1,0,0,0,0.0,,,,,,3
194,Darren Sproles,PHI,34,,3,0,1,10,0,10,10.0,,,,,,144
195,Mike Thomas,LAR,23,wr,8,1,,,,,,1,15,0,15,15.0,108
196,Nick Vannett,SEA,24,te,15,4,,,,,,1,0,0,0,0.0,124
197,Danny Vitale,CLE,24,fb,15,6,,,,,,1,18,0,18,18.0,37
198,Dede Westbrook,JAX,24,wr,7,5,1,19,0,19,19.0,,,,,,358
199,Griff Whalen,BAL,27,,2,0,1,2,0,2,2.0,,,,,,25
200,Jermaine Whitehead,GNB,24,,10,0,1,0,0,0,0.0,,,,,,7
201,Damien Williams,MIA,25,rb,11,4,,,,,,1,-7,0,-7,-7.0,329
202,Albert Wilson,KAN,25,wr,13,7,,,,,,1,18,0,18,18.0,578
