,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
0,,,,,,,,,,,,,,,,,
1,Tyler Lockett,SEA,25,WR,16,8,36,237,0,27,6.6,37,949,1,99,25.6,1799
2,Alex Erickson,CIN,25,,16,0,39,278,0,29,7.1,32,663,0,41,20.7,1137
3,Pharoh Cooper*+,LAR,22,wr,16,1,32,399,0,53,12.5,34,932,1,103,27.4,1421
4,Andre Roberts,ATL,29,,16,0,27,201,0,27,7.4,38,860,0,61,22.6,1073
5,Adoree' Jackson,TEN,22,CB,16,16,34,290,0,46,8.5,25,578,0,57,23.1,923
6,Tarik Cohen,CHI,22,rb/wr,16,4,29,272,1,61,9.4,26,583,0,46,22.4,1578
7,Trevor Davis,GNB,24,,16,0,24,289,0,65,12.0,31,707,0,34,22.8,1079
8,Ryan Switzer,DAL,23,,16,0,29,256,1,83,8.8,24,600,0,61,25.0,902
9,Marcus Sherels,MIN,30,,16,0,39,372,0,46,9.5,11,271,0,32,24.6,643
10,Brandon Tate,BUF,30,wr,13,1,20,193,0,40,9.7,28,548,0,29,19.6,822
11,Jakeem Grant,MIA,25,,16,0,25,190,0,27,7.6,21,479,0,31,22.8,871
12,Jabrill Peppers,CLE,22,S,13,13,30,180,0,25,6.0,14,318,0,35,22.7,498
13,Jamal Agnew+,DET,22,,13,0,29,447,2,88,15.4,11,196,0,25,17.8,670
14,Kenjon Barner,PHI,27,rb,13,1,27,240,0,76,8.9,10,194,0,27,19.4,547
15,Kerwynn Williams,ARI,26,rb,16,6,21,137,0,20,6.5,16,326,0,28,20.4,982
16,Quan Bray,IND,24,,9,0,17,90,0,20,5.3,18,430,0,60,23.9,559
17,Jalen Richard,OAK,24,rb,16,1,26,155,0,19,6.0,8,90,0,17,11.3,776
18,Michael Campanaro,BAL,26,,13,0,27,291,1,77,10.8,6,159,0,40,26.5,665
19,Jojo Natson,NYJ,23,,7,0,16,38,0,17,2.4,16,325,0,32,20.3,396
20,Kalif Raymond,2TM,23,,8,0,18,99,0,25,5.5,14,271,0,40,19.4,381
21,Trent Taylor,SFO,23,wr,15,1,30,281,0,39,9.4,1,8,0,8,8.0,719
22,Jaydon Mickens,JAX,23,,10,0,27,287,1,72,10.6,2,20,0,20,10.0,384
23,Danny Amendola,NWE,32,WR,15,8,27,231,0,40,8.6,1,16,0,16,16.0,906
24,Travis Benjamin,LAC,28,wr,16,3,27,257,1,65,9.5,,,,,,920
25,Jamison Crowder,WAS,24,wr,15,6,27,171,0,29,6.3,,,,,,994
26,Tommylee Lewis,NOR,25,,15,0,14,115,0,24,8.2,13,307,0,39,23.6,552
27,Tyreek Hill*,KAN,23,WR,15,13,25,204,1,82,8.2,,,,,,1446
28,Akeem Hunt,KAN,24,,15,0,,,,,,25,611,0,42,24.4,665
29,Christian McCaffrey,CAR,21,RB,16,10,22,162,0,25,7.4,3,58,0,21,19.3,1306
30,,,,,,,,,,,,,,,,,
31,Bernard Reedy,2TM,26,,11,0,18,175,0,44,9.7,7,145,0,50,20.7,358
32,Ted Ginn,NOR,32,WR,15,10,19,103,0,17,5.4,5,56,0,17,11.2,985
33,Isaiah McKenzie,DEN,22,,11,0,21,183,0,44,8.7,3,50,0,21,16.7,266
34,Victor Bolden,SFO,22,,9,0,4,23,0,16,5.8,19,396,0,34,20.8,419
35,Dion Lewis,NWE,27,RB,16,8,,,,,,23,570,1,103,24.8,1680
36,Chris Thompson,HOU,23,,13,0,6,39,0,15,6.5,17,369,0,42,21.7,492
