,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
16,Mason Crosby,GNB,26,K,16,0,1,1,8,7,5,4,10,8,4,2,28,22,78.6%,46,46,100.0%,,,,,
17,Phil Dawson,CLE,35,K,16,0,3,3,7,7,10,10,5,3,3,,28,23,82.1%,28,28,100.0%,,,,,
18,Nate Kaeding,SDG,28,K,13,0,,,6,6,8,7,10,9,4,1,28,23,82.1%,40,40,100.0%,,,,,
19,Josh Scobee,JAX,28,,16,0,2,2,3,3,7,6,14,9,2,2,28,22,78.6%,41,41,100.0%,,,,,
20,Adam Vinatieri,IND,38,K,16,0,,,8,8,10,9,10,9,,,28,26,92.9%,51,51,100.0%,,,,,
21,Jay Feely,ARI,34,K,16,0,,,8,8,6,6,10,8,3,2,27,24,88.9%,29,29,100.0%,,,,,
22,Ryan Succop,KAN,24,K,16,0,,,6,6,9,7,8,6,3,1,26,20,76.9%,42,42,100.0%,1,33,33,0,33.0
23,Rob Bironas,TEN,32,K,16,0,,,6,6,9,8,8,8,3,2,26,24,92.3%,38,38,100.0%,,,,,
24,Garrett Hartley,NOR,24,K,14,0,1,1,6,4,9,7,7,6,2,2,25,20,80.0%,40,40,100.0%,,,,,
25,Lawrence Tynes,NYG,32,K,15,0,,,12,12,4,2,4,3,3,2,23,19,82.6%,43,43,100.0%,,,,,
26,Rian Lindell,BUF,33,K,16,0,1,1,6,6,6,5,2,1,6,3,21,16,76.2%,32,31,96.9%,,,,,
27,Mike Nugent,CIN,28,K,9,0,,,5,5,7,7,3,1,4,2,19,15,78.9%,17,17,100.0%,,,,,
28,Ryan Longwell,MIN,36,K,16,0,,,7,7,9,8,2,2,,,18,17,94.4%,31,30,96.8%,,,,,
29,Matt Prater,DEN,26,K,12,0,,,3,3,7,7,5,4,3,2,18,16,88.9%,29,28,96.6%,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Dave Rayner,DET,28,K,8,0,,,3,3,3,3,8,5,2,2,16,13,81.3%,16,16,100.0%,,,,,
32,Shaun Suisham,PIT,29,k,7,0,1,1,4,4,1,1,9,8,,,15,14,93.3%,19,19,100.0%,3,115,39,0,38.3
33,Jason Hanson,DET,40,k,8,0,,,1,1,4,4,5,4,4,3,14,12,85.7%,19,19,100.0%,,,,,
34,Stephen Gostkowski,NWE,26,K,8,0,,,2,2,7,6,3,2,1,,13,10,76.9%,26,26,100.0%,,,,,
35,Joe Nedney,SFO,37,K,9,0,,,6,6,2,2,2,1,3,2,13,11,84.6%,17,17,100.0%,,,,,
36,Shayne Graham,2TM,33,,9,0,1,1,5,5,5,5,1,1,,,12,12,100.0%,41,39,95.1%,,,,,
37,Clint Stitser,CIN,25,k,5,0,,,,,,,,,,,8,7,87.5%,10,8,80.0%,,,,,
38,Stephen Hauschka,DEN,25,k,4,0,,,1,1,3,3,3,2,,,7,6,85.7%,10,10,100.0%,,,,,
39,John Carney,NOR,46,k,2,0,,,2,1,4,4,,,,,6,5,83.3%,3,3,100.0%,,,,,
40,Kris Brown,SDG,34,k,3,0,,,1,1,3,3,,,1,,5,4,80.0%,8,8,100.0%,,,,,
41,Shane Andrus,SFO,30,k,2,0,,,1,1,2,1,1,,,,4,2,50.0%,3,3,100.0%,,,,,
42,Aaron Pettrey,CIN,24,k,2,0,1,1,2,1,,,1,,,,4,2,50.0%,5,5,100.0%,,,,,
43,Jason Baker,CAR,32,P,16,0,,,,,,,,,,,,,,,,,95,4097,60,0,43.1
44,Ben Graham,ARI,37,P,16,0,,,,,,,,,,,,,,,,,94,4080,65,0,43.4
45,Donnie Jones,STL,30,P,16,0,,,,,,,,,,,,,,,,,94,4276,63,0,45.5
46,Andy Lee,SFO,28,P,16,0,,,,,,,,,,,,,,,,,91,4203,64,0,46.2
47,Nick Harris,DET,32,P,16,0,,,,,,,,,,,,,,,,,90,4018,66,0,44.6
48,Dustin Colquitt,KAN,28,P,16,0,,,,,,,,,,,,,,,,,88,3908,72,1,44.4
49,Britton Colquitt,DEN,25,P,16,0,,,,,,,,,,,,,,,,,86,3835,63,0,44.6
50,Steve Weatherford,NYJ,28,P,16,0,,,,,,,,,,,,,,,,,84,3581,61,0,42.6
51,Chris Kluwe,MIN,29,P,16,0,,,,,,,,,,,,,,,,,83,3569,59,0,43.0
52,Brad Maynard,CHI,36,P,16,0,,,,,,,,,,,,,,,,,83,3326,56,0,40.1
53,Sam Koch,BAL,28,P,16,0,,,,,,,,,,,,,,,,,81,3530,60,0,43.6
54,Reggie Hodges,CLE,28,P,16,0,,,,,,,,,,,,,,,,,78,3424,59,0,43.9
55,Jon Ryan,SEA,29,P,16,0,,,,,,,,,,,,,,,,,78,3254,63,0,41.7
56,Brett Kern,TEN,24,P,16,0,,,,,,,,,,,,,,,,,77,3302,68,0,42.9
57,Shane Lechler*+,OAK,34,P,16,0,,,,,,,,,,,,,,,,,77,3618,68,0,47.0
58,Brian Moorman,BUF,34,P,16,0,,,,,,,,,,,,,,,,,75,3181,61,0,42.4
59,Michael Koenen,ATL,28,P,16,0,,,,,,,,,,,,,,,,,74,3014,61,1,40.7
60,Brandon Fields,MIA,26,P,16,0,,,,,,,,,,,,,,,,,73,3369,69,2,46.2
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Saverio Rocca,PHI,37,P,16,0,,,,,,,,,,,,,,,,,73,3195,63,0,43.8
63,Matt Dodge,NYG,23,P,16,0,,,,,,,,,,,,,,,,,72,3222,69,1,44.8
64,Kevin Huber,CIN,25,P,16,0,,,,,,,,,,,,,,,,,71,2992,72,1,42.1
65,Tim Masthay,GNB,23,P,16,0,,,,,,,,,,,,,,,,,71,3114,62,0,43.9
66,Pat McAfee,IND,23,P,15,0,,,,,,,,,,,,,,,,,65,2731,66,0,42.0
67,Mat McBriar*,DAL,31,P,16,0,,,,,,,,,,,,,,,,,65,3115,65,1,47.9
68,Matt Turk,HOU,42,P,16,0,,,,,,,,,,,,,,,,,63,2650,60,0,42.1
69,Zoltan Mesko,NWE,24,P,16,0,,,,,,,,,,,,,,,,,58,2505,65,0,43.2
70,Thomas Morstead,NOR,24,P,16,0,,,,,,,,,,,,,,,,,57,2618,64,0,45.9
71,Adam Podlesh,JAX,27,P,16,0,,,,,,,,,,,,,,,,,57,2496,63,0,43.8
72,Hunter Smith,WAS,33,P,9,0,,,,,,,,,,,,,,,,,57,2310,56,1,40.5
73,Daniel Sepulveda,PIT,26,P,12,0,,,,,,,,,,,,,,,,,56,2550,62,0,45.5
74,Robert Malone,TAM,22,P,12,0,,,,,,,,,,,,,,,,,52,2160,64,0,41.5
75,Mike Scifres,SDG,30,P,16,0,,,,,,,,,,,,,,,,,52,2430,67,4,46.7
76,Chris Bryan,TAM,28,p,4,0,,,,,,,,,,,,,,,,,23,860,57,0,37.4
77,Jeremy Kapinos,2TM,26,,5,0,,,,,,,,,,,,,,,,,18,755,59,0,41.9
78,Sam Paulescu,WAS,26,p,3,0,,,,,,,,,,,,,,,,,17,700,52,0,41.2
79,Josh Bidwell,WAS,34,p,4,0,,,,,,,,,,,,,,,,,15,625,52,0,41.7
80,Ben Roethlisberger,PIT,28,QB,12,12,,,,,,,,,,,,,,,,,1,35,35,0,35.0
81,Ndamukong Suh*+,DET,23,DT,16,16,,,,,,,,,,,,,,1,,0.0%,,,,,
82,Wes Welker*,NWE,29,k/WR,15,11,,,,,,,,,,,,,,1,1,100.0%,,,,,
