,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sebastian Janikowski,OAK,32,K,16,0,,,8,8,14,13,12,8,7,4,41,33,80.5%,43,43,100.0%,1,33,33,0,33.0
2,Dan Carpenter,MIA,25,K,16,0,1,1,9,9,5,5,18,11,8,4,41,30,73.2%,25,25,100.0%,,,,,
3,Josh Brown,STL,31,K,16,0,,,12,11,14,12,9,7,4,3,39,33,84.6%,27,26,96.3%,,,,,
4,Nick Folk,NYJ,26,K,16,0,1,1,11,10,16,14,6,3,5,2,39,30,76.9%,37,37,100.0%,,,,,
5,David Akers*,PHI,36,K,16,0,,,12,12,11,9,12,10,3,1,38,32,84.2%,47,47,100.0%,,,,,
6,Graham Gano,WAS,23,K,16,0,1,1,10,8,7,4,14,11,3,,35,24,68.6%,28,28,100.0%,4,141,42,1,35.3
7,David Buehler,DAL,23,K,16,0,,,8,8,7,4,11,8,6,4,32,24,75.0%,44,42,95.5%,,,,,
8,Jeff Reed,2TM,31,,14,0,2,2,10,9,9,8,7,3,4,2,32,24,75.0%,32,32,100.0%,,,,,
9,Matt Bryant,ATL,35,K,16,0,,,11,11,9,8,10,8,1,1,31,28,90.3%,44,44,100.0%,,,,,
10,Robbie Gould,CHI,28,K,16,0,1,1,9,9,9,8,7,4,4,3,30,25,83.3%,35,35,100.0%,,,,,
11,Olindo Mare,SEA,37,K,16,0,2,2,12,10,7,7,7,5,2,1,30,25,83.3%,31,31,100.0%,,,,,
12,Neil Rackers,HOU,34,K,16,0,,,8,8,11,11,7,5,4,3,30,27,90.0%,43,43,100.0%,,,,,
13,Billy Cundiff*+,BAL,30,K,16,0,,,11,11,9,8,8,7,1,,29,26,89.7%,39,39,100.0%,,,,,
14,John Kasay,CAR,41,K,16,0,,,9,9,2,2,14,11,4,3,29,25,86.2%,17,17,100.0%,,,,,
15,Connor Barth,TAM,24,K,16,0,,,6,6,10,10,10,6,2,1,28,23,82.1%,36,36,100.0%,1,33,33,0,33.0
