,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,David Akers*,PHI,36,K,16,0,,,,,,,,,,,47,47,32,38,,143,8.9
1,Sebastian Janikowski,OAK,32,K,16,0,,,,,,,,,,,43,43,33,41,,142,8.9
2,Adam Vinatieri,IND,38,K,16,0,,,,,,,,,,,51,51,26,28,,129,8.1
3,Matt Bryant,ATL,35,K,16,0,,,,,,,,,,,44,44,28,31,,128,8.0
4,Nick Folk,NYJ,26,K,16,0,,,,,,,,,,,37,37,30,39,,127,7.9
5,Josh Brown,STL,31,K,16,0,,,,,,,,,,,26,27,33,39,,125,7.8
6,Neil Rackers,HOU,34,K,16,0,,,,,,,,,,,43,43,27,30,,124,7.8
7,Billy Cundiff*+,BAL,30,K,16,0,,,,,,,,,,,39,39,26,29,,117,7.3
8,Dan Carpenter,MIA,25,K,16,0,,,,,,,,,,,25,25,30,41,,115,7.2
9,David Buehler,DAL,23,K,16,0,,,,,,,,,,,42,44,24,32,,114,7.1
10,Mason Crosby,GNB,26,K,16,0,,,,,,,,,,,46,46,22,28,,112,7.0
11,Rob Bironas,TEN,32,K,16,0,,,,,,,,,,,38,38,24,26,,110,6.9
12,Robbie Gould,CHI,28,K,16,0,,,,,,,,,,,35,35,25,30,,110,6.9
13,Nate Kaeding,SDG,28,K,13,0,,,,,,,,,,,40,40,23,28,,109,8.4
14,Arian Foster*+,HOU,24,RB,16,13,16,2,,,,,,18,,,,,,,,108,6.8
15,Jay Feely,ARI,34,K,16,0,1,,,,,,,1,,,29,29,24,27,,107,6.7
16,Josh Scobee,JAX,28,,16,0,,,,,,,,,,,41,41,22,28,,107,6.7
17,Olindo Mare,SEA,37,K,16,0,,,,,,,,,,,31,31,25,30,,106,6.6
18,Connor Barth,TAM,24,K,16,0,,,,,,,,,,,36,36,23,28,,105,6.6
19,Jeff Reed,2TM,31,,14,0,,,,,,,,,,,32,32,24,32,,104,7.4
20,Ryan Succop,KAN,24,K,16,0,,,,,,,,,,,42,42,20,26,,102,6.4
21,Graham Gano,WAS,23,K,16,0,,,,,,,,,,,28,28,24,35,,100,6.3
22,Garrett Hartley,NOR,24,K,14,0,,,,,,,,,,,40,40,20,25,,100,7.1
23,Lawrence Tynes,NYG,32,K,15,0,,,,,,,,,,,43,43,19,23,,100,6.7
24,Phil Dawson,CLE,35,K,16,0,,,,,,,,,,,28,28,23,28,,97,6.1
25,John Kasay,CAR,41,K,16,0,,,,,,,,,,,17,17,25,29,,92,5.8
26,Dwayne Bowe*,KAN,26,WR,16,16,,15,,,,,,15,,,,,,,,90,5.6
27,Ryan Longwell,MIN,36,K,16,0,,,,,,,,,,,30,31,17,18,,81,5.1
28,Rian Lindell,BUF,33,K,16,0,,,,,,,,,,,31,32,16,21,,79,4.9
29,,,,,,,,,,,,,,,,,,,,,,,
30,BenJarvus Green-Ellis,NWE,25,RB,16,11,13,,,,,,,13,,,,,,,,78,4.9
31,Peyton Hillis,CLE,24,RB,16,14,11,2,,,,,,13,,,,,,,,78,4.9
32,Rashard Mendenhall,PIT,23,RB,16,16,13,,,,,,,13,,,,,,,,78,4.9
33,Adrian Peterson*,MIN,25,RB,15,15,12,1,,,,,,13,,,,,,,,78,5.2
34,Matt Prater,DEN,26,K,12,0,,,,,,,,,,,28,29,16,18,,76,6.3
35,Shayne Graham,2TM,33,,9,0,,,,,,,,,,,39,41,12,12,,75,8.3
36,Calvin Johnson*,DET,25,WR,15,15,,12,,,,,,12,1,,,,,,,74,4.9
37,Greg Jennings*,GNB,27,WR,16,16,,12,,,,,,12,,,,,,,,72,4.5
38,Chris Johnson*,TEN,25,RB,16,16,11,1,,,,,,12,,,,,,,,72,4.5
39,Michael Turner*,ATL,28,RB,16,15,12,,,,,,,12,,,,,,,,72,4.5
40,Mike Tolbert,SDG,25,rb,15,4,11,,,,,,,11,1,,,,,,,68,4.5
41,Brandon Lloyd*,DEN,29,WR,16,11,,11,,,,,,11,,,,,,,,66,4.1
42,Hakeem Nicks,NYG,22,WR,13,12,,11,,,,,,11,,,,,,,,66,5.1
43,Mike Williams,TAM,23,WR,16,16,,11,,,,,,11,,,,,,,,66,4.1
44,Roddy White*+,ATL,29,WR,16,16,,10,,,,,,10,2,,,,,,,64,4.0
45,Mike Nugent,CIN,28,K,9,0,,,,,,,,,,,17,17,15,19,,62,6.9
46,Shaun Suisham,PIT,29,k,7,0,,,,,,,,,,,19,19,14,15,,61,8.7
47,Antonio Gates*,SDG,30,TE,10,10,,10,,,,,,10,,,,,,,,60,6.0
48,Rob Gronkowski,NWE,21,TE,16,11,,10,,,,,,10,,,,,,,,60,3.8
49,Steve Johnson,BUF,24,WR,16,13,,10,,,,,,10,,,,,,,,60,3.8
50,Marcedes Lewis*,JAX,26,TE,16,16,,10,,,,,,10,,,,,,,,60,3.8
51,Jeremy Maclin,PHI,22,WR,16,16,,10,,,,,,10,,,,,,,,60,3.8
52,Darren McFadden,OAK,23,RB,13,13,7,3,,,,,,10,,,,,,,,60,4.6
53,Mike Wallace,PIT,24,WR,16,16,,10,,,,,,10,,,,,,,,60,3.8
54,Kenny Britt,TEN,22,wr,12,7,,9,,,,,,9,1,,,,,,,56,4.7
55,Matt Forte,CHI,25,RB,16,16,6,3,,,,,,9,1,,,,,,,56,3.5
56,Stephen Gostkowski,NWE,26,K,8,0,,,,,,,,,,,26,26,10,13,,56,7.0
57,Jason Witten*+,DAL,28,TE,16,16,,9,,,,,,9,1,,,,,,,56,3.5
58,Jason Hanson,DET,40,k,8,0,,,,,,,,,,,19,19,12,14,,55,6.9
59,Dave Rayner,DET,28,K,8,0,,,,,,,,,,,16,16,13,16,,55,6.9
60,,,,,,,,,,,,,,,,,,,,,,,
61,Brandon Jacobs,NYG,28,rb,16,5,9,,,,,,,9,,,,,,,,54,3.4
62,Mario Manningham,NYG,24,WR,16,8,,9,,,,,,9,,,,,,,,54,3.4
63,LeSean McCoy,PHI,22,RB,15,13,7,2,,,,,,9,,,,,,,,54,3.6
64,Terrell Owens,CIN,37,WR,14,11,,9,,,,,,9,,,,,,,,54,3.9
65,Michael Vick*,PHI,30,QB,12,12,9,,,,,,,9,,,,,,,,54,4.5
66,Cedric Benson,CIN,28,RB,16,16,7,1,,,,,,8,1,,,,,,,50,3.1
67,Ahmad Bradshaw,NYG,24,RB,16,11,8,,,,,,,8,1,,,,,,,50,3.1
68,Joe Nedney,SFO,37,K,9,0,,,,,,,,,,,17,17,11,13,,50,5.6
69,Miles Austin*,DAL,26,WR,16,16,1,7,,,,,,8,,,,,,,,48,3.0
70,Dez Bryant,DAL,22,wr,12,2,,6,2,,,,,8,,,,,,,,48,4.0
71,Michael Bush,OAK,26,rb,14,3,8,,,,,,,8,,,,,,,,48,3.4
72,Jamaal Charles*+,KAN,24,rb/wr,16,6,5,3,,,,,,8,,,,,,,,48,3.0
73,Austin Collie,IND,25,wr,9,6,,8,,,,,,8,,,,,,,,48,5.3
74,DeSean Jackson*,PHI,24,WR,14,14,1,6,1,,,,,8,,,,,,,,48,3.4
75,Andre Johnson*,HOU,29,WR,13,13,,8,,,,,,8,,,,,,,,48,3.7
76,Lance Moore,NOR,27,wr,16,1,,8,,,,,,8,,,,,,,,48,3.0
77,Knowshon Moreno,DEN,23,RB,13,13,5,3,,,,,,8,,,,,,,,48,3.7
78,Vernon Davis,SFO,26,TE,16,16,,7,,,,,,7,1,,,,,,,44,2.8
79,Braylon Edwards,NYJ,27,WR,16,15,,7,,,,,,7,1,,,,,,,44,2.8
80,Percy Harvin,MIN,22,WR,14,13,1,5,,1,,,,7,1,,,,,,,44,3.1
81,Wes Welker*,NWE,29,k/WR,15,11,,7,,,,,,7,,,1,1,,,,43,2.9
82,Anquan Boldin,BAL,30,WR,16,16,,7,,,,,,7,,,,,,,,42,2.6
83,Marques Colston,NOR,27,WR,15,11,,7,,,,,,7,,,,,,,,42,2.8
84,Jacoby Ford,OAK,23,fb/WR,16,9,2,2,,3,,,,7,,,,,,,,42,2.6
85,Devin Hester*+,CHI,28,WR,16,13,,4,3,,,,,7,,,,,,,,42,2.6
86,Fred Jackson,BUF,29,RB,16,13,5,2,,,,,,7,,,,,,,,42,2.6
87,Maurice Jones-Drew*,JAX,25,RB,14,14,5,2,,,,,,7,,,,,,,,42,3.0
88,Derrick Mason,BAL,36,WR,16,15,,7,,,,,,7,,,,,,,,42,2.6
89,Ryan Mathews,SDG,23,RB,12,9,7,,,,,,,7,,,,,,,,42,3.5
90,Mike Sims-Walker,JAX,26,WR,14,13,,7,,,,,,7,,,,,,,,42,3.0
91,,,,,,,,,,,,,,,,,,,,,,,
92,Larry Fitzgerald*,ARI,27,WR,16,15,,6,,,,,,6,1,,,,,,,38,2.4
93,Jahvid Best,DET,21,RB,16,9,4,2,,,,,,6,,,,,,,,36,2.3
94,LeGarrette Blount,TAM,24,rb,13,7,6,,,,,,,6,,,,,,,,36,2.8
95,Deion Branch,2TM,31,,15,12,,6,,,,,,6,,,,,,,,36,2.4
96,Nate Burleson,DET,29,WR,14,14,,6,,,,,,6,,,,,,,,36,2.6
97,Michael Crabtree,SFO,23,WR,16,15,,6,,,,,,6,,,,,,,,36,2.3
98,Malcom Floyd,SDG,29,WR,11,9,,6,,,,,,6,,,,,,,,36,3.3
99,Pierre Garcon,IND,24,WR,14,14,,6,,,,,,6,,,,,,,,36,2.6
100,Tony Gonzalez*,ATL,34,TE,16,16,,6,,,,,,6,,,,,,,,36,2.3
101,Aaron Hernandez,NWE,21,te,14,7,,6,,,,,,6,,,,,,,,36,2.6
102,Santonio Holmes,NYJ,26,WR,12,10,,6,,,,,,6,,,,,,,,36,3.0
103,Steven Jackson*,STL,27,RB,16,16,6,,,,,,,6,,,,,,,,36,2.3
104,Javarris James,IND,23,,10,0,6,,,,,,,6,,,,,,,,36,3.6
105,Thomas Jones,KAN,32,RB,16,10,6,,,,,,,6,,,,,,,,36,2.3
106,John Kuhn,GNB,28,fb/rb,16,2,4,2,,,,,,6,,,,,,,,36,2.3
107,Marshawn Lynch,2TM,24,,16,14,6,,,,,,,6,,,,,,,,36,2.3
108,Willis McGahee,BAL,29,rb,15,2,5,1,,,,,,6,,,,,,,,36,2.4
109,Santana Moss,WAS,31,WR,16,16,,6,,,,,,6,,,,,,,,36,2.3
110,Ray Rice,BAL,23,RB,16,14,5,1,,,,,,6,,,,,,,,36,2.3
111,Tim Tebow,DEN,23,qb,9,3,6,,,,,,,6,,,,,,,,36,4.0
112,LaDainian Tomlinson,NYJ,31,RB,15,13,6,,,,,,,6,,,,,,,,36,2.4
113,Ryan Torain,WAS,24,RB,10,8,4,2,,,,,,6,,,,,,,,36,3.6
114,Nate Washington,TEN,27,WR,16,16,,6,,,,,,6,,,,,,,,36,2.3
115,Reggie Wayne*+,IND,32,WR,16,16,,6,,,,,,6,,,,,,,,36,2.3
116,Danny Woodhead,2TM,25,,15,3,5,1,,,,,,6,,,,,,,,36,2.4
117,Roy Williams,DAL,29,WR,15,9,,5,,,,,,5,1,,,,,,,32,2.1
118,Davone Bess,MIA,25,WR,16,8,,5,,,,,,5,,,,,,,,30,1.9
119,Kevin Boss,NYG,26,TE,15,13,,5,,,,,,5,,,,,,,,30,2.0
120,Ronnie Brown,MIA,29,RB,16,16,5,,,,,,,5,,,,,,,,30,1.9
121,David Garrard,JAX,32,QB,14,14,5,,,,,,,5,,,,,,,,30,2.1
122,,,,,,,,,,,,,,,,,,,,,,,
123,Frank Gore,SFO,27,RB,11,11,3,2,,,,,,5,,,,,,,,30,2.7
124,Jimmy Graham,NOR,24,te,15,5,,5,,,,,,5,,,,,,,,30,2.0
125,Todd Heap,BAL,30,TE,13,13,,5,,,,,,5,,,,,,,,30,2.3
126,Tim Hightower,ARI,24,RB,16,13,5,,,,,,,5,,,,,,,,30,1.9
127,Chris Ivory,NOR,22,rb,12,4,5,,,,,,,5,,,,,,,,30,2.5
128,James Jones,GNB,26,wr,16,3,,5,,,,,,5,,,,,,,,30,1.9
129,Dustin Keller,NYJ,26,TE,16,13,,5,,,,,,5,,,,,,,,30,1.9
130,Johnny Knox,CHI,24,WR,16,16,,5,,,,,,5,,,,,,,,30,1.9
131,Robert Meachem,NOR,26,wr,16,7,,5,,,,,,5,,,,,,,,30,1.9
132,Zach Miller*,OAK,25,TE,15,15,,5,,,,,,5,,,,,,,,30,2.0
133,Maurice Morris,DET,31,rb,14,7,5,,,,,,,5,,,,,,,,30,2.1
134,Randy Moss,3TM,33,,16,11,,5,,,,,,5,,,,,,,,30,1.9
135,Greg Olsen,CHI,25,TE,16,13,,5,,,,,,5,,,,,,,,30,1.9
136,Jason Snelling,ATL,27,,14,0,2,3,,,,,,5,,,,,,,,30,2.1
137,Brandon Tate,NWE,23,WR,16,10,,3,,2,,,,5,,,,,,,,30,1.9
138,Mike Thomas,JAX,23,WR,16,11,,4,1,,,,,5,,,,,,,,30,1.9
139,Kevin Walter,HOU,29,WR,16,16,,5,,,,,,5,,,,,,,,30,1.9
140,Hines Ward,PIT,34,WR,16,15,,5,,,,,,5,,,,,,,,30,1.9
141,Brian Westbrook,SFO,31,rb,14,5,4,1,,,,,,5,,,,,,,,30,2.1
142,Blair White,IND,23,wr,13,4,,5,,,,,,5,,,,,,,,30,2.3
143,Keiland Williams,WAS,24,rb,15,3,3,2,,,,,,5,,,,,,,,30,2.0
144,Kellen Winslow,TAM,27,TE,16,11,,5,,,,,,5,,,,,,,,30,1.9
145,Clint Stitser,CIN,25,k,5,0,,,,,,,,,,,8,10,7,8,,29,5.8
146,Stephen Hauschka,DEN,25,k,4,0,,,,,,,,,,,10,10,6,7,,28,7.0
147,Ben Obomanu,SEA,27,wr,15,6,,4,,,,,,4,2,,,,,,,28,1.9
148,Jermaine Gresham,CIN,22,TE,15,10,,4,,,,,,4,1,,,,,,,26,1.7
149,Joseph Addai,IND,27,rb,8,7,4,,,,,,,4,,,,,,,,24,3.0
150,Marion Barber,DAL,27,RB,13,10,4,,,,,,,4,,,,,,,,24,1.8
151,Correll Buckhalter,DEN,32,,15,0,2,2,,,,,,4,,,,,,,,24,1.6
152,Deon Butler,SEA,24,WR,13,8,,4,,,,,,4,,,,,,,,24,1.8
153,,,,,,,,,,,,,,,,,,,,,,,
154,Brent Celek,PHI,25,TE,16,15,,4,,,,,,4,,,,,,,,24,1.5
155,Joel Dreessen,HOU,28,TE,16,10,,4,,,,,,4,,,,,,,,24,1.5
156,Donald Driver,GNB,35,WR,15,15,,4,,,,,,4,,,,,,,,24,1.6
157,Lee Evans,BUF,29,WR,13,13,,4,,,,,,4,,,,,,,,24,1.8
158,Anthony Fasano,MIA,26,TE,15,15,,4,,,,,,4,,,,,,,,24,1.6
159,Brandon Jackson,GNB,25,RB,16,13,3,1,,,,,,4,,,,,,,,24,1.5
160,Rashad Jennings,JAX,25,fb/rb,13,3,4,,,,,,,4,,,,,,,,24,1.8
161,Chad Johnson,CIN,32,,14,12,,4,,,,,,4,,,,,,,,24,1.7
162,Brandon Pettigrew,DET,25,TE,16,16,,4,,,,,,4,,,,,,,,24,1.5
163,Marcel Reece,OAK,25,FB,16,10,1,3,,,,,,4,,,,,,,,24,1.5
164,Aaron Rodgers,GNB,27,QB,15,15,4,,,,,,,4,,,,,,,,24,1.6
165,Bo Scaife,TEN,29,TE,14,13,,4,,,,,,4,,,,,,,,24,1.7
166,Jacob Tamme,IND,25,rb/te,16,8,,4,,,,,,4,,,,,,,,24,1.5
167,Derrick Ward,HOU,30,,16,0,4,,,,,,,4,,,,,,,,24,1.5
168,Leon Washington,SEA,28,,16,0,1,,,3,,,,4,,,,,,,,24,1.5
169,Kris Brown,SDG,34,k,3,0,,,,,,,,,,,8,8,4,5,,20,6.7
170,Chris Cooley,WAS,28,TE,16,16,,3,,,,,,3,1,,,,,,,20,1.3
171,Jacoby Jones,HOU,26,wr,15,7,,3,,,,,,3,1,,,,,,,20,1.3
172,Danny Amendola,STL,25,wr,16,6,,3,,,,,,3,,,,,,,,18,1.1
173,Anthony Armstrong,WAS,27,WR,15,11,,3,,,,,,3,,,,,,,,18,1.2
174,Earl Bennett,CHI,23,wr,14,3,,3,,,,,,3,,,,,,,,18,1.3
175,John Carney,NOR,46,k,2,0,,,,,,,,,,,3,3,5,6,,18,9.0
176,Tashard Choice,DAL,26,,16,0,3,,,,,,,3,,,,,,,,18,1.1
177,Dallas Clark,IND,31,te,6,6,,3,,,,,,3,,,,,,,,18,3.0
178,Kenneth Darby,STL,28,,14,0,2,1,,,,,,3,,,,,,,,18,1.3
179,Fred Davis,WAS,24,fb/TE,16,9,,3,,,,,,3,,,,,,,,18,1.1
180,Brian Finneran,ATL,34,wr,16,1,,3,,,,,,3,,,,,,,,18,1.1
181,David Gettis,CAR,23,WR,15,13,,3,,,,,,3,,,,,,,,18,1.2
182,Mike Goodson,CAR,23,rb,16,3,3,,,,,,,3,,,,,,,,18,1.1
183,Matt Hasselbeck,SEA,35,QB,14,14,3,,,,,,,3,,,,,,,,18,1.3
184,,,,,,,,,,,,,,,,,,,,,,,
185,Michael Hoomanawanui,STL,22,te,8,3,,3,,,,,,3,,,,,,,,18,2.3
186,T.J. Houshmandzadeh,BAL,33,wr,16,2,,3,,,,,,3,,,,,,,,18,1.1
187,Vincent Jackson,SDG,27,wr,5,5,,3,,,,,,3,,,,,,,,18,3.6
188,Donald Lee,GNB,30,te,15,6,,3,,,,,,3,,,,,,,,18,1.2
189,Brandon Marshall,MIA,26,WR,14,14,,3,,,,,,3,,,,,,,,18,1.3
190,Tony Moeaki,KAN,23,TE,15,15,,3,,,,,,3,,,,,,,,18,1.2
191,David Nelson,BUF,24,fb/wr,15,3,,3,,,,,,3,,,,,,,,18,1.2
192,Brian Robiskie,CLE,23,WR,14,11,,3,,,,,,3,,,,,,,,18,1.3
193,Eddie Royal,DEN,24,WR,16,10,,3,,,,,,3,,,,,,,,18,1.1
194,Mark Sanchez,NYJ,24,QB,16,16,3,,,,,,,3,,,,,,,,18,1.1
195,Jordan Shipley,CIN,25,wr,15,4,,3,,,,,,3,,,,,,,,18,1.2
