,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
0,,,,,,,,,,,,,,,,,
1,Keshawn Martin,HOU,23,wr,16,1,39,345,1,87,8.8,36,947,0,50,26.3,1545
2,Marcus Thigpen,MIA,27,,16,0,34,264,0,34,7.8,39,878,0,50,22.5,1257
3,Brandon Tate,CIN,26,,16,0,36,336,0,43,9.3,35,914,0,71,26.1,1256
4,Devin Hester,CHI,31,,16,0,18,256,1,81,14.2,52,1436,0,80,27.6,1692
5,Trindon Holliday,DEN,27,,15,0,32,271,1,81,8.5,28,775,1,105,27.7,1053
6,Dexter McCluster*,KAN,24,wr,15,6,58,686,2,89,11.8,1,3,0,3,3.0,1205
7,Golden Tate,SEA,25,WR,16,13,51,585,0,71,11.5,3,57,0,24,19.0,1571
8,Tavon Austin,STL,23,rb/wr,13,3,33,280,1,98,8.5,18,398,0,32,22.1,1247
9,Ted Ginn,CAR,28,wr,16,2,26,316,0,41,12.2,25,595,0,38,23.8,1496
10,Jacoby Jones,BAL,29,WR,12,9,19,237,0,37,12.5,31,892,1,77,28.8,1584
11,Dwayne Harris,DAL,26,wr,13,3,20,256,1,86,12.8,28,857,0,90,30.6,1199
12,Micah Hyde,GNB,23,cb,16,3,24,296,1,93,12.3,22,531,0,70,24.1,827
13,Eric Page,TAM,22,wr,16,1,23,251,0,52,10.9,22,548,0,44,24.9,881
14,Cordarrelle Patterson*+,MIN,22,wr,16,6,,,,,,43,1393,2,109,32.4,2020
15,Darren Sproles,NOR,30,rb,15,4,29,194,0,28,6.7,12,255,0,32,21.3,1273
16,Micheal Spurlock,2TM,30,,11,0,23,207,0,62,9.0,18,389,0,36,21.6,596
17,Jeremy Ross,2TM,25,,13,2,17,263,1,58,15.5,21,514,1,98,24.5,884
18,Darius Reynaud,2TM,29,,9,0,18,135,0,35,7.5,18,430,0,40,23.9,569
19,Julian Edelman,NWE,27,WR,16,11,35,374,0,43,10.7,,,,,,1441
20,LaMichael James,SFO,24,,10,0,23,251,0,40,10.9,12,321,0,41,26.8,647
21,Patrick Peterson*+,ARI,23,LCB,16,16,33,198,0,22,6.0,1,18,0,18,18.0,350
22,Antonio Brown*,PIT,25,WR,16,14,32,409,1,67,12.8,1,16,0,16,16.0,1928
23,Quintin Demps,KAN,28,fs/s,16,6,,,,,,33,992,1,95,30.1,1053
24,Leodis McKelvin,BUF,28,LCB,15,13,32,180,0,21,5.6,,,,,,180
25,Damaris Johnson,PHI,24,,13,0,12,100,0,21,8.3,17,441,0,33,25.9,555
26,Rueben Randle,NYG,22,wr,16,3,29,237,0,32,8.2,,,,,,848
27,Fozzy Whittaker,2TM,24,,14,2,,,,,,29,638,0,56,22.0,872
28,Josh Cribbs,NYJ,30,,6,0,8,96,0,21,12.0,20,490,0,42,24.5,647
29,Ace Sanders,JAX,22,wr,15,4,25,140,0,17,5.6,3,75,0,31,25.0,703
30,,,,,,,,,,,,,,,,,
31,Taiwan Jones,OAK,25,,16,0,,,,,,26,623,0,41,24.0,701
32,Jordan Todman,JAX,23,rb,16,2,,,,,,26,712,0,59,27.4,1084
33,Travis Benjamin,CLE,24,wr,8,3,22,257,1,79,11.7,3,146,0,86,48.7,553
34,Jacquizz Rodgers,ATL,23,rb,15,4,,,,,,25,575,0,34,23.0,1248
35,Javier Arenas,ARI,26,,16,0,1,0,0,0,0.0,23,493,0,46,21.4,493
36,David Reed,IND,26,,7,0,,,,,,24,590,0,39,24.6,592
37,Tandon Doss,BAL,24,wr,15,2,23,359,1,82,15.6,,,,,,664
38,Felix Jones,PIT,26,rb,16,2,,,,,,23,510,0,42,22.2,757
39,Leon Washington,2TM,31,,7,0,6,78,0,33,13.0,17,500,0,95,29.4,579
40,Marcus Sherels,MIN,26,lcb/rcb,16,3,22,335,1,86,15.2,,,,,,335
41,Michael Cox,NYG,25,rb,14,1,,,,,,20,436,0,56,21.8,491
42,Jacoby Ford,OAK,26,wr,14,1,9,77,0,14,8.6,11,253,0,30,23.0,444
43,Josh Morgan,WAS,28,wr,14,7,8,59,0,34,7.4,12,239,0,25,19.9,525
44,Niles Paul,WAS,24,fb/te/wr,15,4,,,,,,20,411,0,39,20.6,462
45,Robert McClain,ATL,25,cb,16,6,19,193,0,25,10.2,,,,,,193
46,Santana Moss,WAS,34,wr,16,1,18,130,0,18,7.2,1,15,0,15,15.0,622
47,Kyle Williams,2TM,25,,10,5,12,61,0,22,5.1,7,134,0,35,19.1,331
48,LeGarrette Blount,NWE,27,rb,16,7,,,,,,17,494,0,83,29.1,1304
49,T.Y. Hilton,IND,24,WR,16,10,17,159,0,34,9.4,,,,,,1248
50,Marquise Goodwin,BUF,23,wr,12,1,,,,,,16,351,0,28,21.9,647
51,Greg Jenkins,OAK,24,,6,0,6,49,0,14,8.2,10,221,0,29,22.1,293
52,Keenan Allen,SDG,21,WR,15,14,15,125,0,28,8.3,,,,,,1171
53,DeSean Jackson*,PHI,27,WR,16,16,14,71,0,32,5.1,1,10,0,10,10.0,1415
54,Chris Thompson,WAS,23,,4,0,7,36,0,11,5.1,8,160,0,28,20.0,196
55,Jeremy Kerley,NYJ,25,WR,12,8,13,115,0,24,8.8,1,19,0,19,19.0,668
56,Benny Cunningham,STL,23,,14,0,,,,,,13,299,0,32,23.0,619
57,Jermaine Kearse,SEA,23,wr,15,5,,,,,,13,283,0,40,21.8,629
58,Danny Woodhead,SDG,28,rb,16,2,,,,,,12,262,0,37,21.8,1296
59,Cole Beasley,DAL,24,wr,14,3,10,68,0,14,6.8,1,11,0,11,11.0,447
60,Jerrel Jernigan,NYG,24,wr,15,3,,,,,,11,246,0,46,22.4,632
61,,,,,,,,,,,,,,,,,
62,Adam Jones,CIN,30,db/RCB,16,13,11,88,0,27,8.0,,,,,,191
63,Travaris Cadet,NOR,24,,13,0,1,0,0,0,0.0,9,239,0,82,26.6,244
64,Knile Davis,KAN,22,rb,16,1,,,,,,10,321,1,108,32.1,638
65,Harry Douglas,ATL,29,WR,16,11,10,57,0,15,5.7,,,,,,1124
66,Chris Rainey,IND,25,,2,0,4,29,0,18,7.3,6,131,0,27,21.8,160
67,Emmanuel Sanders,PIT,26,WR,16,10,,,,,,10,268,0,46,26.8,1033
68,Wes Welker,DEN,32,WR,13,13,10,70,0,27,7.0,,,,,,848
69,Nick Williams,WAS,23,,5,0,1,0,0,0,0.0,9,188,0,29,20.9,203
70,Josh Boyce,NWE,22,wr,9,3,,,,,,9,214,0,41,23.8,335
71,Brandon Boykin,PHI,23,cb/lcb,16,2,,,,,,9,205,0,41,22.8,341
72,Clyde Gates,NYJ,27,wr,6,2,,,,,,9,209,0,36,23.2,331
73,Griff Whalen,IND,23,wr,9,3,8,104,0,51,13.0,1,22,0,22,22.0,385
74,Damian Williams,TEN,25,wr,10,1,4,12,0,8,3.0,5,123,0,37,24.6,313
75,David Wilson,NYG,22,rb,5,4,,,,,,9,222,0,31,24.7,376
76,Phillip Adams,OAK,25,cb/lcb,16,2,8,59,0,30,7.4,,,,,,85
77,Lavelle Hawkins,SDG,27,,4,0,,,,,,8,176,0,27,22.0,176
78,Jordan Poyer,2TM,22,,12,0,8,114,0,38,14.3,,,,,,114
79,Robert Turbin,SEA,24,,16,0,,,,,,8,177,0,27,22.1,501
80,Toby Gerhart,MIN,26,,14,0,,,,,,7,106,0,20,15.1,477
81,Jim Leonhard,BUF,31,fs/ss,16,7,7,63,0,25,9.0,,,,,,135
82,Greg Little,CLE,24,WR,16,13,,,,,,7,151,0,30,21.6,616
83,Devin McCourty,NWE,26,db/S,15,15,,,,,,7,132,0,27,18.9,176
84,Bobby Rainey,2TM,26,,15,6,,,,,,7,162,0,33,23.1,774
85,Eddie Royal,SDG,27,wr,15,3,7,41,0,12,5.9,,,,,,693
86,Deonte Thompson,BAL,24,,7,0,,,,,,7,201,0,47,28.7,297
