,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
85,Owen Daniels,BAL,32,TE,15,13,79,48,60.8%,527,11.0,4,39,6.7,3.2,35.1,0
86,Allen Robinson,JAX,21,WR,10,8,81,48,59.3%,548,11.4,2,54,6.8,4.8,54.8,0
87,Miles Austin,CLE,30,WR,12,11,73,47,64.4%,568,12.1,2,31,7.8,3.9,47.3,0
88,Scott Chandler,BUF,29,te,16,5,70,47,67.1%,497,10.6,3,37,7.1,2.9,31.1,0
89,Michael Floyd,ARI,25,WR,16,14,99,47,47.5%,841,17.9,6,63,8.5,2.9,52.6,4
90,Andre Holmes,OAK,26,WR,16,13,99,47,47.5%,693,14.7,4,77,7.0,2.9,43.3,0
91,,,,,,,,,,,,,,,,,
92,Andre Ellington,ARI,25,RB,12,12,64,46,71.9%,395,8.6,2,81,6.2,3.8,32.9,2
93,Benny Cunningham,STL,24,rb,16,2,52,45,86.5%,352,7.8,1,19,6.8,2.8,22.0,2
94,Pierre Thomas,NOR,30,rb,11,3,55,45,81.8%,378,8.4,1,39,6.9,4.1,34.4,0
95,Matt Asiata,MIN,27,fb/RB,15,9,63,44,69.8%,312,7.1,1,41,5.0,2.9,20.8,1
96,Justin Forsett*,BAL,29,RB,16,14,59,44,74.6%,263,6.0,0,26,4.5,2.8,16.4,2
97,Giovani Bernard,CIN,23,RB,13,9,59,43,72.9%,349,8.1,2,46,5.9,3.3,26.8,0
98,Julius Thomas*,DEN,26,TE,13,10,62,43,69.4%,489,11.4,12,35,7.9,3.3,37.6,1
99,Roy Helu,WAS,26,,14,0,47,42,89.4%,477,11.4,2,55,10.1,3.0,34.1,2
100,Eddie Lacy,GNB,24,RB,16,16,55,42,76.4%,427,10.2,4,67,7.8,2.6,26.7,3
101,Jarius Wright,MIN,25,wr,16,7,62,42,67.7%,588,14.0,2,87,9.5,2.6,36.8,0
102,Chris Hogan,BUF,27,wr,16,2,61,41,67.2%,426,10.4,4,31,7.0,2.6,26.6,2
103,Reggie Bush,DET,29,RB,11,9,56,40,71.4%,253,6.3,0,28,4.5,3.6,23.0,1
104,Jamaal Charles*,KAN,28,RB,15,15,59,40,67.8%,291,7.3,5,30,4.9,2.7,19.4,5
105,Darren Sproles*,PHI,31,,15,0,62,40,64.5%,387,9.7,0,57,6.2,2.7,25.8,4
106,Nate Washington,TEN,31,WR,16,11,72,40,55.6%,647,16.2,2,80,9.0,2.5,40.4,0
107,Brian Hartline,MIA,28,WR,16,16,63,39,61.9%,474,12.2,2,35,7.5,2.4,29.6,0
108,Niles Paul,WAS,25,te/wr,16,7,52,39,75.0%,507,13.0,1,50,9.8,2.4,31.7,1
109,Davante Adams,GNB,22,WR,16,11,66,38,57.6%,446,11.7,3,45,6.8,2.4,27.9,0
110,Jace Amaro,NYJ,22,te/wr,14,4,53,38,71.7%,345,9.1,2,43,6.5,2.7,24.6,1
111,Ahmad Bradshaw,IND,28,rb,10,1,47,38,80.9%,300,7.9,6,22,6.4,3.8,30.0,3
112,Travaris Cadet,NOR,25,rb,15,1,51,38,74.5%,296,7.8,1,31,5.8,2.5,19.7,2
113,Arian Foster*,HOU,28,RB,13,13,59,38,64.4%,327,8.6,5,56,5.5,2.9,25.2,2
114,Devin Hester*,ATL,32,wr,16,1,59,38,64.4%,504,13.3,2,46,8.5,2.4,31.5,2
115,Jermaine Kearse,SEA,24,WR,15,14,69,38,55.1%,537,14.1,1,60,7.8,2.5,35.8,0
116,Jeremy Kerley,NYJ,26,wr,16,7,75,38,50.7%,409,10.8,1,33,5.5,2.4,25.6,1
117,Lamar Miller,MIA,23,RB,16,16,52,38,73.1%,275,7.2,1,20,5.3,2.4,17.2,3
118,Hakeem Nicks,IND,26,wr,16,6,68,38,55.9%,405,10.7,4,29,6.0,2.4,25.3,0
119,Cole Beasley,DAL,25,wr,16,2,49,37,75.5%,420,11.4,4,45,8.6,2.3,26.3,2
120,Marqise Lee,JAX,23,WR,13,8,69,37,53.6%,422,11.4,1,37,6.1,2.8,32.5,0
121,Marshawn Lynch*,SEA,28,RB,16,14,48,37,77.1%,367,9.9,4,39,7.6,2.3,22.9,4
122,,,,,,,,,,,,,,,,,
123,Marcel Reece*,OAK,29,FB,15,15,59,37,62.7%,265,7.2,1,19,4.5,2.5,17.7,1
124,Terrance Williams,DAL,25,WR,16,16,66,37,56.1%,621,16.8,8,51,9.4,2.3,38.8,0
125,Taylor Gabriel,CLE,23,wr,16,2,72,36,50.0%,621,17.3,1,70,8.6,2.3,38.8,0
126,Darren McFadden,OAK,27,RB,16,12,56,36,64.3%,212,5.9,0,23,3.8,2.3,13.3,1
127,Branden Oliver,SDG,23,rb,14,7,45,36,80.0%,271,7.5,1,50,6.0,2.6,19.4,0
128,Preston Parker,NYG,27,wr,16,7,56,36,64.3%,418,11.6,2,42,7.5,2.3,26.1,2
129,Andre Roberts,WAS,26,wr,16,4,73,36,49.3%,453,12.6,2,61,6.2,2.3,28.3,4
130,Steve Johnson,SFO,28,wr,13,1,50,35,70.0%,435,12.4,3,32,8.7,2.7,33.5,0
131,C.J. Anderson*,DEN,23,rb,15,7,44,34,77.3%,324,9.5,2,51,7.4,2.3,21.6,1
132,Jason Avant,2TM,31,,16,0,62,34,54.8%,353,10.4,1,41,5.7,2.1,22.1,0
133,Joique Bell,DET,28,rb,15,6,53,34,64.2%,322,9.5,1,28,6.1,2.3,21.5,5
134,Theo Riddick,DET,23,rb,14,2,50,34,68.0%,316,9.3,4,41,6.3,2.4,22.6,0
135,John Carlson,ARI,30,rb/TE,16,12,55,33,60.0%,350,10.6,1,32,6.4,2.1,21.9,0
136,Cordarrelle Patterson,MIN,23,wr,16,7,67,33,49.3%,384,11.6,1,28,5.7,2.1,24.0,1
137,Bobby Rainey,TAM,27,rb,15,5,45,33,73.3%,315,9.5,1,34,7.0,2.2,21.0,3
138,Brent Celek,PHI,29,TE,16,15,51,32,62.7%,340,10.6,1,37,6.7,2.0,21.3,1
139,Donte Moncrief,IND,21,wr,16,2,49,32,65.3%,444,13.9,3,79,9.1,2.0,27.8,0
140,Tavon Austin,STL,24,WR,15,8,44,31,70.5%,242,7.8,0,28,5.5,2.1,16.1,5
141,Charles Johnson,MIN,25,wr,12,6,59,31,52.5%,475,15.3,2,56,8.1,2.6,39.6,1
142,Damaris Johnson,HOU,25,WR,16,8,49,31,63.3%,331,10.7,1,44,6.8,1.9,20.7,2
143,Louis Murphy,TAM,27,wr,11,3,56,31,55.4%,380,12.3,2,54,6.8,2.8,34.5,1
144,Levine Toilolo,ATL,23,TE,16,16,54,31,57.4%,238,7.7,2,20,4.4,1.9,14.9,1
145,Stedman Bailey,STL,24,wr,14,3,46,30,65.2%,435,14.5,1,38,9.5,2.1,31.1,0
146,Devonta Freeman,ATL,22,,16,0,37,30,81.1%,225,7.5,1,36,6.1,1.9,14.1,1
147,Rashad Jennings,NYG,29,RB,11,9,41,30,73.2%,226,7.5,0,27,5.5,2.7,20.5,1
148,Dwayne Allen,IND,24,fb/TE,13,13,50,29,58.0%,395,13.6,8,41,7.9,2.2,30.4,1
149,Donald Brown,SDG,27,rb,13,3,41,29,70.7%,211,7.3,0,24,5.1,2.2,16.2,1
150,Brandon Gibson,MIA,27,wr,14,5,51,29,56.9%,295,10.2,1,40,5.8,2.1,21.1,2
151,Mark Ingram*,NOR,25,RB,13,9,36,29,80.6%,145,5.0,0,14,4.0,2.2,11.2,3
152,Andrew Quarless,GNB,26,TE,16,11,46,29,63.0%,323,11.1,3,34,7.0,1.8,20.2,0
153,,,,,,,,,,,,,,,,,
154,Paul Richardson,SEA,22,wr,15,6,44,29,65.9%,271,9.3,1,32,6.2,1.9,18.1,1
155,Jacquizz Rodgers,ATL,24,rb,16,1,40,29,72.5%,173,6.0,1,14,4.3,1.8,10.8,1
156,Justin Hunter,TEN,23,WR,12,8,67,28,41.8%,498,17.8,3,75,7.4,2.3,41.5,0
157,LeSean McCoy*,PHI,26,RB,16,16,37,28,75.7%,155,5.5,0,18,4.2,1.8,9.7,4
158,Danny Amendola,NWE,29,wr,16,4,42,27,64.3%,200,7.4,1,21,4.8,1.7,12.5,1
159,Jeremy Hill,CIN,22,RB,16,8,32,27,84.4%,215,8.0,0,38,6.7,1.7,13.4,5
160,Lance Kendricks,STL,26,TE/wr,16,14,38,27,71.1%,259,9.6,5,23,6.8,1.7,16.2,0
161,Jerick McKinnon,MIN,22,rb,11,6,41,27,65.9%,135,5.0,0,17,3.3,2.5,12.3,0
162,Trent Richardson,IND,24,RB,15,12,34,27,79.4%,229,8.5,0,24,6.7,1.8,15.3,2
163,Martavis Bryant,PIT,23,wr,10,3,48,26,54.2%,549,21.1,8,94,11.4,2.6,54.9,0
164,Vernon Davis,SFO,30,TE,14,14,50,26,52.0%,245,9.4,2,29,4.9,1.9,17.5,0
165,Clay Harbor,JAX,27,TE,13,8,35,26,74.3%,289,11.1,1,59,8.3,2.0,22.2,0
166,Dexter McCluster,TEN,25,rb,14,2,36,26,72.2%,197,7.6,1,25,5.5,1.9,14.1,1
167,Tim Wright,NWE,24,te/wr,16,2,33,26,78.8%,259,10.0,6,30,7.8,1.6,16.2,0
168,Eric Ebron,DET,21,te,13,7,47,25,53.2%,248,9.9,1,22,5.3,1.9,19.1,0
169,Anthony Fasano,KAN,30,TE,15,13,36,25,69.4%,226,9.0,4,22,6.3,1.7,15.1,0
170,Brian Quick,STL,25,wr,7,7,39,25,64.1%,375,15.0,3,51,9.6,3.6,53.6,0
171,Jonathan Stewart,CAR,27,RB,13,8,31,25,80.6%,181,7.2,1,22,5.8,1.9,13.9,3
172,Jordan Todman,JAX,24,rb,16,1,37,25,67.6%,198,7.9,1,26,5.4,1.6,12.4,0
173,Kamar Aiken,BAL,25,,16,0,32,24,75.0%,267,11.1,3,24,8.3,1.5,16.7,0
174,Marlon Brown,BAL,23,wr,14,1,31,24,77.4%,255,10.6,0,22,8.2,1.7,18.2,0
175,Jordan Cameron,CLE,26,TE,10,9,48,24,50.0%,424,17.7,2,81,8.8,2.4,42.4,0
176,Josh Gordon,CLE,23,wr,5,5,47,24,51.1%,303,12.6,0,32,6.4,4.8,60.6,0
177,Chris Johnson,NYJ,29,rb,16,6,34,24,70.6%,151,6.3,1,26,4.4,1.5,9.4,1
178,Jeremy Ross,DET,26,fb/WR,16,13,35,24,68.6%,314,13.1,1,59,9.0,1.5,19.6,5
179,Kyle Rudolph,MIN,25,TE,9,8,34,24,70.6%,231,9.6,2,23,6.8,2.7,25.7,1
180,Dion Sims,MIA,23,te/wr,14,2,36,24,66.7%,284,11.8,2,38,7.9,1.7,20.3,0
181,Victor Cruz,NYG,28,wr,6,6,41,23,56.1%,337,14.7,1,61,8.2,3.8,56.2,0
182,Jeff Cumberland,NYJ,27,TE,16,14,47,23,48.9%,247,10.7,3,28,5.3,1.4,15.4,0
183,Chase Ford,MIN,24,te,11,5,35,23,65.7%,258,11.2,1,22,7.4,2.1,23.5,0
184,,,,,,,,,,,,,,,,,
185,Denard Robinson,JAX,24,RB,13,9,31,23,74.2%,124,5.4,0,19,4.0,1.8,9.5,2
186,De'Anthony Thomas,KAN,21,wr,12,3,31,23,74.2%,156,6.8,0,30,5.0,1.9,13.0,0
187,Jaron Brown,ARI,24,wr,16,2,32,22,68.8%,229,10.4,2,26,7.2,1.4,14.3,1
188,Brandon Myers,TAM,29,te/wr,14,6,32,22,68.8%,190,8.6,0,26,5.9,1.6,13.6,0
189,Leon Washington,TEN,32,,16,0,31,22,71.0%,159,7.2,2,25,5.1,1.4,9.9,3
190,Luke Willson,SEA,24,TE,15,10,40,22,55.0%,362,16.5,3,80,9.1,1.5,24.1,0
191,Corey Brown,CAR,23,wr,13,3,36,21,58.3%,296,14.1,2,47,8.2,1.6,22.8,3
192,Brice Butler,OAK,24,,15,0,35,21,60.0%,280,13.3,2,55,8.0,1.4,18.7,0
193,Dan Herron,IND,25,rb,16,3,26,21,80.8%,173,8.2,0,26,6.7,1.3,10.8,4
194,Ronnie Hillman,DEN,23,rb,8,4,34,21,61.8%,139,6.6,1,16,4.1,2.6,17.4,1
195,Austin Seferian-Jenkins,TAM,22,TE,9,9,38,21,55.3%,221,10.5,2,30,5.8,2.3,24.6,1
196,Kenbrell Thompkins,2TM,26,,14,7,48,21,43.8%,262,12.5,0,50,5.5,1.5,18.7,0
197,Damien Williams,MIA,22,,16,0,27,21,77.8%,187,8.9,1,32,6.9,1.3,11.7,0
198,Toby Gerhart,JAX,27,fb/rb,14,7,24,20,83.3%,186,9.3,0,26,7.8,1.4,13.3,1
199,Steven Jackson,ATL,31,RB,15,15,27,20,74.1%,148,7.4,0,17,5.5,1.3,9.9,0
200,Richard Rodgers,GNB,22,te,16,5,30,20,66.7%,225,11.3,2,43,7.5,1.3,14.1,0
201,Ben Watson,NOR,34,TE,16,8,31,20,64.5%,136,6.8,2,15,4.4,1.3,8.5,0
202,Rhett Ellison,MIN,26,TE,16,13,26,19,73.1%,208,10.9,1,40,8.0,1.2,13.0,0
203,Ladarius Green,SDG,24,te,14,4,25,19,76.0%,226,11.9,0,28,9.0,1.4,16.1,0
204,Derek Hagan,TEN,30,wr,16,3,34,19,55.9%,254,13.4,1,38,7.5,1.2,15.9,0
205,Kyle Juszczyk,BAL,23,FB,16,14,27,19,70.4%,182,9.6,1,33,6.7,1.2,11.4,3
206,Charles Sims,TAM,24,,8,0,27,19,70.4%,190,10.0,0,24,7.0,2.4,23.8,2
207,C.J. Spiller,BUF,27,rb,9,5,22,19,86.4%,125,6.6,1,25,5.7,2.1,13.9,3
208,Travis Benjamin,CLE,25,,16,0,46,18,39.1%,314,17.4,3,43,6.8,1.1,19.6,2
209,Jack Doyle,IND,24,te,16,1,22,18,81.8%,118,6.6,2,20,5.4,1.1,7.4,0
210,Lance Dunbar,DAL,24,,16,0,22,18,81.8%,217,12.1,0,40,9.9,1.1,13.6,0
211,Garrett Graham,HOU,28,TE,11,9,28,18,64.3%,197,10.9,1,26,7.0,1.6,17.9,0
212,Chris Ivory,NYJ,26,RB,16,10,27,18,66.7%,123,6.8,1,23,4.6,1.1,7.7,2
213,Marcedes Lewis,JAX,30,TE,8,8,31,18,58.1%,206,11.4,2,63,6.6,2.3,25.8,0
214,Bruce Miller,SFO,27,FB,16,8,25,18,72.0%,189,10.5,2,22,7.6,1.1,11.8,1
215,,,,,,,,,,,,,,,,,
216,Bishop Sankey,TEN,22,RB,16,9,23,18,78.3%,133,7.4,0,18,5.8,1.1,8.3,2
217,Zac Stacy,STL,23,rb,13,5,23,18,78.3%,152,8.4,0,17,6.6,1.4,11.7,2
218,James Starks,GNB,28,,16,0,29,18,62.1%,140,7.8,0,28,4.8,1.1,8.8,1
219,Andre Williams,NYG,22,rb/wr,16,7,37,18,48.6%,130,7.2,0,24,3.5,1.1,8.1,1
220,Jim Dray,CLE,28,TE,16,8,27,17,63.0%,242,14.2,1,31,9.0,1.1,15.1,0
221,Alfred Morris*,WAS,26,RB,16,16,26,17,65.4%,155,9.1,0,26,6.0,1.1,9.7,2
222,Latavius Murray,OAK,24,rb,15,3,23,17,73.9%,143,8.4,0,46,6.2,1.1,9.5,1
223,Brandon Tate,CIN,27,wr,16,4,26,17,65.4%,193,11.4,1,50,7.4,1.1,12.1,2
224,Nick Toon,NOR,26,wr,8,2,23,17,73.9%,215,12.6,1,24,9.3,2.1,26.9,1
225,Marquess Wilson,CHI,22,wr,7,6,32,17,53.1%,140,8.2,1,17,4.4,2.4,20.0,0
226,Bryce Brown,BUF,23,rb,7,2,25,16,64.0%,176,11.0,0,40,7.0,2.3,25.1,1
227,Knile Davis,KAN,23,rb,16,1,25,16,64.0%,147,9.2,1,70,5.9,1.0,9.2,4
228,Daniel Fells,NYG,31,TE,16,9,20,16,80.0%,188,11.8,4,27,9.4,1.0,11.8,1
229,Tre Mason,STL,21,RB,12,9,26,16,61.5%,148,9.3,1,35,5.7,1.3,12.3,2
230,Dennis Pitta,BAL,29,te,3,3,21,16,76.2%,125,7.8,0,24,6.0,5.3,41.7,0
231,Dante Rosario,CHI,30,fb/te,16,3,22,16,72.7%,116,7.3,0,22,5.3,1.0,7.3,1
232,Robert Turbin,SEA,25,fb/rb,16,3,20,16,80.0%,186,11.6,2,34,9.3,1.0,11.6,1
233,Albert Wilson,KAN,22,wr,12,2,28,16,57.1%,260,16.3,0,48,9.3,1.3,21.7,0
234,Donnie Avery,KAN,30,wr,6,3,26,15,57.7%,176,11.7,0,27,6.8,2.5,29.3,1
235,Alfred Blue,HOU,23,rb,16,3,18,15,83.3%,113,7.5,1,22,6.3,0.9,7.1,0
236,Corey Fuller,DET,24,wr,16,2,31,14,45.2%,212,15.1,1,52,6.8,0.9,13.3,1
237,Ted Ginn,ARI,29,,16,0,26,14,53.8%,190,13.6,0,27,7.3,0.9,11.9,3
238,Josh Hill,NOR,24,te,16,3,20,14,70.0%,176,12.6,5,37,8.8,0.9,11.0,0
239,Brandon Lloyd,SFO,33,wr,14,3,35,14,40.0%,294,21.0,1,80,8.4,1.0,21.0,0
240,Lance Moore,PIT,31,wr,14,2,26,14,53.8%,198,14.1,2,29,7.6,1.0,14.1,0
241,Jacob Tamme,DEN,29,,15,0,28,14,50.0%,109,7.8,2,26,3.9,0.9,7.3,1
242,Gary Barnidge,CLE,29,te,13,2,25,13,52.0%,156,12.0,0,28,6.2,1.0,12.0,0
243,Brenton Bersin,CAR,24,wr,15,1,20,13,65.0%,151,11.6,1,29,7.6,0.9,10.1,3
244,Doug Martin,TAM,25,RB,11,11,20,13,65.0%,64,4.9,0,20,3.2,1.2,5.8,0
245,Logan Paulsen,WAS,27,TE/wr,16,12,16,13,81.3%,78,6.0,1,16,4.9,0.8,4.9,1
246,,,,,,,,,,,,,,,,,
247,Antone Smith,ATL,29,,10,0,15,13,86.7%,222,17.1,3,74,14.8,1.3,22.2,1
248,Daniel Thomas,MIA,27,,12,0,19,13,68.4%,121,9.3,0,25,6.4,1.1,10.1,1
249,Justin Brown,PIT,23,wr,8,1,21,12,57.1%,94,7.8,0,18,4.5,1.5,11.8,1
