,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
0,Antonio Brown*+,PIT,26,WR,16,16,181,129,71.3%,1698,13.2,13,63,9.4,8.1,106.1,2
1,Demaryius Thomas*,DEN,27,WR,16,16,184,111,60.3%,1619,14.6,11,86,8.8,6.9,101.2,0
2,Julio Jones*,ATL,25,WR,15,15,163,104,63.8%,1593,15.3,6,79,9.8,6.9,106.2,2
3,Matt Forte,CHI,29,RB,16,16,130,102,78.5%,808,7.9,4,56,6.2,6.4,50.5,2
4,Emmanuel Sanders*,DEN,27,WR,16,16,141,101,71.6%,1404,13.9,9,48,10.0,6.3,87.8,1
5,Golden Tate*,DET,26,WR,16,16,144,99,68.8%,1331,13.4,4,73,9.2,6.2,83.2,1
6,Jordy Nelson*,GNB,29,WR,16,16,151,98,64.9%,1519,15.5,13,80,10.1,6.1,94.9,0
7,Julian Edelman,NWE,28,WR,14,13,134,92,68.7%,972,10.6,4,69,7.3,6.6,69.4,5
8,Odell Beckham*,NYG,22,WR,12,11,130,91,70.0%,1305,14.3,12,80,10.0,7.6,108.8,1
9,Randall Cobb*,GNB,24,WR,16,16,127,91,71.7%,1287,14.1,12,70,10.1,5.7,80.4,4
10,Martellus Bennett*,CHI,27,TE,16,15,128,90,70.3%,916,10.2,6,37,7.2,5.6,57.3,0
11,Dez Bryant*+,DAL,26,WR,16,16,136,88,64.7%,1320,15.0,16,68,9.7,5.5,82.5,1
12,Jimmy Graham*,NOR,28,TE,16,13,125,85,68.0%,889,10.5,10,29,7.1,5.3,55.6,2
13,Alshon Jeffery,CHI,24,WR,16,16,145,85,58.6%,1133,13.3,10,74,7.8,5.3,70.8,1
14,Andre Johnson,HOU,33,WR,15,15,146,85,58.2%,936,11.0,3,35,6.4,5.7,62.4,3
15,Jeremy Maclin,PHI,26,WR,16,16,143,85,59.4%,1318,15.5,10,72,9.2,5.3,82.4,0
16,Jarvis Landry,MIA,22,WR,16,11,112,84,75.0%,758,9.0,5,25,6.8,5.3,47.4,7
17,Greg Olsen*,CAR,29,TE,16,16,123,84,68.3%,1008,12.0,6,38,8.2,5.3,63.0,1
18,Le'Veon Bell*+,PIT,22,RB,16,16,105,83,79.0%,854,10.3,3,48,8.1,5.2,53.4,0
19,Anquan Boldin,SFO,34,WR,16,16,130,83,63.8%,1062,12.8,5,76,8.2,5.2,66.4,0
20,Rob Gronkowski*+,NWE,25,TE,15,10,131,82,62.6%,1124,13.7,12,46,8.6,5.5,74.9,0
21,T.Y. Hilton*,IND,25,WR,15,15,131,82,62.6%,1345,16.4,7,73,10.3,5.5,89.7,3
22,Roddy White,ATL,33,WR,14,14,125,80,64.0%,921,11.5,7,39,7.4,5.7,65.8,3
23,Steve Smith,BAL,35,WR,16,16,134,79,59.0%,1065,13.5,6,80,7.9,4.9,66.6,1
24,Keenan Allen,SDG,22,WR,14,14,121,77,63.6%,783,10.2,4,35,6.5,5.5,55.9,2
25,DeAndre Hopkins,HOU,22,WR,16,16,127,76,59.8%,1210,15.9,6,76,9.5,4.8,75.6,2
26,Eric Decker,NYJ,27,WR,15,15,115,74,64.3%,962,13.0,5,74,8.4,4.9,64.1,0
27,Brandon LaFell,NWE,28,WR,16,13,119,74,62.2%,953,12.9,7,56,8.0,4.6,59.6,1
28,Kelvin Benjamin,CAR,23,WR,16,15,145,73,50.3%,1008,13.8,9,51,7.0,4.6,63.0,1
29,,,,,,,,,,,,,,,,,
30,James Jones,OAK,30,WR,16,10,112,73,65.2%,666,9.1,6,42,5.9,4.6,41.6,3
31,Calvin Johnson*,DET,29,WR,13,13,128,71,55.5%,1077,15.2,8,67,8.4,5.5,82.8,0
32,Rueben Randle,NYG,23,WR,16,13,127,71,55.9%,938,13.2,3,49,7.4,4.4,58.6,0
33,Vincent Jackson,TAM,31,WR,16,16,142,70,49.3%,1002,14.3,2,50,7.1,4.4,62.6,1
34,Antonio Gates,SDG,34,TE,16,14,98,69,70.4%,821,11.9,12,34,8.4,4.3,51.3,1
35,A.J. Green*,CIN,26,WR,13,13,117,69,59.0%,1041,15.1,6,81,8.9,5.3,80.1,3
36,Michael Crabtree,SFO,27,WR,16,16,108,68,63.0%,698,10.3,4,51,6.5,4.3,43.6,0
37,Mike Evans,TAM,21,WR,15,15,122,68,55.7%,1051,15.5,12,56,8.6,4.5,70.1,0
38,Pierre Garcon,WAS,28,WR,16,14,105,68,64.8%,752,11.1,3,70,7.2,4.3,47.0,0
39,Travis Kelce,KAN,25,TE,16,11,87,67,77.0%,862,12.9,5,34,9.9,4.2,53.9,4
40,Jordan Matthews,PHI,22,WR,16,10,103,67,65.0%,872,13.0,8,44,8.5,4.2,54.5,0
41,Mike Wallace,MIA,28,WR,16,16,115,67,58.3%,862,12.9,10,50,7.5,4.2,53.9,2
42,Doug Baldwin,SEA,26,WR,16,16,98,66,67.3%,825,12.5,3,49,8.4,4.1,51.6,1
43,Fred Jackson,BUF,33,RB,14,9,90,66,73.3%,501,7.6,1,34,5.6,4.7,35.8,5
44,Heath Miller,PIT,32,TE,16,16,91,66,72.5%,761,11.5,3,49,8.4,4.1,47.6,2
45,Sammy Watkins,BUF,21,WR,16,16,128,65,50.8%,982,15.1,6,84,7.7,4.1,61.4,1
46,Robert Woods,BUF,22,WR,16,15,104,65,62.5%,699,10.8,5,37,6.7,4.1,43.7,1
47,Reggie Wayne,IND,36,WR,15,15,116,64,55.2%,779,12.2,2,80,6.7,4.3,51.9,1
48,Jason Witten*,DAL,32,TE,16,16,90,64,71.1%,703,11.0,5,34,7.8,4.0,43.9,0
49,Larry Donnell,NYG,26,TE,16,12,92,63,68.5%,623,9.9,6,32,6.8,3.9,38.9,4
50,Larry Fitzgerald,ARI,31,WR,14,13,103,63,61.2%,784,12.4,2,80,7.6,4.5,56.0,1
51,Andrew Hawkins,CLE,28,WR,15,15,112,63,56.3%,824,13.1,2,65,7.4,4.2,54.9,0
52,Kenny Stills,NOR,22,wr,15,7,83,63,75.9%,931,14.8,3,69,11.2,4.2,62.1,1
53,Delanie Walker,TEN,30,TE,15,14,106,63,59.4%,890,14.1,4,68,8.4,4.2,59.3,2
54,Jermaine Gresham,CIN,26,TE,15,15,79,62,78.5%,460,7.4,5,23,5.8,4.1,30.7,3
55,Eddie Royal,SDG,28,WR,16,11,91,62,68.1%,778,12.5,7,47,8.5,3.9,48.6,1
56,Brandon Marshall,CHI,30,WR,13,13,106,61,57.5%,721,11.8,8,47,6.8,4.7,55.5,1
57,Dwayne Bowe,KAN,30,WR,15,15,95,60,63.2%,754,12.6,0,37,7.9,4.0,50.3,2
58,Marques Colston,NOR,31,WR,16,13,100,59,59.0%,902,15.3,5,57,9.0,3.7,56.4,1
59,Greg Jennings,MIN,31,WR,16,13,92,59,64.1%,742,12.6,6,38,8.1,3.7,46.4,1
60,,,,,,,,,,,,,,,,,
61,Charles Clay,MIA,25,TE,14,14,84,58,69.0%,605,10.4,3,41,7.2,4.1,43.2,0
62,Zach Ertz,PHI,24,te,16,5,89,58,65.2%,702,12.1,3,35,7.9,3.6,43.9,1
63,Mychal Rivera,OAK,24,TE,16,10,99,58,58.6%,534,9.2,4,33,5.4,3.6,33.4,3
64,DeMarco Murray*+,DAL,26,RB,16,16,64,57,89.1%,416,7.3,0,34,6.5,3.6,26.0,6
65,Kendall Wright,TEN,25,WR,14,11,93,57,61.3%,715,12.5,6,48,7.7,4.1,51.1,1
66,DeSean Jackson,WAS,28,WR,15,13,95,56,58.9%,1169,20.9,6,81,12.3,3.7,77.9,0
67,Mohamed Sanu,CIN,25,WR,16,13,98,56,57.1%,790,14.1,5,76,8.1,3.5,49.4,0
68,Riley Cooper,PHI,27,WR,16,16,95,55,57.9%,577,10.5,3,50,6.1,3.4,36.1,1
69,Brandin Cooks,NOR,21,wr,10,7,69,53,76.8%,550,10.4,3,50,8.0,5.3,55.0,1
70,Cecil Shorts,JAX,27,WR,13,12,110,53,48.2%,557,10.5,1,53,5.1,4.1,42.8,1
71,Markus Wheaton,PIT,23,WR,16,11,86,53,61.6%,644,12.2,2,47,7.5,3.3,40.3,0
72,Jared Cook,STL,27,te,16,6,99,52,52.5%,634,12.2,3,59,6.4,3.3,39.6,0
73,Malcom Floyd,SDG,33,WR,16,16,92,52,56.5%,856,16.5,6,59,9.3,3.3,53.5,0
74,Shane Vereen,NWE,25,rb,16,6,77,52,67.5%,447,8.6,3,49,5.8,3.3,27.9,0
75,Harry Douglas,ATL,30,wr,12,6,74,51,68.9%,556,10.9,2,41,7.5,4.3,46.3,0
76,Coby Fleener,IND,26,TE,16,12,92,51,55.4%,774,15.2,8,73,8.4,3.2,48.4,0
77,Percy Harvin,2TM,26,,13,12,78,51,65.4%,483,9.5,1,45,6.2,3.9,37.2,3
78,Allen Hurns,JAX,23,wr,16,8,97,51,52.6%,677,13.3,6,63,7.0,3.2,42.3,0
79,Jordan Reed,WAS,24,te,11,2,65,50,76.9%,465,9.3,0,30,7.2,4.5,42.3,1
80,Torrey Smith,BAL,25,WR,16,16,92,49,53.3%,767,15.7,11,53,8.3,3.1,47.9,0
81,Wes Welker,DEN,33,WR,14,8,64,49,76.6%,464,9.5,2,39,7.3,3.5,33.1,0
82,Kenny Britt,STL,26,WR,16,13,84,48,57.1%,748,15.6,3,63,8.9,3.0,46.8,0
83,John Brown,ARI,24,wr,16,5,102,48,47.1%,696,14.5,5,75,6.8,3.0,43.5,0
84,Jerricho Cotchery,CAR,32,WR,15,13,78,48,61.5%,580,12.1,1,47,7.4,3.2,38.7,0
