,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,Stephen Gostkowski*,NWE,29,K,16,0,,,,,,,,,,,44,44,38,41,,158,9.9
1,Matt Prater*,DEN,29,K,16,0,,,,,,,,,,,75,75,25,26,,150,9.4
2,Nick Novak,SDG,32,K,16,0,,,,,,,,,,,42,42,34,37,,144,9.0
3,Stephen Hauschka,SEA,28,K,16,0,,,,,,,,,,,44,44,33,35,,143,8.9
4,Mason Crosby,GNB,29,K,16,0,,,,,,,,,,,42,42,33,37,,141,8.8
5,Phil Dawson,SFO,38,K,16,0,,,,,,,,,,,44,44,32,36,,140,8.8
6,Justin Tucker*+,BAL,24,K,16,0,,,,,,,,,,,26,26,38,41,,140,8.8
7,Adam Vinatieri,IND,41,K,15,0,,,,,,,,,,,34,34,35,40,,139,9.3
8,Dan Bailey,DAL,25,K,16,0,,,,,,,,,,,47,47,28,30,,131,8.2
9,Dan Carpenter,BUF,28,K,16,0,,,,,,,,,,,32,32,33,36,,131,8.2
10,Shaun Suisham,PIT,32,K,16,0,,,,,,,,,,,39,39,30,32,,129,8.1
11,Jay Feely,ARI,37,K,16,0,,,,,,,,,,,37,37,30,36,,127,7.9
12,Nick Folk,NYJ,29,K,16,0,,,,,,,,,,,27,27,33,36,,126,7.9
13,Robbie Gould,CHI,31,K,16,0,,,,,,,,,,,45,46,26,29,,123,7.7
14,Blair Walsh,MIN,23,K,16,0,,,,,,,,,,,43,44,26,30,,121,7.6
15,Ryan Succop,KAN,27,K,16,0,,,,,,,,,,,52,52,22,28,,118,7.4
16,Rob Bironas,TEN,35,K,16,0,,,,,,,,,,,41,41,25,29,,116,7.3
17,Jamaal Charles*+,KAN,27,RB,15,15,12,7,,,,,,19,,,,,,,,114,7.6
18,Graham Gano,CAR,26,K,16,0,,,,,,,,,,,42,42,24,27,,114,7.1
19,Alex Henery,PHI,26,K,16,0,,,,,,,,,,,45,45,23,28,,114,7.1
20,Greg Zuerlein,STL,26,K,16,0,,,,,,,,,,,34,34,26,28,,112,7.0
21,Matt Bryant,ATL,38,K,16,0,,,,,,,,,,,39,39,24,27,,111,6.9
22,Caleb Sturgis,MIA,24,K,16,0,,,,,,,,,,,33,33,26,34,,111,6.9
23,Garrett Hartley,NOR,27,K,14,0,,,,,,,,,,,41,41,22,30,,107,7.6
24,Mike Nugent,CIN,31,K,16,0,,,,,,,,,,,52,53,18,22,,106,6.6
25,Randy Bullock,HOU,24,K,16,0,,,,,,,,,,,26,26,26,35,,104,6.5
26,Josh Brown,NYG,34,K,16,0,,,,,,,,,,,31,31,23,26,,100,6.3
27,Sebastian Janikowski,OAK,35,K,16,0,,,,,,,,,,,37,37,21,30,,100,6.3
28,Rian Lindell,TAM,36,K,16,0,,,,,,,,,,,31,31,23,29,,100,6.3
29,,,,,,,,,,,,,,,,,,,,,,,
30,David Akers,DET,39,K,16,0,,,,,,,,,,,42,43,19,24,,99,6.2
31,Jimmy Graham*+,NOR,27,TE/wr,16,12,,16,,,,,,16,,,,,,,,96,6.0
32,Billy Cundiff,CLE,33,K,16,0,,,,,,,,,,,32,32,21,26,,95,5.9
33,Josh Scobee,JAX,31,K,16,0,,,,,,,,,,,22,23,23,25,,91,5.7
34,Marshawn Lynch*,SEA,27,RB,16,16,12,2,,,,,,14,,,,,,,,84,5.3
35,Demaryius Thomas*,DEN,26,WR,16,16,,14,,,,,,14,,,,,,,,84,5.3
36,Kai Forbath,WAS,26,K,13,0,,,,,,,,,,,26,26,18,22,,80,6.2
37,Dez Bryant*,DAL,25,WR,16,16,,13,,,,,,13,,,,,,,,78,4.9
38,Vernon Davis*,SFO,29,TE,15,15,,13,,,,,,13,,,,,,,,78,5.2
39,Knowshon Moreno,DEN,26,RB,16,15,10,3,,,,,,13,,,,,,,,78,4.9
40,Brandon Marshall*,CHI,29,WR,16,16,,12,,,,,,12,2,,,,,,,76,4.8
41,Matt Forte*,CHI,28,RB,16,16,9,3,,,,,,12,1,,,,,,,74,4.6
42,Calvin Johnson*+,DET,28,WR,14,14,,12,,,,,,12,,,,,,,,72,5.1
43,Julius Thomas*,DEN,25,TE,14,14,,12,,,,,,12,,,,,,,,72,5.1
44,Eric Decker,DEN,26,WR,16,16,,11,,,,,,11,,,,,,,,66,4.1
45,A.J. Green*,CIN,25,WR,16,16,,11,,,,,,11,,,,,,,,66,4.1
46,Eddie Lacy*,GNB,23,RB,15,15,11,,,,,,,11,,,,,,,,66,4.4
47,LeSean McCoy*+,PHI,25,RB,16,16,9,2,,,,,,11,,,,,,,,66,4.1
48,Adrian Peterson*,MIN,28,RB,14,14,10,1,,,,,,11,,,,,,,,66,4.7
49,Jerricho Cotchery,PIT,31,wr,16,6,,10,,,,,,10,,,,,,,,60,3.8
50,Larry Fitzgerald*,ARI,30,WR,16,16,,10,,,,,,10,,,,,,,,60,3.8
51,Fred Jackson,BUF,32,rb,16,6,9,1,,,,,,10,,,,,,,,60,3.8
52,Chris Johnson,TEN,28,RB,16,16,6,4,,,,,,10,,,,,,,,60,3.8
53,Marvin Jones,CIN,23,wr,16,3,,10,,,,,,10,,,,,,,,60,3.8
54,DeMarco Murray*,DAL,25,RB,14,14,9,1,,,,,,10,,,,,,,,60,4.3
55,Wes Welker,DEN,32,WR,13,13,,10,,,,,,10,,,,,,,,60,4.6
56,Antonio Brown*,PIT,25,WR,16,14,,8,1,,,,,9,,,,,,,,54,3.4
57,Josh Gordon*+,CLE,22,WR,14,14,,9,,,,,,9,,,,,,,,54,3.9
58,Frank Gore*,SFO,30,RB,16,16,9,,,,,,,9,,,,,,,,54,3.4
59,DeSean Jackson*,PHI,27,WR,16,16,,9,,,,,,9,,,,,,,,54,3.4
60,,,,,,,,,,,,,,,,,,,,,,,
61,Cordarrelle Patterson*+,MIN,22,wr,16,6,3,4,,2,,,,9,,,,,,,,54,3.4
62,Riley Cooper,PHI,26,WR,16,15,,8,,,,,,8,2,,,,,,,52,3.3
63,Joique Bell,DET,27,fb/rb,16,4,8,,,,,,,8,1,,,,,,,50,3.1
64,Tony Gonzalez*,ATL,37,TE,16,16,,8,,,,,,8,1,,,,,,,50,3.1
65,Rashard Mendenhall,ARI,26,RB,15,15,8,,,,,,,8,1,,,,,,,50,3.3
66,Keenan Allen,SDG,21,WR,15,14,,8,,,,,,8,,,,,,,,48,3.2
67,Le'Veon Bell,PIT,21,RB,13,13,8,,,,,,,8,,,,,,,,48,3.7
68,Giovani Bernard,CIN,22,,16,0,5,3,,,,,,8,,,,,,,,48,3.0
69,Donald Brown,IND,26,rb,16,5,6,2,,,,,,8,,,,,,,,48,3.0
70,Jordy Nelson,GNB,28,WR,16,16,,8,,,,,,8,,,,,,,,48,3.0
71,Eddie Royal,SDG,27,wr,15,3,,8,,,,,,8,,,,,,,,48,3.2
72,Zac Stacy,STL,22,RB,14,12,7,1,,,,,,8,,,,,,,,48,3.4
73,Jason Witten*,DAL,31,TE,16,16,,8,,,,,,8,,,,,,,,48,3.0
74,Danny Woodhead,SDG,28,rb,16,2,2,6,,,,,,8,,,,,,,,48,3.0
75,Marlon Brown,BAL,22,WR,14,12,,7,,,,,,7,1,,,,,,,44,3.1
76,Joseph Fauria,DET,23,te,16,2,,7,,,,,,7,1,,,,,,,44,2.8
77,Alshon Jeffery*,CHI,23,WR,16,14,,7,,,,,,7,1,,,,,,,44,2.8
78,LeGarrette Blount,NWE,27,rb,16,7,7,,,,,,,7,,,,,,,,42,2.6
79,Anquan Boldin,SFO,33,WR,16,16,,7,,,,,,7,,,,,,,,42,2.6
80,Reggie Bush,DET,28,RB,14,14,4,3,,,,,,7,,,,,,,,42,3.0
81,Jordan Cameron*,CLE,25,TE,15,14,,7,,,,,,7,,,,,,,,42,2.8
82,Charles Clay,MIA,24,TE,16,15,1,6,,,,,,7,,,,,,,,42,2.6
83,BenJarvus Green-Ellis,CIN,28,RB,16,16,7,,,,,,,7,,,,,,,,42,2.6
84,Steven Jackson,ATL,30,RB,12,12,6,1,,,,,,7,,,,,,,,42,3.5
85,Vincent Jackson,TAM,30,WR,16,16,,7,,,,,,7,,,,,,,,42,2.6
86,Ryan Mathews,SDG,26,RB,16,14,6,1,,,,,,7,,,,,,,,42,2.6
87,Alfred Morris*,WAS,25,RB,16,16,7,,,,,,,7,,,,,,,,42,2.6
88,Stevan Ridley,NWE,24,rb,14,6,7,,,,,,,7,,,,,,,,42,3.0
89,Mike Tolbert*+,CAR,28,FB,16,13,5,2,,,,,,7,,,,,,,,42,2.6
90,Julian Edelman,NWE,27,WR,16,11,,6,,,,,,6,2,,,,,,,40,2.5
91,,,,,,,,,,,,,,,,,,,,,,,
92,Emmanuel Sanders,PIT,26,WR,16,10,,6,,,,,,6,1,,,,,,,38,2.4
93,Tavon Austin,STL,23,rb/wr,13,3,1,4,1,,,,,6,,,,,,,,36,2.8
94,Brent Celek,PHI,28,TE,16,15,,6,,,,,,6,,,,,,,,36,2.3
95,Rashad Jennings,OAK,28,RB,15,8,6,,,,,,,6,,,,,,,,36,2.4
96,Cam Newton*,CAR,24,QB,16,16,6,,,,,,,6,,,,,,,,36,2.3
97,Greg Olsen,CAR,28,TE,16,16,,6,,,,,,6,,,,,,,,36,2.3
98,Bobby Rainey,2TM,26,,15,6,5,1,,,,,,6,,,,,,,,36,2.4
99,Rueben Randle,NYG,22,wr,16,3,,6,,,,,,6,,,,,,,,36,2.3
100,Geno Smith,NYJ,23,QB,16,16,6,,,,,,,6,,,,,,,,36,2.3
101,Daniel Thomas,MIA,26,rb,15,1,4,2,,,,,,6,,,,,,,,36,2.4
102,Delanie Walker,TEN,29,TE,15,11,,6,,,,,,6,,,,,,,,36,2.4
103,Terrance Williams,DAL,24,wr,16,8,,5,,,,,,5,1,,,,,,,32,2.0
104,Doug Baldwin,SEA,25,WR,16,9,,5,,,,,,5,,,,,,,,30,1.9
105,Martellus Bennett,CHI,26,TE,16,15,,5,,,,,,5,,,,,,,,30,1.9
106,Dwayne Bowe,KAN,29,WR,15,15,,5,,,,,,5,,,,,,,,30,2.0
107,Marques Colston,NOR,30,WR,15,11,,5,,,,,,5,,,,,,,,30,2.0
108,Jared Cook,STL,26,TE,16,13,,5,,,,,,5,,,,,,,,30,1.9
109,Knile Davis,KAN,22,rb,16,1,4,,,1,,,,5,,,,,,,,30,1.9
110,Michael Floyd,ARI,24,WR,16,16,,5,,,,,,5,,,,,,,,30,1.9
111,Pierre Garcon,WAS,27,WR,16,16,,5,,,,,,5,,,,,,,,30,1.9
112,Ted Ginn,CAR,28,wr,16,2,,5,,,,,,5,,,,,,,,30,1.9
113,Garrett Graham,HOU,27,TE,13,11,,5,,,,,,5,,,,,,,,30,2.3
114,T.Y. Hilton,IND,24,WR,16,10,,5,,,,,,5,,,,,,,,30,1.9
115,Andre Johnson*,HOU,32,WR,16,16,,5,,,,,,5,,,,,,,,30,1.9
116,Maurice Jones-Drew,JAX,28,RB,15,15,5,,,,,,,5,,,,,,,,30,2.0
117,Brandon LaFell,CAR,27,WR,16,16,,5,,,,,,5,,,,,,,,30,1.9
118,Darren McFadden,OAK,26,rb,10,7,5,,,,,,,5,,,,,,,,30,3.0
119,Zach Miller,SEA,28,TE,14,12,,5,,,,,,5,,,,,,,,30,2.1
