,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
402,Montell Owens*,JAX,27,,13,0,3,2,66.7%,2,1.0,0,6,0.7,0.2,0.2,0
403,Niles Paul,WAS,22,wr,13,2,5,2,40.0%,25,12.5,0,14,5.0,0.2,1.9,0
404,Taylor Price,2TM,24,,5,0,4,2,50.0%,39,19.5,0,21,9.8,0.4,7.8,0
405,Da'Rel Scott,NYG,23,,11,0,2,2,100.0%,13,6.5,0,9,6.5,0.2,1.2,1
406,Cecil Shorts,JAX,24,,10,0,12,2,16.7%,30,15.0,1,25,2.5,0.2,3.0,0
407,Stephen Spach,STL,29,te,10,1,3,2,66.7%,2,1.0,0,3,0.7,0.2,0.2,0
408,Micheal Spurlock,TAM,28,,12,0,6,2,33.3%,13,6.5,0,7,2.2,0.2,1.1,0
409,Brett Swain,SFO,26,wr,5,1,7,2,28.6%,15,7.5,0,9,2.1,0.4,3.0,0
410,Phillip Tanner,DAL,23,,9,0,2,2,100.0%,19,9.5,0,11,9.5,0.2,2.1,0
411,Chauncey Washington,DAL,26,,2,0,3,2,66.7%,13,6.5,0,15,4.3,1.0,6.5,0
412,D.J. Williams,GNB,23,,13,0,4,2,50.0%,13,6.5,0,7,3.3,0.2,1.0,0
413,Seyi Ajirotutu,CAR,24,,14,0,2,1,50.0%,4,4.0,0,4,2.0,0.1,0.3,0
414,Eugene Amano,TEN,29,C,16,16,1,1,100.0%,7,7.0,0,7,7.0,0.1,0.4,0
415,Emmanuel Arceneaux,MIN,24,,3,0,2,1,50.0%,10,10.0,0,10,5.0,0.3,3.3,0
416,Brandon Banks,WAS,24,,16,0,1,1,100.0%,10,10.0,0,10,10.0,0.1,0.6,7
417,Aaron Brown,DET,26,,1,0,1,1,100.0%,9,9.0,0,9,9.0,1.0,9.0,0
418,Matt Cassel,KAN,29,QB,9,9,1,1,100.0%,-4,-4.0,0,-4,-4.0,0.1,-0.4,5
419,Shaun Chapas,DAL,23,,3,0,1,1,100.0%,9,9.0,0,9,9.0,0.3,3.0,0
420,Thomas Clayton,CLE,27,,3,0,1,1,100.0%,3,3.0,0,3,3.0,0.3,1.0,0
421,Anthony Dixon,SFO,24,,16,0,1,1,100.0%,6,6.0,0,6,6.0,0.1,0.4,0
422,Jonathan Dwyer,PIT,22,,7,0,1,1,100.0%,6,6.0,0,6,6.0,0.1,0.9,0
423,Joe Flacco,BAL,26,QB,16,16,1,1,100.0%,-8,-8.0,0,-8,-8.0,0.1,-0.5,11
424,Mike Goodson,CAR,24,,4,0,3,1,33.3%,4,4.0,0,4,1.3,0.3,1.0,0
425,Richard Gordon,OAK,24,fb,14,1,1,1,100.0%,2,2.0,0,2,2.0,0.1,0.1,0
426,Garrett Graham,HOU,25,,7,0,2,1,50.0%,24,24.0,0,24,12.0,0.1,3.4,0
427,Alex Green,GNB,23,,4,0,1,1,100.0%,6,6.0,0,6,6.0,0.3,1.5,0
428,DuJuan Harris,JAX,23,,5,0,2,1,50.0%,4,4.0,0,4,2.0,0.2,0.8,0
429,Jerome Harrison,DET,28,,4,0,2,1,50.0%,3,3.0,0,3,1.5,0.3,0.8,0
430,Michael Higgins,NOR,24,,2,0,1,1,100.0%,4,4.0,0,4,4.0,0.5,2.0,0
431,Reggie Kelly,ATL,34,te,16,2,2,1,50.0%,7,7.0,0,7,3.5,0.1,0.4,0
432,,,,,,,,,,,,,,,,,
433,Jim Kleinsasser,MIN,34,TE,16,11,6,1,16.7%,4,4.0,0,4,0.7,0.1,0.3,0
434,Dion Lewis,PHI,21,,15,0,1,1,100.0%,-3,-3.0,0,-3,-3.0,0.1,-0.2,1
435,Stefan Logan,DET,30,rb,16,1,1,1,100.0%,19,19.0,0,19,19.0,0.1,1.2,6
436,Ryan Mahaffey,IND,24,,5,0,1,1,100.0%,5,5.0,0,5,5.0,0.2,1.0,0
437,Steve Maneri,KAN,23,te,6,1,2,1,50.0%,1,1.0,0,1,0.5,0.2,0.2,0
438,Jeron Mastrud,MIA,24,te/wr,14,3,2,1,50.0%,8,8.0,0,8,4.0,0.1,0.6,0
439,Reagan Maui'a,ARI,27,fb,3,3,1,1,100.0%,12,12.0,0,12,12.0,0.3,4.0,0
440,Colt McCoy,CLE,25,QB,13,13,1,1,100.0%,-5,-5.0,0,-5,-5.0,0.1,-0.4,11
441,Corey McIntyre,BUF,32,fb,16,1,1,1,100.0%,4,4.0,0,4,4.0,0.1,0.3,0
442,Nick Miller,2TM,24,,8,0,1,1,100.0%,8,8.0,0,8,8.0,0.1,1.0,0
443,Ryan Mundy,PIT,26,,16,0,1,1,100.0%,33,33.0,0,33,33.0,0.1,2.1,0
444,Cam Newton*,CAR,22,QB,16,16,1,1,100.0%,27,27.0,0,27,27.0,0.1,1.7,5
445,Roscoe Parrish,BUF,29,wr,2,2,4,1,25.0%,16,16.0,0,16,4.0,0.5,8.0,0
446,Justin Peelle,SFO,32,te,14,2,4,1,25.0%,19,19.0,0,19,4.8,0.1,1.4,0
447,Patrick Peterson*+,ARI,21,RCB,16,16,1,1,100.0%,-1,-1.0,0,-1,-1.0,0.1,-0.1,4
448,Bilal Powell,NYJ,23,,2,0,1,1,100.0%,7,7.0,0,7,7.0,0.5,3.5,1
449,Allen Reisner,MIN,23,,6,0,1,1,100.0%,5,5.0,0,5,5.0,0.2,0.8,0
450,Mike Sellers,WAS,36,,12,0,2,1,50.0%,15,15.0,0,15,7.5,0.1,1.3,0
451,Matthew Slater*,NWE,26,s,16,3,3,1,33.3%,46,46.0,0,46,15.3,0.1,2.9,1
452,Matt Slauson,NYJ,25,LG,16,16,1,1,100.0%,1,1.0,0,1,1.0,0.1,0.1,0
453,Isaac Sopoaga,SFO,30,NT,15,15,1,1,100.0%,18,18.0,0,18,18.0,0.1,1.2,0
454,Kory Sperry,SDG,26,te,16,4,5,1,20.0%,32,32.0,0,32,6.4,0.1,2.0,0
455,Joe Staley*,SFO,27,LT,16,16,1,1,100.0%,17,17.0,0,17,17.0,0.1,1.1,0
456,Brandon Stokley,NYG,35,,2,0,3,1,33.3%,7,7.0,0,7,2.3,0.5,3.5,0
457,Maurice Stovall,DET,26,,15,0,3,1,33.3%,8,8.0,0,8,2.7,0.1,0.5,0
458,Ryan Taylor,GNB,24,,15,0,1,1,100.0%,4,4.0,1,4,4.0,0.1,0.3,0
459,Julius Thomas,DEN,23,te,5,1,7,1,14.3%,5,5.0,0,5,0.7,0.2,1.0,0
460,Seneca Wallace,CLE,31,qb,6,3,1,1,100.0%,21,21.0,0,21,21.0,0.2,3.5,1
461,Joe Webb,MIN,25,wr,11,1,5,1,20.0%,9,9.0,0,9,1.8,0.1,0.8,1
462,Guy Whimper,JAX,28,lt/RT,15,15,1,1,100.0%,17,17.0,0,17,17.0,0.1,1.1,0
463,,,,,,,,,,,,,,,,,
464,Johnny White,BUF,23,,12,0,4,1,25.0%,-3,-3.0,0,-3,-0.8,0.1,-0.3,0
465,Eddie Williams,2TM,24,,6,0,1,1,100.0%,17,17.0,0,17,17.0,0.2,2.8,0
