,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
0,,,,,,,,,,,,,,,,,,,,,,,
1,Patrick Willis*+,SFO,24,MLB,16,16,3,33,1,23,8,3,0,0,0,0,4.0,152,114,38,13,11,
2,Jon Beason*,CAR,24,lb/MLB,16,16,3,46,0,18,7,1,0,2,0,0,3.0,141,111,30,14,5,
3,Kirk Morrison,OAK,27,MLB,16,16,0,0,0,0,1,3,1,1,8,0,2.0,133,109,24,10,2,
4,James Laurinaitis,STL,23,MLB,16,16,2,28,0,21,5,0,0,1,0,0,2.0,120,107,13,7,6,
5,Barrett Ruud,TAM,26,MLB,16,16,1,23,0,21,7,1,0,0,0,0,,142,107,35,3,0,
6,Curtis Lofton,ATL,23,MLB,16,16,0,0,0,0,2,2,0,0,0,0,,131,103,28,4,2,
7,D.J. Williams,DEN,27,LB,16,16,0,0,0,0,7,3,0,2,0,0,3.5,122,100,22,13,5,
8,Brian Dawkins*,DEN,36,S,16,16,2,0,0,0,10,1,0,3,0,0,,116,95,21,6,2,
9,London Fletcher*,WAS,34,MLB,16,16,1,2,0,2,6,1,0,0,0,0,2.0,142,95,47,7,3,
10,Ray Lewis*+,BAL,34,MLB,16,16,0,9,0,9,8,2,0,1,1,0,3.0,134,95,39,10,7,
11,Demorrio Williams,KAN,29,LILB,16,13,0,0,0,0,6,,,,,,,117,95,22,3,0,
12,David Hawthorne,SEA,24,MLB,16,11,3,9,0,5,5,1,0,1,36,0,4.0,117,94,23,10,5,
13,Stephen Tulloch,TEN,24,MLB,16,13,0,0,0,0,1,0,0,1,0,0,2.0,121,94,27,9,5,
14,Tyvon Branch,OAK,23,SS,16,16,0,0,0,0,8,2,0,0,0,0,1.0,119,93,26,6,1,
15,Lance Briggs*,CHI,29,LB,15,15,1,0,0,0,5,,,,,,2.5,118,93,25,7,5,
16,DeMeco Ryans*,HOU,25,lb/MLB,16,16,0,0,0,0,2,1,0,1,29,0,1.0,123,93,30,14,5,
17,Yeremiah Bell*,MIA,31,SS,16,15,3,48,0,29,8,,,,,,1.5,114,92,22,3,3,
18,Karlos Dansby,ARI,28,LB,16,16,1,11,0,11,4,1,0,0,0,0,1.0,109,89,20,7,6,
19,Paul Posluszny,BUF,25,lb/MLB,12,12,3,20,0,17,4,3,0,0,0,0,1.0,111,88,23,5,6,
20,Jonathan Vilma*,NOR,27,lb/MLB,15,15,3,25,0,11,8,,,,,,2.0,110,87,23,10,10,
21,Brian Cushing*,HOU,22,LB,16,16,4,26,0,20,10,2,0,0,0,0,4.0,133,86,47,12,12,1
22,Roman Harper*,NOR,27,SS,16,16,0,0,0,0,5,2,0,0,0,0,1.5,102,84,18,11,5,
23,Clint Session,IND,25,LB,14,14,2,35,1,27,5,1,0,0,0,0,0.5,103,84,19,3,4,
24,Daryl Smith,JAX,27,LB,16,16,1,10,0,10,6,3,0,2,0,0,1.5,107,84,23,6,5,
25,Nick Barnett,GNB,28,MLB,16,16,0,0,0,0,7,,,,,,4.0,105,82,23,12,4,
26,Erik Coleman,ATL,27,SS,16,16,0,0,0,0,5,2,0,0,0,0,,116,82,34,3,0,
27,David Harris,NYJ,25,MLB,16,16,2,24,0,14,3,2,0,0,0,0,5.5,127,82,45,4,13,
28,Mike Peterson,ATL,33,LB,16,16,1,39,0,39,7,2,0,0,0,0,1.0,109,82,27,7,2,
29,Keith Bulluck,TEN,32,LB,14,14,3,45,0,23,7,0,0,1,0,0,,108,81,27,3,0,
30,,,,,,,,,,,,,,,,,,,,,,,
31,Justin Durant,JAX,24,LB,13,13,1,27,0,27,2,1,0,0,0,0,1.0,98,81,17,3,2,
32,Bernard Pollard,HOU,25,SS,13,13,4,121,1,70,7,1,0,3,0,1,1.5,102,81,21,4,2,
33,Will Witherspoon,2TM,29,,17,16,1,9,1,9,5,1,0,0,0,0,1.0,92,81,11,5,1,
34,Gary Brackett,IND,29,MLB,14,14,1,8,0,8,5,0,0,1,0,0,1.0,99,80,19,4,7,
35,Chad Greenway,MIN,26,LB,16,16,3,49,0,36,6,1,1,3,0,0,,99,80,19,3,2,
36,Geno Hayes,TAM,22,LB,15,13,2,21,0,20,6,1,0,1,0,0,3.0,98,80,18,15,12,
37,Bradie James,DAL,28,LB,16,16,0,0,0,0,5,1,0,1,0,0,2.0,113,80,33,6,5,
38,Mike Brown,KAN,31,SS,16,16,3,13,0,10,3,0,0,1,0,0,2.0,103,79,24,3,2,
39,LaRon Landry,WAS,25,FS/s,15,15,1,12,0,12,6,2,0,0,0,0,1.0,90,78,12,3,2,
40,Dashon Goldson,SFO,25,FS,16,16,4,39,0,34,6,3,0,1,0,0,2.0,94,76,18,1,2,
41,Dhani Jones,CIN,31,MLB,16,16,0,0,0,0,4,1,0,2,0,0,3.5,113,76,37,9,6,
42,Jordan Babineaux,SEA,27,FS,16,16,2,18,0,18,6,1,0,0,0,0,1.5,104,75,29,3,3,
43,Keith Brooking,DAL,34,LB,16,14,0,0,0,0,7,,,,,,3.0,106,75,31,7,9,
44,Reed Doughty,WAS,27,fs/s/ss,15,7,1,13,0,13,3,0,0,1,0,0,2.0,91,75,16,6,2,
45,Richard Marshall,CAR,25,RCB,16,16,4,47,0,28,9,0,0,2,0,0,,88,75,13,0,0,
46,Abram Elam,CLE,28,S,16,16,0,0,0,0,2,1,0,1,0,0,1.0,91,74,17,3,2,
47,Gibril Wilson,MIA,28,FS,16,14,0,0,0,0,7,,,,,,1.0,93,73,20,1,3,
48,Thomas Howard,OAK,26,LB/rolb,16,15,0,0,0,0,6,1,0,1,0,0,2.0,79,72,7,11,3,
49,Danieal Manning,CHI,27,FS,15,10,1,35,0,35,2,3,0,3,4,0,1.0,92,72,20,1,1,1
50,Stephen Cooper,SDG,30,LB/lilb,16,16,0,0,0,0,8,2,0,2,0,0,,102,71,31,2,0,
51,Michael Lewis,SFO,29,SS,15,15,1,0,0,0,2,2,0,1,0,0,1.0,82,71,11,3,4,
52,Antoine Bethea*,IND,25,FS,16,16,4,19,0,19,5,2,0,1,0,0,,95,70,25,2,1,
53,Larry Foote,DET,29,MLB,14,14,0,0,0,0,4,1,0,1,0,0,2.0,99,70,29,11,3,
54,William Gay,PIT,24,RCB,16,14,0,0,0,0,10,1,0,0,0,0,1.0,78,70,8,4,2,
55,Dawan Landry,BAL,27,SS,16,16,4,89,1,48,8,1,0,0,0,0,,89,70,19,5,0,
56,Jerod Mayo,NWE,23,LB/lilb,13,12,0,0,0,0,1,1,0,0,0,0,1.5,103,70,33,2,4,
57,Terrell Thomas,NYG,24,RCB,16,16,5,87,1,33,13,1,0,0,0,0,1.0,85,70,15,6,1,
58,George Wilson,BUF,28,SS,16,12,4,23,0,27,6,1,0,0,0,0,2.0,103,70,33,4,2,
59,Ronde Barber,TAM,34,RCB,16,16,0,0,0,0,6,2,0,1,0,0,2.0,77,69,8,9,4,
60,Quincy Black,TAM,25,LB,16,13,1,3,0,3,4,,,,,,1.5,84,69,15,8,3,
61,,,,,,,,,,,,,,,,,,,,,,,
62,Nick Harper,TEN,35,cb/lcb,11,11,1,4,0,4,6,,,,,,,81,69,12,2,1,
63,Jacob Lacey,IND,22,lcb/rcb,16,9,3,53,1,35,13,,,,,,,85,69,16,0,0,
64,Quintin Mikell*,PHI,29,SS,16,16,2,16,0,16,14,0,0,2,0,0,,90,69,21,2,2,
65,Ryan Clark,PIT,30,FS,15,15,3,0,0,0,8,,,,,,,89,68,21,0,0,
66,James Farrior,PIT,34,LILB,16,16,1,18,0,18,5,1,0,1,0,0,3.0,102,68,34,4,6,
67,Eric Weddle,SDG,24,FS,13,13,2,44,1,31,7,,,,,,1.5,82,68,14,7,3,
68,Andra Davis,DEN,31,LB,16,13,0,0,0,0,3,,,,,,3.5,90,67,23,14,6,
69,A.J. Hawk,GNB,25,LB,16,14,2,42,0,29,2,1,0,0,0,0,1.0,89,67,22,9,2,
70,Chris Hope,TEN,29,SS,16,16,3,24,0,24,7,1,0,0,0,0,2.0,81,67,14,3,3,
71,Bart Scott,NYJ,29,LB,16,16,0,0,0,0,1,,,,,,1.0,92,67,25,12,11,
72,Corey Mays,KAN,26,RILB,16,13,0,0,0,0,1,,,,,,,85,66,19,2,3,
73,Sabby Piscitelli,TAM,26,SS,16,15,2,7,0,4,5,1,0,1,72,0,,80,66,14,1,0,
74,Charles Woodson*+,GNB,33,LCB/ss,16,16,9,179,3,45,18,4,0,1,0,0,2.0,74,66,8,9,3,
75,Michael Boley,NYG,27,LB,11,11,0,0,0,0,8,,,,,,1.0,84,65,19,9,2,
76,Cedric Griffin,MIN,27,RCB,16,16,4,-2,0,0,6,3,0,0,0,0,,78,65,13,3,0,
77,Hunter Hillenmeyer,CHI,29,lb/MLB,14,13,1,0,0,0,5,4,0,1,-1,0,2.5,90,65,25,5,6,
78,Stephen Nicholas,ATL,26,LB,16,13,0,0,0,0,3,1,0,1,0,0,3.0,80,65,15,4,4,
79,Charles Tillman,CHI,28,LCB,15,15,2,35,1,21,7,6,0,1,0,0,,77,65,12,3,0,
80,Bryant McFadden,ARI,28,cb/lcb/RCB,16,16,0,0,0,0,15,0,0,1,7,0,,69,64,5,1,1,
81,Rocky McIntosh,WAS,27,LB/mlb,16,16,2,27,0,18,4,2,1,0,0,0,,94,64,30,4,5,
82,Reggie Nelson,JAX,26,cb/FS,16,14,0,0,0,0,5,0,0,1,0,0,,70,64,6,1,3,
83,Champ Bailey*,DEN,31,cb/LCB,16,16,3,18,0,11,15,1,0,0,0,0,,74,63,11,3,0,
84,Melvin Bullitt,IND,25,SS,14,12,0,0,0,0,1,1,0,0,0,0,,77,63,14,1,1,
85,Louis Delmas,DET,22,FS,15,15,2,130,1,101,8,0,0,1,65,1,1.0,92,63,29,7,3,1
86,E.J. Henderson,MIN,29,MLB,12,12,0,0,0,0,1,0,0,1,6,0,2.0,83,63,20,8,8,
87,Brent Grimes,ATL,26,cb/rcb,16,8,6,17,0,11,13,0,0,1,0,0,,66,62,4,1,0,
88,Akin Ayodele,MIA,30,LB,16,15,,,,,,1,1,2,2,0,,71,61,10,3,2,
89,Ron Bartell,STL,27,LCB,15,15,0,0,0,0,9,3,0,1,0,0,,66,61,5,0,0,
90,Antrel Rolle*,ARI,27,FS,15,15,4,71,0,29,8,1,1,1,0,0,1.5,72,61,11,3,4,
91,Madieu Williams,MIN,28,FS,16,16,0,0,0,0,4,0,0,1,0,0,,74,61,13,2,2,
92,,,,,,,,,,,,,,,,,,,,,,,
93,Adrian Wilson*+,ARI,30,SS,16,16,5,56,0,41,13,1,0,2,18,0,2.0,74,61,13,11,8,
94,Deon Grant,SEA,30,SS,16,16,3,7,0,7,8,1,0,1,0,0,,78,60,18,2,1,
95,James Harrison*,PIT,31,ROLB,16,16,0,0,0,0,2,5,0,2,0,0,10.0,79,60,19,14,14,
96,Tanard Jackson,TAM,24,FS,12,12,5,86,2,35,8,2,0,1,5,0,,71,60,11,3,1,
97,Akeem Jordan,PHI,24,LB/mlb,12,10,2,14,0,11,6,,,,,,1.0,71,60,11,5,2,
98,Nedu Ndukwe,CIN,24,SS,16,12,1,9,0,9,5,,,,,,2.0,86,60,26,4,5,
99,Zackary Bowman,CHI,25,RCB,16,12,6,67,0,39,10,1,1,0,0,0,,66,59,7,0,0,
100,C.C. Brown,NYG,26,fs/ss,16,7,0,0,0,0,3,3,0,0,0,0,,69,59,10,3,1,
101,Chris Johnson,OAK,30,CB/lcb,15,15,3,20,0,20,18,,,,,,,68,59,9,1,1,
102,Brandon McGowan,NWE,26,FS,16,11,0,0,0,0,3,3,0,2,0,0,,79,59,20,3,3,
103,Mike Adams,CLE,28,rcb/s,16,9,0,0,0,0,8,0,0,1,1,0,1.0,69,58,11,4,2,
104,O.J. Atogwe,STL,28,FS,12,12,2,21,0,12,5,3,0,2,0,0,1.0,73,58,15,1,4,
105,James Butler,STL,27,SS,13,13,3,17,0,17,6,0,0,1,10,0,,69,58,11,1,0,
106,Derek Cox,JAX,23,CB,16,16,4,6,0,6,11,0,1,1,5,0,,72,58,14,1,0,
107,Brandon Flowers,KAN,23,LCB,15,15,5,38,0,33,23,2,0,2,0,0,,65,58,7,4,0,
108,Steve Gregory,SDG,26,cb/fs/ss,16,6,1,13,0,13,6,0,0,2,3,0,2.0,71,58,13,4,3,
109,Leon Hall,CIN,25,RCB,16,16,6,47,0,26,24,2,0,0,0,0,,71,58,13,0,0,
110,Johnathan Joseph,CIN,25,LCB,16,16,6,92,1,32,20,,,,,,,69,58,11,2,0,
111,Bryan Scott,BUF,28,lb/ss,9,9,1,27,0,27,3,1,0,0,0,0,2.0,81,58,23,3,3,
112,Craig Dahl,STL,24,db/fs/ss,14,8,0,0,0,0,3,0,0,2,0,0,2.0,65,57,8,5,4,
113,Thomas DeCoud,ATL,24,FS,16,16,3,25,0,15,7,2,0,1,0,0,2.0,68,57,11,3,3,
114,Michael Griffin,TEN,24,FS,16,15,1,3,0,3,7,2,0,2,0,0,1.0,77,57,20,3,2,
115,Clark Haggans,ARI,32,LOLB,16,14,0,0,0,0,1,2,0,0,0,0,5.0,74,57,17,5,10,
116,Scott Shanle,NOR,30,LB,14,14,2,16,0,13,3,0,0,2,12,0,,69,57,12,3,0,
117,Takeo Spikes,SFO,33,LB,15,15,0,0,0,0,1,0,0,1,0,0,4.0,75,57,18,7,5,
118,Eric Wright,CLE,24,LCB,16,16,4,74,0,47,14,,,,,,,65,57,8,2,0,
119,Brandon Carr,KAN,23,RCB,16,16,1,31,0,31,19,1,0,2,1,0,,62,56,6,2,0,
120,Cortland Finnegan,TEN,25,cb/rcb,13,13,5,194,1,80,11,0,1,1,0,0,,63,56,7,0,0,
121,Aqib Talib,TAM,23,LCB,15,15,5,99,0,32,15,0,0,1,-5,0,,64,56,8,2,0,
122,Lawrence Timmons,PIT,23,RILB,14,13,0,0,0,0,4,4,0,0,0,0,7.0,78,56,22,7,9,
123,,,,,,,,,,,,,,,,,,,,,,,
124,Gary Guyton,NWE,24,LB/rilb,16,16,0,0,0,0,3,,,,,,1.5,85,55,30,1,11,
125,Jerraud Powers,IND,22,RCB,12,12,1,1,0,1,10,1,0,1,4,0,,63,55,8,1,0,
126,Kerry Rhodes,NYJ,27,S,16,14,3,17,0,11,13,0,0,1,44,0,,63,55,8,2,2,
127,Michael Huff,OAK,26,FS,16,12,3,15,0,10,14,0,0,1,0,0,0.5,59,54,5,0,1,
128,DeAndre Levy,DET,22,LB/mlb,16,10,1,5,0,5,5,1,1,2,0,0,,78,54,24,7,3,
129,Will Peterson,DET,30,LCB/rcb,16,14,2,41,1,38,14,,,,,,,69,54,15,,,
130,Glover Quin,HOU,23,cb/LCB,15,12,0,0,0,0,11,,,,,,,66,54,12,3,0,
131,Nick Roach,CHI,24,LB/mlb,16,15,0,0,0,0,3,3,0,1,0,0,2.0,75,54,21,8,3,
132,Dunta Robinson,HOU,27,RCB,16,16,0,0,0,0,9,1,0,0,0,0,,64,54,10,6,0,
133,Aaron Curry,SEA,23,LB,14,12,0,0,0,0,6,2,0,0,0,0,2.0,60,53,7,6,8,
134,Jim Leonhard,NYJ,27,S,16,16,1,44,0,44,5,1,1,0,0,0,2.5,76,53,23,9,4,
135,Brandon Meriweather*,NWE,25,SS,16,16,5,149,1,56,9,2,0,0,0,0,,83,53,30,3,0,
136,Ike Taylor,PIT,29,LCB,16,16,1,20,0,20,13,0,0,1,1,0,1.0,62,53,9,1,1,
137,Antoine Winfield*,MIN,32,LCB,10,9,1,0,0,0,5,1,0,0,0,0,1.0,55,53,2,2,1,
138,Terence Newman*,DAL,31,LCB,16,16,3,36,1,27,18,3,1,0,0,0,,57,52,5,2,0,
139,Brandon Siler,SDG,24,lb,16,7,1,5,0,5,2,0,0,1,0,0,2.0,67,52,15,6,2,
140,Mario Haggan,DEN,29,LB,16,16,0,0,0,0,1,3,0,0,0,0,1.0,63,51,12,9,4,
141,Manny Lawson,SFO,25,LB,16,16,0,0,0,0,2,3,0,1,0,0,6.5,68,51,17,9,16,
142,Darren Sharper*+,NOR,34,FS,14,14,9,376,3,99,15,,,,,,0.5,71,51,20,1,2,
143,Reggie Corner,BUF,26,cb/db/lcb,16,8,1,0,0,0,9,,,,,,,65,50,15,3,0,
144,Chris Gamble,CAR,26,LCB,16,16,4,55,0,41,12,0,1,0,0,0,,58,50,8,2,0,
145,Brandon McDonald,CLE,24,RCB,16,10,1,39,0,39,10,1,0,0,0,0,1.0,55,50,5,2,1,
146,Anthony Spencer,DAL,25,LB,16,16,1,-3,0,-3,8,2,0,2,0,0,6.0,67,50,17,13,23,
147,LaMarr Woodley*,PIT,25,LOLB,16,16,0,0,0,0,6,1,0,1,77,1,13.5,62,50,12,20,26,
148,Kevin Burnett,SDG,27,lb,11,7,0,0,0,0,1,,,,,,2.5,66,49,17,5,5,
149,Tyrone Carter,PIT,33,fs/SS,16,12,2,53,1,48,4,1,0,1,6,0,1.0,61,49,12,5,1,
150,Drayton Florence,BUF,29,RCB,14,13,1,7,0,7,11,,,,,,,60,49,11,4,0,
151,Gerald Hayes,ARI,29,LB,14,13,,,,,,,,,,,,62,49,13,7,0,
152,Julian Peterson,DET,31,de/LB,16,14,0,0,0,0,4,5,0,1,1,0,4.5,76,49,27,3,8,
153,Dominique Rodgers-Cromartie*,ARI,23,cb/LCB/rcb,16,16,6,77,1,49,25,3,0,0,0,0,,51,49,2,1,0,
154,,,,,,,,,,,,,,,,,,,,,,,
155,Shawntae Spencer,SFO,27,RCB,16,16,2,2,0,2,10,,,,,,,53,49,4,1,0,
156,Jason Trusnik,2TM,25,,16,10,0,0,0,0,1,2,0,1,0,0,2.5,62,49,13,6,4,
157,Andre Carter,WAS,30,DE,16,16,0,0,0,0,4,3,0,0,0,0,11.0,62,48,14,19,21,
158,Trent Cole*,PHI,27,DE,16,16,,,,,,2,0,0,0,0,12.5,57,48,9,17,28,
159,Thomas Davis,CAR,26,lb,7,7,2,24,0,24,6,,,,,,1.5,61,48,13,5,2,
160,Domonique Foxworth,BAL,26,RCB,16,16,4,34,0,19,16,0,0,1,0,0,,53,48,5,2,0,
161,Tracy Porter,NOR,23,lcb/RCB,12,11,4,72,1,54,12,2,0,0,0,0,,57,48,9,0,0,
162,Aaron Rouse,2TM,25,,16,9,0,0,0,0,4,,,,,,1.0,64,48,16,3,3,
163,Kamerion Wimbley,CLE,26,LB/lolb,15,15,0,0,0,0,1,1,0,0,0,0,6.5,69,48,21,8,14,
164,Leigh Bodden,NWE,28,lcb/RCB,15,14,5,60,1,53,19,0,0,2,0,0,,55,47,8,1,0,
165,David Bowens,CLE,32,LB/rolb,16,15,1,15,0,15,5,1,0,1,0,0,5.5,71,47,24,5,12,
166,Chris Harris,CAR,27,SS,13,13,3,3,0,3,6,2,0,1,0,0,,60,47,13,1,1,
167,Quentin Jammer,SDG,30,LCB,16,16,3,25,0,21,11,1,0,0,0,0,,58,47,11,0,0,
168,Shaun Phillips,SDG,28,LB/lolb,16,16,0,0,0,0,4,7,0,0,0,0,7.0,59,47,12,9,11,
169,Darrelle Revis*+,NYJ,24,cb/LCB,16,16,6,121,1,67,31,,,,,,,54,47,7,0,0,
170,Gerald Sensabaugh,DAL,26,SS,15,15,1,0,0,0,8,,,,,,,66,47,19,0,0,
171,James Anderson,CAR,26,lb,16,7,0,0,0,0,1,1,0,1,3,0,1.0,65,46,19,3,1,
172,Jovan Belcher,KAN,22,lilb/rilb,16,3,0,0,0,0,1,,,,,,,48,46,2,2,2,
173,Kelly Gregg,BAL,33,de/NT,16,14,,,,,,,,,,,3.0,63,46,17,7,5,
174,Tamba Hali,KAN,26,ROLB,16,16,0,0,0,0,1,4,0,0,0,0,8.5,62,46,16,9,11,1
175,DeAngelo Hall,WAS,26,CB,13,12,4,114,0,44,9,0,1,1,7,0,,58,46,12,0,0,
176,D'Qwell Jackson,CLE,26,lb/lilb,6,6,0,0,0,0,2,1,0,0,0,0,,59,46,13,2,1,
177,Michael Johnson,NYG,25,fs/SS,15,14,1,0,0,0,4,0,0,1,0,0,1.0,59,46,13,6,2,
178,Mathias Kiwanuka,NYG,26,de,16,6,0,0,0,0,1,2,0,0,0,0,3.0,61,46,15,10,18,
179,Mark Roman,SFO,32,ss,16,1,1,27,0,27,2,1,0,3,25,0,1.0,53,46,7,3,1,
180,David Thornton,TEN,31,LB,11,11,,,,,,1,0,0,0,0,1.0,59,46,13,3,0,
181,Tramon Williams,GNB,26,cb/rcb/ss,16,10,4,94,0,67,15,,,,,,1.0,55,46,9,1,2,
182,Gerald Alexander,JAX,25,SS,15,10,2,23,0,22,5,3,0,1,0,0,,55,45,10,0,0,
183,Vontae Davis,MIA,21,LCB,16,9,4,64,1,26,11,,,,,,,49,45,4,2,0,
184,Zach Diles,HOU,24,LB,16,12,0,0,0,0,1,2,0,1,0,0,,62,45,17,7,1,1
185,,,,,,,,,,,,,,,,,,,,,,,
186,Mike Jenkins*,DAL,24,RCB,16,15,5,0,0,0,19,,,,,,,49,45,4,1,0,
187,Tyrell Johnson,MIN,24,lcb/SS,15,15,1,0,0,0,7,0,0,1,0,0,,54,45,9,2,0,
188,Nate Jones,MIA,27,cb/db/ss,16,5,2,0,0,0,10,2,0,0,0,0,1.0,54,45,9,0,1,
189,Calvin Pace,NYJ,29,LB,12,12,0,0,0,0,1,2,0,0,0,0,8.0,55,45,10,13,6,
190,Keith Rivers,CIN,23,LB,13,13,1,0,0,0,2,,,,,,1.0,71,45,26,4,1,
191,DeMarcus Ware*+,DAL,27,LB,16,15,0,0,0,0,6,5,0,0,0,0,11.0,57,45,12,9,24,
192,Nick Collins*,GNB,26,FS,16,16,6,110,0,31,13,0,0,2,4,0,1.0,53,44,9,3,1,
193,Channing Crowder,MIA,26,LB,13,13,1,2,0,2,3,,,,,,1.0,52,44,8,3,2,
194,Derrick Harvey,JAX,23,DE/lb,16,16,0,0,0,0,2,0,0,1,0,0,2.0,57,44,13,5,8,
195,Renaldo Hill,DEN,31,S,15,15,2,18,0,18,6,1,0,0,0,0,2.0,59,44,15,3,2,
196,Tim Jennings,IND,26,db/lcb/rcb,15,5,2,13,0,13,10,0,1,0,0,0,,57,44,13,2,0,
197,Sean Jones,PHI,27,FS,15,9,2,37,0,37,5,0,0,2,-1,0,1.0,61,44,17,3,3,
198,Terrell Suggs,BAL,27,LB/rolb,13,13,0,0,0,0,5,1,0,1,0,0,4.5,59,44,15,9,7,
199,Justin Tuck,NYG,26,DE,16,15,0,0,0,0,8,5,0,1,0,0,6.0,59,44,15,10,13,
200,Corey Webster,NYG,27,LCB,13,13,1,0,0,0,12,,,,,,,51,44,7,2,0,
201,Al Afalava,CHI,22,fs/SS,13,13,0,0,0,0,7,1,0,1,43,0,2.0,53,43,10,3,3,
202,Jared Allen*+,MIN,27,DE,16,16,1,-4,0,-4,4,5,0,3,54,1,14.5,51,43,8,19,23,1
203,Sheldon Brown,PHI,30,RCB,16,16,5,152,1,83,17,1,0,1,60,1,,51,43,8,2,0,
204,Ray Edwards,MIN,24,DE,16,16,0,0,0,0,2,1,0,1,0,0,8.5,51,43,8,15,26,
205,Scott Fujita,NOR,30,LB,11,10,0,0,0,0,2,2,0,0,0,0,1.0,58,43,15,2,1,
206,Orlando Scandrick,DAL,22,cb/rcb,16,4,1,0,0,0,9,1,0,1,15,0,1.0,46,43,3,1,1,
207,Robaire Smith,CLE,32,DE,15,15,,,,,,,,,,,1.5,62,43,19,1,7,
208,Marcus Trufant,SEA,29,LCB,10,9,2,4,0,4,6,,,,,,,49,43,6,0,0,
209,Mike Vrabel,KAN,34,LOLB,14,14,0,0,0,0,6,2,0,1,0,0,2.0,52,43,9,2,2,
210,Darnell Dockett*,ARI,28,DT,16,16,1,3,0,3,2,1,1,1,0,0,7.0,51,42,9,18,16,
211,Elvis Dumervil*+,DEN,25,de/LB,16,14,0,0,0,0,3,4,0,1,0,0,17.0,49,42,7,14,21,
212,Kelvin Hayden,IND,26,LCB,9,8,1,6,0,6,5,,,,,,,50,42,8,1,0,
213,Clint Ingram,JAX,26,LB,13,12,,,,,,,,,,,1.0,52,42,10,5,5,
214,Jon McGraw,KAN,30,FS,14,9,1,27,0,27,1,0,0,1,0,0,1.0,46,42,4,4,2,
215,Daniel Muir,IND,26,ldt/rdt,16,10,,,,,,,,,,,0.5,52,42,10,5,3,
216,,,,,,,,,,,,,,,,,,,,,,,
217,Mike Patterson,PHI,26,LDT,16,16,,,,,,,,,,,1.5,55,42,13,4,3,
218,Ed Reed*,BAL,31,FS,12,12,3,111,1,52,5,3,3,3,13,0,,50,42,8,2,0,
219,Randy Starks,MIA,26,DE,16,16,,,,,,0,0,1,0,0,7.0,56,42,14,10,17,
220,Donte Whitner,BUF,24,fs/ss,10,8,2,104,1,76,5,,,,,,,57,42,15,2,1,
221,Glenn Dorsey,KAN,24,DE,15,14,0,0,0,0,2,0,0,3,0,0,1.0,54,41,13,3,3,
222,Kevin Ellison,SDG,22,SS,13,9,0,0,0,0,3,,,,,,1.0,50,41,9,3,2,
223,Jabari Greer,NOR,27,LCB,9,8,2,59,1,48,13,,,,,,,44,41,3,1,2,
224,Malcolm Jenkins,NOR,22,rcb,14,6,1,14,0,14,4,2,0,1,0,0,,47,41,6,0,2,
225,Chris Kelsay,BUF,30,DE,16,16,,,,,,1,0,1,0,0,5.0,62,41,21,6,10,
226,Marvin White,2TM,26,,13,6,0,0,0,0,6,,,,,,,53,41,12,0,0,
227,Kyle Williams,BUF,26,RDT,14,14,,,,,,1,0,0,0,0,4.0,66,41,25,14,13,
228,Josh Wilson,SEA,24,lcb/rcb,12,12,2,126,2,65,13,0,0,1,43,0,1.0,45,41,4,2,4,
229,Chris Crocker,CIN,29,FS,13,13,2,38,0,20,9,1,0,0,0,0,,51,40,11,1,0,
230,Keith Ellison,BUF,25,LB,8,8,0,0,0,0,2,,,,,,,68,40,28,3,1,
231,Andre' Goodman,DEN,31,cb/RCB,16,16,5,65,0,30,17,0,0,1,30,1,1.0,44,40,4,1,3,
232,James Hall,STL,32,DE,14,14,0,0,0,0,1,,,,,,4.5,43,40,3,6,9,
233,Ken Hamlin,DAL,28,FS,12,12,0,0,0,0,2,,,,,,,52,40,12,0,1,
234,Brandon Johnson,CIN,26,lb,16,3,0,0,0,0,4,0,0,1,0,0,1.5,58,40,18,2,4,
235,Terrence McGee,BUF,29,LCB,11,10,1,3,0,3,7,,,,,,,48,40,8,1,0,
236,Brandon Mebane,SEA,24,LDT,15,15,,,,,,,,,,,1.5,49,40,9,8,6,
237,Antonio Pierce,NYG,31,MLB,9,9,0,0,0,0,3,1,0,1,3,0,1.0,55,40,15,4,4,
238,Benny Sapp,MIN,28,db/lb/lcb/ss,16,7,0,0,0,0,6,2,0,0,0,0,,44,40,4,1,1,
239,Justin Smith*,SFO,30,de/RDT,16,16,0,0,0,0,1,2,0,2,0,0,6.0,55,40,15,11,15,
240,Darryl Tapp,SEA,25,de,16,5,0,0,0,0,3,0,0,1,0,0,2.5,49,40,9,9,16,
241,Bryan Thomas,NYJ,30,LB,16,14,0,0,0,0,1,1,0,2,7,0,2.0,53,40,13,6,7,
