,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,Nate Kaeding*+,SDG,27,K,16,0,,,,,,,,,,,50,51,32,35,,146,9.1
1,David Akers*,PHI,35,K,16,0,,,,,,,,,,,43,45,32,37,,139,8.7
2,Ryan Longwell,MIN,35,K,16,0,,,,,,,,,,,54,55,26,28,,132,8.3
3,Mason Crosby,GNB,25,K,16,0,,,,,,,,,,,48,49,27,36,,129,8.1
4,Lawrence Tynes,NYG,31,,16,0,,,,,,,,,,,45,45,27,32,,126,7.9
5,Stephen Gostkowski,NWE,25,K,16,0,,,,,,,,,,,47,47,26,31,,125,7.8
6,Jay Feely,NYJ,33,K,16,0,,,,,,,,,,,32,32,30,36,,122,7.6
7,Matt Prater,DEN,25,K,16,0,,,,,,,,,,,32,32,30,35,,122,7.6
8,Jeff Reed,PIT,30,K,16,0,,,,,,,,,,,41,41,27,31,,122,7.6
9,Rob Bironas,TEN,31,K,16,0,,,,,,,,,,,37,37,27,32,,118,7.4
10,Dan Carpenter*,MIA,24,K,16,0,,,,,,,,,,,37,38,25,28,,112,7.0
11,Rian Lindell,BUF,32,K,16,0,,,,,,,,,,,24,24,28,33,,108,6.8
12,Adrian Peterson*+,MIN,24,RB,16,15,18,,,,,,,18,,,,,,,,108,6.8
13,Kris Brown,HOU,33,K,16,0,,,,,,,,,,,43,44,21,32,,106,6.6
14,Robbie Gould,CHI,27,K,16,0,,,,,,,,,,,33,33,24,28,,105,6.6
15,Ryan Succop,KAN,23,K,16,0,,,,,,,,,,,29,29,25,29,,104,6.5
16,Olindo Mare,SEA,36,K,16,0,,,,,,,,,,,28,28,24,26,,100,6.3
17,Chris Johnson*+,TEN,24,RB,16,16,14,2,,,,,,16,1,,,,,,,98,6.1
18,Shayne Graham,CIN,32,K,16,0,,,,,,,,,,,28,29,23,28,,97,6.1
19,John Kasay,CAR,40,K,16,0,,,,,,,,,,,31,32,22,27,,97,6.1
20,Maurice Jones-Drew*,JAX,24,RB,16,16,15,1,,,,,,16,,,,,,,,96,6.0
21,Sebastian Janikowski,OAK,31,K,16,0,,,,,,,,,,,17,17,26,29,,95,5.9
22,Nick Folk,DAL,25,k,14,0,,,,,,,,,,,36,36,18,28,,90,6.4
23,John Carney,NOR,45,K,11,0,,,,,,,,,,,50,52,13,17,,89,8.1
24,Jason Hanson,DET,39,K,16,0,,,,,,,,,,,25,25,21,28,,88,5.5
25,Neil Rackers,ARI,33,K,14,0,,,,,,,,,,,37,38,16,17,,85,6.1
26,Shaun Suisham,2TM,28,,14,0,,,,,,,,,,,25,26,20,24,,85,6.1
27,Thomas Jones,NYJ,31,RB,16,16,14,,,,,,,14,,,,,,,,84,5.3
28,Willis McGahee,BAL,28,rb,16,1,12,2,,,,,,14,,,,,,,,84,5.3
29,,,,,,,,,,,,,,,,,,,,,,,
30,Joe Nedney,SFO,36,K,14,0,,,,,,,,,,,33,33,17,21,,84,6.0
31,Josh Scobee,JAX,27,K,16,0,,,,,,,,,,,30,31,18,28,,84,5.3
32,Randy Moss,NWE,32,WR,16,16,,13,,,,,,13,1,,,,,,,80,5.0
33,Ricky Williams,MIA,32,rb,16,7,11,2,,,,,,13,1,,,,,,,80,5.0
34,Joseph Addai,IND,26,RB,15,15,10,3,,,,,,13,,,,,,,,78,5.2
35,Vernon Davis*,SFO,25,TE,16,16,,13,,,,,,13,,,,,,,,78,4.9
36,Larry Fitzgerald*,ARI,26,WR,16,16,,13,,,,,,13,,,,,,,,78,4.9
37,Frank Gore*,SFO,26,RB,14,14,10,3,,,,,,13,,,,,,,,78,5.6
38,Billy Cundiff,2TM,29,,12,0,,,,,,,,,,,23,23,18,23,,77,6.4
39,Josh Brown,STL,30,K,16,0,,,,,,,,,,,16,16,19,24,,73,4.6
40,DeSean Jackson*,PHI,23,WR,15,15,1,9,2,,,,,12,,,,,,,,72,4.8
41,LaDainian Tomlinson,SDG,30,RB,14,14,12,,,,,,,12,,,,,,,,72,5.1
42,Phil Dawson,CLE,34,K,11,0,,,,,,,,,,,18,19,17,19,,69,6.3
43,Jason Elam,ATL,39,K,11,0,,,,,,,,,,,32,33,12,19,,68,6.2
44,Miles Austin*,DAL,25,WR,16,9,,11,,,,,,11,,,,,,,,66,4.1
