,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
116,Vince Young,TEN,27,QB,9,8,25,125,0,20,5.0,13.9,6
117,Jimmy Clausen,CAR,23,QB,13,10,23,57,0,11,2.5,4.4,9
118,Matt Hasselbeck,SEA,35,QB,14,14,23,60,3,20,2.6,4.3,7
119,Troy Smith,SFO,26,qb,6,6,23,121,1,16,5.3,20.2,6
120,LaRod Stephens-Howling,ARI,23,rb/wr,13,2,23,113,1,30,4.9,8.7,0
121,Jerome Felton,DET,24,fb/rb,16,2,22,76,0,9,3.5,4.8,1
122,Shaun Hill,DET,30,QB,11,10,22,123,0,40,5.6,11.2,3
123,,,,,,,,,,,,,
124,Kyle Orton,DEN,28,QB,13,13,22,98,0,14,4.5,7.5,4
125,Matt Schaub,HOU,29,QB,16,16,22,28,0,8,1.3,1.8,9
126,Eldra Buckley,PHI,25,,16,0,21,67,0,13,3.2,4.2,1
127,Jackie Battle,KAN,27,,16,0,20,50,1,7,2.5,3.1,0
128,Josh Cribbs,CLE,27,wr,15,5,20,66,0,19,3.3,4.4,7
129,Earnest Graham,TAM,30,fb,12,7,20,99,1,61,5.0,8.3,1
130,Sammy Morris,NWE,33,,16,0,20,56,0,9,2.8,3.5,1
131,Danny Ware,NYG,25,,14,0,20,73,0,14,3.7,5.2,0
132,Charlie Whitehurst,SEA,28,qb,6,2,20,43,1,9,2.2,7.2,2
133,James Davis,2TM,24,,7,0,19,60,0,14,3.2,8.6,0
134,Steve Slaton,HOU,24,rb,12,1,19,93,0,23,4.9,7.8,0
135,Keith Toston,STL,23,,16,0,19,54,0,10,2.8,3.4,0
136,Drew Brees*,NOR,31,QB,16,16,18,-3,0,7,-0.2,-0.2,9
137,Percy Harvin,MIN,22,WR,14,13,18,107,1,17,5.9,7.6,1
138,Peyton Manning*,IND,34,QB,16,16,18,18,0,27,1.0,1.1,3
139,Dexter McCluster,KAN,21,rb/wr,11,7,18,71,0,20,3.9,6.5,2
140,Alex Smith,SFO,26,QB,11,10,18,60,0,12,3.3,5.5,4
141,Drew Stanton,DET,26,qb,6,3,18,113,1,20,6.3,18.8,3
142,Joe Webb,MIN,24,qb,5,2,18,120,2,16,6.7,24.0,1
143,Aaron Brown,DET,25,,6,0,17,58,0,9,3.4,9.7,0
144,Brett Favre,MIN,41,QB,13,13,17,8,0,10,0.5,0.6,7
145,DeSean Jackson*,PHI,24,WR,14,14,16,104,1,31,6.5,7.4,4
146,Kevin Kolb,PHI,26,qb,7,5,15,65,0,19,4.3,9.3,6
147,Stefan Logan,DET,29,,16,0,15,95,0,21,6.3,5.9,2
148,Trent Edwards,2TM,27,,5,3,14,58,0,14,4.1,11.6,0
149,Stephen McGee,DAL,25,qb,2,1,13,74,0,14,5.7,37.0,1
150,Ovie Mughelli*,ATL,30,fb,16,6,13,36,0,6,2.8,2.3,0
151,Tyrell Sutton,CAR,24,,9,0,13,71,0,32,5.5,7.9,0
152,Tyler Thigpen,MIA,26,qb,5,1,13,73,0,12,5.6,14.6,1
153,Albert Young,MIN,25,,3,0,13,29,0,6,2.2,9.7,0
154,,,,,,,,,,,,,
155,Bruce Gradkowski,OAK,27,qb,6,4,12,41,0,12,3.4,6.8,3
156,Michael Robinson,SEA,27,fb,11,4,12,77,0,17,6.4,7.0,0
157,Mike Thomas,JAX,23,WR,16,11,12,114,0,33,9.5,7.1,3
158,Kerry Collins,TEN,38,qb,10,7,10,1,0,4,0.1,0.1,5
159,Jacoby Ford,OAK,23,fb/WR,16,9,10,155,2,71,15.5,9.7,3
160,Brian Hoyer,NWE,25,,5,0,10,-8,0,1,-0.8,-1.6,0
161,Gartrell Johnson,ATL,24,,9,0,10,36,0,23,3.6,4.0,1
162,John Skelton,ARI,22,qb,5,4,10,49,0,16,4.9,9.8,3
163,Rock Cartwright,OAK,31,,16,0,9,22,0,10,2.4,1.4,0
164,Jonathan Dwyer,PIT,21,,1,0,9,28,0,7,3.1,28.0,0
165,Matt Flynn,GNB,25,qb,7,1,9,26,0,12,2.9,3.7,1
166,Quinton Ganther,2TM,26,,11,1,9,18,0,11,2.0,1.6,0
167,Chad Hall,PHI,24,wr,8,1,9,29,0,8,3.2,3.6,0
168,Brian Leonard,CIN,26,,11,0,9,61,0,42,6.8,5.5,0
169,John Conner,NYJ,23,,16,0,8,44,1,16,5.5,2.8,0
170,Jake Delhomme,CLE,35,qb,5,4,8,-2,0,2,-0.3,-0.4,3
171,Kevin Faulk,NWE,34,rb,2,2,8,45,0,11,5.6,22.5,0
172,Ryan Grant,GNB,28,rb,1,1,8,45,0,18,5.6,45.0,0
173,Danny Amendola,STL,25,wr,16,6,7,81,0,30,11.6,5.1,2
174,Miles Austin*,DAL,26,WR,16,16,7,93,1,60,13.3,5.8,1
175,Charlie Batch,PIT,36,qb,3,2,7,30,0,24,4.3,10.0,2
176,Kyle Boller,OAK,29,,5,0,7,18,0,15,2.6,3.6,1
177,Nate Burleson,DET,29,WR,14,14,7,81,0,25,11.6,5.8,2
178,Thomas Clayton,2TM,26,,3,0,7,17,0,5,2.4,5.7,0
179,Tony Fiammetta,CAR,24,FB/te,14,9,7,22,0,11,3.1,1.6,0
180,Devin Hester*+,CHI,28,WR,16,13,7,30,0,11,4.3,1.9,0
181,Tarvaris Jackson,MIN,27,qb,3,1,7,63,0,33,9.0,21.0,1
182,Seneca Wallace,CLE,30,qb,8,4,7,9,0,6,1.3,1.1,1
183,Arrelious Benn,TAM,22,WR,15,9,6,35,0,17,5.8,2.3,1
184,Mike Karney,STL,29,fb,12,5,6,12,0,4,2.0,1.0,0
185,,,,,,,,,,,,,
186,Tony Romo,DAL,30,qb,6,6,6,38,0,14,6.3,6.3,0
187,Eddie Royal,DEN,24,WR,16,10,6,61,0,20,10.2,3.8,4
188,Billy Volek,SDG,34,,3,0,6,-5,0,0,-0.8,-1.7,0
189,Jason Wright,ARI,28,rb,15,1,6,28,0,10,4.7,1.9,1
190,Derek Anderson,ARI,27,QB,12,9,5,25,0,11,5.0,2.1,6
191,Tim Castille,KAN,26,fb,10,4,5,3,0,3,0.6,0.3,0
192,Dennis Dixon,PIT,25,qb,2,2,5,32,0,21,6.4,16.0,2
193,Chris Gronkowski,DAL,24,fb,14,7,5,17,0,8,3.4,1.2,0
194,Larry Johnson,WAS,31,,2,0,5,2,0,7,0.4,1.0,0
195,Matt Moore,CAR,26,qb,6,5,5,25,0,8,5.0,4.2,4
196,Santana Moss,WAS,31,WR,16,16,5,-6,0,7,-1.2,-0.4,3
197,Tony Richardson,NYJ,39,FB,16,10,5,13,0,4,2.6,0.8,0
198,Donte' Stallworth,BAL,30,,8,0,5,45,0,19,9.0,5.6,1
199,Brandon Tate,NWE,23,WR,16,10,5,62,0,22,12.4,3.9,1
200,Lawrence Vickers,CLE,27,fb,16,4,5,11,0,3,2.2,0.7,0
201,Mike Wallace,PIT,24,WR,16,16,5,39,0,19,7.8,2.4,1
202,Patrick Cobbs,MIA,27,fb,16,1,4,0,0,4,0.0,0.0,1
203,Jerricho Cotchery,NYJ,28,wr,14,5,4,-3,0,4,-0.8,-0.2,1
204,Darrius Heyward-Bey,OAK,23,WR,15,14,4,48,0,30,12.0,3.2,1
205,Kareem Huggins,TAM,24,,3,0,4,11,0,7,2.8,3.7,0
206,Calvin Johnson*,DET,25,WR,15,15,4,32,0,15,8.0,2.1,1
207,Josh Johnson,TAM,24,,11,0,4,39,0,14,9.8,3.5,0
208,Corey McIntyre,BUF,31,fb,16,7,4,5,1,2,1.3,0.3,1
209,Robert Meachem,NOR,26,wr,16,7,4,14,0,8,3.5,0.9,0
210,Mike Sellers,WAS,35,fb/te,16,8,4,2,0,1,0.5,0.1,0
211,Matthew Stafford,DET,22,qb,3,3,4,11,1,9,2.8,3.7,2
212,Garrett Wolfe,CHI,26,,16,0,4,8,0,7,2.0,0.5,0
213,Darrel Young,WAS,23,,16,0,4,19,0,16,4.8,1.2,0
214,Steve Breaston,ARI,27,WR,13,11,3,35,0,17,11.7,2.7,0
215,David Gettis,CAR,23,WR,15,13,3,2,0,19,0.7,0.1,1
216,,,,,,,,,,,,,
217,Brandon Gibson,STL,23,WR,14,12,3,28,0,14,9.3,2.0,0
218,Rex Grossman,WAS,30,qb,4,3,3,6,0,5,2.0,1.5,4
219,Devery Henderson,NOR,28,WR,16,11,3,8,0,9,2.7,0.5,0
220,Aaron Hernandez,NWE,21,te,14,7,3,47,0,18,15.7,3.4,0
221,Donald Jones,BUF,23,wr,15,5,3,1,0,2,0.3,0.1,0
222,Spencer Larsen,DEN,26,fb,11,5,3,18,0,14,6.0,1.6,0
223,Jeremy Maclin,PHI,22,WR,16,16,3,36,0,14,12.0,2.3,1
224,Legedu Naanee,SDG,27,WR,10,9,3,-2,0,5,-0.7,-0.2,1
225,Moran Norris,SFO,32,FB/te,16,11,3,0,0,1,0.0,0.0,0
226,Roscoe Parrish,BUF,28,wr,8,6,3,23,0,13,7.7,2.9,1
227,Sage Rosenfels,NYG,32,,12,0,3,-3,0,0,-1.0,-0.3,0
228,Chansi Stuckey,CLE,27,wr,16,5,3,9,1,11,3.0,0.6,3
229,Josh Vaughan,CAR,24,,3,0,3,7,1,6,2.3,2.3,0
230,Delanie Walker,SFO,26,fb/te,14,8,3,18,0,10,6.0,1.3,1
231,Brandon Banks,WAS,23,,13,0,2,6,0,3,3.0,0.5,2
232,Earl Bennett,CHI,23,wr,14,3,2,9,0,5,4.5,0.6,1
233,Michael Bennett,OAK,32,,7,0,2,11,0,6,5.5,1.6,0
234,Davone Bess,MIA,25,WR,16,8,2,-3,0,0,-1.5,-0.2,3
235,Anquan Boldin,BAL,30,WR,16,16,2,2,0,3,1.0,0.1,1
236,Todd Bouman,JAX,38,qb,1,1,2,8,0,6,4.0,8.0,0
237,Curtis Brinkley,SDG,25,,3,0,2,11,0,9,5.5,3.7,0
238,Andre Brown,2TM,24,,4,0,2,-1,0,0,-0.5,-0.3,0
239,Deon Butler,SEA,24,WR,13,8,2,6,0,4,3.0,0.5,0
240,Kellen Clemens,NYJ,27,,1,0,2,9,1,10,4.5,9.0,0
241,Chase Daniel,NOR,24,,13,0,2,16,0,16,8.0,1.2,1
242,Early Doucet,ARI,25,wr,10,5,2,5,0,3,2.5,0.5,0
243,Harry Douglas,ATL,26,wr,16,4,2,-5,0,0,-2.5,-0.3,0
244,Jeff Dugan,MIN,29,te,16,4,2,2,0,2,1.0,0.1,0
245,Julian Edelman,NWE,24,wr,15,3,2,14,0,13,7.0,0.9,1
246,Heath Evans,NOR,32,fb,16,6,2,2,0,2,1.0,0.1,0
247,,,,,,,,,,,,,
248,Pierre Garcon,IND,24,WR,14,14,2,6,0,11,3.0,0.4,0
249,Ted Ginn,SFO,25,,13,0,2,11,0,9,5.5,0.8,1
250,Brian Hartline,MIA,24,WR,12,11,2,27,0,30,13.5,2.3,1
251,Santonio Holmes,NYJ,26,WR,12,10,2,17,0,14,8.5,1.4,2
252,Andre Johnson*,HOU,29,WR,13,13,2,10,0,7,5.0,0.8,1
253,Greg Jones,JAX,29,FB,16,13,2,4,0,3,2.0,0.3,0
254,Jacoby Jones,HOU,26,wr,15,7,2,7,0,10,3.5,0.5,1
255,Brandon Marshall,MIA,26,WR,14,14,2,3,0,4,1.5,0.2,2
256,Zach Miller,JAX,26,te,15,5,2,9,0,8,4.5,0.6,0
257,Devin Moore,IND,25,,4,0,2,-2,0,1,-1.0,-0.5,2
258,Brian Moorman,BUF,34,P,16,0,2,1,0,1,0.5,0.1,0
259,Josh Morgan,SFO,25,WR,16,11,2,17,0,13,8.5,1.1,2
260,Jerious Norwood,ATL,27,,2,0,2,8,0,6,4.0,4.0,0
261,Ben Obomanu,SEA,27,wr,15,6,2,17,0,13,8.5,1.1,0
262,Tyler Palko,KAN,27,,2,0,2,5,0,6,2.5,2.5,0
263,Cedric Peerman,CIN,24,,7,0,2,1,0,1,0.5,0.1,0
264,Laurent Robinson,STL,25,WR,14,11,2,-14,0,-5,-7.0,-1.0,0
265,Golden Tate,SEA,22,,11,0,2,4,0,3,2.0,0.4,1
266,Demaryius Thomas,DEN,23,wr,10,2,2,1,0,1,0.5,0.1,3
267,Javier Arenas,KAN,23,cb,16,2,1,5,0,5,5.0,0.3,2
268,Jason Baker,CAR,32,P,16,0,1,0,0,0,0.0,0.0,0
269,Bernard Berrian,MIN,30,WR,14,9,1,-8,0,-8,-8.0,-0.6,2
270,Josh Bidwell,WAS,34,p,4,0,1,0,0,0,0.0,0.0,1
271,Dwayne Bowe*,KAN,26,WR,16,16,1,4,0,4,4.0,0.3,1
272,Dez Bryant,DAL,22,wr,12,2,1,0,0,0,0.0,0.0,2
273,Andre Caldwell,CIN,25,wr,15,5,1,-2,0,-2,-2.0,-0.1,1
274,Jehuu Caulcrick,BUF,27,,2,0,1,2,0,2,2.0,1.0,0
275,Mark Clayton,STL,28,wr,5,5,1,6,0,6,6.0,1.2,0
276,Britton Colquitt,DEN,25,P,16,0,1,0,0,0,0.0,0.0,1
277,Marques Colston,NOR,27,WR,15,11,1,1,0,1,1.0,0.1,0
278,,,,,,,,,,,,,
279,Kevin Curtis,MIA,32,,2,0,1,6,0,6,6.0,3.0,0
280,Matt Dodge,NYG,23,P,16,0,1,0,0,0,0.0,0.0,1
281,Armanti Edwards,CAR,22,,3,0,1,7,0,7,7.0,2.3,1
282,Braylon Edwards,NYJ,27,WR,16,15,1,4,0,4,4.0,0.3,1
283,Jay Feely,ARI,34,K,16,0,1,5,1,5,5.0,0.3,0
284,Yamon Figurs,2TM,27,,2,0,1,-4,0,0,-4.0,-2.0,1
285,Jimmy Graham,NOR,24,te,15,5,1,3,0,3,3.0,0.2,1
286,Ahmard Hall,TEN,31,fb,16,4,1,1,0,1,1.0,0.1,0
287,Max Hall,ARI,25,qb,6,3,1,-5,0,-5,-5.0,-0.8,5
288,Caleb Hanie,CHI,25,,2,0,1,-1,0,-1,-1.0,-0.5,0
289,Reggie Hodges,CLE,28,P,16,0,1,68,0,68,68.0,4.3,0
290,Vincent Jackson,SDG,27,wr,5,5,1,14,0,14,14.0,2.8,0
291,Greg Jennings*,GNB,27,WR,16,16,1,-1,0,-1,-1.0,-0.1,2
292,Brett Kern,TEN,24,P,16,0,1,0,0,0,0.0,0.0,0
293,Johnny Knox,CHI,24,WR,16,16,1,2,0,2,2.0,0.1,1
294,Sam Koch,BAL,28,P,16,0,1,0,0,0,0.0,0.0,1
295,Brandon LaFell,CAR,24,wr,14,2,1,60,0,60,60.0,4.3,0
296,Brandon Lloyd*,DEN,29,WR,16,11,1,-18,0,-18,-18.0,-1.1,0
297,Kregg Lumpkin,TAM,26,,11,0,1,0,0,0,0.0,0.0,0
298,Mario Manningham,NYG,24,WR,16,8,1,2,0,2,2.0,0.1,1
299,Mohamed Massaquoi,CLE,24,WR,15,14,1,-3,0,-3,-3.0,-0.2,1
300,Mat McBriar*,DAL,31,P,16,0,1,0,0,0,0.0,0.0,1
301,Luke McCown,JAX,29,,1,0,1,4,0,4,4.0,4.0,0
302,Carlton Mitchell,CLE,22,,5,0,1,9,0,9,9.0,1.8,0
303,Marlon Moore,MIA,23,,9,0,1,16,0,16,16.0,1.8,0
304,Louis Murphy,OAK,23,WR,14,9,1,43,0,43,43.0,3.1,2
305,Preston Parker,TAM,23,,9,0,1,7,0,7,7.0,0.8,0
306,Chris Pressley,2TM,24,,7,0,1,0,0,0,0.0,0.0,0
307,Antwaan Randle El,PIT,31,,16,0,1,2,0,2,2.0,0.1,2
308,Chris Redman,ATL,33,,2,0,1,-1,0,-1,-1.0,-0.5,0
309,,,,,,,,,,,,,
310,David Reed,BAL,23,,13,0,1,15,0,15,15.0,1.2,0
311,Naaman Roosevelt,BUF,23,wr,6,1,1,3,0,3,3.0,0.5,0
312,Dante Rosario,CAR,26,fb/te,16,6,1,-2,0,-2,-2.0,-0.1,0
313,Jon Ryan,SEA,29,P,16,0,1,-9,0,-9,-9.0,-0.6,0
314,Samson Satele,OAK,26,C,16,15,1,0,0,0,0.0,0.0,1
315,Jordan Senn,CAR,26,,14,0,1,5,0,5,5.0,0.4,0
316,Jerome Simpson,CIN,24,wr,5,3,1,2,0,2,2.0,0.4,2
317,Antone Smith,ATL,25,,9,0,1,-3,0,-3,-3.0,-0.3,0
318,Shaun Smith,KAN,29,DE/dt,16,10,1,1,1,1,1.0,0.1,0
319,Steve Smith,CAR,31,WR,14,14,1,9,0,9,9.0,0.6,3
320,Sammie Stroughter,TAM,24,wr,12,4,1,2,0,2,2.0,0.2,1
321,Naufahu Tahi,MIN,29,fb,15,7,1,1,0,1,1.0,0.1,0
322,Matt Turk,HOU,42,P,16,0,1,-27,0,-27,-27.0,-1.7,0
323,Hines Ward,PIT,34,WR,16,15,1,-2,0,-2,-2.0,-0.1,1
324,Nate Washington,TEN,27,WR,16,16,1,-8,0,-8,-8.0,-0.5,0
325,Ben Watson,CLE,30,TE,16,16,1,-1,0,-1,-1.0,-0.1,0
326,Steve Weatherford,NYJ,28,P,16,0,1,17,0,17,17.0,1.1,0
327,Leonard Weaver,PHI,28,,1,0,1,0,0,0,0.0,0.0,0
328,Roddy White*+,ATL,29,WR,16,16,1,3,0,3,3.0,0.2,1
329,Damian Williams,TEN,22,wr,16,1,1,5,0,5,5.0,0.3,0
330,Mike Williams,SEA,26,WR,14,13,1,0,0,0,0.0,0.0,0
