,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
0,,,,,,,,,,,,,
1,Michael Turner*,ATL,28,RB,16,15,334,1371,12,55,4.1,85.7,2
2,Steven Jackson*,STL,27,RB,16,16,330,1241,6,42,3.8,77.6,1
3,Arian Foster*+,HOU,24,RB,16,13,327,1616,16,74,4.9,101.0,3
4,Rashard Mendenhall,PIT,23,RB,16,16,324,1273,13,50,3.9,79.6,2
5,Cedric Benson,CIN,28,RB,16,16,321,1111,7,26,3.5,69.4,7
6,Chris Johnson*,TEN,25,RB,16,16,316,1364,11,76,4.3,85.3,3
7,Ray Rice,BAL,23,RB,16,14,307,1220,5,50,4.0,76.3,0
8,Maurice Jones-Drew*,JAX,25,RB,14,14,299,1324,5,37,4.4,94.6,2
9,Adrian Peterson*,MIN,25,RB,15,15,283,1298,12,80,4.6,86.5,1
10,Ahmad Bradshaw,NYG,24,RB,16,11,276,1235,8,48,4.5,77.2,7
11,Peyton Hillis,CLE,24,RB,16,14,270,1177,11,48,4.4,73.6,8
12,Thomas Jones,KAN,32,RB,16,10,245,896,6,70,3.7,56.0,3
13,Matt Forte,CHI,25,RB,16,16,237,1069,6,68,4.5,66.8,3
14,Jamaal Charles*+,KAN,24,rb/wr,16,6,230,1467,5,80,6.4,91.7,3
15,BenJarvus Green-Ellis,NWE,25,RB,16,11,229,1008,13,33,4.4,63.0,0
16,Darren McFadden,OAK,23,RB,13,13,223,1157,7,57,5.2,89.0,4
17,Fred Jackson,BUF,29,RB,16,13,222,927,5,39,4.2,57.9,5
18,LaDainian Tomlinson,NYJ,31,RB,15,13,219,914,6,31,4.2,60.9,3
19,LeSean McCoy,PHI,22,RB,15,13,207,1080,7,62,5.2,72.0,2
20,Frank Gore,SFO,27,RB,11,11,203,853,3,64,4.2,77.5,4
21,Marshawn Lynch,2TM,24,,16,14,202,737,6,39,3.6,46.1,4
22,LeGarrette Blount,TAM,24,rb,13,7,201,1007,6,53,5.0,77.5,4
23,Ronnie Brown,MIA,29,RB,16,16,200,734,5,51,3.7,45.9,3
24,Brandon Jackson,GNB,25,RB,16,13,190,703,3,71,3.7,43.9,1
25,Shonn Greene,NYJ,25,rb,15,2,185,766,2,23,4.1,51.1,3
26,Felix Jones,DAL,23,rb,16,7,185,800,1,34,4.3,50.0,2
27,Knowshon Moreno,DEN,23,RB,13,13,182,779,5,35,4.3,59.9,3
28,Mike Tolbert,SDG,25,rb,15,4,182,735,11,36,4.0,49.0,5
29,Jonathan Stewart,CAR,23,rb,14,7,178,770,2,48,4.3,55.0,4
30,,,,,,,,,,,,,
31,Jahvid Best,DET,21,RB,16,9,171,555,4,45,3.2,34.7,1
32,Ryan Torain,WAS,24,RB,10,8,164,742,4,54,4.5,74.2,2
33,Ricky Williams,MIA,33,,16,0,159,673,2,45,4.2,42.1,4
34,Michael Bush,OAK,26,rb,14,3,158,655,8,30,4.1,46.8,0
35,Ryan Mathews,SDG,23,RB,12,9,158,678,7,31,4.3,56.5,5
36,Tim Hightower,ARI,24,RB,16,13,153,736,5,80,4.8,46.0,5
37,Brandon Jacobs,NYG,28,rb,16,5,147,823,9,73,5.6,51.4,2
38,Chris Ivory,NOR,22,rb,12,4,137,716,5,55,5.2,59.7,4
39,Donald Brown,IND,23,RB,13,8,129,497,2,49,3.9,38.2,0
40,Cadillac Williams,TAM,28,RB,16,9,125,437,2,45,3.5,27.3,1
41,Justin Forsett,SEA,25,rb,16,5,118,523,2,32,4.4,32.7,0
42,Joseph Addai,IND,27,rb,8,7,116,495,4,46,4.3,61.9,2
43,Beanie Wells,ARI,22,rb,13,2,116,397,2,24,3.4,30.5,1
44,Marion Barber,DAL,27,RB,13,10,113,374,4,25,3.3,28.8,0
45,Chester Taylor,CHI,31,rb,16,1,112,267,3,24,2.4,16.7,0
46,Mike Goodson,CAR,23,rb,16,3,103,452,3,45,4.4,28.3,5
47,Willis McGahee,BAL,29,rb,15,2,100,380,5,30,3.8,25.3,2
48,Michael Vick*,PHI,30,QB,12,12,100,676,9,35,6.8,56.3,11
49,Danny Woodhead,2TM,25,,15,3,97,547,5,36,5.6,36.5,1
50,Maurice Morris,DET,31,rb,14,7,90,336,5,26,3.7,24.0,1
51,Jason Snelling,ATL,27,,14,0,87,324,2,30,3.7,23.1,2
52,DeAngelo Williams,CAR,27,rb,6,6,87,361,1,39,4.1,60.2,1
53,Rashad Jennings,JAX,25,fb/rb,13,3,84,459,4,74,5.5,35.3,0
54,John Kuhn,GNB,28,fb/rb,16,2,84,281,4,18,3.3,17.6,1
55,Pierre Thomas,NOR,26,rb,6,3,83,269,2,16,3.2,44.8,0
56,Toby Gerhart,MIN,23,rb,15,1,81,322,1,21,4.0,21.5,3
57,Brian Westbrook,SFO,31,rb,14,5,77,340,4,30,4.4,24.3,0
58,C.J. Spiller,BUF,23,rb,14,1,74,283,0,20,3.8,20.2,5
59,Jerome Harrison,2TM,27,,12,2,71,330,1,50,4.6,27.5,2
60,Anthony Dixon,SFO,23,,16,0,70,237,2,34,3.4,14.8,0
61,,,,,,,,,,,,,
62,Josh Freeman,TAM,22,QB,16,16,68,364,0,33,5.4,22.8,7
63,Tashard Choice,DAL,26,,16,0,66,243,3,26,3.7,15.2,1
64,David Garrard,JAX,32,QB,14,14,66,279,5,25,4.2,19.9,11
65,Keiland Williams,WAS,24,rb,15,3,65,261,3,32,4.0,17.4,1
66,Aaron Rodgers,GNB,27,QB,15,15,64,356,4,27,5.6,23.7,4
67,Bernard Scott,CIN,26,,16,0,61,299,1,18,4.9,18.7,2
68,Julius Jones,2TM,29,,12,2,60,223,0,54,3.7,18.6,1
69,Correll Buckhalter,DEN,32,,15,0,59,147,2,13,2.5,9.8,1
70,Clinton Portis,WAS,29,rb,5,5,54,227,2,27,4.2,45.4,0
71,Isaac Redman,PIT,26,,16,0,52,247,0,23,4.8,15.4,2
72,Javon Ringer,TEN,23,,16,0,51,239,2,54,4.7,14.9,0
73,Jay Cutler,CHI,27,QB,15,15,50,232,1,25,4.6,15.5,10
74,Darren Sproles,SDG,27,rb,16,3,50,267,0,34,5.3,16.7,3
75,Derrick Ward,HOU,30,,16,0,50,315,4,38,6.3,19.7,0
76,Mike Bell,2TM,27,,16,1,47,99,0,11,2.1,6.2,2
77,Jason Campbell,OAK,29,QB,13,12,47,222,1,24,4.7,17.1,9
78,Javarris James,IND,23,,10,0,46,112,6,11,2.4,11.2,1
79,Matt Ryan*,ATL,25,QB,16,16,46,122,0,20,2.7,7.6,4
80,Ladell Betts,NOR,31,rb,8,1,45,150,2,12,3.3,18.8,1
81,Joe Flacco,BAL,25,QB,16,16,43,84,1,14,2.0,5.3,9
82,Mike Hart,IND,24,rb,7,1,43,185,1,35,4.3,26.4,0
83,Fred Taylor,NWE,34,,7,0,43,155,0,24,3.6,22.1,0
84,Tim Tebow,DEN,23,qb,9,3,43,227,6,40,5.3,25.2,1
85,Lance Ball,DEN,25,,10,0,41,158,0,19,3.9,15.8,1
86,Ryan Fitzpatrick,BUF,28,QB,13,13,40,269,0,22,6.7,20.7,8
87,Joe McKnight,NYJ,22,rb,9,1,39,189,0,18,4.8,21.0,0
88,Brad Smith,NYJ,27,wr,16,2,38,299,1,53,7.9,18.7,1
89,Dominic Rhodes,IND,31,,3,0,37,172,0,15,4.6,57.3,1
90,Reggie Bush,NOR,25,rb,8,6,36,150,0,23,4.2,18.8,2
91,Laurence Maroney,DEN,25,rb,4,3,36,74,0,13,2.1,18.5,1
92,,,,,,,,,,,,,
93,Dimitri Nance,GNB,22,,12,0,36,95,0,11,2.6,7.9,0
94,Chad Henne,MIA,25,QB,15,14,35,52,0,10,1.5,3.5,5
95,Deji Karim,JAX,24,,11,0,35,160,0,15,4.6,14.5,4
96,Kenneth Darby,STL,28,,14,0,34,107,2,13,3.1,7.6,0
97,Ben Roethlisberger,PIT,28,QB,12,12,34,176,2,31,5.2,14.7,6
98,Kevin Smith,DET,24,,6,0,34,133,0,15,3.9,22.2,0
99,Matt Cassel*,KAN,28,QB,15,15,33,125,0,23,3.8,8.3,3
100,Mewelde Moore,PIT,28,,15,0,33,99,0,18,3.0,6.6,0
101,Eli Manning,NYG,29,QB,16,16,32,70,0,16,2.2,4.4,7
102,Carson Palmer,CIN,31,QB,16,16,32,50,0,9,1.6,3.1,7
103,Tom Brady*+,NWE,33,QB,16,16,31,30,1,9,1.0,1.9,3
104,Jon Kitna,DAL,38,QB,10,9,31,147,1,29,4.7,14.7,6
105,Marcel Reece,OAK,25,FB,16,10,30,122,1,31,4.1,7.6,1
106,Mark Sanchez,NYJ,24,QB,16,16,30,105,3,20,3.5,6.6,9
107,Donovan McNabb,WAS,34,QB,13,13,29,151,0,36,5.2,11.6,10
108,Philip Rivers*,SDG,29,QB,16,16,29,52,0,14,1.8,3.3,7
109,James Starks,GNB,24,,3,0,29,101,0,16,3.5,33.7,0
110,Le'Ron McClain,BAL,26,FB,15,13,28,85,0,16,3.0,5.7,0
111,Colt McCoy,CLE,24,QB,8,8,28,136,1,18,4.9,17.0,1
112,Sam Bradford,STL,23,QB,16,16,27,63,1,17,2.3,3.9,7
113,Leon Washington,SEA,28,,16,0,27,100,1,21,3.7,6.3,3
114,Jacob Hester,SDG,25,fb,15,7,26,60,0,6,2.3,4.0,0
115,Lousaka Polite,MIA,29,FB,16,10,26,62,1,4,2.4,3.9,0
