,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
0,,,,,,,,,,,,,,,,,
1,Darius Reynaud,TEN,28,,16,0,31,410,2,81,13.2,53,1240,1,105,23.4,1718
2,Josh Cribbs*,CLE,29,wr,16,2,38,457,0,60,12.0,43,1178,0,74,27.4,1722
3,Jacoby Jones*+,BAL,28,wr,16,3,37,341,1,63,9.2,38,1167,2,108,30.7,1920
4,Randall Cobb,GNB,22,rb/wr,15,8,31,292,1,75,9.4,38,964,0,46,25.4,2342
5,Trindon Holliday,2TM,26,,15,0,48,481,1,76,10.0,21,552,1,105,26.3,1050
6,Leon Washington*,SEA,30,,16,0,41,356,0,52,8.7,27,784,1,98,29.0,1254
7,Devin Hester,CHI,30,wr,15,5,40,331,0,44,8.3,24,621,0,40,25.9,1200
8,Marcus Thigpen,MIA,26,,16,0,26,316,1,72,12.2,38,1040,1,96,27.4,1379
9,Stefan Logan,DET,31,,16,0,33,300,0,48,9.1,28,597,0,40,21.3,942
10,David Wilson,NYG,21,rb,16,2,,,,,,57,1533,1,97,26.9,1925
11,Keshawn Martin,HOU,22,wr,16,1,22,267,0,71,12.1,31,741,0,54,23.9,1146
12,Brandon Tate,CIN,25,wr,16,3,21,187,0,32,8.9,32,795,0,45,24.8,1193
13,Patrick Peterson*,ARI,22,LCB,16,16,51,426,0,26,8.4,,,,,,574
14,Brandon Banks,WAS,25,,12,0,26,178,0,27,6.8,22,527,0,55,24.0,761
15,Marcus Sherels,MIN,25,,16,0,32,287,1,77,9.0,16,422,0,41,26.4,709
16,Brandon Boykin,PHI,22,cb,16,4,1,7,0,7,7.0,45,1037,0,44,23.0,1044
17,Javier Arenas,KAN,25,cb/RCB,16,9,34,297,0,27,8.7,10,204,0,27,20.4,501
18,Ted Ginn,SFO,27,,13,0,32,326,0,38,10.2,11,253,0,31,23.0,587
19,Chris Rainey,PIT,24,,16,0,3,16,0,13,5.3,39,1035,0,68,26.5,1213
20,Leodis McKelvin,BUF,27,lcb,13,4,23,431,2,88,18.7,18,510,0,59,28.3,950
21,Darren Sproles,NOR,29,rb,13,6,23,183,0,37,8.0,18,483,0,48,26.8,1577
22,Joe McKnight,NYJ,24,,15,0,,,,,,39,1072,1,100,27.5,1269
23,Roscoe Parrish,TAM,30,,13,0,30,298,0,39,9.9,4,86,0,25,21.5,384
24,Dwayne Harris,DAL,25,,16,0,22,354,1,78,16.1,11,210,0,29,19.1,786
25,T.Y. Hilton,IND,23,wr,15,1,26,300,1,75,11.5,7,118,0,26,16.9,1308
26,Micheal Spurlock,2TM,29,,14,1,17,239,1,63,14.1,16,375,1,99,23.4,814
27,Adam Jones,CIN,29,db/lcb/rcb,16,5,26,301,1,81,11.6,3,64,0,31,21.3,365
28,Wes Welker*,NWE,31,WR,16,12,25,243,0,31,9.7,3,33,0,17,11.0,1650
29,Antonio Brown,PIT,24,WR,13,10,27,183,0,29,6.8,,,,,,994
30,,,,,,,,,,,,,,,,,
31,Travaris Cadet,NOR,23,,13,0,1,2,0,2,2.0,26,690,0,75,26.5,741
32,Devin McCourty,NWE,25,LCB/S,16,16,,,,,,27,654,1,104,24.2,707
33,Damaris Johnson,PHI,23,wr,14,1,26,291,1,98,11.2,,,,,,559
34,Phillip Adams,OAK,24,rcb,15,2,25,139,0,47,5.6,,,,,,139
35,Shaun Draughn,KAN,25,,16,0,,,,,,23,537,0,41,23.3,928
36,Chris Givens,STL,23,WR,15,12,,,,,,23,539,0,48,23.4,1249
37,Jacquizz Rodgers,ATL,22,,16,0,,,,,,23,592,0,77,25.7,1356
38,Dominique Franks,ATL,25,,16,0,21,163,0,28,7.8,,,,,,163
39,William Powell,ARI,24,rb,13,1,,,,,,21,507,0,65,24.1,856
40,Joe Adams,CAR,23,,9,0,11,127,0,21,11.5,9,208,0,31,23.1,355
41,Julian Edelman,NWE,26,wr,9,3,17,263,1,68,15.5,3,38,0,32,12.7,603
42,Coye Francies,OAK,26,,15,0,,,,,,20,475,0,32,23.8,475
43,Danny Amendola,STL,27,WR,11,8,17,122,0,22,7.2,2,16,0,12,8.0,812
44,Jeremy Kerley,NYJ,24,wr,16,7,19,208,1,68,10.9,,,,,,1044
45,Jordan Shipley,2TM,27,,7,2,13,85,0,15,6.5,6,117,0,24,19.5,446
46,Richard Goodman,SDG,25,,7,0,,,,,,18,497,0,39,27.6,497
47,Brad Smith,BUF,29,wr,15,2,,,,,,18,496,1,89,27.6,749
48,LaRod Stephens-Howling,ARI,25,rb,14,5,,,,,,18,405,0,38,22.5,867
49,Kyle Williams,SFO,24,wr,11,3,4,52,0,20,13.0,13,353,0,94,27.2,638
50,Mike Goodson,OAK,25,,12,0,,,,,,16,359,0,51,22.4,775
51,Percy Harvin,MIN,24,WR,9,8,,,,,,16,574,1,105,35.9,1347
52,Jim Leonhard,DEN,30,fs,16,1,15,89,0,16,5.9,1,18,0,18,18.0,107
53,Captain Munnerlyn,CAR,24,LCB,16,11,14,72,0,20,5.1,1,17,0,17,17.0,196
54,Rueben Randle,NYG,21,wr,16,1,15,108,0,18,7.2,,,,,,406
55,Deonte Thompson,BAL,23,,6,0,,,,,,15,389,0,49,25.9,440
56,Omar Bolden,DEN,24,,16,0,,,,,,14,270,0,33,19.3,270
57,Armanti Edwards,CAR,24,,16,0,2,77,0,69,38.5,12,260,0,35,21.7,458
58,LaMichael James,SFO,23,,4,0,,,,,,14,417,0,62,29.8,571
59,Eric Weems,CHI,27,wr,16,1,1,0,0,0,0.0,13,231,0,27,17.8,259
60,Devon Wylie,KAN,24,wr,6,1,5,26,0,13,5.2,9,191,0,26,21.2,270
61,,,,,,,,,,,,,,,,,
62,Arrelious Benn,TAM,24,wr,8,1,,,,,,13,306,0,55,23.5,348
63,Niles Paul,WAS,23,fb/te,16,4,,,,,,13,283,0,48,21.8,434
64,Dez Bryant,DAL,24,WR,16,14,12,66,0,44,5.5,,,,,,1443
65,Lance Dunbar,DAL,22,,12,0,,,,,,12,261,0,44,21.8,369
66,Austin Pettis,STL,24,wr,14,2,11,77,0,23,7.0,1,13,0,13,13.0,351
67,Eddie Royal,SDG,26,wr,10,2,12,64,0,14,5.3,,,,,,320
68,Mike Thomas,2TM,25,,16,4,9,56,0,18,6.2,3,46,0,20,15.3,267
69,Felix Jones,DAL,25,rb,16,7,,,,,,11,236,0,29,21.5,900
70,Quan Cosby,JAX,30,,2,0,5,46,0,15,9.2,5,99,0,32,19.8,145
71,Rashad Jennings,JAX,27,rb,10,6,,,,,,10,241,0,29,24.1,654
72,Jalen Parmele,JAX,27,rb,11,2,,,,,,10,233,0,38,23.3,436
73,Isaiah Pead,STL,23,rb,15,1,,,,,,10,212,0,32,21.2,282
74,Emmanuel Sanders,PIT,25,wr,16,7,9,93,0,63,10.3,1,27,0,27,27.0,750
75,Cassius Vaughn,IND,25,LCB,16,11,,,,,,10,209,0,40,20.9,212
76,Janoris Jenkins,STL,24,RCB,15,14,9,46,0,14,5.1,,,,,,198
77,Deji Karim,IND,26,,3,0,,,,,,9,328,1,101,36.4,328
78,Denarius Moore,OAK,24,WR,15,15,9,32,0,19,3.6,,,,,,768
79,Kealoha Pilares,CAR,24,,8,0,,,,,,9,216,0,28,24.0,275
80,Bryce Brown,PHI,21,rb,16,4,,,,,,8,156,0,25,19.5,776
81,Richard Crawford,WAS,22,,10,0,8,156,0,64,19.5,,,,,,178
82,Chris Carr,SDG,29,,9,0,2,11,0,11,5.5,5,102,0,26,20.4,113
83,Lavelle Hawkins,TEN,26,wr,7,1,,,,,,7,205,0,71,29.3,267
84,Kendall Hunter,SFO,24,,11,0,,,,,,7,165,0,31,23.6,596
85,Jeremy Ross,GNB,24,,5,0,4,103,0,58,25.8,3,86,0,44,28.7,189
86,Eric Weddle,SDG,27,FS,16,16,7,48,0,20,6.9,,,,,,110
87,Travis Benjamin,CLE,23,wr,14,3,3,149,1,93,49.7,3,76,0,29,25.3,589
88,Harry Douglas,ATL,28,wr,15,1,5,42,0,11,8.4,1,8,0,8,8.0,449
89,Armond Smith,CAR,26,,4,0,,,,,,6,131,0,26,21.8,131
90,Tom Zbikowski,IND,27,SS,11,11,,,,,,6,123,0,34,20.5,143
91,LaVon Brazill,IND,23,,15,0,2,12,0,8,6.0,3,50,0,20,16.7,248
92,,,,,,,,,,,,,,,,,
93,Clyde Gates,NYJ,26,wr,11,2,,,,,,5,144,0,47,28.8,380
94,Domenik Hixon,NYG,28,wr,13,3,5,36,0,10,7.2,,,,,,603
95,LeQuan Lewis,2TM,23,,8,0,,,,,,5,106,0,33,21.2,106
96,Richard Murphy,JAX,26,,5,0,,,,,,5,118,0,32,23.6,210
97,Justin Rogers,BUF,24,cb,16,1,3,14,0,14,4.7,2,55,0,28,27.5,68
98,Pierre Thomas,NOR,28,rb,15,4,,,,,,5,91,0,38,18.2,918
99,Kyle Wilson,NYJ,25,CB,16,15,4,30,0,19,7.5,1,9,0,9,9.0,44
100,Josh Bellamy,KAN,23,,3,0,,,,,,4,74,0,26,18.5,74
101,Davone Bess,MIA,27,WR,13,13,4,30,0,11,7.5,,,,,,808
102,Curtis Brinkley,SDG,27,rb,10,1,,,,,,4,86,0,28,21.5,278
103,Tandon Doss,BAL,23,,14,0,4,53,0,40,13.3,,,,,,176
104,Joe Lefeged,IND,24,ss,16,4,,,,,,4,68,0,19,17.0,72
105,Jordan Todman,JAX,22,,1,0,,,,,,4,78,0,24,19.5,86
106,Delanie Walker,SFO,28,te,16,4,,,,,,4,28,0,18,7.0,372
107,Kyle Adams,CHI,24,fb/te,15,2,,,,,,3,38,0,15,12.7,78
108,Anthony Allen,BAL,24,,16,0,,,,,,3,56,0,20,18.7,129
109,Matt Asiata,MIN,25,,16,0,,,,,,3,55,0,22,18.3,66
110,Earl Bennett,CHI,25,wr,12,4,1,2,0,2,2.0,2,24,0,18,12.0,401
111,Andre Brown,NYG,26,rb,10,2,,,,,,3,42,0,22,14.0,514
112,Mewelde Moore,IND,30,,9,0,,,,,,3,50,0,24,16.7,147
113,Andre Roberts,ARI,24,WR,15,15,3,15,0,10,5.0,,,,,,803
114,Josh Robinson,MIN,21,cb/lb/lcb,16,6,,,,,,3,61,0,24,20.3,129
115,Aaron Ross,JAX,30,LCB/rcb,14,9,3,16,0,6,5.3,,,,,,16
116,Michael Smith,TAM,24,,1,0,,,,,,3,55,0,23,18.3,55
117,Jeremy Stewart,OAK,23,,4,0,,,,,,3,43,0,16,14.3,206
118,Sammie Stroughter,TAM,26,,2,0,3,16,0,13,5.3,,,,,,30
119,Keith Toston,JAX,25,rb,5,1,,,,,,3,65,0,25,21.7,180
120,Armando Allen,CHI,23,,15,0,,,,,,2,10,0,7,5.0,150
121,Christian Ballard,MIN,23,,16,0,,,,,,2,12,0,8,6.0,12
122,Joique Bell,DET,26,,16,0,,,,,,2,54,0,30,27.0,953
123,,,,,,,,,,,,,,,,,
124,Antoine Cason,SDG,26,RCB,16,16,1,9,0,9,9.0,1,16,0,16,16.0,59
125,Orson Charles,CIN,21,te,16,6,,,,,,2,17,0,10,8.5,118
126,Terrance Copper,KAN,30,,15,0,1,25,0,25,25.0,1,16,0,16,16.0,121
127,Antonio Cromartie*,NYJ,28,CB,16,16,,,,,,2,42,0,22,21.0,93
128,Eric Decker,DEN,25,WR,16,15,2,22,0,13,11.0,,,,,,1086
129,Marcus Easley,BUF,25,,3,0,,,,,,2,75,0,55,37.5,75
130,David Gilreath,PIT,24,,3,0,2,8,0,5,4.0,,,,,,15
131,Mardy Gilyard,2TM,26,,8,0,2,15,0,11,7.5,,,,,,30
132,Eric Hagg,CLE,23,fs/ss,12,4,,,,,,2,8,0,5,4.0,8
133,DeAngelo Hall,WAS,29,LCB,16,16,1,0,0,0,0.0,1,43,0,43,43.0,105
134,Stanley Havili,PHI,25,fb,15,2,,,,,,2,18,0,18,9.0,83
135,Melvin Ingram,SDG,23,lb,16,2,,,,,,2,-1,0,0,-0.5,-1
136,Taiwan Jones,OAK,24,,14,0,,,,,,2,22,0,16,11.0,52
137,Maurice Jones-Drew,JAX,27,rb,6,5,2,4,0,4,2.0,,,,,,504
138,Jorvorskie Lane,MIA,25,fb,16,5,,,,,,2,42,0,24,21.0,134
139,Dexter McCluster,KAN,23,wr,16,6,2,6,0,6,3.0,,,,,,528
140,Cedric Peerman,CIN,26,rb,14,1,,,,,,2,37,0,19,18.5,380
141,Chris Pressley,CIN,26,fb,14,7,,,,,,2,15,0,8,7.5,16
142,Evan Royster,WAS,25,,16,0,,,,,,2,39,0,22,19.5,236
143,Matthew Slater*,NWE,27,,16,0,,,,,,2,39,0,20,19.5,39
144,Jason Snelling,ATL,29,fb,16,2,,,,,,2,16,0,9,8.0,282
145,Tiquan Underwood,TAM,25,wr,14,3,,,,,,2,47,0,25,23.5,473
146,Danny Ware,TAM,27,rb,16,1,,,,,,2,25,0,18,12.5,176
147,D.J. Williams,GNB,24,te,13,2,,,,,,2,24,0,12,12.0,81
148,Danny Woodhead,NWE,27,rb,16,2,,,,,,2,43,0,23,21.5,790
149,Corey Wootton,CHI,25,de,16,7,,,,,,2,0,0,0,0.0,0
150,Doug Baldwin,SEA,24,wr,14,4,,,,,,1,3,0,3,3.0,369
151,Lance Ball,DEN,27,,15,0,,,,,,1,0,0,0,0.0,219
152,Nick Bellore,NYJ,23,,16,0,,,,,,1,8,0,8,8.0,31
153,Martellus Bennett,NYG,25,TE,16,16,,,,,,1,13,0,13,13.0,639
154,,,,,,,,,,,,,,,,,
155,Ahmad Black,TAM,23,fs,16,1,,,,,,1,3,0,3,3.0,37
156,Zackary Bowman,CHI,28,,11,0,1,0,0,0,0.0,,,,,,1
157,Steve Breaston,KAN,29,wr,10,4,1,21,0,21,21.0,,,,,,95
158,Brandon Browner,SEA,28,RCB,12,12,1,-1,0,-1,-1.0,,,,,,38
159,Alex Carrington,BUF,25,,16,0,,,,,,1,0,0,0,0.0,0
160,James Casey,HOU,28,FB/te,16,9,,,,,,1,0,0,0,0.0,336
161,Jed Collins,NOR,26,fb,15,7,,,,,,1,0,0,0,0.0,70
162,Riley Cooper,PHI,25,wr,11,5,,,,,,1,14,0,14,14.0,262
163,Jim Cordle,NYG,25,,16,0,,,,,,1,0,0,0,0.0,0
164,Craig Dahl,STL,27,FS/ss,16,16,,,,,,1,6,0,6,6.0,44
165,Early Doucet,ARI,27,wr,12,3,,,,,,1,18,0,18,18.0,234
166,Jerome Felton*,MIN,26,fb/wr,16,7,,,,,,1,16,0,16,16.0,51
167,Sione Fua,CAR,24,nt,13,1,,,,,,1,9,0,9,9.0,9
168,Junior Galette,NOR,24,de,12,1,,,,,,1,2,0,2,2.0,2
169,Gino Gradkowski,BAL,24,,16,0,,,,,,1,12,0,12,12.0,12
170,Corey Graham,BAL,27,LCB,16,8,,,,,,1,7,0,7,7.0,27
171,Cyrus Gray,KAN,23,,10,0,,,,,,1,33,0,33,33.0,95
172,Chris Gronkowski,DEN,26,,14,0,,,,,,1,0,0,0,0.0,11
173,Rob Gronkowski*,NWE,23,TE,11,11,,,,,,1,0,0,0,0.0,790
174,Will Heller,DET,31,te,16,5,,,,,,1,1,0,1,1.0,151
175,DeSean Jackson,PHI,26,WR,11,11,1,-3,0,-3,-3.0,,,,,,690
176,Vincent Jackson*,TAM,29,WR,16,16,,,,,,1,2,0,2,2.0,1386
177,A.J. Jefferson,MIN,24,cb/rcb,15,7,,,,,,1,20,0,20,20.0,18
178,Jerrel Jernigan,NYG,23,,9,0,,,,,,1,60,0,60,60.0,88
179,James-Michael Johnson,CLE,23,LB,10,8,,,,,,1,0,0,0,0.0,0
180,Will Johnson,PIT,23,fb,16,7,,,,,,1,8,0,8,8.0,152
181,Reshad Jones,MIA,24,S,16,16,1,0,0,0,0.0,,,,,,52
182,Akeem Jordan,PHI,27,lb,14,7,,,,,,1,1,0,1,1.0,1
183,Shiloh Keo,HOU,25,,16,0,,,,,,1,0,0,0,0.0,1
184,Dion Lewis,PHI,22,,9,0,,,,,,1,33,0,33,33.0,126
185,,,,,,,,,,,,,,,,,
186,Danieal Manning,HOU,30,SS,16,16,,,,,,1,18,0,18,18.0,78
187,Jason McCourty,TEN,25,CB,16,16,,,,,,1,14,0,14,14.0,43
188,Brit Miller,STL,26,fb,9,1,,,,,,1,13,0,13,13.0,13
189,D.J. Moore,CHI,25,,13,2,1,0,0,0,0.0,,,,,,2
190,Lance Moore,NOR,29,wr,15,7,1,5,0,5,5.0,,,,,,1046
191,Ben Obomanu,SEA,29,,8,0,,,,,,1,0,0,0,0.0,69
192,David Paulson,PIT,23,te,16,5,,,,,,1,16,0,16,16.0,67
193,John Phillips,DAL,25,TE,16,9,,,,,,1,20,0,20,20.0,75
194,Dennis Pitta,BAL,27,te,16,5,,,,,,1,0,0,0,0.0,669
195,Lousaka Polite,ATL,31,fb,6,5,,,,,,1,24,0,24,24.0,32
196,Chris Polk,PHI,23,,7,0,,,,,,1,0,0,0,0.0,0
197,Leonard Pope,PIT,29,te,16,2,,,,,,1,0,0,0,0.0,9
198,Zach Potter,JAX,26,te,16,5,,,,,,1,11,0,11,11.0,17
199,Marcel Reece*,OAK,27,FB/rb,16,14,,,,,,1,36,0,36,36.0,780
200,D'Aundre Reed,MIN,24,,6,0,,,,,,1,10,0,10,10.0,10
201,Ed Reed*,BAL,34,FS,16,16,1,1,0,1,1.0,,,,,,109
202,Riley Reiff,DET,24,lt/te,16,8,,,,,,1,10,0,10,10.0,10
203,Konrad Reuland,NYJ,25,te,16,3,,,,,,1,14,0,14,14.0,97
204,Kyle Rudolph*,MIN,23,TE,16,16,,,,,,1,1,0,1,1.0,494
205,Tony Scheffler,DET,29,te,15,4,,,,,,1,7,0,7,7.0,511
206,George Selvie,JAX,25,,9,0,,,,,,1,0,0,0,0.0,0
207,Sam Shields,GNB,25,RCB,10,8,1,0,0,0,0.0,,,,,,32
208,Alphonso Smith,DET,27,,4,0,1,2,0,2,2.0,,,,,,2
209,Eric Smith,NYJ,29,s,12,2,,,,,,1,19,0,19,19.0,24
210,Lee Smith,BUF,25,te/wr,16,7,,,,,,1,0,0,0,0.0,13
211,Bradley Sowell,IND,23,,10,0,,,,,,1,11,0,11,11.0,11
212,Craig Steltz,CHI,26,,13,0,,,,,,1,5,0,5,5.0,5
213,Emmanuel Stephens,CLE,25,,8,0,,,,,,1,7,0,7,7.0,7
214,Craig Stevens,TEN,28,TE,15,15,,,,,,1,18,0,18,18.0,293
215,Cedric Thornton,PHI,24,,16,0,,,,,,1,0,0,0,0.0,0
216,,,,,,,,,,,,,,,,,
217,Mike Tolbert,CAR,27,fb,16,5,,,,,,1,26,0,26,26.0,477
