,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
0,,,,,,,,,,,,,,,,,,,,,,,
1,Kwon Alexander,TAM,22,MLB,16,16,1,38,1,38,7,1,0,1,4,0,3.0,145,108,37,12,7,
2,Landon Collins*+,NYG,22,SS,16,16,5,72,1,44,13,0,0,1,6,0,4.0,125,100,25,9,5,
3,Tahir Whitehead,DET,26,lb/MLB,15,15,0,0,0,0,5,,,,,,,132,99,33,3,0,
4,Alec Ogletree,LAR,25,MLB,16,16,2,15,0,8,11,1,0,1,0,0,,136,98,38,9,3,
5,Telvin Smith,JAX,25,LB,16,16,2,0,0,0,8,0,0,1,0,0,1.0,118,98,20,14,2,
6,Zach Brown*,BUF,27,LB,16,16,1,0,0,0,4,2,0,0,0,0,4.0,149,97,52,11,8,
7,Paul Posluszny,JAX,32,MLB,16,16,1,0,0,0,3,,,,,,1.5,133,97,36,8,3,
8,Johnathan Cyprien,JAX,26,lb/SS,16,16,0,0,0,0,4,1,0,1,0,0,1.0,126,96,30,3,1,
9,Antoine Bethea,SFO,32,SS,16,16,1,0,0,0,3,1,0,1,5,0,,110,95,15,3,1,
10,Christian Kirksey,CLE,24,LB,16,16,0,0,0,0,3,,,,,,2.5,143,93,50,11,7,
11,Sean Lee*+,DAL,30,LB,15,15,0,0,0,0,1,0,0,1,0,0,,145,93,52,12,2,
12,Mark Barron,LAR,27,lb/S,16,16,2,8,0,7,8,0,0,1,0,0,1.0,117,90,27,7,3,
13,Zach Orr,BAL,24,LB,15,15,3,23,0,14,5,1,0,2,0,0,,130,89,41,6,1,
14,Mason Foster,WAS,27,MLB,16,13,0,0,0,0,3,1,0,0,0,0,1.0,123,88,35,9,5,
15,Jerrell Freeman,CHI,30,LB,12,12,0,0,0,0,5,,,,,,,110,86,24,7,2,
16,Malcolm Smith,OAK,27,cb/LB,15,14,1,0,0,0,3,2,0,1,1,0,,103,86,17,3,2,
17,Bobby Wagner*+,SEA,26,MLB,16,16,1,9,0,9,3,0,0,1,0,0,4.5,168,86,82,7,18,
18,Jamie Collins,2TM,27,,15,14,2,31,0,18,3,2,0,0,0,0,3.0,112,79,33,8,8,
19,Bradley McDougald,TAM,26,S,16,16,2,32,0,32,10,0,0,1,6,0,,91,79,12,3,0,
20,Benardrick McKinney,HOU,24,LB,16,16,0,0,0,0,2,1,0,0,0,0,5.0,129,79,50,8,11,
21,Lawrence Timmons,PIT,30,lolb/RILB,16,16,2,74,0,58,5,1,0,0,0,0,2.5,114,78,36,5,11,
22,Preston Brown,BUF,24,MLB,16,16,0,0,0,0,1,1,0,2,0,0,1.0,135,76,59,5,3,
23,Deion Jones,ATL,22,LB,15,13,3,165,2,90,11,1,0,0,0,0,,106,75,31,4,2,
24,Tony Jefferson,ARI,24,SS,15,14,0,0,0,0,5,2,0,2,0,0,2.0,92,74,18,13,4,
25,Vontaze Burfict,CIN,26,LB,11,11,2,54,0,47,8,1,0,0,0,0,2.0,101,73,28,5,4,
26,Thomas Davis*,CAR,33,LB,16,16,3,35,0,31,4,1,0,2,46,1,2.5,106,73,33,5,5,
27,Logan Ryan,NWE,25,cb/RCB,16,13,2,46,0,46,11,1,0,0,0,0,1.0,92,73,19,2,3,
28,Avery Williamson,TEN,24,LB,16,16,1,0,0,0,1,1,0,0,0,0,2.0,104,73,31,3,5,
29,Keanu Neal,ATL,21,S,14,14,0,0,0,0,8,5,0,1,0,0,,105,72,33,2,0,
30,,,,,,,,,,,,,,,,,,,,,,,
