,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,Stephen Gostkowski*+,NWE,31,K,16,0,,,,,,,,,,,52,52,33,36,,151,9.4
1,Graham Gano,CAR,28,K,16,0,,,,,,,,,,,56,59,30,36,,146,9.1
2,Chandler Catanzaro,ARI,24,K,16,0,,,,,,,,,,,53,58,28,31,,137,8.6
3,Blair Walsh,MIN,25,K,16,0,,,,,,,,,,,33,37,34,39,,135,8.4
4,Josh Brown*,NYG,36,K,16,0,,,,,,,,,,,44,45,30,32,,134,8.4
5,Cairo Santos,KAN,24,K,16,0,,,,,,,,,,,39,41,30,37,,129,8.1
6,Justin Tucker,BAL,26,K,16,0,,,,,,,,,,,29,29,33,40,,128,8.0
7,Robbie Gould,CHI,33,K,16,0,,,,,,,,,,,28,29,33,39,,127,7.9
8,Stephen Hauschka,SEA,30,K,16,0,,,,,,,,,,,40,44,29,31,,127,7.9
9,Brandon McManus,DEN,24,K,16,0,,,,,,,,,,,35,36,30,35,,125,7.8
10,Mike Nugent,CIN,33,K,16,0,,,,,,,,,,,48,49,23,28,,117,7.3
11,Dan Bailey*,DAL,27,K,16,0,,,,,,,,,,,25,25,30,32,,115,7.2
12,Dustin Hopkins,WAS,25,K,15,0,,,,,,,,,,,39,40,25,28,,114,7.6
13,Chris Boswell,PIT,24,K,12,0,,,,,,,,,,,26,27,29,32,,113,9.4
14,Jason Myers,JAX,24,K,16,0,,,,,,,,,,,32,39,26,30,,110,6.9
15,Mason Crosby,GNB,31,K,16,0,,,,,,,,,,,36,36,24,28,,108,6.8
16,Adam Vinatieri,IND,43,K,16,0,,,,,,,,,,,32,35,25,27,,107,6.7
17,Travis Coons,CLE,23,K,16,0,,,,,,,,,,,22,24,28,32,,106,6.6
18,Josh Lambo,SDG,25,K,16,0,,,,,,,,,,,28,32,26,32,,106,6.6
19,Dan Carpenter,BUF,30,K,16,0,,,,,,,,,,,34,40,23,27,,103,6.4
20,Matt Prater,DET,31,K,16,0,,,,,,,,,,,36,39,22,24,,102,6.4
21,Sebastian Janikowski,OAK,37,K,16,0,,,,,,,,,,,38,39,21,26,,101,6.3
22,Connor Barth,TAM,29,K,12,0,,,,,,,,,,,25,26,23,28,,94,7.8
23,Phil Dawson,SFO,40,K,16,0,,,,,,,,,,,20,21,24,27,,92,5.8
24,Caleb Sturgis,PHI,26,K,13,0,,,,,,,,,,,35,37,18,22,,89,6.8
25,Greg Zuerlein,STL,28,K,14,0,,,,,,,,,,,26,28,20,30,,86,6.1
26,Doug Baldwin,SEA,27,WR,16,16,,14,,,,,,14,,,,,,,,84,5.3
27,Devonta Freeman*,ATL,23,RB,15,13,11,3,,,,,,14,,,,,,,,84,5.6
28,Brandon Marshall*,NYJ,31,WR,16,16,,14,,,,,,14,,,,,,,,84,5.3
29,,,,,,,,,,,,,,,,,,,,,,,
30,Allen Robinson*,JAX,22,WR,16,16,,14,,,,,,14,,,,,,,,84,5.3
31,Nick Novak,HOU,34,K,13,0,,,,,,,,,,,29,31,18,21,,83,6.4
32,Randy Bullock,2TM,26,,11,0,,,,,,,,,,,22,25,19,23,,79,7.2
33,Odell Beckham*,NYG,23,WR,15,15,,13,,,,,,13,,,,,,,,78,5.2
34,Tyler Eifert*,CIN,25,TE,13,12,,13,,,,,,13,,,,,,,,78,6.0
35,David Johnson,ARI,24,rb,16,5,8,4,,1,,,,13,,,,,,,,78,4.9
36,Jeremy Hill,CIN,23,RB,16,15,11,1,,,,,,12,1,,,,,,,74,4.6
37,Eric Decker,NYJ,28,WR,15,13,,12,,,,,,12,,,,,,,,72,4.8
38,Andrew Franks,MIA,22,K,16,0,,,,,,,,,,,33,36,13,16,,72,4.5
39,Ryan Succop,TEN,29,K,16,0,,,,,,,,,,,29,31,14,16,,71,4.4
40,Antonio Brown*+,PIT,27,WR,16,16,,10,1,,,,,11,2,,,,,,,70,4.4
41,Matt Bryant,ATL,40,K,11,0,,,,,,,,,,,26,26,14,18,,68,6.2
42,DeAndre Hopkins*,HOU,23,WR,16,16,,11,,,,,,11,1,,,,,,,68,4.3
43,DeAngelo Williams,PIT,32,RB,16,10,11,,,,,,,11,1,,,,,,,68,4.3
44,Rob Gronkowski*+,NWE,26,TE,15,15,,11,,,,,,11,,,,,,,,66,4.4
45,Adrian Peterson*+,MIN,30,RB,16,16,11,,,,,,,11,,,,,,,,66,4.1
46,Jordan Reed,WAS,25,te/wr,14,9,,11,,,,,,11,,,,,,,,66,4.7
47,Kai Forbath,2TM,28,,11,0,,,,,,,,,,,34,35,10,15,,64,5.8
48,Tavon Austin,STL,25,WR,16,15,4,5,1,,,,,10,,,,,,,,60,3.8
49,Ted Ginn,CAR,30,WR,15,13,,10,,,,,,10,,,,,,,,60,4.0
50,A.J. Green*,CIN,27,WR,16,16,,10,,,,,,10,,,,,,,,60,3.8
51,Todd Gurley*,STL,21,RB,13,12,10,,,,,,,10,,,,,,,,60,4.6
52,Allen Hurns,JAX,24,WR,15,15,,10,,,,,,10,,,,,,,,60,4.0
53,Lamar Miller,MIA,24,RB,16,16,8,2,,,,,,10,,,,,,,,60,3.8
54,Cam Newton*+,CAR,26,QB,16,16,10,,,,,,,10,,,,,,,,60,3.8
55,Nick Folk,NYJ,31,k,8,0,,,,,,,,,,,19,19,13,16,,58,7.3
56,Gary Barnidge*,CLE,30,TE,16,13,,9,,,,,,9,,,,,,,,54,3.4
57,Brandin Cooks,NOR,22,WR,16,13,,9,,,,,,9,,,,,,,,54,3.4
58,Michael Crabtree,OAK,28,WR,16,15,,9,,,,,,9,,,,,,,,54,3.4
59,Larry Fitzgerald*,ARI,32,WR,16,16,,9,,,,,,9,,,,,,,,54,3.4
60,,,,,,,,,,,,,,,,,,,,,,,
61,Calvin Johnson*,DET,30,WR,16,16,,9,,,,,,9,,,,,,,,54,3.4
62,Julio Jones*+,ATL,26,WR,16,16,,8,,,1,,,9,,,,,,,,54,3.4
63,Sammy Watkins,BUF,22,WR,13,13,,9,,,,,,9,,,,,,,,54,4.2
64,Karlos Williams,BUF,22,fb/rb,11,3,7,2,,,,,,9,,,,,,,,54,4.9
