,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
127,Scott Chandler,BUF,27,TE,15,13,74,43,571,13.3,6,43,2.9,38.1,58.1%,7.7,,,,,,,,43,13.3,571,6,2
128,Domenik Hixon,NYG,28,wr,13,3,59,39,567,14.5,2,41,3.0,43.6,66.1%,9.6,,,,,,,,39,14.5,567,2,0
129,Brandon Pettigrew,DET,27,TE,14,11,102,59,567,9.6,3,24,4.2,40.5,57.8%,5.6,,,,,,,,59,9.6,567,3,4
130,Andrew Hawkins,CIN,26,wr,14,2,80,51,533,10.5,4,59,3.6,38.1,63.8%,6.7,6,30,0,11,5.0,2.1,0.4,57,9.9,563,4,1
131,Michael Floyd,ARI,23,wr,16,3,86,45,562,12.5,2,53,2.8,35.1,52.3%,6.5,,,,,,,,45,12.5,562,2,1
132,Jacob Tamme,DEN,27,TE,16,8,85,52,555,10.7,2,36,3.3,34.7,61.2%,6.5,,,,,,,,52,10.7,555,2,0
133,Vernon Davis,SFO,28,TE,16,16,61,41,548,13.4,5,53,2.6,34.3,67.2%,9.0,,,,,,,,41,13.4,548,5,0
134,Leonard Hankerson,WAS,24,wr,16,5,57,38,543,14.3,3,68,2.4,33.9,66.7%,9.5,2,5,0,3,2.5,0.3,0.1,40,13.7,548,3,0
135,Brandon Stokley,DEN,36,WR,15,9,58,45,544,12.1,5,38,3.0,36.3,77.6%,9.4,,,,,,,,45,12.1,544,5,0
136,Marcedes Lewis,JAX,28,TE,16,15,77,52,540,10.4,4,26,3.3,33.8,67.5%,7.0,,,,,,,,52,10.4,540,4,0
137,Antonio Gates,SDG,32,TE,15,15,80,49,538,11.0,7,34,3.3,35.9,61.3%,6.7,,,,,,,,49,11.0,538,7,0
138,Josh Morgan,WAS,27,WR,16,15,73,48,510,10.6,2,32,3.0,31.9,65.8%,7.0,3,25,0,9,8.3,1.6,0.2,51,10.5,535,2,1
139,Robert Turbin,SEA,23,,16,0,23,19,181,9.5,0,20,1.2,11.3,82.6%,7.9,80,354,0,26,4.4,22.1,5.0,99,5.4,535,0,0
140,Dwayne Allen,IND,22,fb/te,16,16,66,45,521,11.6,3,40,2.8,32.6,68.2%,7.9,3,5,0,3,1.7,0.3,0.2,48,11.0,526,3,1
141,Jared Cook,TEN,25,te,13,5,73,44,523,11.9,4,61,3.4,40.2,60.3%,7.2,,,,,,,,44,11.9,523,4,1
142,Dexter McCluster,KAN,23,wr,16,6,77,52,452,8.7,1,31,3.3,28.3,67.5%,5.9,12,70,0,19,5.8,4.4,0.8,64,8.2,522,1,2
143,Lance Kendricks,STL,24,fb/TE,16,14,64,42,519,12.4,4,80,2.6,32.4,65.6%,8.1,,,,,,,,42,12.4,519,4,1
144,Kevin Walter,HOU,31,WR,16,14,68,41,518,12.6,2,52,2.6,32.4,60.3%,7.6,,,,,,,,41,12.6,518,2,0
145,Mario Manningham,SFO,26,WR,12,10,57,42,449,10.7,1,40,3.5,37.4,73.7%,7.9,3,64,0,29,21.3,5.3,0.3,45,11.4,513,1,2
146,Donald Brown,IND,25,rb,10,4,13,9,93,10.3,0,39,0.9,9.3,69.2%,7.2,108,417,1,19,3.9,41.7,10.8,117,4.4,510,1,0
147,Tony Scheffler,DET,29,te,15,4,85,42,504,12.0,1,57,2.8,33.6,49.4%,5.9,,,,,,,,42,12.0,504,1,0
148,Ben Watson,CLE,32,TE,16,14,82,49,501,10.2,3,27,3.1,31.3,59.8%,6.1,,,,,,,,49,10.2,501,3,1
149,Maurice Jones-Drew,JAX,27,rb,6,5,18,14,86,6.1,1,13,2.3,14.3,77.8%,4.8,86,414,1,59,4.8,69.0,14.3,100,5.0,500,2,2
150,Michael Bush,CHI,28,rb,13,1,11,9,83,9.2,0,18,0.7,6.4,81.8%,7.5,114,411,5,20,3.6,31.6,8.8,123,4.0,494,5,1
151,Kyle Rudolph*,MIN,23,TE,16,16,93,53,493,9.3,9,29,3.3,30.8,57.0%,5.3,,,,,,,,53,9.3,493,9,0
152,Jonathan Stewart,CAR,25,rb,9,6,23,17,157,9.2,1,30,1.9,17.4,73.9%,6.8,93,336,1,21,3.6,37.3,10.3,110,4.5,493,2,2
153,Russell Wilson*,SEA,24,QB,16,16,0,0,0,,0,0,0.0,0.0,0.0%,,94,489,4,25,5.2,30.6,5.9,94,5.2,489,4,6
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Aaron Hernandez,NWE,23,rb/TE,10,10,83,51,483,9.5,5,31,5.1,48.3,61.4%,5.8,1,5,0,5,5.0,0.5,0.1,52,9.4,488,5,0
156,Daniel Thomas,MIA,25,,12,0,22,15,156,10.4,0,32,1.3,13.0,68.2%,7.1,91,325,4,20,3.6,27.1,7.6,106,4.5,481,4,3
157,Andre Brown,NYG,26,rb,10,2,17,12,86,7.2,0,17,1.2,8.6,70.6%,5.1,73,385,8,31,5.3,38.5,7.3,85,5.5,471,8,0
158,LaRod Stephens-Howling,ARI,25,rb,14,5,30,17,106,6.2,0,24,1.2,7.6,56.7%,3.5,110,356,4,52,3.2,25.4,7.9,127,3.6,462,4,0
159,Tony Moeaki,KAN,25,TE,15,14,56,33,453,13.7,1,38,2.2,30.2,58.9%,8.1,,,,,,,,33,13.7,453,1,0
160,Mike Tolbert,CAR,27,fb,16,5,39,27,268,9.9,0,26,1.7,16.8,69.2%,6.9,54,183,7,13,3.4,11.4,3.4,81,5.6,451,7,0
161,Michael Jenkins,MIN,30,WR,16,8,72,40,449,11.2,2,32,2.5,28.1,55.6%,6.2,,,,,,,,40,11.2,449,2,0
162,Kevin Ogletree,DAL,25,wr,15,1,55,32,436,13.6,4,65,2.1,29.1,58.2%,7.9,2,9,0,5,4.5,0.6,0.1,34,13.1,445,4,0
163,Donald Jones,BUF,25,WR,12,10,67,41,443,10.8,4,68,3.4,36.9,61.2%,6.6,,,,,,,,41,10.8,443,4,1
164,Dallas Clark,TAM,33,te,16,7,75,47,435,9.3,4,33,2.9,27.2,62.7%,5.8,,,,,,,,47,9.3,435,4,0
165,Randy Moss,SFO,35,wr,16,2,50,28,434,15.5,3,55,1.8,27.1,56.0%,8.7,,,,,,,,28,15.5,434,3,1
166,Kendall Hunter,SFO,24,,11,0,12,9,60,6.7,0,12,0.8,5.5,75.0%,5.0,72,371,2,26,5.2,33.7,6.5,81,5.3,431,2,1
167,Tiquan Underwood,TAM,25,wr,14,3,55,28,425,15.2,2,62,2.0,30.4,50.9%,7.7,1,1,0,1,1.0,0.1,0.1,29,14.7,426,2,0
168,Jackie Battle,SDG,29,rb,16,5,15,15,108,7.2,1,18,0.9,6.8,100.0%,7.2,95,311,3,52,3.3,19.4,5.9,110,3.8,419,4,0
169,Rob Housler,ARI,24,TE,15,9,68,45,417,9.3,0,33,3.0,27.8,66.2%,6.1,,,,,,,,45,9.3,417,0,0
170,Mike Goodson,OAK,25,,12,0,16,16,195,12.2,1,64,1.3,16.3,100.0%,12.2,35,221,0,43,6.3,18.4,2.9,51,8.2,416,1,0
