,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adrian Peterson*+,MIN,27,RB,16,16,51,40,217,5.4,1,20,2.5,13.6,78.4%,4.3,348,2097,12,82,6.0,131.1,21.8,388,6.0,2314,13,4
2,Calvin Johnson*+,DET,27,WR,16,16,204,122,1964,16.1,5,53,7.6,122.8,59.8%,9.6,,,,,,,,122,16.1,1964,5,3
3,Doug Martin*,TAM,23,RB,16,16,70,49,472,9.6,1,64,3.1,29.5,70.0%,6.7,319,1454,11,70,4.6,90.9,19.9,368,5.2,1926,12,1
4,Marshawn Lynch*+,SEA,26,RB,16,15,30,23,196,8.5,1,27,1.4,12.3,76.7%,6.5,315,1590,11,77,5.0,99.4,19.7,338,5.3,1786,12,5
5,Jamaal Charles*,KAN,26,RB,16,15,49,35,236,6.7,1,22,2.2,14.8,71.4%,4.8,285,1509,5,91,5.3,94.3,17.8,320,5.5,1745,6,5
6,C.J. Spiller*,BUF,25,RB,16,9,57,43,459,10.7,2,66,2.7,28.7,75.4%,8.1,207,1244,6,62,6.0,77.8,12.9,250,6.8,1703,8,3
7,Alfred Morris,WAS,24,RB,16,16,16,11,77,7.0,0,20,0.7,4.8,68.8%,4.8,335,1613,13,39,4.8,100.8,20.9,346,4.9,1690,13,4
8,Arian Foster*,HOU,26,RB,16,16,58,40,217,5.4,2,23,2.5,13.6,69.0%,3.7,351,1424,15,46,4.1,89.0,21.9,391,4.2,1641,17,3
9,Ray Rice*,BAL,25,RB,16,16,83,61,478,7.8,1,43,3.8,29.9,73.5%,5.8,257,1143,9,46,4.4,71.4,16.1,318,5.1,1621,10,1
10,Andre Johnson*,HOU,31,WR,16,16,162,112,1598,14.3,4,60,7.0,99.9,69.1%,9.9,,,,,,,,112,14.3,1598,4,0
11,Brandon Marshall*+,CHI,28,WR,16,16,192,118,1508,12.8,11,56,7.4,94.3,61.5%,7.9,1,-2,0,-2,-2.0,-0.1,0.1,119,12.7,1506,11,2
12,Chris Johnson,TEN,27,RB,16,15,49,36,232,6.4,0,22,2.3,14.5,73.5%,4.7,276,1243,6,94,4.5,77.7,17.3,312,4.7,1475,6,5
13,Frank Gore*,SFO,29,RB,16,16,36,28,234,8.4,1,26,1.8,14.6,77.8%,6.5,258,1214,8,37,4.7,75.9,16.1,286,5.1,1448,9,3
14,Matt Forte,CHI,27,RB,15,15,59,44,340,7.7,1,47,2.9,22.7,74.6%,5.8,248,1094,5,46,4.4,72.9,16.5,292,4.9,1434,6,2
15,Demaryius Thomas*,DEN,25,WR,16,16,143,94,1434,15.3,10,71,5.9,89.6,65.7%,10.0,,,,,,,,94,15.3,1434,10,3
16,A.J. Green*,CIN,24,WR,16,16,164,97,1350,13.9,11,73,6.1,84.4,59.1%,8.2,4,38,0,20,9.5,2.4,0.3,101,13.7,1388,11,2
17,Vincent Jackson*,TAM,29,WR,16,16,147,72,1384,19.2,8,95,4.5,86.5,49.0%,9.4,,,,,,,,72,19.2,1384,8,0
18,Dez Bryant,DAL,24,WR,16,14,138,92,1382,15.0,12,85,5.8,86.4,66.7%,10.0,2,-5,0,6,-2.5,-0.3,0.1,94,14.6,1377,12,5
19,Wes Welker*,NWE,31,WR,16,12,174,118,1354,11.5,6,59,7.4,84.6,67.8%,7.8,2,20,0,11,10.0,1.3,0.1,120,11.5,1374,6,3
20,Steven Jackson,STL,29,RB,16,16,53,38,321,8.4,0,22,2.4,20.1,71.7%,6.1,258,1045,4,46,4.1,65.3,16.1,296,4.6,1366,4,0
21,Roddy White,ATL,31,WR,16,15,142,92,1351,14.7,7,59,5.8,84.4,64.8%,9.5,,,,,,,,92,14.7,1351,7,1
22,Reggie Wayne*,IND,34,WR,16,15,195,106,1355,12.8,5,33,6.6,84.7,54.4%,6.9,1,-5,0,-5,-5.0,-0.3,0.1,107,12.6,1350,5,1
23,Trent Richardson,CLE,22,RB,15,15,70,51,367,7.2,1,27,3.4,24.5,72.9%,5.2,267,950,11,32,3.6,63.3,17.8,318,4.1,1317,12,3
24,Stevan Ridley,NWE,23,RB,16,12,14,6,51,8.5,0,20,0.4,3.2,42.9%,3.6,290,1263,12,41,4.4,78.9,18.1,296,4.4,1314,12,4
25,Reggie Bush,MIA,27,RB,16,16,52,35,292,8.3,2,25,2.2,18.3,67.3%,5.6,227,986,6,65,4.3,61.6,14.2,262,4.9,1278,8,4
26,Ahmad Bradshaw,NYG,26,RB,14,12,31,23,245,10.7,0,59,1.6,17.5,74.2%,7.9,221,1015,6,37,4.6,72.5,15.8,244,5.2,1260,6,3
27,Julio Jones*,ATL,23,WR,16,15,128,79,1198,15.2,10,80,4.9,74.9,61.7%,9.4,6,30,0,18,5.0,1.9,0.4,85,14.4,1228,10,0
28,Shonn Greene,NYJ,27,RB,16,14,30,19,151,7.9,0,30,1.2,9.4,63.3%,5.0,276,1063,8,36,3.9,66.4,17.3,295,4.1,1214,8,4
29,LeSean McCoy,PHI,24,RB,12,12,67,54,373,6.9,3,36,4.5,31.1,80.6%,5.6,200,840,2,34,4.2,70.0,16.7,254,4.8,1213,5,4
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Steve Smith,CAR,33,WR,16,16,137,73,1174,16.1,4,66,4.6,73.4,53.3%,8.6,3,27,0,15,9.0,1.7,0.2,76,15.8,1201,4,1
32,BenJarvus Green-Ellis,CIN,27,RB,15,15,30,22,104,4.7,0,13,1.5,6.9,73.3%,3.5,278,1094,6,48,3.9,72.9,18.5,300,4.0,1198,6,3
33,Marques Colston,NOR,29,WR,16,13,130,83,1154,13.9,10,60,5.2,72.1,63.8%,8.9,,,,,,,,83,13.9,1154,10,4
34,Michael Crabtree,SFO,25,WR,16,16,127,85,1105,13.0,9,49,5.3,69.1,66.9%,8.7,1,8,0,8,8.0,0.5,0.1,86,12.9,1113,9,0
35,Victor Cruz*,NYG,26,WR,16,16,143,86,1092,12.7,10,80,5.4,68.3,60.1%,7.6,,,,,,,,86,12.7,1092,10,0
36,Randall Cobb,GNB,22,rb/wr,15,8,104,80,954,11.9,8,39,5.3,63.6,76.9%,9.2,10,132,0,28,13.2,8.8,0.7,90,12.1,1086,8,4
37,Brian Hartline,MIA,26,WR,16,15,131,74,1083,14.6,1,80,4.6,67.7,56.5%,8.3,,,,,,,,74,14.6,1083,1,1
38,Eric Decker,DEN,25,WR,16,15,122,85,1064,12.5,13,55,5.3,66.5,69.7%,8.7,,,,,,,,85,12.5,1064,13,0
39,Steve Johnson,BUF,26,WR,16,16,148,79,1046,13.2,6,63,4.9,65.4,53.4%,7.1,,,,,,,,79,13.2,1046,6,1
40,Lance Moore,NOR,29,wr,15,7,104,65,1041,16.0,6,51,4.3,69.4,62.5%,10.0,,,,,,,,65,16.0,1041,6,0
41,Jason Witten*,DAL,30,TE,16,16,147,110,1039,9.4,3,36,6.9,64.9,74.8%,7.1,,,,,,,,110,9.4,1039,3,0
42,Mikel Leshoure,DET,22,RB,14,14,49,34,214,6.3,0,15,2.4,15.3,69.4%,4.4,215,798,9,16,3.7,57.0,15.4,249,4.1,1012,9,3
43,Mike Williams,TAM,25,WR,16,16,126,63,996,15.8,9,65,3.9,62.3,50.0%,7.9,,,,,,,,63,15.8,996,9,0
44,Jimmy Graham,NOR,26,TE,15,9,135,85,982,11.6,9,46,5.7,65.5,63.0%,7.3,,,,,,,,85,11.6,982,9,1
45,Cecil Shorts,JAX,25,WR,14,9,105,55,979,17.8,7,80,3.9,69.9,52.4%,9.3,1,-4,0,-4,-4.0,-0.3,0.1,56,17.4,975,7,1
46,Vick Ballard,IND,22,RB,16,12,27,17,152,8.9,1,19,1.1,9.5,63.0%,5.6,211,814,2,26,3.9,50.9,13.2,228,4.2,966,3,3
47,Darren McFadden,OAK,25,RB,12,12,63,42,258,6.1,1,20,3.5,21.5,66.7%,4.1,216,707,2,64,3.3,58.9,18.0,258,3.7,965,3,2
48,Ryan Mathews,SDG,25,RB,12,9,56,39,252,6.5,0,24,3.3,21.0,69.6%,4.5,184,707,1,31,3.8,58.9,15.3,223,4.3,959,1,2
49,Willis McGahee,DEN,31,RB,10,9,33,26,221,8.5,0,31,2.6,22.1,78.8%,6.7,167,731,4,31,4.4,73.1,16.7,193,4.9,952,4,5
50,Miles Austin,DAL,28,WR,16,15,119,66,943,14.3,6,49,4.1,58.9,55.5%,7.9,,,,,,,,66,14.3,943,6,1
51,Tony Gonzalez*+,ATL,36,TE,16,16,124,93,930,10.0,8,25,5.8,58.1,75.0%,7.5,,,,,,,,93,10.0,930,8,0
52,Michael Turner,ATL,30,RB,16,16,30,19,128,6.7,1,60,1.2,8.0,63.3%,4.3,222,800,10,43,3.6,50.0,13.9,241,3.9,928,11,3
53,Anquan Boldin,BAL,32,WR,15,15,112,65,921,14.2,4,43,4.3,61.4,58.0%,8.2,1,3,0,3,3.0,0.2,0.1,66,14.0,924,4,0
54,DeAngelo Williams,CAR,29,RB,16,10,20,13,187,14.4,2,53,0.8,11.7,65.0%,9.4,173,737,5,65,4.3,46.1,10.8,186,5.0,924,7,2
55,DeMarco Murray,DAL,24,RB,10,10,42,35,251,7.2,0,22,3.5,25.1,83.3%,6.0,161,663,4,48,4.1,66.3,16.1,196,4.7,914,4,3
56,Brandon Lloyd,NWE,31,WR,16,15,131,74,911,12.3,4,53,4.6,56.9,56.5%,7.0,,,,,,,,74,12.3,911,4,0
57,Darren Sproles,NOR,29,rb,13,6,104,75,667,8.9,7,44,5.8,51.3,72.1%,6.4,48,244,1,47,5.1,18.8,3.7,123,7.4,911,8,0
58,Joique Bell,DET,26,,16,0,68,52,485,9.3,0,50,3.3,30.3,76.5%,7.1,82,414,3,67,5.0,25.9,5.1,134,6.7,899,3,2
59,T.Y. Hilton,IND,23,wr,15,1,90,50,861,17.2,7,61,3.3,57.4,55.6%,9.6,5,29,0,19,5.8,1.9,0.3,55,16.2,890,7,1
60,Justin Blackmon,JAX,22,WR,16,14,132,64,865,13.5,5,81,4.0,54.1,48.5%,6.6,2,23,0,12,11.5,1.4,0.1,66,13.5,888,5,1
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Torrey Smith,BAL,23,WR,16,16,110,49,855,17.4,8,54,3.1,53.4,44.5%,7.8,3,9,0,13,3.0,0.6,0.2,52,16.6,864,8,0
63,Jeremy Maclin,PHI,24,WR,15,15,122,69,857,12.4,7,70,4.6,57.1,56.6%,7.0,,,,,,,,69,12.4,857,7,1
64,Greg Olsen,CAR,27,TE,16,16,104,69,843,12.2,5,47,4.3,52.7,66.3%,8.1,,,,,,,,69,12.2,843,5,0
65,Mike Wallace,PIT,26,WR,15,14,119,64,836,13.1,8,82,4.3,55.7,53.8%,7.0,5,7,0,13,1.4,0.5,0.3,69,12.2,843,8,2
66,Jeremy Kerley,NYJ,24,wr,16,7,95,56,827,14.8,2,66,3.5,51.7,58.9%,8.7,5,8,0,5,1.6,0.5,0.3,61,13.7,835,2,4
67,Pierre Thomas,NOR,28,rb,15,4,53,39,354,9.1,1,36,2.6,23.6,73.6%,6.7,105,473,1,48,4.5,31.5,7.0,144,5.7,827,2,0
68,Heath Miller*,PIT,30,TE,15,15,101,71,816,11.5,8,43,4.7,54.4,70.3%,8.1,,,,,,,,71,11.5,816,8,0
69,Robert Griffin*,WAS,22,QB,15,15,1,0,0,,0,0,0.0,0.0,0.0%,0.0,120,815,7,76,6.8,54.3,8.0,120,6.8,815,7,12
70,Malcom Floyd,SDG,31,WR,14,14,85,56,814,14.5,5,39,4.0,58.1,65.9%,9.6,,,,,,,,56,14.5,814,5,0
71,Antonio Brown,PIT,24,WR,13,10,106,66,787,11.9,5,60,5.1,60.5,62.3%,7.4,7,24,0,13,3.4,1.8,0.5,73,11.1,811,5,4
72,Brandon Myers,OAK,27,TE,16,16,105,79,806,10.2,4,29,4.9,50.4,75.2%,7.7,,,,,,,,79,10.2,806,4,0
73,Josh Gordon,CLE,21,WR,16,13,96,50,805,16.1,5,71,3.1,50.3,52.1%,8.4,,,,,,,,50,16.1,805,5,1
74,Dwayne Bowe,KAN,28,WR,13,12,114,59,801,13.6,3,47,4.5,61.6,51.8%,7.0,,,,,,,,59,13.6,801,3,1
75,Larry Fitzgerald*,ARI,29,WR,16,16,156,71,798,11.2,4,37,4.4,49.9,45.5%,5.1,,,,,,,,71,11.2,798,4,0
76,Donnie Avery,IND,28,WR,16,15,124,60,781,13.0,3,48,3.8,48.8,48.4%,6.3,4,9,0,7,2.3,0.6,0.3,64,12.3,790,3,1
77,Rob Gronkowski*,NWE,23,TE,11,11,79,55,790,14.4,11,41,5.0,71.8,69.6%,10.0,,,,,,,,55,14.4,790,11,1
78,Andre Roberts,ARI,24,WR,15,15,114,64,759,11.9,5,46,4.3,50.6,56.1%,6.7,4,29,0,15,7.3,1.9,0.3,68,11.6,788,5,1
79,James Jones,GNB,28,WR,16,16,98,64,784,12.3,14,49,4.0,49.0,65.3%,8.0,,,,,,,,64,12.3,784,14,0
80,Davone Bess,MIA,27,WR,13,13,104,61,778,12.8,1,39,4.7,59.8,58.7%,7.5,,,,,,,,61,12.8,778,1,1
81,Percy Harvin,MIN,24,WR,9,8,85,62,677,10.9,3,45,6.9,75.2,72.9%,8.0,22,96,1,20,4.4,10.7,2.4,84,9.2,773,4,2
82,Marcel Reece*,OAK,27,FB/rb,16,14,73,52,496,9.5,1,56,3.3,31.0,71.2%,6.8,59,271,0,17,4.6,16.9,3.7,111,6.9,767,1,2
83,Jacquizz Rodgers,ATL,22,,16,0,59,53,402,7.6,1,32,3.3,25.1,89.8%,6.8,94,362,1,43,3.9,22.6,5.9,147,5.2,764,2,0
84,Sidney Rice,SEA,26,WR,16,16,82,50,748,15.0,7,46,3.1,46.8,61.0%,9.1,2,6,0,3,3.0,0.4,0.1,52,14.5,754,7,0
85,Cam Newton,CAR,23,QB,16,16,1,0,6,,0,6,0.0,0.4,0.0%,6.0,127,741,8,72,5.8,46.3,7.9,127,5.9,747,8,10
86,Danny Woodhead,NWE,27,rb,16,2,55,40,446,11.2,3,25,2.5,27.9,72.7%,8.1,76,301,4,19,4.0,18.8,4.8,116,6.4,747,7,1
87,Nate Washington,TEN,29,WR,16,14,89,46,746,16.2,4,71,2.9,46.6,51.7%,8.4,,,,,,,,46,16.2,746,4,1
88,Jordy Nelson,GNB,27,WR,12,10,73,49,745,15.2,7,73,4.1,62.1,67.1%,10.2,,,,,,,,49,15.2,745,7,0
89,Jermaine Gresham*,CIN,24,TE,16,15,94,64,737,11.5,5,55,4.0,46.1,68.1%,7.8,,,,,,,,64,11.5,737,5,2
90,Denarius Moore,OAK,24,WR,15,15,114,51,741,14.5,7,58,3.4,49.4,44.7%,6.5,1,-5,0,-5,-5.0,-0.3,0.1,52,14.2,736,7,3
91,Jonathan Dwyer,PIT,23,rb,13,6,25,18,106,5.9,0,15,1.4,8.2,72.0%,4.2,156,623,2,34,4.0,47.9,12.0,174,4.2,729,2,2
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Owen Daniels*,HOU,30,TE,15,14,104,62,716,11.5,6,39,4.1,47.7,59.6%,6.9,,,,,,,,62,11.5,716,6,0
94,Brandon LaFell,CAR,26,WR,14,12,76,44,677,15.4,4,62,3.1,48.4,57.9%,8.9,3,35,0,25,11.7,2.5,0.2,47,15.1,712,4,1
95,Chris Givens,STL,23,WR,15,12,80,42,698,16.6,3,65,2.8,46.5,52.5%,8.7,3,12,0,14,4.0,0.8,0.2,45,15.8,710,3,0
96,Golden Tate,SEA,24,WR,15,15,68,45,688,15.3,7,51,3.0,45.9,66.2%,10.1,3,20,0,13,6.7,1.3,0.2,48,14.8,708,7,1
97,DeSean Jackson,PHI,26,WR,11,11,87,45,700,15.6,2,77,4.1,63.6,51.7%,8.0,3,-7,0,5,-2.3,-0.6,0.3,48,14.4,693,2,1
98,Knowshon Moreno,DEN,25,rb,8,6,26,21,167,8.0,0,26,2.6,20.9,80.8%,6.4,138,525,4,20,3.8,65.6,17.3,159,4.4,692,4,1
99,Hakeem Nicks,NYG,24,WR,13,11,100,53,692,13.1,3,50,4.1,53.2,53.0%,6.9,,,,,,,,53,13.1,692,3,0
100,Brandon Gibson,STL,25,WR,16,13,82,51,691,13.5,5,34,3.2,43.2,62.2%,8.4,,,,,,,,51,13.5,691,5,0
101,Brent Celek,PHI,27,TE,15,14,88,57,684,12.0,1,34,3.8,45.6,64.8%,7.8,,,,,,,,57,12.0,684,1,1
102,Danny Amendola,STL,27,WR,11,8,101,63,666,10.6,3,56,5.7,60.5,62.4%,6.6,2,8,0,6,4.0,0.7,0.2,65,10.4,674,3,3
103,Dennis Pitta,BAL,27,te,16,5,94,61,669,11.0,7,61,3.8,41.8,64.9%,7.1,,,,,,,,61,11.0,669,7,0
104,Jermichael Finley,GNB,25,TE,16,14,87,61,667,10.9,2,40,3.8,41.7,70.1%,7.7,,,,,,,,61,10.9,667,2,1
105,Felix Jones,DAL,25,rb,16,7,36,25,262,10.5,2,39,1.6,16.4,69.4%,7.3,111,402,3,22,3.6,25.1,6.9,136,4.9,664,5,2
106,Greg Little,CLE,23,WR,16,16,94,53,647,12.2,4,43,3.3,40.4,56.4%,6.9,2,15,0,17,7.5,0.9,0.1,55,12.0,662,4,0
107,Danario Alexander,SDG,26,wr,10,6,62,37,658,17.8,7,80,3.7,65.8,59.7%,10.6,,,,,,,,37,17.8,658,7,0
108,Fred Jackson,BUF,31,RB,10,8,42,34,217,6.4,1,34,3.4,21.7,81.0%,5.2,115,437,3,15,3.8,43.7,11.5,149,4.4,654,4,5
109,Isaac Redman,PIT,28,rb,14,5,23,19,244,12.8,0,55,1.4,17.4,82.6%,10.6,110,410,2,28,3.7,29.3,7.9,129,5.1,654,2,3
110,Jason Avant,PHI,29,wr,14,6,76,53,648,12.2,0,39,3.8,46.3,69.7%,8.5,,,,,,,,53,12.2,648,0,1
111,Pierre Garcon,WAS,26,WR,10,10,68,44,633,14.4,4,88,4.4,63.3,64.7%,9.3,2,9,0,7,4.5,0.9,0.2,46,14.0,642,4,0
112,Daryl Richardson,STL,22,,16,0,36,24,163,6.8,0,26,1.5,10.2,66.7%,4.5,98,475,0,53,4.8,29.7,6.1,122,5.2,638,0,3
113,Mark Ingram,NOR,23,rb,16,5,10,6,29,4.8,0,16,0.4,1.8,60.0%,2.9,156,602,5,31,3.9,37.6,9.8,162,3.9,631,5,0
114,Emmanuel Sanders,PIT,25,wr,16,7,75,44,626,14.2,1,37,2.8,39.1,58.7%,8.3,1,4,0,4,4.0,0.3,0.1,45,14.0,630,1,3
115,Kendall Wright,TEN,23,wr,15,5,104,64,626,9.8,4,38,4.3,41.7,61.5%,6.0,1,4,0,4,4.0,0.3,0.1,65,9.7,630,4,1
116,Martellus Bennett,NYG,25,TE,16,16,89,55,626,11.4,5,33,3.4,39.1,61.8%,7.0,,,,,,,,55,11.4,626,5,0
117,Darrius Heyward-Bey,OAK,25,WR,15,14,80,41,606,14.8,5,59,2.7,40.4,51.3%,7.6,2,16,0,20,8.0,1.1,0.1,43,14.5,622,5,0
118,Bryce Brown,PHI,21,rb,16,4,19,13,56,4.3,0,11,0.8,3.5,68.4%,2.9,115,564,4,65,4.9,35.3,7.2,128,4.8,620,4,4
119,Ronnie Brown,SDG,31,rb,14,1,59,49,371,7.6,0,25,3.5,26.5,83.1%,6.3,46,220,0,21,4.8,15.7,3.3,95,6.2,591,0,0
120,Kenny Britt,TEN,24,WR,14,11,90,45,589,13.1,4,46,3.2,42.1,50.0%,6.5,,,,,,,,45,13.1,589,4,2
121,Alex Green,GNB,24,rb,12,4,30,18,125,6.9,0,19,1.5,10.4,60.0%,4.2,135,464,0,41,3.4,38.7,11.3,153,3.8,589,0,1
122,Santana Moss,WAS,33,wr,16,1,62,41,573,14.0,8,77,2.6,35.8,66.1%,9.2,3,14,0,12,4.7,0.9,0.2,44,13.3,587,8,2
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Rod Streater,OAK,24,wr,16,2,74,39,584,15.0,3,64,2.4,36.5,52.7%,7.9,,,,,,,,39,15.0,584,3,1
125,Bernard Pierce,BAL,21,,16,0,11,7,47,6.7,0,11,0.4,2.9,63.6%,4.3,108,532,1,78,4.9,33.3,6.8,115,5.0,579,1,0
126,Bilal Powell,NYJ,24,rb,14,2,36,17,140,8.2,0,16,1.2,10.0,47.2%,3.9,110,437,4,18,4.0,31.2,7.9,127,4.5,577,4,0
