,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
0,,,,,,,,,,,,,,,,,
1,Danny Amendola,STL,25,wr,16,6,40,452,0,42,11.3,50,1142,0,84,22.8,2364
2,Marc Mariani*,TEN,23,,16,0,27,329,1,87,12.2,60,1530,1,98,25.5,1859
3,Stefan Logan,DET,29,,16,0,30,362,0,71,12.1,55,1448,1,105,26.3,1909
4,Brandon Banks,WAS,23,,13,0,38,431,0,53,11.3,46,1155,1,96,25.1,1602
5,Leon Washington,SEA,28,,16,0,22,249,0,84,11.3,57,1461,3,101,25.6,1889
6,Darren Sproles,SDG,27,rb,16,3,24,166,0,16,6.9,51,1257,0,45,24.6,2210
7,Micheal Spurlock,TAM,27,wr,16,1,28,193,0,23,6.9,44,1129,1,89,25.7,1572
8,Ted Ginn,SFO,25,,13,0,24,321,1,78,13.4,47,992,0,61,21.1,1487
9,Javier Arenas,KAN,23,cb,16,2,39,322,0,36,8.3,24,509,0,35,21.2,836
10,Josh Cribbs,CLE,27,wr,15,5,20,168,0,17,8.4,40,814,0,37,20.4,1340
11,Eric Weems*,ATL,25,wr,16,4,18,230,1,55,12.8,40,1100,1,102,27.5,1391
12,LaRod Stephens-Howling,ARI,23,rb/wr,13,2,,,,,,57,1548,2,102,27.2,1772
13,Bernard Scott,CIN,26,,16,0,,,,,,56,1257,0,60,22.4,1616
14,C.J. Spiller,BUF,23,rb,14,1,12,175,0,34,14.6,44,1014,1,95,23.0,1629
15,Jacoby Ford,OAK,23,fb/WR,16,9,,,,,,53,1280,3,101,24.2,1905
16,Jacoby Jones,HOU,26,wr,15,7,29,204,0,39,7.0,23,494,0,35,21.5,1267
17,Deji Karim,JAX,24,,11,0,,,,,,50,1248,0,65,25.0,1418
18,Brad Smith,NYJ,27,wr,16,2,,,,,,50,1432,2,97,28.6,1775
19,Andre Roberts,ARI,22,wr,15,2,35,263,0,25,7.5,14,326,0,47,23.3,896
20,Mike Goodson,CAR,23,rb,16,3,,,,,,47,1034,0,46,22.0,1783
21,Devin Hester*+,CHI,28,WR,16,13,33,564,3,89,17.1,12,427,0,79,35.6,1496
22,Jorrick Calvin,PHI,23,k,12,0,12,125,0,44,10.4,32,692,0,41,21.6,817
23,Darius Reynaud,NYG,26,,9,0,23,132,0,20,5.7,21,386,0,31,18.4,518
24,Brandon Tate,NWE,23,WR,16,10,1,4,0,4,4.0,41,1057,2,103,25.8,1555
25,Tramon Williams*,GNB,27,db/RCB,16,16,41,326,0,52,8.0,,,,,,418
26,Percy Harvin,MIN,22,WR,14,13,,,,,,40,933,1,95,23.3,1908
27,Greg Camarillo,MIN,28,wr,16,1,39,359,0,52,9.2,,,,,,599
28,Dexter McCluster,KAN,21,rb/wr,11,7,13,202,1,94,15.5,26,527,0,36,20.3,1009
29,Steve Slaton,HOU,24,rb,12,1,,,,,,39,767,0,50,19.7,871
30,,,,,,,,,,,,,,,,,
31,Nick Miller,OAK,23,,9,0,35,257,0,46,7.3,2,37,0,27,18.5,334
32,Antonio Brown,PIT,22,,9,0,19,110,0,21,5.8,17,397,1,89,23.4,674
33,Mike Thomas,JAX,23,WR,16,11,34,358,1,78,10.5,,,,,,1292
34,Quan Cosby,CIN,28,,16,0,30,225,0,20,7.5,3,44,0,18,14.7,285
35,Danieal Manning,CHI,28,SS,16,16,,,,,,33,816,0,62,24.7,816
36,Courtney Roby,NOR,27,,13,0,,,,,,33,785,0,39,23.8,785
37,Captain Munnerlyn,CAR,22,lcb,16,5,30,327,0,37,10.9,2,87,0,64,43.5,451
38,Bryan McCann,DAL,23,,9,0,8,165,1,97,20.6,23,507,0,38,22.0,773
39,Eddie Royal,DEN,24,WR,16,10,25,298,0,33,11.9,5,107,0,33,21.4,1093
40,Emmanuel Sanders,PIT,23,wr,13,1,4,60,0,38,15.0,25,628,0,48,25.1,1064
41,Will Blackmon,NYG,26,,5,0,14,94,0,22,6.7,13,238,0,42,18.3,332
42,Dez Bryant,DAL,22,wr,12,2,15,215,2,93,14.3,12,293,0,43,24.4,1069
43,Nolan Carroll,MIA,23,cb,13,1,,,,,,27,655,0,46,24.3,656
44,Davone Bess,MIA,25,WR,16,8,25,284,0,47,11.4,,,,,,1101
45,Akwasi Owusu-Ansah,DAL,22,,7,0,,,,,,25,543,0,41,21.7,543
46,Jalen Parmele,BAL,25,,16,0,,,,,,24,562,0,39,23.4,562
47,Tiquan Underwood,JAX,23,,10,0,,,,,,24,561,0,53,23.4,672
48,Patrick Cobbs,MIA,27,fb,16,1,,,,,,23,448,0,40,19.5,539
