,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,Matt Bryant*,ATL,41,K,16,0,,,,,,,,,,,56,57,34,37,,158,9.9
1,Justin Tucker*+,BAL,27,K,16,0,,,,,,,,,,,27,27,38,39,,141,8.8
2,Dustin Hopkins,WAS,26,K,16,0,,,,,,,,,,,36,39,34,42,,138,8.6
3,Caleb Sturgis,PHI,27,K,16,0,,,,,,,,,,,30,31,35,41,,135,8.4
4,Wil Lutz,NOR,22,K,16,0,,,,,,,,,,,49,50,28,34,,133,8.3
5,Cairo Santos,KAN,25,K,16,0,,,,,,,,,,,36,39,31,35,,129,8.1
6,Stephen Hauschka,SEA,31,K,16,0,,,,,,,,,,,29,35,33,37,,128,8.0
7,Dan Bailey,DAL,28,K,16,0,,,,,,,,,,,46,46,27,32,,127,7.9
8,Stephen Gostkowski,NWE,32,K,16,0,,,,,,,,,,,46,49,27,32,,127,7.9
9,Nick Novak,HOU,35,K,16,0,,,,,,,,,,,22,25,35,41,,127,7.9
10,Adam Vinatieri,IND,44,K,16,0,,,,,,,,,,,44,44,27,31,,125,7.8
11,Sebastian Janikowski,OAK,38,K,16,0,,,,,,,,,,,37,39,29,35,,124,7.8
12,Matt Prater*,DET,32,K,16,0,,,,,,,,,,,31,33,31,36,,124,7.8
13,Mason Crosby,GNB,32,K,16,0,,,,,,,,,,,44,47,26,30,,122,7.6
14,David Johnson*+,ARI,25,RB,16,16,16,4,,,,,,20,1,,,,,,,122,7.6
15,Graham Gano,CAR,29,K,16,0,,,,,,,,,,,31,34,30,38,,121,7.6
16,Josh Lambo,SDG,26,K,16,0,,,,,,,,,,,42,46,26,32,,120,7.5
17,Brandon McManus,DEN,25,K,16,0,,,,,,,,,,,32,33,29,34,,119,7.4
18,Jason Myers,JAX,25,K,16,0,,,,,,,,,,,29,32,27,34,,110,6.9
19,LeGarrette Blount,NWE,30,RB,16,8,18,,,,,,,18,,,,,,,,108,6.8
20,Chandler Catanzaro,ARI,25,K,16,0,,,,,,,,,,,43,47,21,28,,106,6.6
21,Nick Folk,NYJ,32,K,16,0,,,,,,,,,,,24,26,27,31,,105,6.6
22,Ryan Succop,TEN,30,K,16,0,,,,,,,,,,,39,41,22,24,,105,6.6
23,Chris Boswell,PIT,25,K,15,0,,,,,,,,,,,36,36,21,25,,99,6.6
24,Roberto Aguayo,TAM,22,K,16,0,,,,,,,,,,,32,34,22,31,,98,6.1
