,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
20,Mike Nugent,CIN,33,K,16,0,,,6,6,6,5,13,10,3,2,28,23,82.1%,49,48,98.0%,,,,,
21,Phil Dawson,SFO,40,K,16,0,,,10,9,6,6,8,6,3,3,27,24,88.9%,21,20,95.2%,1,48,48,0,48.0
22,Dan Carpenter,BUF,30,K,16,0,,,5,5,9,8,8,7,5,3,27,23,85.2%,40,34,85.0%,,,,,
23,Adam Vinatieri,IND,43,K,16,0,,,8,7,6,6,8,8,5,4,27,25,92.6%,35,32,91.4%,,,,,
24,Sebastian Janikowski,OAK,37,K,16,0,,,7,7,6,5,8,5,5,4,26,21,80.8%,39,38,97.4%,,,,,
25,Matt Prater,DET,31,K,16,0,,,3,3,9,8,6,6,6,5,24,22,91.7%,39,36,92.3%,,,,,
26,Randy Bullock,2TM,26,,11,0,1,1,4,4,6,6,11,8,1,,23,19,82.6%,25,22,88.0%,,,,,
27,Caleb Sturgis,PHI,26,K,13,0,,,4,4,10,8,4,4,4,2,22,18,81.8%,37,35,94.6%,,,,,
28,Nick Novak,HOU,34,K,13,0,,,6,6,6,6,4,4,5,2,21,18,85.7%,31,29,93.5%,1,36,36,0,36.0
29,Matt Bryant,ATL,40,K,11,0,1,1,4,4,4,3,9,6,,,18,14,77.8%,26,26,100.0%,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Nick Folk,NYJ,31,k,8,0,,,2,2,6,6,6,3,2,2,16,13,81.3%,19,19,100.0%,,,,,
32,Andrew Franks,MIA,22,K,16,0,1,1,3,3,4,4,6,4,2,1,16,13,81.3%,36,33,91.7%,,,,,
33,Ryan Succop,TEN,29,K,16,0,,,3,3,3,3,7,7,3,1,16,14,87.5%,31,29,93.5%,,,,,
34,Kai Forbath,2TM,28,,11,0,,,3,2,4,3,5,3,3,2,15,10,66.7%,35,34,97.1%,,,,,
35,Zach Hocker,2TM,24,,8,0,,,3,3,6,5,3,1,2,1,14,10,71.4%,13,12,92.3%,1,43,43,0,43.0
36,Shayne Graham,ATL,38,k,5,0,,,2,2,4,4,4,2,3,3,13,11,84.6%,8,8,100.0%,,,,,
37,Kyle Brindza,TAM,22,k,4,0,,,2,1,3,2,3,1,4,2,12,6,50.0%,8,6,75.0%,,,,,
38,Josh Scobee,PIT,33,k,4,0,,,2,2,1,1,7,3,,,10,6,60.0%,7,6,85.7%,,,,,
39,Cody Parkey,PHI,23,k,3,0,,,1,1,1,1,2,1,,,4,3,75.0%,7,7,100.0%,,,,,
40,Johnny Hekker*+,STL,25,P,16,0,,,,,,,,,,,,,,,,,96,4601,68,0,47.9
41,Shane Lechler,HOU,39,P,16,0,,,,,,,,,,,,,,,,,95,4497,64,0,47.3
42,Matt Darr,MIA,23,P,16,0,,,,,,,,,,,,,,,,,92,4380,70,0,47.6
43,Bradley Pinion,SFO,21,P,16,0,,,,,,,,,,,,,,,,,91,3969,62,0,43.6
44,Brett Kern,TEN,29,P,16,0,,,,,,,,,,,,,,,,,88,4175,61,0,47.4
45,Donnie Jones,PHI,35,P,16,0,,,,,,,,,,,,,,,,,86,4038,64,2,47.0
46,Pat McAfee,IND,28,P,16,0,,,,,,,,,,,,,,,,,85,4052,63,0,47.7
47,Britton Colquitt,DEN,30,P,16,0,,,,,,,,,,,,,,,,,84,3663,62,0,43.6
48,Marquette King,OAK,27,P,16,0,,,,,,,,,,,,,,,,,83,3697,70,1,44.5
49,Colton Schmidt,BUF,25,P,16,0,,,,,,,,,,,,,,,,,82,3802,65,0,46.4
50,Tim Masthay,GNB,28,P,16,0,,,,,,,,,,,,,,,,,81,3554,62,0,43.9
51,Bryan Anger,JAX,27,P,16,0,,,,,,,,,,,,,,,,,80,3700,63,0,46.3
52,Sam Martin,DET,25,P,16,0,,,,,,,,,,,,,,,,,80,3679,66,0,46.0
53,Brad Wing,NYG,24,P,16,0,,,,,,,,,,,,,,,,,76,3380,64,0,44.5
54,Dustin Colquitt,KAN,33,P,16,0,,,,,,,,,,,,,,,,,75,3333,62,0,44.4
55,Ryan Quigley,NYJ,25,P,15,0,,,,,,,,,,,,,,4,4,100.0%,75,3287,68,1,43.8
56,Sam Koch*,BAL,33,P,16,0,,,,,,,,,,,,,,,,,74,3454,67,0,46.7
57,Ryan Allen,NWE,25,P,16,0,,,,,,,,,,,,,,,,,73,3358,67,1,46.0
58,Mike Scifres,SDG,35,P,16,0,,,,,,,,,,,,,,,,,72,3261,68,1,45.3
59,Andy Lee,CLE,33,P,16,0,,,,,,,,,,,,,,,,,70,3270,67,0,46.7
60,Brad Nortman,CAR,26,P,16,0,,,,,,,,,,,,,,,,,70,3175,65,0,45.4
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pat O'Donnell,CHI,24,P,15,0,,,,,,,,,,,,,,,,,70,3097,72,1,44.2
63,Tress Way,WAS,25,P,16,0,,,,,,,,,,,,,,,,,70,3224,64,1,46.1
64,Chris Jones,DAL,26,P,16,0,,,,,,,,,,,,,,,,,69,3114,61,0,45.1
65,Kevin Huber,CIN,30,P,16,0,,,,,,,,,,,,,,,,,68,3116,67,1,45.8
66,Jon Ryan,SEA,34,P,16,0,,,,,,,,,,,,,,,,,68,3093,73,0,45.5
67,Jeff Locke,MIN,26,P,16,0,,,,,,,,,,,,,,,,,66,2746,61,0,41.6
68,Drew Butler,ARI,26,P,16,0,,,,,,,,,,,,,,,,,60,2575,58,1,42.9
69,Jordan Berry,PIT,24,P,16,0,,,,,,,,,,,,,,,,,59,2511,79,0,42.6
70,Matthew Bosher,ATL,28,P,16,0,,,,,,,,,,,,,,,,,58,2735,69,1,47.2
71,Thomas Morstead,NOR,29,P,14,0,,,,,,,,,,,,,,,,,56,2551,58,0,45.6
72,Jake Schum,TAM,26,P,16,0,,,,,,,,,,,,,,,,,56,2348,60,0,41.9
73,Brandon Fields,NOR,31,p,2,0,,,,,,,,,,,,,,,,,10,412,57,0,41.2
74,Steve Weatherford,NYJ,33,,1,0,,,,,,,,,,,,,,,,,4,161,50,0,40.3
75,Spencer Lanning,CHI,27,p,1,0,,,,,,,,,,,,,,,,,3,136,51,0,45.3
