,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Justin Tucker,BAL,26,K,16,0,,,10,10,9,9,11,10,10,4,40,33,82.5%,29,29,100.0%,,,,,
2,Robbie Gould,CHI,33,K,16,0,1,1,8,8,12,10,9,7,9,7,39,33,84.6%,29,28,96.6%,,,,,
3,Blair Walsh,MIN,25,K,16,0,,,9,9,15,13,7,6,8,6,39,34,87.2%,37,33,89.2%,,,,,
4,Cairo Santos,KAN,24,K,16,0,,,8,7,10,10,11,9,8,4,37,30,81.1%,41,39,95.1%,,,,,
5,Graham Gano,CAR,28,K,16,0,1,1,10,10,5,4,16,13,4,2,36,30,83.3%,59,56,94.9%,,,,,
6,Stephen Gostkowski*+,NWE,31,K,16,0,,,6,6,11,11,14,12,5,4,36,33,91.7%,52,52,100.0%,,,,,
7,Brandon McManus,DEN,24,K,16,0,,,12,12,8,8,8,5,7,5,35,30,85.7%,36,35,97.2%,1,41,41,0,41.0
8,Dan Bailey*,DAL,27,K,16,0,,,9,9,10,10,7,6,6,5,32,30,93.8%,25,25,100.0%,,,,,
9,Chris Boswell,PIT,24,K,12,0,1,1,9,9,8,8,12,9,2,2,32,29,90.6%,27,26,96.3%,,,,,
10,Josh Brown*,NYG,36,K,16,0,1,1,6,6,12,12,10,8,3,3,32,30,93.8%,45,44,97.8%,,,,,
11,Travis Coons,CLE,23,K,16,0,,,11,11,10,10,9,7,2,,32,28,87.5%,24,22,91.7%,,,,,
12,Josh Lambo,SDG,25,K,16,0,,,4,4,7,7,16,11,5,4,32,26,81.3%,32,28,87.5%,,,,,
13,Chandler Catanzaro,ARI,24,K,16,0,1,1,12,12,9,9,7,6,2,,31,28,90.3%,58,53,91.4%,,,,,
14,Stephen Hauschka,SEA,30,K,16,0,,,9,9,7,7,9,7,6,6,31,29,93.5%,44,40,90.9%,,,,,
15,Jason Myers,JAX,24,K,16,0,,,10,9,8,8,8,6,4,3,30,26,86.7%,39,32,82.1%,,,,,
16,Greg Zuerlein,STL,28,K,14,0,1,1,2,2,10,9,8,5,9,3,30,20,66.7%,28,26,92.9%,,,,,
17,Connor Barth,TAM,29,K,12,0,,,9,9,8,8,6,3,5,3,28,23,82.1%,26,25,96.2%,,,,,
18,Mason Crosby,GNB,31,K,16,0,1,1,7,7,4,4,11,8,5,4,28,24,85.7%,36,36,100.0%,,,,,
19,Dustin Hopkins,WAS,25,K,15,0,,,7,7,9,9,8,7,4,2,28,25,89.3%,40,39,97.5%,,,,,
