,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,Stephen Gostkowski,NWE,28,K,16,0,,,,,,,,,,,66,66,29,35,,153,9.6
1,Lawrence Tynes,NYG,34,K,16,0,,,,,,,,,,,46,46,33,39,,145,9.1
2,Matt Bryant,ATL,37,K,16,0,,,,,,,,,,,44,44,33,38,,143,8.9
3,Blair Walsh*+,MIN,22,K,16,0,,,,,,,,,,,36,36,35,38,,141,8.8
4,Shayne Graham,HOU,35,K,16,0,,,,,,,,,,,45,45,31,38,,138,8.6
5,Jason Hanson,DET,42,K,16,0,,,,,,,,,,,38,38,32,36,,134,8.4
6,Matt Prater,DEN,28,K,16,0,,,,,,,,,,,55,55,26,32,,133,8.3
7,Justin Tucker,BAL,23,K,16,0,,,,,,,,,,,42,42,30,33,,132,8.3
8,David Akers,SFO,38,K,16,0,,,,,,,,,,,44,44,29,42,,131,8.2
9,Dan Bailey,DAL,24,K,16,0,,,,,,,,,,,37,37,29,31,,124,7.8
10,Connor Barth,TAM,26,K,15,0,,,,,,,,,,,39,39,28,33,,123,8.2
11,Stephen Hauschka,SEA,27,K,16,0,,,,,,,,,,,46,48,24,27,,118,7.4
12,Sebastian Janikowski,OAK,34,K,16,0,,,,,,,,,,,25,25,31,34,,118,7.4
13,Shaun Suisham,PIT,31,K,16,0,,,,,,,,,,,34,34,28,31,,118,7.4
14,Phil Dawson*,CLE,37,K,16,0,,,,,,,,,,,29,29,29,31,,116,7.3
15,Adam Vinatieri,IND,40,K,16,0,,,,,,,,,,,37,37,26,33,,115,7.2
16,Mason Crosby,GNB,28,K,16,0,,,,,,,,,,,50,50,21,33,,113,7.1
17,Garrett Hartley,NOR,26,K,16,0,,,,,,,,,,,57,57,18,22,,111,6.9
18,Rob Bironas,TEN,34,K,16,0,,,,,,,,,,,35,35,25,31,,110,6.9
