,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
104,Jalen Richard,OAK,23,,16,0,39,29,194,6.7,2,29,1.8,12.1,74.4%,5.0,83,491,1,75,5.9,30.7,5.2,112,6.1,685,3,0
105,Travis Benjamin,SDG,27,WR,14,8,75,47,677,14.4,4,54,3.4,48.4,62.7%,9.0,2,-3,0,-1,-1.5,-0.2,0.1,49,13.8,674,4,5
106,Giovani Bernard,CIN,25,rb,10,2,51,39,336,8.6,1,32,3.9,33.6,76.5%,6.6,91,337,2,17,3.7,33.7,9.1,130,5.2,673,3,1
107,Jason Witten,DAL,34,TE,16,16,95,69,673,9.8,3,35,4.3,42.1,72.6%,7.1,,,,,,,,69,9.8,673,3,1
108,Tavon Austin,LAR,26,WR,15,15,106,58,509,8.8,3,43,3.9,33.9,54.7%,4.8,28,159,1,30,5.7,10.6,1.9,86,7.8,668,4,5
109,Jeremy Kerley,SFO,28,WR,16,13,115,64,667,10.4,3,33,4.0,41.7,55.7%,5.8,,,,,,,,64,10.4,667,3,4
110,Matt Asiata,MIN,29,rb,16,6,38,32,263,8.2,0,31,2.0,16.4,84.2%,6.9,121,402,6,29,3.3,25.1,7.6,153,4.3,665,6,1
111,Tyler Boyd,CIN,22,wr,16,2,81,54,603,11.2,1,30,3.4,37.7,66.7%,7.4,4,58,0,39,14.5,3.6,0.3,58,11.4,661,1,1
112,Cameron Brate,TAM,25,TE,15,10,81,57,660,11.6,8,38,3.8,44.0,70.4%,8.1,,,,,,,,57,11.6,660,8,1
113,Jacquizz Rodgers,TAM,26,rb,10,5,16,13,98,7.5,0,21,1.3,9.8,81.3%,6.1,129,560,2,45,4.3,56.0,12.9,142,4.6,658,2,0
114,Mohamed Sanu,ATL,27,WR,15,15,81,59,653,11.1,4,59,3.9,43.5,72.8%,8.1,1,5,0,5,5.0,0.3,0.1,60,11.0,658,4,1
115,JJ Nelson,ARI,24,wr,15,6,74,34,568,16.7,6,80,2.3,37.9,45.9%,7.7,4,83,1,56,20.8,5.5,0.3,38,17.1,651,7,1
116,Randall Cobb,GNB,26,WR,13,10,84,60,610,10.2,4,47,4.6,46.9,71.4%,7.3,10,33,0,14,3.3,2.5,0.8,70,9.2,643,4,1
117,Adam Humphries,TAM,23,wr,15,4,83,55,622,11.3,2,42,3.7,41.5,66.3%,7.5,5,18,0,8,3.6,1.2,0.3,60,10.7,640,2,3
118,Coby Fleener,NOR,28,TE,16,8,81,50,631,12.6,3,50,3.1,39.4,61.7%,7.8,1,2,1,2,2.0,0.1,0.1,51,12.4,633,4,2
119,Will Fuller,HOU,22,WR,14,13,92,47,635,13.5,2,53,3.4,45.4,51.1%,6.9,1,-3,0,-3,-3.0,-0.2,0.1,48,13.2,632,2,2
120,Taylor Gabriel,ATL,25,wr,13,3,50,35,579,16.5,6,76,2.7,44.5,70.0%,11.6,4,51,1,27,12.8,3.9,0.3,39,16.2,630,7,0
121,Robby Anderson,NYJ,23,wr,16,8,78,42,587,14.0,2,52,2.6,36.7,53.8%,7.5,3,42,0,30,14.0,2.6,0.2,45,14.0,629,2,1
122,Mike Gillislee,BUF,26,rb,15,1,11,9,50,5.6,1,18,0.6,3.3,81.8%,4.5,101,577,8,44,5.7,38.5,6.7,110,5.7,627,9,1
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Derrick Henry,TEN,22,rb,15,2,15,13,137,10.5,0,29,0.9,9.1,86.7%,9.1,110,490,5,22,4.5,32.7,7.3,123,5.1,627,5,0
125,Chris Ivory,JAX,28,rb,11,1,28,20,186,9.3,0,37,1.8,16.9,71.4%,6.6,117,439,3,42,3.8,39.9,10.6,137,4.6,625,3,5
126,Robert Woods,BUF,24,WR,13,10,76,51,613,12.0,1,34,3.9,47.2,67.1%,8.1,1,6,0,6,6.0,0.5,0.1,52,11.9,619,1,0
127,Paul Perkins,NYG,22,rb,14,1,24,15,162,10.8,0,67,1.1,11.6,62.5%,6.8,112,456,0,22,4.1,32.6,8.0,127,4.9,618,0,1
128,Gary Barnidge,CLE,31,TE,16,16,82,55,612,11.1,2,43,3.4,38.3,67.1%,7.5,,,,,,,,55,11.1,612,2,0
129,Eli Rogers,PIT,24,wr,13,8,66,48,594,12.4,3,39,3.7,45.7,72.7%,9.0,1,6,0,6,6.0,0.5,0.1,49,12.2,600,3,2
130,Terrance Williams,DAL,27,WR,16,15,61,44,594,13.5,4,47,2.8,37.1,72.1%,9.7,,,,,,,,44,13.5,594,4,1
131,Victor Cruz,NYG,30,WR,15,12,72,39,586,15.0,1,48,2.6,39.1,54.2%,8.1,,,,,,,,39,15.0,586,1,1
132,Anquan Boldin,DET,36,WR,16,16,95,67,584,8.7,8,35,4.2,36.5,70.5%,6.1,,,,,,,,67,8.7,584,8,0
133,Jack Doyle,IND,26,TE,16,14,75,59,584,9.9,5,24,3.7,36.5,78.7%,7.8,,,,,,,,59,9.9,584,5,1
134,Vernon Davis,WAS,32,TE/wr,16,14,59,44,583,13.3,2,44,2.8,36.4,74.6%,9.9,,,,,,,,44,13.3,583,2,0
135,DeAndre Washington,OAK,23,rb,14,2,23,17,115,6.8,0,18,1.2,8.2,73.9%,5.0,87,467,2,30,5.4,33.4,6.2,104,5.6,582,2,1
136,Tyrod Taylor,BUF,27,QB,15,15,0,0,0,,0,0,0.0,0.0,0.0%,,95,580,6,49,6.1,38.7,6.3,95,6.1,580,6,4
137,C.J. Anderson,DEN,25,rb,7,7,24,16,128,8.0,1,25,2.3,18.3,66.7%,5.3,110,437,4,28,4.0,62.4,15.7,126,4.5,565,5,0
138,Brian Quick,LAR,27,wr,16,8,77,41,564,13.8,3,65,2.6,35.3,53.2%,7.3,,,,,,,,41,13.8,564,3,0
139,C.J. Fiedorowicz,HOU,25,TE,15,15,89,54,559,10.4,4,26,3.6,37.3,60.7%,6.3,,,,,,,,54,10.4,559,4,1
140,Doug Martin,TAM,27,RB,8,8,16,14,134,9.6,0,27,1.8,16.8,87.5%,8.4,144,421,3,17,2.9,52.6,18.0,158,3.5,555,3,1
141,Charles Clay,BUF,27,TE,15,15,87,57,552,9.7,4,40,3.8,36.8,65.5%,6.3,,,,,,,,57,9.7,552,4,0
142,Antonio Gates,SDG,36,TE,14,9,93,53,548,10.3,7,27,3.8,39.1,57.0%,5.9,,,,,,,,53,10.3,548,7,1
143,Kenneth Dixon,BAL,22,,12,0,41,30,162,5.4,1,16,2.5,13.5,73.2%,4.0,88,382,2,20,4.3,31.8,7.3,118,4.6,544,3,1
144,Rob Gronkowski,NWE,27,te,8,6,38,25,540,21.6,3,53,3.1,67.5,65.8%,14.2,,,,,,,,25,21.6,540,3,0
145,Phillip Dorsett,IND,23,wr,15,7,59,33,528,16.0,2,64,2.2,35.2,55.9%,8.9,2,10,0,7,5.0,0.7,0.1,35,15.4,538,2,1
146,Jeremy Maclin,KAN,28,WR,12,12,76,44,536,12.2,2,44,3.7,44.7,57.9%,7.1,1,-1,0,-1,-1.0,-0.1,0.1,45,11.9,535,2,0
147,Matt Jones,WAS,23,rb,7,7,8,8,73,9.1,0,16,1.1,10.4,100.0%,9.1,99,460,3,57,4.6,65.7,14.1,107,5.0,533,3,3
148,Chris Conley,KAN,24,WR,16,11,69,44,530,12.0,0,39,2.8,33.1,63.8%,7.7,,,,,,,,44,12.0,530,0,1
149,Zach Zenner,DET,25,rb,14,4,23,18,196,10.9,0,33,1.3,14.0,78.3%,8.5,88,334,4,20,3.8,23.9,6.3,106,5.0,530,4,1
150,John Brown,ARI,26,wr,15,6,73,39,517,13.3,2,30,2.6,34.5,53.4%,7.1,1,10,0,10,10.0,0.7,0.1,40,13.2,527,2,1
151,Tajae Sharpe,TEN,22,WR,16,10,83,41,522,12.7,2,34,2.6,32.6,49.4%,6.3,1,1,0,1,1.0,0.1,0.1,42,12.5,523,2,0
152,Jermaine Kearse,SEA,26,WR,16,15,89,41,510,12.4,1,36,2.6,31.9,46.1%,5.7,,,,,,,,41,12.4,510,1,0
153,Breshad Perriman,BAL,23,wr,16,1,66,33,499,15.1,3,53,2.1,31.2,50.0%,7.6,1,2,0,2,2.0,0.1,0.1,34,14.7,501,3,0
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Lance Kendricks,LAR,28,TE,16,16,87,50,499,10.0,2,44,3.1,31.2,57.5%,5.7,,,,,,,,50,10.0,499,2,1
156,Cordarrelle Patterson*+,MIN,25,WR,16,8,70,52,453,8.7,2,39,3.3,28.3,74.3%,6.5,7,43,0,22,6.1,2.7,0.4,59,8.4,496,2,2
157,Fozzy Whittaker,CAR,27,,16,0,33,25,226,9.0,0,25,1.6,14.1,75.8%,6.8,57,265,0,25,4.6,16.6,3.6,82,6.0,491,0,1
158,Rex Burkhead,CIN,26,rb,16,1,20,17,145,8.5,0,18,1.1,9.1,85.0%,7.3,74,344,2,17,4.6,21.5,4.6,91,5.4,489,2,1
159,Michael Floyd,2TM,27,,15,8,76,37,488,13.2,5,39,2.5,32.5,48.7%,6.4,,,,,,,,37,13.2,488,5,0
160,Zach Miller,CHI,32,TE,10,8,64,47,486,10.3,4,34,4.7,48.6,73.4%,7.6,,,,,,,,47,10.3,486,4,0
161,Charcandrick West,KAN,25,rb,15,2,34,28,188,6.7,2,28,1.9,12.5,82.4%,5.5,88,293,1,28,3.3,19.5,5.9,116,4.1,481,3,0
162,Hunter Henry,SDG,22,TE,15,10,53,36,478,13.3,8,59,2.4,31.9,67.9%,9.0,,,,,,,,36,13.3,478,8,1
163,Allen Hurns,JAX,25,WR,11,11,76,35,477,13.6,3,42,3.2,43.4,46.1%,6.3,,,,,,,,35,13.6,477,3,1
164,Colin Kaepernick,SFO,29,QB,12,11,0,0,0,,0,0,0.0,0.0,0.0%,,69,468,2,30,6.8,39.0,5.8,69,6.8,468,2,9
165,DeAngelo Williams,PIT,33,rb,9,4,27,18,118,6.6,2,20,2.0,13.1,66.7%,4.4,98,343,4,17,3.5,38.1,10.9,116,4.0,461,6,0
166,Alfred Blue,HOU,25,rb,14,2,16,12,40,3.3,0,12,0.9,2.9,75.0%,2.5,100,420,1,25,4.2,30.0,7.1,112,4.1,460,1,2
167,Shaun Draughn,SFO,29,rb,16,1,39,29,263,9.1,2,29,1.8,16.4,74.4%,6.7,74,196,4,18,2.6,12.3,4.6,103,4.5,459,6,1
168,Sammie Coates,PIT,23,wr,14,5,49,21,435,20.7,2,72,1.5,31.1,42.9%,8.9,4,14,0,15,3.5,1.0,0.3,25,18.0,449,2,0
