,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,David Johnson*+,ARI,25,RB,16,16,120,80,879,11.0,4,58,5.0,54.9,66.7%,7.3,293,1239,16,58,4.2,77.4,18.3,373,5.7,2118,20,5
2,Ezekiel Elliott*+,DAL,21,RB,15,15,39,32,363,11.3,1,83,2.1,24.2,82.1%,9.3,322,1631,15,60,5.1,108.7,21.5,354,5.6,1994,16,5
3,Le'Veon Bell*,PIT,24,RB,12,12,94,75,616,8.2,2,32,6.3,51.3,79.8%,6.6,261,1268,7,44,4.9,105.7,21.8,336,5.6,1884,9,4
4,DeMarco Murray*,TEN,28,RB,16,16,67,53,377,7.1,3,35,3.3,23.6,79.1%,5.6,293,1287,9,75,4.4,80.4,18.3,346,4.8,1664,12,3
5,LeSean McCoy*,BUF,28,RB,15,15,57,50,356,7.1,1,41,3.3,23.7,87.7%,6.2,234,1267,13,75,5.4,84.5,15.6,284,5.7,1623,14,3
6,Jordan Howard*,CHI,22,RB,15,13,50,29,298,10.3,1,34,1.9,19.9,58.0%,6.0,252,1313,6,69,5.2,87.5,16.8,281,5.7,1611,7,2
7,Devonta Freeman*,ATL,24,RB,16,16,65,54,462,8.6,2,35,3.4,28.9,83.1%,7.1,227,1079,11,75,4.8,67.4,14.2,281,5.5,1541,13,1
8,T.Y. Hilton*,IND,27,WR,16,16,155,91,1448,15.9,6,63,5.7,90.5,58.7%,9.3,,,,,,,,91,15.9,1448,6,0
9,Jay Ajayi*,MIA,23,RB,15,12,35,27,151,5.6,0,15,1.8,10.1,77.1%,4.3,260,1272,8,62,4.9,84.8,17.3,287,5.0,1423,8,4
10,Melvin Gordon*,SDG,23,RB,13,11,57,41,419,10.2,2,35,3.2,32.2,71.9%,7.4,254,997,10,48,3.9,76.7,19.5,295,4.8,1416,12,2
11,Julio Jones*+,ATL,27,WR,14,14,129,83,1409,17.0,6,75,5.9,100.6,64.3%,10.9,,,,,,,,83,17.0,1409,6,0
12,Odell Beckham*,NYG,24,WR,16,16,169,101,1367,13.5,10,75,6.3,85.4,59.8%,8.1,1,9,0,9,9.0,0.6,0.1,102,13.5,1376,10,3
13,Spencer Ware,KAN,25,RB,14,14,42,33,447,13.5,2,46,2.4,31.9,78.6%,10.6,214,921,3,46,4.3,65.8,15.3,247,5.5,1368,5,4
14,Mark Ingram,NOR,27,RB,16,14,58,46,319,6.9,4,22,2.9,19.9,79.3%,5.5,205,1043,6,75,5.1,65.2,12.8,251,5.4,1362,10,2
15,Mike Evans*,TAM,23,WR,16,16,173,96,1321,13.8,12,45,6.0,82.6,55.5%,7.6,,,,,,,,96,13.8,1321,12,0
16,Frank Gore,IND,33,RB,16,16,47,38,277,7.3,4,49,2.4,17.3,80.9%,5.9,263,1025,4,22,3.9,64.1,16.4,301,4.3,1302,8,2
17,Antonio Brown*+,PIT,28,WR,15,15,154,106,1284,12.1,12,51,7.1,85.6,68.8%,8.3,3,9,0,13,3.0,0.6,0.2,109,11.9,1293,12,0
18,Isaiah Crowell,CLE,23,RB,16,16,53,40,319,8.0,0,44,2.5,19.9,75.5%,6.0,198,952,7,85,4.8,59.5,12.4,238,5.3,1271,7,2
19,Lamar Miller,HOU,25,RB,14,14,39,31,188,6.1,1,16,2.2,13.4,79.5%,4.8,268,1073,5,45,4.0,76.6,19.1,299,4.2,1261,6,2
20,Jordy Nelson,GNB,31,WR,16,16,152,97,1257,13.0,14,60,6.1,78.6,63.8%,8.3,,,,,,,,97,13.0,1257,14,1
21,Todd Gurley,LAR,22,RB,16,16,58,43,327,7.6,0,33,2.7,20.4,74.1%,5.6,278,885,6,24,3.2,55.3,17.4,321,3.8,1212,6,2
22,Brandin Cooks,NOR,23,WR,16,12,117,78,1173,15.0,8,98,4.9,73.3,66.7%,10.0,6,30,0,11,5.0,1.9,0.4,84,14.3,1203,8,1
23,LeGarrette Blount,NWE,30,RB,16,8,8,7,38,5.4,0,16,0.4,2.4,87.5%,4.8,299,1161,18,44,3.9,72.6,18.7,306,3.9,1199,18,2
24,Julian Edelman,NWE,30,WR,16,13,159,98,1106,11.3,3,77,6.1,69.1,61.6%,7.0,12,57,0,9,4.8,3.6,0.8,110,10.6,1163,3,3
25,Amari Cooper*,OAK,22,WR,16,14,132,83,1153,13.9,5,64,5.2,72.1,62.9%,8.7,1,0,0,0,0.0,0.0,0.1,84,13.7,1153,5,2
26,Jarvis Landry*,MIA,24,WR,16,16,131,94,1136,12.1,4,71,5.9,71.0,71.8%,8.7,5,17,0,13,3.4,1.1,0.3,99,11.6,1153,4,2
27,Carlos Hyde,SFO,26,RB,13,13,33,27,163,6.0,3,19,2.1,12.5,81.8%,4.9,217,988,6,47,4.6,76.0,16.7,244,4.7,1151,9,5
28,Michael Thomas,NOR,23,WR,15,12,121,92,1137,12.4,9,46,6.1,75.8,76.0%,9.4,,,,,,,,92,12.4,1137,9,2
29,Doug Baldwin*,SEA,28,WR,16,15,125,94,1128,12.0,7,59,5.9,70.5,75.2%,9.0,3,2,0,4,0.7,0.1,0.2,97,11.6,1130,7,1
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Travis Kelce*+,KAN,27,TE,16,15,117,85,1125,13.2,4,80,5.3,70.3,72.6%,9.6,1,-5,0,-5,-5.0,-0.3,0.1,86,13.0,1120,4,0
32,Bilal Powell,NYJ,28,rb/wr,16,4,74,58,388,6.7,2,22,3.6,24.3,78.4%,5.2,131,722,3,35,5.5,45.1,8.2,189,5.9,1110,5,1
33,Demaryius Thomas*,DEN,29,WR,16,16,144,90,1083,12.0,5,55,5.6,67.7,62.5%,7.5,,,,,,,,90,12.0,1083,5,2
34,Golden Tate,DET,28,WR,16,16,135,91,1077,11.8,4,67,5.7,67.3,67.4%,8.0,10,4,0,11,0.4,0.3,0.6,101,10.7,1081,4,2
35,Matt Forte,NYJ,31,RB,14,13,43,30,263,8.8,1,40,2.1,18.8,69.8%,6.1,218,813,7,32,3.7,58.1,15.6,248,4.3,1076,8,1
36,Greg Olsen*,CAR,31,TE,16,16,129,80,1073,13.4,3,78,5.0,67.1,62.0%,8.3,,,,,,,,80,13.4,1073,3,0
37,Tyrell Williams,SDG,24,WR,16,12,119,69,1059,15.3,7,51,4.3,66.2,58.0%,8.9,,,,,,,,69,15.3,1059,7,0
38,Latavius Murray,OAK,26,RB,14,12,43,33,264,8.0,0,39,2.4,18.9,76.7%,6.1,195,788,12,42,4.0,56.3,13.9,228,4.6,1052,12,2
39,Mike Wallace,BAL,30,WR,16,16,116,72,1017,14.1,4,95,4.5,63.6,62.1%,8.8,5,31,0,13,6.2,1.9,0.3,77,13.6,1048,4,1
40,Pierre Garcon,WAS,30,WR,16,16,114,79,1041,13.2,3,70,4.9,65.1,69.3%,9.1,,,,,,,,79,13.2,1041,3,0
41,Emmanuel Sanders*,DEN,29,WR,16,16,137,79,1032,13.1,5,64,4.9,64.5,57.7%,7.5,1,4,0,4,4.0,0.3,0.1,80,13.0,1036,5,1
42,Larry Fitzgerald*,ARI,33,WR,16,16,150,107,1023,9.6,6,33,6.7,63.9,71.3%,6.8,2,5,0,4,2.5,0.3,0.1,109,9.4,1028,6,2
43,Terrelle Pryor,CLE,27,WR,16,15,140,77,1007,13.1,4,54,4.8,62.9,55.0%,7.2,8,21,1,15,2.6,1.3,0.5,85,12.1,1028,5,1
44,Jeremy Hill,CIN,24,RB,15,13,27,21,174,8.3,0,25,1.4,11.6,77.8%,6.4,222,839,9,74,3.8,55.9,14.8,243,4.2,1013,9,0
45,Terrance West,BAL,25,RB,16,13,45,34,236,6.9,1,17,2.1,14.8,75.6%,5.2,193,774,5,41,4.0,48.4,12.1,227,4.4,1010,6,2
46,DeSean Jackson,WAS,30,WR,15,15,100,56,1005,17.9,4,80,3.7,67.0,56.0%,10.1,,,,,,,,56,17.9,1005,4,0
47,Michael Crabtree,OAK,29,WR,16,16,145,89,1003,11.3,8,56,5.6,62.7,61.4%,6.9,,,,,,,,89,11.3,1003,8,2
48,Kenny Britt,LAR,28,WR,15,15,111,68,1002,14.7,5,66,4.5,66.8,61.3%,9.0,,,,,,,,68,14.7,1002,5,2
49,Davante Adams,GNB,24,WR,16,15,121,75,997,13.3,12,66,4.7,62.3,62.0%,8.2,,,,,,,,75,13.3,997,12,2
50,Adam Thielen,MIN,26,WR,16,10,92,69,967,14.0,5,71,4.3,60.4,75.0%,10.5,2,15,0,11,7.5,0.9,0.1,71,13.8,982,5,2
51,A.J. Green*,CIN,28,WR,10,10,100,66,964,14.6,4,54,6.6,96.4,66.0%,9.6,,,,,,,,66,14.6,964,4,0
52,DeAndre Hopkins,HOU,24,WR,16,16,151,78,954,12.2,4,51,4.9,59.6,51.7%,6.3,,,,,,,,78,12.2,954,4,0
53,Rishard Matthews,TEN,27,WR,16,10,108,65,945,14.5,9,60,4.1,59.1,60.2%,8.8,,,,,,,,65,14.5,945,9,1
54,Kelvin Benjamin,CAR,25,WR,16,13,118,63,941,14.9,7,50,3.9,58.8,53.4%,8.0,,,,,,,,63,14.9,941,7,1
55,Tevin Coleman,ATL,23,,13,0,40,31,421,13.6,3,49,2.4,32.4,77.5%,10.5,118,520,8,55,4.4,40.0,9.1,149,6.3,941,11,1
56,Marvin Jones,DET,26,WR,15,15,103,55,930,16.9,4,73,3.7,62.0,53.4%,9.0,1,3,0,3,3.0,0.2,0.1,56,16.7,933,4,0
57,Jimmy Graham*,SEA,30,TE,16,15,95,65,923,14.2,6,42,4.1,57.7,68.4%,9.7,1,0,0,0,0.0,0.0,0.1,66,14.0,923,6,2
58,Stefon Diggs,MIN,23,WR,13,11,112,84,903,10.8,3,46,6.5,69.5,75.0%,8.1,3,10,0,12,3.3,0.8,0.2,87,10.5,913,3,0
59,Willie Snead,NOR,24,wr,15,4,104,72,895,12.4,4,49,4.8,59.7,69.2%,8.6,,,,,,,,72,12.4,895,4,2
60,Cameron Meredith,CHI,24,WR,14,10,97,66,888,13.5,4,50,4.7,63.4,68.0%,9.2,1,6,0,6,6.0,0.4,0.1,67,13.3,894,4,3
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Marqise Lee,JAX,25,wr,16,6,105,63,851,13.5,3,51,3.9,53.2,60.0%,8.1,6,35,0,11,5.8,2.2,0.4,69,12.8,886,3,1
63,Jonathan Stewart,CAR,29,RB,13,13,21,8,60,7.5,0,25,0.6,4.6,38.1%,2.9,218,824,9,47,3.8,63.4,16.8,226,3.9,884,9,3
64,Allen Robinson,JAX,23,WR,16,16,151,73,883,12.1,6,42,4.6,55.2,48.3%,5.8,,,,,,,,73,12.1,883,6,1
65,Devontae Booker,DEN,24,rb,16,6,45,31,265,8.5,1,43,1.9,16.6,68.9%,5.9,174,612,4,18,3.5,38.3,10.9,205,4.3,877,5,4
66,Duke Johnson,CLE,23,rb,16,1,74,53,514,9.7,0,32,3.3,32.1,71.6%,6.9,73,358,1,22,4.9,22.4,4.6,126,6.9,872,1,2
67,Quincy Enunwa,NYJ,24,WR,16,13,105,58,857,14.8,4,69,3.6,53.6,55.2%,8.2,1,12,0,12,12.0,0.8,0.1,59,14.7,869,4,0
68,Darren Sproles*,PHI,33,rb,15,5,71,52,427,8.2,2,73,3.5,28.5,73.2%,6.0,94,438,2,25,4.7,29.2,6.3,146,5.9,865,4,1
69,Tyreek Hill*+,KAN,22,wr,16,1,83,61,593,9.7,6,49,3.8,37.1,73.5%,7.1,24,267,3,70,11.1,16.7,1.5,85,10.1,860,9,4
70,Brandon LaFell,CIN,30,WR,16,14,107,64,862,13.5,6,86,4.0,53.9,59.8%,8.1,1,-2,0,-2,-2.0,-0.1,0.1,65,13.2,860,6,0
71,Ted Ginn,CAR,31,WR,16,8,95,54,752,13.9,4,88,3.4,47.0,56.8%,7.9,14,98,0,20,7.0,6.1,0.9,68,12.5,850,4,3
72,Jamison Crowder,WAS,23,WR,16,9,99,67,847,12.6,7,55,4.2,52.9,67.7%,8.6,2,-2,0,7,-1.0,-0.1,0.1,69,12.2,845,7,2
73,Cole Beasley,DAL,27,fb/wr,16,6,98,75,833,11.1,5,47,4.7,52.1,76.5%,8.5,1,7,0,7,7.0,0.4,0.1,76,11.1,840,5,0
74,Kyle Rudolph,MIN,27,TE,16,16,132,83,840,10.1,7,44,5.2,52.5,62.9%,6.4,,,,,,,,83,10.1,840,7,0
75,Alshon Jeffery,CHI,26,WR,12,12,94,52,821,15.8,2,54,4.3,68.4,55.3%,8.7,,,,,,,,52,15.8,821,2,0
76,Zach Ertz,PHI,26,TE,14,12,106,78,816,10.5,4,30,5.6,58.3,73.6%,7.7,,,,,,,,78,10.5,816,4,0
77,Delanie Walker*,TEN,32,TE,15,10,102,65,800,12.3,7,47,4.3,53.3,63.7%,7.8,2,11,0,8,5.5,0.7,0.1,67,12.1,811,7,1
78,Dontrelle Inman,SDG,27,WR,16,16,97,58,810,14.0,4,57,3.6,50.6,59.8%,8.4,,,,,,,,58,14.0,810,4,0
79,Ty Montgomery,GNB,23,rb,15,6,56,44,348,7.9,0,24,2.9,23.2,78.6%,6.2,77,457,3,61,5.9,30.5,5.1,121,6.7,805,3,2
80,Jordan Matthews,PHI,24,WR,14,13,117,73,804,11.0,3,54,5.2,57.4,62.4%,6.9,,,,,,,,73,11.0,804,3,1
81,Steve Smith,BAL,37,WR,14,14,101,70,799,11.4,5,52,5.0,57.1,69.3%,7.9,,,,,,,,70,11.4,799,5,0
82,Dez Bryant*,DAL,28,WR,13,13,96,50,796,15.9,8,56,3.8,61.2,52.1%,8.3,,,,,,,,50,15.9,796,8,1
83,Rashad Jennings,NYG,31,RB,13,12,42,35,201,5.7,1,24,2.7,15.5,83.3%,4.8,181,593,3,25,3.3,45.6,13.9,216,3.7,794,4,1
84,Jerick McKinnon,MIN,24,rb,15,7,53,43,255,5.9,2,41,2.9,17.0,81.1%,4.8,159,539,2,36,3.4,35.9,10.6,202,3.9,794,4,0
85,Brandon Marshall,NYJ,32,WR,15,15,128,59,788,13.4,3,41,3.9,52.5,46.1%,6.2,,,,,,,,59,13.4,788,3,0
86,Robert Kelley,WAS,24,RB,15,9,18,12,82,6.8,1,22,0.8,5.5,66.7%,4.6,168,704,6,66,4.2,46.9,11.2,180,4.4,786,7,0
87,T.J. Yeldon,JAX,23,RB,15,13,68,50,312,6.2,1,17,3.3,20.8,73.5%,4.6,130,465,1,16,3.6,31.0,8.7,180,4.3,777,2,2
88,Ryan Mathews,PHI,29,RB,13,8,14,13,115,8.8,1,27,1.0,8.8,92.9%,8.2,155,661,8,30,4.3,50.8,11.9,168,4.6,776,9,3
89,Tim Hightower,NOR,30,rb,16,1,26,22,200,9.1,1,50,1.4,12.5,84.6%,7.7,133,548,4,30,4.1,34.3,8.3,155,4.8,748,5,0
90,DeVante Parker,MIA,23,WR,15,8,87,56,744,13.3,4,56,3.7,49.6,64.4%,8.6,,,,,,,,56,13.3,744,4,0
91,Dennis Pitta,BAL,31,TE,16,12,121,86,729,8.5,2,30,5.4,45.6,71.1%,6.0,,,,,,,,86,8.5,729,2,1
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Theo Riddick,DET,25,RB,10,8,67,53,371,7.0,5,23,5.3,37.1,79.1%,5.5,92,357,1,42,3.9,35.7,9.2,145,5.0,728,6,0
94,Kenny Stills,MIA,24,WR,16,16,81,42,726,17.3,9,74,2.6,45.4,51.9%,9.0,,,,,,,,42,17.3,726,9,0
95,James White,NWE,24,rb,16,4,86,60,551,9.2,5,61,3.8,34.4,69.8%,6.4,39,166,0,16,4.3,10.4,2.4,99,7.2,717,5,0
96,Sterling Shepard,NYG,23,WR,16,16,105,65,683,10.5,8,32,4.1,42.7,61.9%,6.5,3,31,0,22,10.3,1.9,0.2,68,10.5,714,8,0
97,Eric Ebron,DET,23,TE,13,13,85,61,711,11.7,1,61,4.7,54.7,71.8%,8.4,1,1,1,1,1.0,0.1,0.1,62,11.5,712,2,0
98,Martellus Bennett,NWE,29,TE,16,12,73,55,701,12.7,7,58,3.4,43.8,75.3%,9.6,2,10,0,6,5.0,0.6,0.1,57,12.5,711,7,0
99,Tyler Lockett,SEA,24,WR,15,9,66,41,597,14.6,1,57,2.7,39.8,62.1%,9.0,6,114,1,75,19.0,7.6,0.4,47,15.1,711,2,0
100,Chris Thompson,WAS,26,,16,0,62,49,349,7.1,2,38,3.1,21.8,79.0%,5.6,68,356,3,25,5.2,22.3,4.3,117,6.0,705,5,2
101,Christine Michael,2TM,26,,15,7,29,22,107,4.9,1,13,1.5,7.1,75.9%,3.7,148,583,7,42,3.9,38.9,9.9,170,4.1,690,8,2
102,Chris Hogan,NWE,29,WR,15,14,58,38,680,17.9,4,79,2.5,45.3,65.5%,11.7,3,9,0,6,3.0,0.6,0.2,41,16.8,689,4,1
103,Jordan Reed*,WAS,26,TE,12,8,89,66,686,10.4,6,33,5.5,57.2,74.2%,7.7,,,,,,,,66,10.4,686,6,1
