,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
21,Mike Nugent,CIN,34,K,13,0,,,9,9,10,9,7,5,3,,29,23,79.3%,29,23,79.3%,,,,,
22,Chandler Catanzaro,ARI,25,K,16,0,1,1,6,5,7,6,8,6,6,3,28,21,75.0%,47,43,91.5%,2,66,47,0,33.0
23,Chris Boswell,PIT,25,K,15,0,,,2,2,9,8,12,11,2,,25,21,84.0%,36,36,100.0%,,,,,
24,Dan Carpenter,BUF,31,K,16,0,1,1,8,8,5,5,9,4,2,1,25,19,76.0%,45,40,88.9%,,,,,
25,Cody Parkey,CLE,24,K,14,0,,,6,6,6,6,12,7,1,1,25,20,80.0%,21,20,95.2%,,,,,
26,Ryan Succop,TEN,30,K,16,0,1,1,4,4,6,6,8,8,5,3,24,22,91.7%,41,39,95.1%,,,,,
27,Connor Barth,CHI,30,K,16,0,,,8,7,8,7,4,3,3,1,23,18,78.3%,32,31,96.9%,,,,,
28,Greg Zuerlein,LAR,29,K,16,0,,,5,5,9,9,4,3,4,2,22,19,86.4%,23,23,100.0%,,,,,
29,Phil Dawson,SFO,41,K,16,0,,,4,4,6,6,9,7,2,1,21,18,85.7%,34,33,97.1%,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Andrew Franks,MIA,23,K,16,0,,,10,8,6,6,3,1,2,1,21,16,76.2%,42,41,97.6%,,,,,
32,Blair Walsh,MIN,26,K,9,0,1,1,1,1,6,5,6,4,2,1,16,12,75.0%,19,15,78.9%,,,,,
33,Kai Forbath,MIN,29,k,7,0,,,5,5,5,5,4,4,1,1,15,15,100.0%,14,11,78.6%,,,,,
34,Josh Brown,NYG,37,k,5,0,1,1,3,3,3,3,4,4,1,,12,11,91.7%,9,9,100.0%,,,,,
35,Robbie Gould,NYG,34,K,10,0,,,3,3,3,3,4,4,,,10,10,100.0%,23,20,87.0%,,,,,
36,Randy Bullock,3TM,27,,5,0,,,4,4,2,2,3,2,,,9,8,88.9%,10,9,90.0%,,,,,
37,Patrick Murray,CLE,25,k,2,0,,,,,1,1,,,1,,2,1,50.0%,4,3,75.0%,,,,,
38,Bradley Pinion,SFO,22,P,16,0,,,,,,,,,,,,,,,,,100,4402,65,0,44.0
39,Johnny Hekker*+,LAR,26,P,16,0,,,,,,,,,,,,,,,,,98,4680,78,0,47.8
40,Brad Wing,NYG,25,P,16,0,,,,,,,,,,,,,,,,,93,4297,63,0,46.2
41,Matt Darr,MIA,24,P,16,0,,,,,,,,,,,,,,,,,90,3991,66,0,44.3
42,Riley Dixon,DEN,23,P,16,0,,,,,,,,,,,,,,,,,89,4068,68,0,45.7
43,Britton Colquitt,CLE,31,P,16,0,,,,,,,,,,,,,,,,,83,3761,65,0,45.3
44,Marquette King,OAK,28,P,16,0,,,,,,,,,,,,,,,,,81,3937,72,0,48.6
45,Sam Koch,BAL,34,P,16,0,,,,,,,,,,,,,,,,,80,3665,68,0,45.8
46,Kevin Huber,CIN,31,P,16,0,,,,,,,,,,,,,,,,,78,3613,72,0,46.3
47,Brett Kern,TEN,30,P,16,0,,,,,,,,,,,,,,,,,77,3402,71,0,44.2
48,Brad Nortman,JAX,27,P,16,0,,,,,,,,,,,,,,,,,77,3589,78,0,46.6
49,Dustin Colquitt*,KAN,34,P,16,0,,,,,,,,,,,,,,,,,76,3427,64,0,45.1
50,Lac Edwards,NYJ,24,P,16,0,,,,,,,,,,,,,,,,,75,3236,59,1,43.1
51,Colton Schmidt,BUF,26,P,16,0,,,,,,,,,,,,,,,,,75,3183,58,0,42.4
52,Jeff Locke,MIN,27,P,16,0,,,,,,,,,,,,,,,,,74,3155,72,0,42.6
53,Ryan Allen,NWE,26,P,16,0,,,,,,,,,,,,,,,,,72,3217,58,0,44.7
54,Shane Lechler,HOU,40,P,16,0,,,,,,,,,,,,,,,,,72,3423,62,0,47.5
55,Jon Ryan,SEA,35,P,16,0,,,,,,,,,,,,,,,,,71,3126,64,1,44.0
56,Bryan Anger,TAM,28,P,16,0,,,,,,,,,,,,,,,,,70,3215,59,0,45.9
57,Jordan Berry,PIT,25,P,16,0,,,,,,,,,,,,,,,,,68,3100,64,1,45.6
58,Pat O'Donnell,CHI,25,P,16,0,,,,,,,,,,,,,,,,,68,2994,67,0,44.0
59,Donnie Jones,PHI,36,P,16,0,,,,,,,,,,,,,,,,,63,2888,72,0,45.8
60,Sam Martin,DET,26,P,16,0,,,,,,,,,,,,,,,,,62,3010,63,0,48.5
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Drew Kaser,SDG,23,P,16,0,,,,,,,,,,,,,,,,,59,2731,69,0,46.3
63,Chris Jones,DAL,27,P,16,0,,,,,,,,,,,,,,,,,58,2661,66,1,45.9
64,Thomas Morstead,NOR,30,P,16,0,,,,,,,,,,,,,,,,,57,2751,66,0,48.3
65,Jake Schum,GNB,27,P,16,0,,,,,,,,,,,,,,,,,56,2420,65,0,43.2
66,Pat McAfee*,IND,29,P,16,0,,,,,,,,,,,,,,,,,55,2711,74,1,49.3
67,Tress Way,WAS,26,P,16,0,,,,,,,,,,,,,,,,,49,2209,61,0,45.1
68,Matthew Bosher,ATL,29,P,15,0,,,,,,,,,,,,,,,,,44,2060,68,0,46.8
69,Andy Lee,CAR,34,P,9,0,,,,,,,,,,,,,,,,,36,1769,76,0,49.1
70,Michael Palardy,CAR,24,p,7,0,,,,,,,,,,,,,,,,,36,1531,56,0,42.5
71,Ryan Quigley,ARI,26,p,6,0,,,,,,,,,,,,,,,,,34,1416,55,1,41.6
72,Drew Butler,ARI,27,P,7,0,,,,,,,,,,,,,,,,,32,1350,62,0,42.2
73,Matt Wile,2TM,24,,4,0,,,,,,,,,,,,,,,,,12,553,59,1,46.1
