,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
0,,,,,,,,,,,,,,,,,,,,,,,
1,Paul Posluszny*,JAX,29,MLB,15,15,2,69,1,59,8,1,0,1,0,0,3.0,162,122,40,6,8,
2,NaVorro Bowman*+,SFO,25,LB,16,16,2,93,1,89,8,6,0,2,0,0,5.0,145,120,25,9,5,
3,Vontaze Burfict*,CIN,23,LB,16,16,1,12,0,12,6,1,0,2,13,1,3.0,177,115,62,9,5,
4,Karlos Dansby,ARI,32,LB,16,16,4,48,2,23,19,1,0,1,0,0,6.5,122,114,8,12,12,
5,Barry Church,DAL,25,FS,16,16,1,0,0,0,6,3,0,1,27,1,,135,107,28,3,1,
6,Lavonte David+,TAM,23,LB/mlb,16,16,5,87,0,32,10,2,0,1,0,0,7.0,145,106,39,21,13,1
7,Danny Trevathan,DEN,23,LB,16,16,3,29,0,29,10,3,1,1,0,0,2.0,152,105,47,7,5,
8,DeMeco Ryans,PHI,29,LB,16,16,2,46,0,36,7,,,,,,4.0,127,102,25,9,5,
9,Luke Kuechly*+,CAR,22,MLB,16,16,4,33,0,30,7,,,,,,2.0,166,96,70,10,2,
10,Derrick Johnson*,KAN,31,RILB,15,15,2,44,0,41,6,0,0,2,11,0,4.5,107,95,12,12,10,
11,Alec Ogletree,STL,22,LB,16,16,1,98,1,98,10,6,0,0,0,0,1.5,118,95,23,9,1,
12,Jerrell Freeman,IND,27,LB,16,16,2,13,0,13,6,6,0,2,24,0,5.5,144,93,51,6,7,
13,Stephen Tulloch,DET,28,MLB,16,16,1,0,0,0,3,,,,,,3.5,135,93,42,7,6,
14,Curtis Lofton,NOR,27,LB,16,16,0,0,0,0,4,1,0,0,0,0,2.0,137,89,48,6,2,
15,Bobby Wagner,SEA,23,MLB,14,14,2,9,0,9,7,0,0,1,0,0,5.0,154,89,65,4,6,
16,Eric Weddle*,SDG,28,FS,16,16,2,21,0,21,9,1,0,2,27,0,1.0,115,88,27,5,2,
17,Kiko Alonso,BUF,23,MLB,16,16,4,38,0,32,4,1,0,2,13,0,2.0,159,87,72,11,1,
